Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
IVP,IVP LTD,1579401814,183.4,19.98691528,55.55555556,1194750,219117150,139.8937426,132.4623929,127.4984918,2896400000,Process Industries,299900000,13.4804,,17-Feb-22
GEECEE,GEECEE VENTURES,3379335357,192.35,19.24984501,15.94333936,1671089,321433969.2,163.9437862,159.966302,155.3859678,420005000,Process Industries,302561000,-0.238453,,17-Feb-22
MAWANASUG,MAWANA SUGARS LTD,4283296526,123.05,12.63157895,27.18346253,4756922,585339252.1,99.86968178,93.92439596,87.72774745,14061140000,Consumer Non-Durables,927000000,9.25654,6244830000,17-Feb-22
ADVANIHOTR,ADVANI HOTELS & RE,3831575557,93.4,11.85628743,11.7893477,2737975,255726865,85.82665137,84.44706762,81.72807209,273902025,Consumer Services,92596000,,,17-Feb-22
EVERESTIND,EVEREST INDUSTRIES,9259897543,657.9,11.19749852,5.73770492,364347,239703891.3,619.3488971,613.2156107,570.0473993,12175116000,Producer Manufacturing,890700000,2.62888,,17-Feb-22
SOLARA,SOLARA ACTIVE PHAR,23995929546,736,9.99850546,-5.06900555,640983,471763488,762.6886478,846.8119574,977.2083486,15968000000,Health Technology,1655500000,14.0904,,17-Feb-22
MURUDCERA,MURUDESHWAR CERAMI,1433877986,29.6,8.02919708,-1.98675497,619719,18343682.4,28.93255275,29.38661933,28.93311669,798869000,Producer Manufacturing,258123000,19.7244,,17-Feb-22
ACCURACY,ACCURACY SHIPPING LTD,3529130000,253.2,8.02047782,33.57953047,280145,70932714,217.756258,210.8333403,203.0820647,3746570000,Transportation,459090000,,,17-Feb-22
WINDMACHIN,WINDSOR MACHINES,2671943704,43.95,7.72058824,-4.14394766,375322,16495401.9,43.27813779,43.51985681,41.10589078,3114109000,Producer Manufacturing,250508000,8.59169,,17-Feb-22
UGROCAP,UGRO CAPITAL LTD,13663811605,208.25,7.26242596,-1.02186312,219506,45712124.5,203.8061953,207.7316767,203.1994601,1545281000,Finance,551104000,14.9325,,17-Feb-22
SOUTHWEST,SOUTH WEST PINNACL,6386859412,245.4,7.20838794,17.33205833,57630,14142402,212.734222,196.8643859,173.4456596,1035629000,Energy Minerals,208178000,8.04697,,17-Feb-22
GRPLTD,GRP LTD,1590532987,1269.45,6.96861175,5.71702199,7945,10085780.25,1231.999243,1263.930842,1226.945849,2780874000,Producer Manufacturing,237317000,13.4724,,17-Feb-22
