Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
IIFLSEC,IIFL SECURITIES,24946861740,84.75,3.22777101,-2.0797227,257338,21809395.5,85.25802385,88.18753446,91.33139854,86.94777665,8892820000,Finance,4460818000,0.350199,,28-Feb-22
ADVANIHOTR,ADVANI HOTELS & RE,4092714366,91.25,3.2239819,-3.08019118,225047,20535538.75,89.10900644,87.50070856,83.93202236,74.89377406,273902025,Consumer Services,92596000,,,28-Feb-22
GANECOS,GANESHA ECOSPHERE,13291920489,628.1,3.22103533,-0.76625326,74370,46711797,638.9313115,644.9660115,613.7160522,539.4532773,7479370000,Process Industries,1141917000,15.8224,,28-Feb-22
NAHARPOLY,NAHAR POLY FILMS,9797085599,411.95,3.20681448,6.6951567,203200,83708240,396.6081594,392.0973492,355.8375258,258.5633045,3034307000,Process Industries,881286000,4.99336,,28-Feb-22
DBREALTY,DB REALTY LTD,22136548416,94.95,3.20652174,-7.32064422,901400,85587930,99.65095238,98.75752018,83.40004276,49.9770927,468336000,Finance,-653155000,,,28-Feb-22
SANGHIIND,SANGHI INDUSTRIES,11483250000,47.2,3.16939891,-5.12562814,367229,17333208.8,48.92426211,51.92785072,55.87348781,57.25943699,9392300000,Non-Energy Minerals,2425180000,9.96724,,28-Feb-22
GSFC,GUJARAT STATE FER,48474793235,125.45,3.16611842,1.95042666,1070751,134325713,124.3775718,125.7264377,125.4576194,116.3275999,54864750000,Process Industries,10470200000,,,28-Feb-22
LSIL,LLOYDS STEELS INDU,11458404144,13.05,3.16205534,-9.375,4549668,59373167.4,14.48145304,15.99384357,16.57780883,10.24283225,699282000,Non-Energy Minerals,-77164000,,,28-Feb-22
SHREDIGCEM,SHREE DIGVIJAY CEMENT,9134810638,65.3,3.15955766,2.35109718,233828,15268968.4,64.70064741,67.18263459,71.17239111,73.96437299,5028225000,Non-Energy Minerals,1347583000,7.42692,,28-Feb-22
MSPL,MSP STEEL & POWER,4343627323,11.6,3.11111111,-4.1322314,1339743,15541018.8,11.76434382,12.34567832,12.52495139,10.96220419,17231344000,Non-Energy Minerals,1513680000,9.25817,,28-Feb-22
TCI,TRANSPORT CORP OF,46475936085,619.95,3.10161317,5.50544588,44681,27699985.95,616.167081,645.1991044,678.4447949,564.1663729,28023886000,Transportation,3780700000,8.34253,,28-Feb-22
ARSHIYA,ARSHIYA LTD,9323908380,36.7,3.08988764,-2.52324037,512442,18806621.4,37.29670948,38.0225594,37.10177404,32.44857784,2280841000,Commercial Services,813859000,29.1454,,28-Feb-22
TINPLATE,TINPLATE CO INDIA,33200574483,326.75,3.05945434,-3.88292396,605461,197834381.8,333.8183214,342.1094137,333.0836928,280.3217891,22639056000,Non-Energy Minerals,3473703000,8.67244,27003700000,28-Feb-22
HATHWAY,HATHWAY CABLE & DA,31861880859,18.6,3.04709141,-2.10526316,4571610,85031946,18.94985206,19.85188382,20.91673634,23.32809238,17317700000,Consumer Services,4145500000,6.38489,,28-Feb-22
THERMAX,THERMAX,2.09566E+11,1812.65,3.04124151,0.69438658,40801,73957932.65,1798.194374,1845.412721,1845.71391,1594.799376,47373900000,Producer Manufacturing,4258100000,41.822,,28-Feb-22
GTLINFRA,GTL INFRASTRUCTURE,20702256343,1.7,3.03030303,-2.85714286,120327048,204555981.6,1.73544831,1.83112847,1.90488558,1.73955833,14096800000,Communications,4012900000,13.5297,,28-Feb-22
AGARIND,AGARWAL INDUSTRIAL,6199545138,483.55,3.02546074,-5.52896356,68578,33160891.9,499.8469111,512.3138711,491.3891662,375.9846134,9039023000,Distribution Services,1044073000,3.72465,,28-Feb-22
JSLHISAR,JINDAL STAINLESS (,80866615814,353.2,3.01881289,2.42134261,394327,139276296.4,352.4079437,365.6735682,365.0670996,297.9275034,93750700000,Non-Energy Minerals,19540100000,4.0074,,28-Feb-22
MMTC,MMTC,67274997711,46.25,3.00668151,-0.64446831,3177602,146964092.5,46.71170067,48.17547494,47.9442364,44.82723081,3.00015E+11,Distribution Services,,,,28-Feb-22
