Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
SELAN,SELAN EXPLORATION,2323320064,183.45,19.98037933,19.27828349,648990,119057215.5,157.61869706,155.04241216,151.64874255,144.91534555,488198000,Energy Minerals,237400000,2.24515,
DEEPENR,DEEP ENE RESOURCES LTD,1308800049,49.1,19.9023199,19.46472019,447097,21952462.7,42.49288892,41.92390212,42.01121972,43.76374644,23844000,Industrial Services,9552000,94.24,
DODLA,DODLA DAIRY LTD,27342860451,526.8,15.26091237,20,513558,270542354.4,459.02897945,457.24653225,484.71747565,,19440060000,Consumer Non-Durables,2008430000,,
RSYSTEMS,R SYSTEMS INTERNAT,30285681641,288.3,12.59519625,10.14326648,649207,187166378.1,254.41766241,252.05249054,264.5310058,235.49319874,11556390000,Technology Services,1606440000,,
MANGCHEFER,MANGALORE CHEMICAL,8645679975,80.25,9.70608339,9.78112175,1032512,82859088,73.2865602,72.98714752,73.51215561,72.28111746,11134257000,Process Industries,1959008000,,
SOTL,SAVITA OIL TECHNOL,14437149693,1138.95,9.1471011,10.49185099,124498,141796997.1,1042.19429177,1039.48832565,1084.27090176,1185.80304043,18988994000,Process Industries,3897542000,4.44581,
GOKEX,GOKALDAS EXPORTS L,21379160166,388.55,7.17142463,6.99435495,525907,204341164.85,368.17779437,367.1694837,357.44883888,268.42154343,11635993000,Process Industries,1411983000,13.9502,
BALPHARMA,BAL PHARMA,1660846877,120.3,7.02846975,7.21925134,220368,26510270.4,112.94809136,112.93155727,113.66076829,102.54095282,2470404000,Health Technology,263779000,7.79637,
PGEL,PG ELECTROPLAST LTD,14282212150,713.65,6.15052804,3.2106443,71598,51095912.7,668.7699977,666.0360028,678.51291327,555.61961387,7032065000,Electronic Technology,629701000,19.2607,
AGARIND,AGARWAL INDUSTRIAL,7205394330,575.25,5.79310345,22.49787053,197904,113844276,502.18412674,496.91848915,488.78193565,388.92791292,9039023000,Distribution Services,1044073000.0000002,3.72465,
GANESHHOUC,GANESH HOUSING CP,17048490826.000002,215.5,5.14759697,8.10132932,159722,34420091,203.80756233,203.0739995,202.12390783,168.15877284,1671532245,Consumer Durables,1073899000,,
INDOCO,INDOCO REMEDIES LTD,36007750231,410.95,5.00830459,7.49411457,215126,88406029.7,384.90613488,382.29702928,391.38817409,399.93071457,12189402000,Health Technology,3015100000,14.365,
PRINCEPIPE,PRINCE PIPES FITTINGS LTD,72378814332,681,4.04094416,3.47185292,340779,232070499,655.10513007,654.83719578,671.8712413,654.98522877,20714860000,Producer Manufacturing,4218979999.999999,11.9895,
