Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
KOTHARIPRO,KOTHARI PRODUCTS,2638197494,107.45,19.98883305,19.05817175,125654,13501522.3,94.26809415,96.89818746,99.1141806,94.78601674,31170500000,Finance,-172300000,,,2-Mar-22
ROSSELLIND,ROSSELL INDIA LTD,4533849720,145.9,17.94664511,12.10142144,446991,65215986.9,131.401158,134.357534,139.5416228,142.451431,3152317000,Electronic Technology,413496000,8.80336,,2-Mar-22
MAANALU,MAAN ALUMINIUM LTD,1867955830,160.45,15.97397904,41.30339058,1402162,224976892.9,128.0607005,125.1476382,123.3223978,120.960232,4028760569,Producer Manufacturing,301800000,6.65265,,2-Mar-22
AEGISCHEM,AEGIS LOGISTICS,59371647858,191.9,13.68483412,-2.3906409,3635989,697746289.1,193.5158682,201.8986613,211.0360979,239.7853345,38419914000,Distribution Services,4914600000,27.6928,,2-Mar-22
SHALPAINTS,SHALIMAR PAINTS,6798392693,141.95,13.37859425,9.10837817,1013148,143816358.6,131.3187627,131.6539438,126.5831092,109.7171497,3255612000,Process Industries,-288200000,180.716,,2-Mar-22
KREBSBIO,KREBS BIOCHEM&INDS,3057291022,158.45,12.65552791,2.52345519,114937,18211767.65,150.5936213,155.4199529,164.2069075,153.9809859,526835000,Health Technology,-287407000,,,2-Mar-22
KIOCL,KIOCL LTD,1.32034E+11,240.55,10.29344337,6.62677305,574165,138115390.8,224.1414663,230.3358837,241.1532642,237.5575613,23623545000,Non-Energy Minerals,4014400000,20.9964,,2-Mar-22
NUVOCO,NUVOCO VISTAS CORP LTD,1.2388E+11,382.05,10.22792845,13.94273785,1670427,638186635.4,358.8137864,384.668937,434.4136988,,73642400000,Non-Energy Minerals,15615170000,,,2-Mar-22
MBAPL,MADHYA BHARAT AGRO P. LTD,6358430233,319.25,9.99138674,21.89767087,50963,16269937.75,268.3886858,250.2741501,220.7192634,170.7663165,1311025000,Process Industries,795013000,,,2-Mar-22
GPIL,GODAWARI POWER,44996683846,351.3,9.98747652,12.38003839,1714518,602310173.4,314.8400783,310.1147404,299.247054,278.5694469,40719185000,Non-Energy Minerals,19919300000,2.78675,,2-Mar-22
AGSTRA,AGS TRANSACT TECH LTD,12015200000,109.85,9.95995996,3.97539044,852888,93689746.8,112.5608469,130.912534,,,,Commercial Services,,,,2-Mar-22
DSSL,DYNACONS SYS SOLUT,2403358914,231.9,8.51661207,11.94786387,351475,81507052.5,205.1442361,203.8980376,192.951801,151.8269866,4359368000,Technology Services,246417000,5.75719,,2-Mar-22
INFOBEAN,INFOBEANS TECHNO. LTD.,13309755178,597.05,8.42640516,14.33358866,220617,131719379.9,543.173496,539.7463426,512.8833535,407.9654953,1803400000,Technology Services,510345000,9.1058,,2-Mar-22
MAITHANALL,MAITHAN ALLOYS LTD,30821854923,1146.2,8.3313643,6.68776469,292575,335349465,1077.964834,1066.698775,1045.212626,970.9761823,15910400000,Producer Manufacturing,8677900000,2.82811,,2-Mar-22
CHEMPLASTS,CHEMPLAST SANMAR LTD,74864882988,510.55,8.15591569,8.42004672,798382,407613930.1,493.4200915,510.9831486,542.8979734,,37958680000,Process Industries,,,,2-Mar-22
DATAPATTNS,DATA PATTERNS INDIA LTD,31835053527,662.45,7.97001059,7.71544715,431871,286092944,635.8733844,660.590411,,,2239500000,Electronic Technology,,,,2-Mar-22
SARDAEN,SARDA ENERGY & MIN,30344441442,911.35,7.935098,15.95521344,189273,172493948.6,828.9906035,829.3024142,821.5418499,721.6402365,21988100000,Non-Energy Minerals,11747700000,5.95526,,2-Mar-22
VISHWARAJ,VISHWARAJ SUGAR IND LTD,3971546903,22.75,7.81990521,5.56844548,9302645,211635173.8,21.53900658,22.15490866,24.30003432,27.25348282,4101001000,Process Industries,779343000,16.9707,8355650000,2-Mar-22
SRHHYPOLTD,SREE RAYALASEEMA H,6764655555,424.55,7.65817167,4.23520746,188831,80168201.05,392.1008521,377.9509777,358.1034559,324.7296666,9101500000,Process Industries,1362799000,2.59167,,2-Mar-22
ABAN,ABAN OFFSHORE,2521382125,46.05,7.21769499,-1.28617363,235933,10864714.65,45.70687003,47.20616085,48.60537904,46.00037211,10694690000,Industrial Services,-5340380000,,,2-Mar-22
IMFA,INDIAN METALS & FE,18263464670,362.25,7.03205791,6.41891892,214094,77555551.5,343.9574248,353.3852815,374.2450098,347.3310311,18127500000,Non-Energy Minerals,7419000000,5.59438,,2-Mar-22
MSPL,MSP STEEL & POWER,4474668117,12.4,6.89655172,4.20168067,2323026,28805522.4,11.87991767,12.35085181,12.52005134,10.97651062,17231344000,Non-Energy Minerals,1513680000,9.25817,,2-Mar-22
VISHAL,VISHAL FABRICS LTD,6873534686,111.5,6.59655832,-3.33766797,236130,26328495,111.6378462,115.2953104,113.7959082,103.5433135,9675400000,Process Industries,1580256000,8.32633,,2-Mar-22
KEI,KEI INDUSTRIES,89132300599,1051.85,6.45177614,1.66731104,342376,360128195.6,1019.847814,1036.910121,1063.566212,916.08745,41788860000,Producer Manufacturing,5583560000,10.4228,,2-Mar-22
KSL,KALYANI STEELS,12740144981,309.85,6.36800549,8.73837515,196542,60898538.7,293.5340537,300.3867509,315.5111826,338.7838982,11792430000,Producer Manufacturing,3455220000,3.54804,,2-Mar-22
SBCL,SHIVALIK BIMETAL CON. LTD,15789311608,436.95,6.32680375,1.34523948,120462,52635870.9,431.370648,437.6894936,420.998668,,2046023000,Producer Manufacturing,668943000,9.06878,,2-Mar-22
ELGIEQUIP,ELGI EQUIPMENT LTD,1.04786E+11,351.55,6.32088311,0,886179,311536227.5,348.3825684,355.2710151,340.4915786,264.7542968,19237680000,Producer Manufacturing,2664600000,31.5758,,2-Mar-22
NHPC,NHPC LTD,2.75736E+11,29.1,6.20437956,3.00884956,7467734,217311059.4,28.6365859,29.14111208,29.92085911,28.822361,84336700000,Utilities,52152600000,11.4045,,2-Mar-22
KRSNAA,KRSNAA DIAGNOSTICS LTD,17139957990,578.4,5.95347133,-2.28079067,125657,72680008.8,581.1390915,608.6618676,654.8464799,,3964560000,Health Services,1369910000,,,2-Mar-22
YAARI,YAARI DIGI INT SER LTD,5494759146,70.75,5.91317365,8.59554873,428891,30344038.25,67.83787774,71.86141617,81.53804507,,1684600000,Distribution Services,-710100000,134.193,,2-Mar-22
PRIMESECU,PRIME SECURITIES,3016327669,102.25,5.84886128,0.5902607,116536,11915806,100.3795161,103.9342678,107.1971631,93.91475247,432100000,Finance,267500000,4.78585,,2-Mar-22
MEDPLUS,MEDPLUS HEALTH SERV LTD,1.21817E+11,1088.9,5.77492836,10.14009002,327979,357136333.1,1036.821422,1060.694294,,,30692690000,Retail Trade,,,,2-Mar-22
HESTERBIO,HESTER BIOSCIENCES,18644922463,2326.05,5.73915811,-1.88547928,20997,48840071.85,2311.427196,2352.832406,2400.669248,2352.507316,2143320000,Health Technology,694350000,24.6317,,2-Mar-22
PENIND,PENNAR INDUSTRIES,4989894107,37.05,5.70613409,2.91666667,2112026,78250563.3,36.55245324,37.88616771,37.36491243,31.79990307,15253500000,Non-Energy Minerals,1661500000,7.86177,,2-Mar-22
PRAJIND,PRAJ INDUSTRIES,62200892739,358.8,5.66926815,2.36804565,1405848,504418262.4,349.409561,362.8772525,368.5026907,329.0907851,13046687000,Producer Manufacturing,1916700000,28.1027,,2-Mar-22
CHENNPETRO,CHENNAI PETRO CP,14965594917,105.9,5.53064275,3.26669917,1075514,113896932.6,103.0040088,104.8605109,107.1783802,111.399701,2.22182E+11,Energy Minerals,16642000000,5.16153,,2-Mar-22
GRAVITA,GRAVITA INDIA LTD,23314103206,355.5,5.31773071,-2.77587857,277456,98635608,353.151164,353.5351399,327.7085664,232.9856404,14067282000,Non-Energy Minerals,1833791000,7.23428,,2-Mar-22
GTPL,GTPL HATHWAY LTD,22295796804,210.35,5.28028028,5.06993007,257034,54067101.9,205.1438002,214.6831421,233.8892038,222.8482663,24661190000,Communications,5145030000,2.68364,,2-Mar-22
AMIORG,AMI ORGANICS LTD,31607329278,914.1,5.27467465,3.14245416,111676,102083031.6,889.7699635,919.4354883,971.1517941,,3362090000,Health Technology,,,,2-Mar-22
RELIGARE,RELIGARE ENTERPRIS,39173554103,129.15,5.12820513,2.2970297,1801290,232636603.5,124.6206196,126.1825672,132.0840734,133.4223022,25081603000,Finance,-6120459000,10.4436,,2-Mar-22
DEEPAKFERT,DEEPAK FERTILISERS,68249580910,594.3,5,10.17797553,646108,383981984.4,554.8779234,550.35925,512.7428638,412.802609,58084900000,Process Industries,11274500000,4.49622,,2-Mar-22
SAREGAMA,SAREGAMA INDIA LTD,75537457018,4094.85,4.99884612,-0.40496169,29753,121834072.1,4102.549568,4255.160105,4498.15421,3836.688196,4328111000,Consumer Services,1700500000,20.2758,91375800000,2-Mar-22
ATGL,ADANI TOTAL GAS LTD,1.74578E+12,1667.9,4.99842619,1.5897186,123179,205450254.1,1640.820212,1685.965933,1714.294823,1433.778473,16956000000,Utilities,8465300000,149.17,,2-Mar-22
SSWL,STEEL STRIPS WHEEL,22604072277,760.85,4.99551508,1.41286238,49038,37310562.3,749.0239813,761.1361087,784.8944598,720.4998915,17417123000,Producer Manufacturing,4558194000,10.0464,,2-Mar-22
RAMASTEEL,RAMA STEEL TUBES,5584844703,348.95,4.99473447,9.78448954,215999,75372851.05,331.1956736,336.7525928,330.1869161,247.0611592,4697530000,Non-Energy Minerals,333451000,10.2305,,2-Mar-22
PANACEABIO,PANACEA BIOTEC LTD,11579453315,198.65,4.99471459,1.22292994,122778,24389849.7,197.8540716,202.9745355,207.8309967,238.902199,6179370000,Health Technology,172700000,22.5484,,2-Mar-22
BCLIND,BCL INDUSTRIES LTD,8739884715,392.05,4.99464381,0.35837706,63815,25018670.75,394.8689949,408.4661099,391.2754443,283.1247803,14272292000,Consumer Non-Durables,1172114000,4.93695,,2-Mar-22
GENESYS,GENESYS INTL,15416121483,518.25,4.9939222,6.76761434,101879,52798791.75,463.4283451,431.3344776,385.1024741,264.596519,795588000,Technology Services,244277000,,,2-Mar-22
MEGASOFT,MEGASOFT LTD,3002440783,43.4,4.95767836,-2.79955207,248763,10796314.2,46.3449659,51.5453163,54.5497337,36.41359233,594022000,Technology Services,-56720000,15.8211,,2-Mar-22
GAEL,GUJARAT AMBUJA EXP,44445187101,203.3,4.95611771,7.88007429,1453733,295543918.9,189.3049149,188.6506169,184.0981353,169.77053,47053000000,Process Industries,6624400000,5.27027,,2-Mar-22
DBREALTY,DB REALTY LTD,23146072699,99.65,4.94997367,6.12353568,114732,11433043.8,99.65077922,98.84251826,84.03729599,50.47135048,468336000,Finance,-653155000,,,2-Mar-22
WELCORP,WELSPUN CORP LTD,37015674246,148.9,4.7116737,1.29251701,886125,131944012.5,149.9236809,158.3785679,165.8781991,152.7800569,63373030000,Producer Manufacturing,6623400000,4.56086,,2-Mar-22
URJA,URJA GLOBAL LTD,7434830741,14.6,4.65949821,0,2763102,40341289.2,15.32583087,17.16082298,18.09616793,12.52244866,1484595154,Utilities,6922000,,,2-Mar-22
ARSHIYA,ARSHIYA LTD,9704208649,38.4,4.63215259,1.58730159,3163694,121485849.6,37.49730775,38.05850612,37.15268486,32.50779597,2280841000,Commercial Services,813859000,29.1454,,2-Mar-22
NEOGEN,NEOGEN CHEMICALS,38042432924,1602.05,4.57928063,3.18165717,57793,92587275.65,1551.324939,1573.187082,1593.391284,1317.863688,3364155000,Process Industries,784695000,34.4468,,2-Mar-22
NDL,NANDAN DENIM LTD,6945490786,150.75,4.54230236,8.57039971,565044,85180383,142.1011344,142.4607879,135.6778694,96.22326514,10882670000,Process Industries,1785203000,8.15283,,2-Mar-22
SHYAMMETL,SHYAM METALICS AND ENGY L,77927150330,319.4,4.51570681,1.75215037,399327,127545043.8,314.3715338,322.1034197,330.9962727,,62790200000,Producer Manufacturing,25633900000,,,2-Mar-22
HSCL,HIMADRI SPECIALITY,22938348587,57.25,4.47080292,4.37556974,8622358,493629995.5,55.77261657,56.50354351,54.81419539,51.34714997,16793112000,Process Industries,1542900000,16.3474,,2-Mar-22
GODREJAGRO,GODREJ AGROVET LTD,89246066513,485,4.44707656,0.34136754,96559,46831115,480.5616389,491.1290097,513.368871,553.7450362,62496900000,Process Industries,6084000000,20.5972,,2-Mar-22
BARBEQUE,BARBEQUE NATION HOSP. LTD,45405280820,1213.7,4.40430108,-4.00980702,91005,110452768.5,1255.431289,1306.56362,1355.672472,1144.234834,5070820000,Consumer Services,1347030000,,,2-Mar-22
REPRO,REPRO INDIA LTD,5297898814,434.45,4.39745284,-4.73632277,63449,27565418.05,441.7300387,461.6068683,494.4783055,488.690291,1374299000,Commercial Services,120106000,,,2-Mar-22
HINDOILEXP,HINDUSTAN OIL EXPL,25635361824,201.95,4.39390023,8.13922356,1487204,300340847.8,193.5682336,197.5915968,198.3161106,170.2386289,1138647000,Industrial Services,696851000,24.9141,,2-Mar-22
AVADHSUGAR,AVADH SUGAR ENERGY,10772912817,561.7,4.3858019,0.21409456,171838,96521404.6,555.2066407,569.7215394,554.6323738,452.8781147,26518605000,Process Industries,3249298000,8.49158,,2-Mar-22
TI,TILAKNAGAR INDUSTR,10409180598,69.85,4.33159074,2.72058824,556567,38876204.95,69.40435837,72.77716247,77.51818072,63.11302557,5473657000,Consumer Non-Durables,965728000,14.9669,,2-Mar-22
RUSHIL,RUSHIL DECOR LTD,7375963722,386.8,4.3009303,1.70917697,32551,12590726.8,377.4594944,376.1936664,367.2765165,307.8654131,3354438484,Producer Manufacturing,532423000,20.2083,,2-Mar-22
JUBLPHARMA,JUBILANT PHARMOVA LTD,63306292305,414.1,4.2941695,-1.20481928,221461,91707000.1,423.1986311,449.566684,501.841798,607.0428206,60985350000,Health Technology,12836000000,8.90589,,2-Mar-22
SAKSOFT,SAKSOFT LTD,9026126300,892.65,4.2754512,2.29773092,38372,34252765.8,879.1094783,908.1813487,943.8540638,834.9709642,3858070000,Technology Services,724234000,4.88332,,2-Mar-22
SHREYAS,SHREYAS SHIP & LO,6385249740,302.9,4.19676643,-0.47642517,105118,31840242.2,297.3030033,291.8241173,280.0661647,249.3392901,5599800000,Transportation,1744100000,5.3812,,2-Mar-22
CAPLIPOINT,CAPLIN POINT LABOR,50558754504,695.05,4.17416067,-4.03175699,172985,120233224.2,715.5412716,745.3712371,780.7521476,753.6427619,10482575000,Health Technology,3804300000,8.26188,,2-Mar-22
FEL,FUTURE ENTERPRISES,5248712940,10,4.16666667,17.64705882,9455336,94553360,8.99671359,9.10753263,9.34483905,9.74044279,14221400000,Process Industries,2477900000,41.807,,2-Mar-22
JINDRILL,JINDAL DRILLING,5512205873,198,4.01891253,6.62358643,337280,66781440,188.5000845,185.3143853,170.6519063,140.9300898,3978553000,Industrial Services,759525000,8.78539,,2-Mar-22
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,2.83605E+11,2681,3.92479891,-0.56744428,57030,152897430,2667.20043,2717.121265,2643.172509,1999.896273,26400587000,Process Industries,10458600000,12.8834,,2-Mar-22
HEIDELBERG,HEIDELBERGCEMENT I,42036735367,193.4,3.92262225,-1.902105,166283,32159132.2,195.9348554,203.8476889,215.8648991,231.1565285,21166700000,Non-Energy Minerals,4681400000,9.98314,,2-Mar-22
DAAWAT,L.T. FOODS LTD,20038276431,65.1,3.91061453,2.35849057,1026526,66826842.6,64.42821565,66.58361321,69.67067047,69.27957466,46433180000,Process Industries,5461515000,6.23994,,2-Mar-22
