Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
GENSOL,GENSOL ENGINEERING LTD,21314600000,1828.6,4.99842095,3.77979569,47930,87644798,1749.37977252,1710.62776162,,,3926500000,Industrial Services,571500000,37.29588801,
JAIBALAJI,JAI BALAJI IND,40401528607,270.35,4.99029126,33.47321649,263361,71199646.35000001,238.33070013,218.1858235,170.67624063,98.14271827,61207790000,Non-Energy Minerals,4018469000,10.0539605,
BIL,BHARATIYA INTL LTD,2471333133,211.45,4.99007473,6.9549823,10480,2215996,200.96329717,200.59420546,202.14083369,201.94767496,7985980000,Consumer Non-Durables,794877000,3.10907616,
WALCHANNAG,WALCHANDNAGAR IND,5205334949,118.9,4.98896247,16.68302257,118498,14089412.2,108.15591334,106.02611868,97.89057736,77.84371308,3221000000,Producer Manufacturing,-323300000,,
KALYANIFRG,KALYANI FORGE,1333145149,385.15,4.98841202,17.24505327,5492,2115243.8,336.88797088,312.41176406,285.55191239,252.97717573,2666738000,Producer Manufacturing,169089000,7.88428076,
ALKALI,ALKALI METALS LTD,1155205230,119,4.98456109,12.31713072,81477,9695763,110.2705718,108.85358029,108.92000799,109.28137953,882327000,Process Industries,90908000,12.70741002,
GEEKAYWIRE,GEEKAY WIRES LTD,2957393433,297.05,4.98320887,23.97745726,70415,20916775.75,262.15972316,257.69933545,249.45529872,182.61693426,3993300000,Non-Energy Minerals,312698840,12.1759116,
GENUSPOWER,GENUS POWER INFRA,63494854350,258.6,4.9725957,10.1362862,2298912,594498643.2,241.03759804,224.21574257,189.04377935,127.58310226,8083855000,Electronic Technology,928062000,68.41660832,
ANIKINDS,ANIK INDUSTRIES,1043531054.9999998,39.2,4.95315154,6.08930701,45839,1796888.8,37.20452124,36.69522564,35.08781378,34.11617941,1181011000,Distribution Services,66914000,15.59510797,
JWL,JUPITER WAGONS LTD,130891922951,343.35,4.95186015,7.296875,3171764,1089025169.4,321.17253703,291.23016906,237.30945853,150.52499267,20682474000,Producer Manufacturing,3188162000,41.055606,
CGPOWER,CG POWER AND INDUS,623349569328,429.35,4.87298742,2.23835928,7965476,3419977120.6000004,415.66263461,412.56061461,399.76891557,337.30641398,69725400000,Producer Manufacturing,10762100000,57.92081186,
