Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
TATAINVEST,TATA INVESTMENT,124406255314,2465.75,0.23577715,1.45031886,30797,75937702.75,2450.9477014,2450.09180586,2414.16298536,2217.77081382,2953170000,Finance,2886500000,43.0993436,
GRINFRA,G R INFRAPROJECTS LTD,124298562324,1285.95,0.22602393,-3.6741573,14179,18233485.05,1279.96921731,1279.91030677,1270.51995289,1226.39662523,94815149000,Industrial Services,24739814000,5.02423188,
GESHIP,GREAT EASTERN SHI,109866459216,771.54999,0.25989215,2.46347809,309959,239148863.35041,766.73356602,766.50719369,756.8753905,675.048514,56904600000,Transportation,31110700000,3.53146857,
PNCINFRA,PNC INFRATECH LTD,88339269773,348.70001,1.23385103,7.17688621,704790,245760280.04790005,336.02520047,335.58142724,334.92586614,312.89183748,79560829000,Industrial Services,15181650000,5.81881876,
CCL,CCL PRODUCTS(IND),83654606498,641.65002,2.04357987,3.995141,260717,167289068.26434,617.40299509,615.84024106,622.16170108,581.61217091,20712160000,Consumer Non-Durables,4176419000,20.03022362,
BBTC,BOMBAY BURMAH,76121147255,1096.8,0.46256011,13.06633795,165644,181678339.2,1034.13851737,1028.13701266,1031.61221423,985.89289758,166229168000,Consumer Non-Durables,14677231000,5.18634252,
GRANULES,GRANULES INDIA,75347906716,310.95001,-0.19257905,3.03181587,949875,295363640.74875003,304.11427373,303.44843827,302.82224048,302.82166207,45119170000,Health Technology,8391403000,8.97917866,
METROPOLIS,METROPOLIS HEALTHC,71522032885,1413.65,1.19908369,5.3390462,187152,264567424.8,1370.07521091,1366.78967934,1371.5061297,1409.28210471,11482102000,Health Services,2827431000,25.29576597,
POLYPLEX,POLYPLEX CORP,38049237141,1203.45,-0.80365974,6.62266324,88868,106948194.6,1188.20756062,1187.7027221,1228.73863977,1421.90345665,76402885000,Process Industries,5957200000,6.38710084,
WOCKPHARMA,WOCKHARDT,35171873604,248.10001,1.68033197,4.5732392,1494331,370743536.04331,240.70723989,240.14532825,233.87287425,221.16980279,26460000000,Health Technology,1210000000,29.06766414,
BANARISUG,BANNARI AMMAN SUG,34155009259,2793.8501,1.55761905,2.69242069,10811,30204313.4311,2745.06767248,2740.87695482,2746.7017581,2748.8146355,25255759100,Process Industries,3125802000,10.92679871,
KSCL,KAVERI SEED COMPAN,32834503394,583.95001,-0.66342947,6.65753607,200167,116887521.65167,560.61109444,558.52249707,553.59488104,531.71217525,10703553000,Process Industries,2829328000,11.60505371,
MSTCLTD,MSTC LTD,29585600641,415.64999,-1.20038504,5.46815008,322094,133878367.87906,404.78813761,403.98579183,391.62894883,335.65496272,7209665000,Retail Trade,1903699000,15.54111267,
SIYSIL,SIYARAM SILK,25445767055,554,2.07277752,4.92424242,141016,78122864,539.12761409,538.63814032,539.18246817,518.35186247,22325055000,Process Industries,3392100000,7.50147904,
SWARAJENG,SWARAJ ENGINES,24967802810,2190.1499,6.58960457,8.82732422,73082,160060534.99179998,2060.80761144,2048.00505049,2028.14295971,1837.81019226,14218214000,Producer Manufacturing,1867200000,13.37178814,
TVSSRICHAK,TVS SRICHAKRA LTD,22618158231,2934.2,-1.33162956,4.49430199,11830,34711586,2909.5881721,2909.53423899,2939.7921483,2852.73471191,29849700000,Consumer Durables,2584400000,8.75180244,
VISHNU,VISHNU CHEMICALS L,22017138794,354.5,5.69469606,6.13772455,604804,214403018,332.94310202,332.53822144,336.0565114,319.90345941,13896212000,Process Industries,2228560000,9.87953602,
WHEELS,WHEELS INDIA LTD,17694669225,743.75,1.15606936,3.13388052,120825,89863593.75,729.34204849,728.76266048,720.940066,647.81553429,46511500000,Producer Manufacturing,2272200000,7.78746115,
EIHAHOTELS,EIH ASSOC HOTELS,14633851682,488.10001,1.81477267,5.10336359,39794,19423451.79794,481.43388438,480.98188005,486.89485939,464.81708082,3370680000,Consumer Services,940364000,15.56190122,
AHL,ABANS HOLDINGS LTD,14251500000,285.39999,0.59921746,5.88017087,73899,21090773.86101,277.81503376,277.36269881,279.05992418,,11640270000,Finance,,,
MADRASFERT,MADRAS FERTILIZERS,12274308677,82.449997,8.20210006,8.13114361,7440549,613473242.728353,76.74524533,76.25013128,75.83739113,68.04983034,2919000000,Process Industries,-7365510000,,
VERANDA,VERANDA LEARNING SOL LTD,11991157127,201.35001,2.93967265,-0.14876272,129905,26156373.04905,198.10601934,198.06234873,194.70443271,208.24205372,1613567000,Commercial Services,-543933000,,
SPECIALITY,SPECIALITY RESTAUR,10535613272,216.75,-2.03389831,6.25,47333,10259427.75,212.35287448,212.0046577,217.17466126,216.16252799,3749730000,Consumer Services,757200000,13.91391082,
DVL,DHUNSERI VENTURES,9500464406,266.45001,-1.75147486,1.58216552,62160,16562532.6216,261.47789516,261.19693825,261.33364886,248.59662019,2033529000,Consumer Non-Durables,321949000,29.50922167,
NAVKARCORP,NAVKAR CORPORATION,9380355270,62.400002,0.08019888,6.75791434,1723599,107552581.047198,60.23505923,60.15557145,59.54089989,57.52784446,4415202000,Transportation,941749000,9.96056834,
APCL,ANJANI PRTLND CEMT,5623798380,198.05,3.58263598,5.93741642,66401,13150718.05,190.09776622,189.81662871,188.35092191,191.8044003,6615000000,Non-Energy Minerals,114900000,48.94515561,
