Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
Maha Rashtra Apx,523384,MAHAPEXLTD,Finance & Investments,139.30,117.13,197.88,0.13,97.37,108.13,0.00,0.00,0.73,-0.14,3.03,1.82,0.01,0.00,2.88,0.45,1.07,2.42,100.00,-19.18,0.48,-0.45,0.84,0.39,0.01,0.00,0.38,0.00,0.38,0.00,0.38,-93.75,0.04,-0.09,1.13,0.62,0.01,0.00,1.03,0.00,0.61,0.42,1.03,-225.00,8.64,-48.14,6.42,-43.15,0.04,0.00,-41.76,0.11,-43.31,1.43,-41.88
Mahalaxmi Rubtec,514450,MHLXMIRU,Textiles - Products,298.00,91.62,320.39,51.88,13.11,35.76,0.00,0.00,70.03,4.98,1.98,6.96,2.01,1.19,3.76,0.96,0.00,2.81,46.58,7.11,65.19,4.19,1.11,5.30,1.99,1.00,2.31,0.73,1.57,0.00,1.57,6.43,66.77,4.75,0.86,5.61,2.09,1.17,2.35,0.48,1.86,0.00,1.86,7.11,267.49,18.72,5.65,22.49,8.44,5.11,10.82,2.37,7.05,1.88,8.44
Mahamaya Steel,513554,MAHASTEEL,Steel - Medium / Small,84.75,137.60,139.13,60.38,10.46,22.81,0.00,0.00,185.77,4.14,0.56,4.71,1.75,0.95,2.00,0.45,-0.01,1.55,18.44,2.23,220.20,4.43,0.81,5.19,1.73,1.42,2.09,0.43,1.62,0.05,1.66,2.01,164.16,2.98,1.01,3.26,1.62,0.50,1.87,0.49,0.84,0.73,1.38,1.82,649.77,13.81,2.97,16.05,6.30,3.20,7.28,1.84,4.91,0.73,5.44
Mahanagar Gas,539957,MGL,Miscellaneous,1189.80,4679.39,11758.51,114.91,6.47,10.24,2.19,158.05,1570.93,478.88,43.71,522.59,65.79,2.47,454.33,115.83,0.00,338.50,42.76,30.48,1537.79,521.27,38.95,560.22,62.04,2.51,495.67,127.27,368.40,0.00,368.40,33.90,1562.66,252.84,25.98,278.82,55.10,2.47,221.25,57.28,163.97,0.00,163.97,16.18,6299.28,1184.19,111.88,1296.07,231.14,9.39,1055.54,265.49,790.05,0.00,790.05
Maheshwari Logi.,,MAHESHWARI,Trading,86.95,173.74,257.34,208.31,7.97,19.44,0.00,0.00,234.43,13.62,0.49,14.11,2.78,6.24,5.09,1.27,0.00,3.82,21.56,5.81,267.54,13.46,0.62,14.08,2.76,6.59,4.73,1.68,3.05,0.00,3.05,5.03,282.47,14.43,0.70,15.13,2.95,6.03,6.15,1.56,4.59,0.00,4.59,5.11,1142.38,50.61,1.86,52.33,11.84,22.51,18.12,4.45,13.56,0.14,13.67
Mahickra Chem.,,MAHICKRA,Dyes And Pigments,104.90,32.98,85.20,14.49,21.57,38.90,0.62,0.53,36.46,0.78,,,,,,,,0.49,,,49.15,1.82,,,,,,,,,1.70,,53.88,0.49,,,,,,,,,1.59,,103.01,2.49,3.57,6.20,0.55,0.95,4.56,1.28,3.38,-0.14,3.28
Mahindra EPC,523754,MAHEPC,Plastics Products,122.55,162.02,341.35,30.91,58.53,270.91,0.00,0.00,57.74,0.59,0.11,0.81,0.78,0.66,-0.74,-0.06,-0.11,-0.68,46.47,1.02,53.25,0.11,0.02,0.29,0.78,0.57,-1.22,-0.41,-0.65,-0.16,-0.81,0.21,26.30,-9.15,0.04,-9.11,0.76,0.59,-10.46,-2.20,-8.26,0.00,-8.26,-34.79,210.37,-13.21,2.55,-10.45,3.08,2.22,-15.96,-3.72,-12.03,-0.21,-12.24
Mahindra Holiday,533088,MHRIL,Hotels,382.50,420.44,7736.20,2594.16,17.64,117.34,0.00,0.00,655.27,135.57,16.90,152.47,83.79,33.28,35.40,13.97,0.00,21.43,100.00,20.69,614.31,83.94,37.63,121.57,81.25,31.60,8.72,7.82,0.18,0.00,0.89,13.66,598.36,116.48,28.83,145.31,70.07,22.70,52.54,11.14,40.86,0.00,41.39,19.47,2516.99,481.20,105.89,588.86,290.00,126.45,170.64,56.83,114.88,-1.77,113.82
Mahindra Life.,532313,MAHLIFE,Construction,535.40,1749.72,8298.50,296.74,-502.70,,0.43,35.57,17.77,-34.91,8.50,-26.41,3.11,0.24,-29.76,-10.83,0.00,-18.93,875.91,-196.45,98.04,-43.11,36.68,-6.43,2.98,4.21,-13.62,-9.35,-4.27,0.00,-4.27,-43.97,69.79,-39.36,30.83,-8.53,3.23,2.49,-14.25,-6.74,-7.51,0.00,-7.51,-56.40,606.61,-110.09,238.87,55.99,12.20,10.91,105.67,2.83,32.02,72.79,102.83
Mahindra Logis.,540768,MAHLOG,Miscellaneous,398.00,520.38,2870.60,716.57,13.18,,0.63,18.00,1364.76,53.57,6.58,60.15,51.79,16.53,-8.17,7.29,0.00,-15.61,100.00,3.93,1293.22,66.63,6.18,72.81,54.46,17.78,0.57,8.87,-8.46,0.00,-8.46,5.15,1326.33,67.59,3.35,70.94,43.55,10.74,16.65,4.74,11.30,0.00,11.30,5.10,5128.29,260.02,15.59,275.72,189.50,51.57,34.54,7.12,24.67,-0.11,24.63
