Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,179.35,321.57,633.92,107.19,7.16,13.01,0.42,2.65,199.70,29.95,0.15,31.66,3.48,4.19,22.43,6.38,-1.56,16.05,47.26,15.00,190.56,26.39,0.97,27.36,3.47,4.06,19.83,4.89,14.91,0.00,14.93,13.85,187.78,23.35,1.00,24.35,3.34,4.90,16.11,4.16,11.87,0.00,11.95,12.43,701.69,85.79,2.97,88.76,13.80,17.76,57.20,15.24,41.82,0.00,41.96
360 ONE,542772,360ONE,Finance & Investments,647.60,3265.20,23235.56,7901.17,21.46,33.36,2.66,2457.09,554.60,317.84,62.47,380.31,13.65,139.91,226.75,40.84,0.00,185.91,100.00,57.31,573.00,353.20,7.89,361.09,12.57,124.65,223.87,40.29,183.58,0.00,183.58,61.64,504.80,316.42,18.91,335.33,11.62,98.19,225.52,51.15,174.37,0.00,174.37,62.68,2058.89,1291.96,4.89,1296.84,46.31,400.25,850.29,192.40,657.88,0.01,657.89
3B Blackbio,532067,,Pesticides / Agrochemicals - Indian,781.65,208.35,586.87,1.34,13.64,22.55,0.32,1.87,19.18,7.79,2.75,10.54,0.24,0.04,10.26,2.67,0.00,7.58,64.86,40.62,14.28,6.44,2.96,9.40,0.19,0.02,9.19,1.98,7.21,0.00,7.21,45.10,17.31,9.18,1.96,11.14,0.24,0.07,10.83,2.52,8.31,0.00,8.31,53.03,61.84,29.14,7.23,36.37,0.86,0.20,35.31,9.37,25.94,0.00,25.94
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,46.70,425.48,785.32,103.62,22.93,,0.00,0.00,210.28,34.78,-178.28,36.16,7.12,2.65,-153.27,0.89,-179.66,-154.16,100.00,16.54,194.38,-3.50,-2.87,-3.47,5.36,2.36,-14.09,1.50,-13.00,-2.90,-15.59,-1.80,177.13,29.67,-6.54,30.87,5.01,2.37,15.75,-1.36,24.85,-7.74,17.11,16.75,729.11,-36.88,73.35,43.06,22.80,9.29,4.38,3.01,3.01,-6.59,1.37
3M India,523395,3MINDIA,Diversified - Large,31469.45,2085.88,35423.02,23.80,48.30,72.81,0.32,957.95,975.42,178.12,14.73,192.85,12.61,0.74,179.50,45.70,0.00,133.80,39.80,18.26,976.85,158.32,12.84,171.16,13.66,0.96,156.54,39.87,116.67,0.00,116.67,16.21,924.98,114.63,34.02,148.65,14.25,0.38,134.02,34.17,99.86,0.00,99.86,12.39,3733.44,559.79,64.22,623.66,56.12,7.10,560.79,144.66,415.88,0.35,416.14
5Paisa Capital,540776,5PAISA,Finance & Investments,512.50,500.33,1594.21,280.30,2.19,27.02,0.00,0.00,96.90,33.54,0.04,33.58,2.24,6.47,24.87,5.83,0.00,19.04,100.00,34.61,84.55,25.59,0.03,25.62,2.31,3.84,19.47,4.94,14.54,0.00,14.54,30.27,79.55,20.02,0.67,20.69,2.09,4.53,14.07,3.33,10.75,0.00,10.75,25.17,338.25,86.56,1.12,87.68,8.79,20.80,58.09,14.52,43.57,0.00,43.57
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,468.75,3244.18,2154.04,5.52,3.91,16.89,0.43,9.22,158.77,67.77,36.29,104.06,7.51,0.25,96.30,16.43,0.00,79.28,100.00,42.68,115.07,26.23,32.76,58.99,7.66,0.19,51.14,12.16,37.24,0.00,37.24,22.79,44.32,-31.22,20.87,-10.35,3.03,0.13,-13.51,-0.58,-10.66,0.00,-13.65,-70.44,290.07,-26.77,70.34,84.92,23.39,0.63,19.55,41.36,-44.56,-41.35,-26.64
7Seas Enter.,540874,,Computers - Software - Medium / Small,31.04,2.63,57.92,3.98,53.91,79.35,0.00,0.00,2.86,0.52,0.00,0.52,0.07,0.22,0.23,0.00,0.00,0.23,100.00,18.18,2.75,0.32,0.00,0.32,0.07,0.00,0.25,0.00,0.25,0.00,0.25,11.64,1.62,0.21,0.00,0.21,0.02,0.00,0.19,0.00,0.19,0.00,0.19,12.96,5.52,0.57,0.04,0.61,0.08,0.00,0.53,0.10,0.43,0.00,0.43
A B B,500002,ABB,Electric Equipment,4838.95,5368.50,102558.19,41.77,56.88,84.84,0.11,116.54,2769.19,438.53,77.69,515.35,30.29,0.88,485.05,122.18,0.87,362.87,39.18,15.84,2508.63,348.72,74.85,423.75,29.23,1.39,392.95,97.32,295.81,-0.18,295.63,13.90,2119.74,210.95,87.85,257.83,26.87,1.56,270.37,72.81,168.73,40.97,197.56,9.95,8567.53,967.71,505.80,1147.18,104.70,15.40,1353.41,337.18,764.16,326.33,1016.23
A B Infrabuild,,ABINFRA,Construction,48.00,45.66,212.24,22.50,17.37,35.37,0.00,0.00,107.94,13.27,1.02,11.18,0.39,2.25,9.10,2.28,0.56,7.00,18.58,13.47,,,,,,,,,,,,,43.49,1.98,,,,,,,,,0.73,,123.09,12.69,2.77,13.39,0.74,4.45,10.27,2.73,6.00,2.07,7.54
A K Spintex,539300,,Textiles - Processing,132.25,34.43,66.55,10.97,4.76,9.66,0.00,0.00,27.96,3.87,0.00,3.87,1.55,0.21,2.11,0.44,0.00,1.67,79.94,13.84,30.32,4.85,0.04,4.89,1.50,0.21,3.18,0.94,2.23,0.00,2.23,16.00,28.69,5.15,0.06,5.21,1.80,0.23,3.18,0.75,2.43,0.00,2.43,17.95,116.43,16.29,0.12,16.41,6.14,0.84,9.43,2.10,7.32,0.00,7.32
A-1 Acid,542012,,Trading,368.65,46.82,423.95,6.15,61.67,302.82,0.41,1.72,47.20,-0.11,1.15,1.04,0.90,0.15,-0.01,0.03,0.00,-0.04,13.96,-0.23,58.97,-0.21,1.61,1.40,0.89,0.22,0.29,0.11,0.18,0.00,0.18,-0.36,86.11,1.01,0.41,1.42,0.96,0.35,0.11,0.10,0.02,0.00,0.02,1.17,330.60,4.30,6.29,10.61,4.00,1.83,4.76,1.15,3.62,-0.02,3.61
A.K.Capital Serv,530499,,Finance & Investments,749.95,876.54,494.97,2659.88,10.69,5.60,1.60,7.92,124.43,74.51,0.08,74.59,2.15,45.76,26.68,6.83,0.00,19.84,100.00,59.88,116.22,75.83,0.23,76.06,1.94,44.16,29.96,7.49,22.29,0.00,22.47,65.25,97.16,59.26,0.02,59.28,1.97,28.74,28.57,8.06,20.33,0.00,20.52,60.99,406.51,256.09,0.30,256.39,7.89,130.56,117.94,29.52,87.63,0.00,88.41
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,10.70,35.45,186.50,261.77,20.85,,0.00,0.00,101.96,-21.28,22.65,-14.17,1.35,2.33,-2.31,1.18,15.54,-3.49,61.57,-20.87,94.10,0.38,1.89,2.27,1.29,1.85,-0.87,0.71,-0.87,0.00,-1.57,0.40,96.54,-0.27,1.21,0.94,2.28,2.87,-4.21,1.05,-5.27,0.00,-5.27,-0.28,349.44,1.45,-85.51,38.03,8.83,13.29,-106.18,19.87,15.51,-122.09,-126.05
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,89.50,26.39,114.96,0.00,21.12,35.81,0.56,0.64,5.50,1.36,0.23,1.59,0.21,0.00,1.38,0.34,0.00,1.03,100.00,24.73,3.39,0.89,0.12,1.01,0.19,0.00,0.82,0.21,0.62,0.00,0.62,26.25,3.66,1.25,0.09,1.34,0.04,0.00,1.30,0.33,0.98,0.00,0.98,34.15,19.28,3.55,0.51,4.06,0.21,0.01,3.84,0.97,2.87,0.00,2.87
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,10.55,54.60,106.82,15.58,8.13,24.67,0.00,0.00,21.24,3.90,0.10,4.00,1.84,0.48,1.68,0.43,0.00,1.26,87.62,18.36,18.30,3.47,0.06,3.53,1.80,0.35,1.38,0.35,1.04,0.00,1.04,18.96,26.52,3.61,0.23,3.84,1.72,0.39,1.73,0.44,1.29,0.00,1.29,13.61,92.58,13.42,1.41,14.91,7.02,1.68,6.13,1.60,4.60,-0.08,4.54
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,47.45,118.92,119.29,37.37,15.41,50.76,0.00,0.00,57.83,1.84,0.84,2.68,1.27,0.41,1.00,0.22,0.00,0.78,4.60,3.18,50.96,1.34,0.70,2.04,0.89,0.42,0.73,0.00,0.72,0.00,0.72,2.63,76.26,4.27,-0.94,3.33,0.42,0.59,2.32,0.21,2.12,0.00,2.12,5.60,418.90,7.72,2.73,10.45,1.57,2.87,6.01,2.24,3.77,0.00,3.77
Aarnav Fashions,539562,,Textiles - Products,29.92,174.64,126.37,119.36,14.83,,0.00,0.00,97.08,6.88,0.06,6.94,1.71,2.80,2.43,0.61,0.00,1.82,36.62,7.09,78.67,5.24,0.06,5.30,1.78,3.19,0.33,0.09,0.23,0.00,0.23,6.66,100.01,7.31,0.07,7.38,1.95,2.84,2.59,0.70,1.88,0.00,1.88,7.31,396.78,19.77,0.24,20.09,7.63,11.44,0.94,0.56,0.44,-0.08,0.38
Aaron Industries,,AARON,Engineering,290.85,32.32,304.62,19.69,31.09,53.35,0.34,1.00,14.00,2.17,0.02,2.19,0.35,0.42,1.42,0.22,0.00,1.20,36.14,15.50,15.52,2.78,0.01,2.79,0.33,0.24,2.22,0.62,1.61,0.00,1.61,17.91,14.10,2.31,0.02,2.33,0.28,0.27,1.78,0.49,1.28,0.00,1.28,16.38,55.85,9.54,0.06,9.60,1.15,1.01,7.44,2.03,5.40,0.00,5.40
Aartech Solonics,542580,AARTECH,Electric Equipment,137.00,30.17,145.14,3.31,33.98,53.96,0.36,0.53,15.42,0.41,0.63,0.69,0.16,0.17,0.36,0.00,0.00,0.92,28.95,0.66,14.49,1.27,0.80,1.17,0.01,0.14,1.02,0.28,0.73,0.00,1.77,5.80,7.20,-0.17,0.31,-1.26,0.43,0.20,-1.89,0.17,-2.05,0.00,0.09,-31.72,21.69,1.32,1.72,2.43,0.38,0.31,2.35,0.49,1.37,0.61,1.86
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,517.60,1115.26,4796.38,500.08,17.76,29.25,0.19,9.26,577.54,65.42,0.74,66.16,11.78,7.55,46.83,12.25,0.00,34.58,32.23,11.33,591.63,71.91,0.65,72.56,11.75,7.77,53.04,13.50,39.54,0.00,39.54,12.15,624.83,70.18,0.09,70.27,11.92,8.27,50.08,13.50,36.58,0.00,36.58,11.23,2497.97,286.05,2.23,288.28,47.29,36.18,204.81,52.00,152.81,0.00,152.81
Aarti Industries,524208,AARTIIND,Chemicals,608.90,5029.00,22076.54,3207.00,25.51,49.44,0.41,90.62,1454.00,233.00,0.00,233.00,93.00,58.00,82.00,-9.00,0.00,91.00,41.27,16.02,1414.00,200.00,0.00,200.00,89.00,40.00,71.00,1.00,70.00,0.00,70.00,14.14,1685.00,267.00,0.00,267.00,73.00,44.00,150.00,26.00,124.00,0.00,124.00,15.85,6618.58,1088.97,0.86,1089.60,310.45,168.28,611.10,65.87,545.05,0.23,545.23
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,497.70,1657.52,4505.40,207.14,13.72,23.78,0.00,18.12,439.80,87.99,0.98,88.97,18.14,3.89,66.94,15.14,0.00,51.80,42.64,20.01,458.36,84.87,0.48,85.35,17.20,4.17,63.98,16.89,47.09,0.00,47.09,18.52,531.17,89.77,1.27,91.04,16.57,5.63,68.84,17.75,51.09,0.00,51.09,16.90,1945.23,342.44,1.93,344.82,62.54,21.05,260.78,67.28,193.82,-0.45,193.49
Aarti Surfactant,543210,AARTISURF,Chemicals,634.05,178.00,508.24,138.78,10.96,27.24,0.00,0.00,143.86,16.26,0.03,16.29,3.85,3.66,8.78,4.03,0.00,4.74,25.61,11.30,148.70,14.80,0.03,14.83,3.95,3.32,7.56,2.31,5.25,0.00,5.25,9.95,151.77,8.77,0.09,8.86,4.06,3.74,1.06,0.74,0.32,0.00,0.32,5.78,601.29,47.75,0.33,48.08,15.49,14.79,17.80,5.10,12.70,0.00,12.70
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.65,29.84,68.10,327.02,-12.03,,0.00,0.00,24.81,-6.16,2.39,-3.77,2.75,11.74,-18.26,-5.29,0.00,-12.97,12.41,-24.83,10.37,-10.53,0.17,-10.36,6.20,10.46,-27.02,-8.43,-18.59,0.00,-18.59,-101.54,55.05,-11.21,0.44,-10.77,6.61,11.25,-28.63,-11.26,-17.37,0.00,-17.37,-20.36,260.90,-28.16,6.93,-27.26,25.28,45.90,-92.41,-27.36,-66.82,6.03,-65.05
Aarvi Encon,,AARVI,Miscellaneous,141.45,111.19,209.12,10.51,12.48,17.38,1.41,2.96,102.29,3.18,0.31,3.49,0.30,0.35,2.84,0.23,0.00,2.61,100.00,3.11,100.87,4.14,0.12,4.26,0.28,0.31,3.67,0.35,3.32,0.00,3.32,4.10,112.65,5.41,-0.50,5.77,0.29,0.44,4.18,0.09,4.93,-0.86,4.09,4.80,436.52,18.58,0.45,19.85,1.23,2.13,15.67,1.16,15.26,-0.82,14.51
Aashka Hospitals,543346,,Healthcare,48.00,94.34,112.32,25.03,22.73,,0.00,0.00,10.80,0.83,,,,,,,,0.42,,,7.41,-0.50,,,,,,,,,-2.10,,11.54,0.74,,,,,,,,,-0.47,,18.94,0.33,3.12,3.45,2.93,3.09,-2.57,0.00,-2.57,0.00,-2.57
Aatmaj Health,,AATMAJ,Healthcare,41.50,47.78,93.79,10.60,8.62,15.87,0.00,0.00,8.57,3.87,,,,,,,,2.29,,,,,,,,,,,,,,,13.42,4.58,,,,,,,,,2.90,,23.74,9.83,0.03,9.86,0.69,0.90,8.27,2.37,5.91,0.00,5.91
AAVAS Financiers,541988,AAVAS,Finance - Housing,1529.05,3513.56,12088.31,11199.56,16.01,25.97,0.00,0.00,496.66,366.99,0.78,367.77,7.63,203.60,156.54,34.82,0.00,121.72,100.00,73.89,466.81,334.55,0.04,334.59,7.28,186.63,140.68,30.97,109.71,0.00,109.71,71.67,394.75,285.40,0.33,285.73,6.92,141.02,137.79,30.97,106.82,0.00,106.82,72.30,1608.30,1166.93,1.84,1168.49,28.72,591.05,549.00,118.92,429.85,0.28,430.07
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,122.85,45.11,126.44,92.47,11.39,37.97,0.00,0.00,111.02,11.32,0.04,5.78,0.80,0.70,4.28,0.95,0.00,1.98,37.57,18.82,97.66,7.17,,,,,,,,,1.35,,71.44,3.26,,,,,,,,,0.58,,169.10,10.44,0.56,11.00,4.92,3.50,2.58,0.64,1.93,0.00,1.93
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,54.70,-23068.51,319.87,15222.63,-125.51,,0.00,0.00,63.34,-40.21,11.70,-28.51,22.83,264.85,-316.19,1.52,0.00,-317.71,90.15,-63.48,104.57,-42.21,14.21,-28.00,21.16,276.04,-325.20,8.05,-333.25,0.00,-333.25,-40.37,94.88,-14.81,103.23,-4.89,12.33,270.36,-194.27,13.21,-294.50,93.31,-207.53,-15.61,396.73,-131.10,225.28,3.17,47.11,1109.58,-1062.51,28.24,-1184.12,91.01,-1090.75
ABans Enterprise,512165,,Trading,168.25,181.88,234.70,112.12,14.47,21.89,0.06,0.00,437.41,4.42,0.43,4.85,0.46,2.69,1.70,-0.62,0.00,2.32,1.70,1.01,279.88,6.59,1.21,7.80,0.28,2.13,5.39,1.79,3.32,0.00,3.59,2.35,590.96,5.14,0.57,5.71,0.34,0.86,4.51,1.51,2.80,0.00,3.01,0.87,1867.21,14.54,9.93,24.69,1.38,4.70,18.39,0.66,16.87,-0.22,17.73
Abans Holdings,543712,AHL,Finance & Investments,319.95,875.56,1608.20,716.49,16.33,21.28,0.00,0.00,359.42,32.55,6.42,38.97,0.16,14.01,24.80,1.43,0.00,23.37,13.71,9.06,251.50,33.19,3.66,36.85,0.17,12.56,24.12,3.26,19.27,0.00,20.85,13.20,251.60,16.87,3.01,20.01,0.14,1.81,17.93,-0.86,17.35,-0.13,18.79,6.71,1163.44,85.83,0.46,86.42,0.65,9.68,75.96,5.66,64.89,-0.13,70.29
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,22902.25,3108.93,48678.40,91.54,30.53,45.01,0.79,690.62,1494.14,380.88,55.51,436.39,17.84,3.13,415.42,102.48,0.00,312.94,45.50,25.49,1479.00,355.00,56.00,411.00,17.17,3.34,390.49,100.25,290.24,0.00,290.24,24.00,1379.48,343.30,33.53,376.83,17.47,3.97,355.39,89.87,265.52,0.00,265.52,24.89,5348.73,1205.89,153.89,1360.04,69.97,15.99,1273.82,324.41,949.60,-0.26,949.41
ABC India,520123,,Miscellaneous,147.76,42.76,80.05,22.10,16.33,28.79,0.34,0.27,46.13,1.46,0.17,1.63,0.26,0.56,0.81,0.12,0.00,0.69,64.60,3.16,36.21,1.32,0.25,1.49,0.25,0.54,0.78,0.00,0.69,0.08,0.77,3.65,33.99,0.91,0.62,1.06,0.24,0.50,0.79,0.00,0.32,0.47,0.79,2.68,145.17,4.93,2.56,5.65,1.14,2.28,4.07,-0.19,2.43,1.84,4.26
Abhinav Capital,532057,,Finance & Investments,129.10,67.67,89.39,38.41,10.56,10.06,0.00,0.00,3.03,2.79,0.00,2.79,0.00,1.01,1.78,0.23,0.00,1.55,100.00,92.08,6.60,6.31,0.00,6.31,0.00,0.26,6.05,0.77,5.28,0.00,5.28,95.61,2.04,1.88,0.00,1.88,0.00,0.31,1.57,0.37,1.20,0.00,1.20,92.16,13.13,12.54,0.11,12.65,0.00,0.49,12.16,2.49,9.68,0.00,9.68
ABM Knowledge,531161,,Computers - Software - Medium / Small,118.15,213.61,236.32,0.00,12.59,18.48,1.06,2.56,19.95,3.25,1.45,4.70,0.29,0.07,4.34,0.94,0.00,3.40,100.00,16.29,17.41,2.27,1.80,4.07,0.31,0.08,3.68,0.63,3.06,0.00,3.06,13.04,17.03,4.51,1.26,5.77,0.31,0.01,5.45,1.37,4.08,0.00,4.08,26.48,65.65,13.34,4.94,18.28,1.23,0.32,16.73,3.85,12.88,0.00,12.88
ACC,500410,ACC,Cement - North India,2202.75,14819.03,41381.49,406.82,15.54,31.62,0.42,173.89,4434.73,549.28,211.78,761.06,212.80,28.86,519.40,131.52,0.00,387.88,50.82,12.39,5201.11,770.88,79.83,850.71,200.05,25.11,625.55,159.41,466.10,0.00,466.14,14.82,3987.34,16.38,56.42,89.05,173.45,17.72,-118.37,-31.05,-71.07,-16.25,-87.32,0.41,22210.18,1924.93,196.27,2282.97,841.32,77.28,1202.60,317.39,1004.13,-161.77,885.21
Accel,517494,,Computers - Software - Medium / Small,22.57,64.03,129.94,72.80,9.07,56.50,1.33,1.73,39.06,3.25,0.82,4.07,1.76,1.76,0.55,0.22,0.00,0.33,68.92,8.32,36.65,4.50,0.13,4.63,1.83,1.80,1.00,0.01,0.98,0.00,0.98,12.28,34.49,4.51,0.31,4.82,1.85,1.72,1.25,0.29,0.97,0.00,0.97,13.08,156.64,18.23,4.32,22.77,7.30,7.09,8.16,5.32,2.88,-0.22,2.84
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1397.30,270.04,2087.14,14.64,10.68,17.89,4.65,97.04,127.29,48.44,2.02,50.46,7.81,0.36,42.29,10.77,0.00,31.53,100.00,38.05,122.50,49.19,3.20,52.39,8.44,0.42,43.53,11.42,32.11,0.00,32.11,40.16,115.26,51.73,1.76,53.49,8.98,0.61,43.90,10.79,33.11,0.00,33.11,44.88,469.36,185.50,20.80,194.40,33.79,2.07,170.44,43.72,117.87,11.90,126.72
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,286.75,44.20,603.41,22.78,28.18,46.38,0.00,1.04,58.81,8.71,1.12,9.83,1.02,0.53,8.28,1.23,0.00,7.06,32.61,14.81,,,,,,,,,,,,,,,,,,,,,,,,,204.19,19.37,2.78,22.15,4.13,2.53,15.49,2.48,13.01,0.00,13.01
Accuracy Shippi.,,ACCURACY,Miscellaneous,9.40,109.85,141.52,98.95,8.78,,0.27,0.00,207.37,2.45,0.66,3.11,3.20,2.74,-2.83,-0.75,0.00,-2.08,79.57,1.18,142.14,2.72,0.29,3.01,3.02,3.02,-3.03,0.70,-3.72,0.00,-3.72,1.91,238.12,4.38,0.85,5.23,3.07,2.98,-0.82,-0.89,0.07,0.00,0.07,1.84,877.17,35.31,1.46,36.24,12.34,12.41,12.02,3.80,7.86,0.53,8.22
Achyut Healthcar,543499,,Trading,57.90,10.12,81.16,0.00,192.93,324.64,0.00,0.00,1.48,0.03,,,,,,,,0.26,,,0.81,-0.29,,,,,,,,,-0.01,,1.89,0.02,,,,,,,,,0.24,,2.70,-0.27,0.59,0.32,0.01,0.00,0.31,0.08,0.23,0.00,0.23
Acknit Indus.,530043,,Textiles - Products,279.15,73.42,84.86,30.55,6.87,10.55,0.54,0.46,56.03,3.98,0.04,4.02,0.84,0.65,2.53,0.61,0.00,1.92,38.30,7.10,49.85,3.39,0.13,3.52,0.82,0.59,2.11,0.55,1.56,0.00,1.56,6.80,63.29,4.31,0.01,4.32,0.81,0.76,2.75,0.68,2.07,0.00,2.07,6.81,238.47,18.55,0.00,18.60,3.32,3.10,12.13,3.11,9.06,-0.05,9.02
Acme Resources,539391,,Finance & Investments,33.50,127.14,86.25,11.51,6.06,7.10,0.00,0.00,3.19,0.24,0.01,0.25,0.00,0.10,0.15,0.04,0.00,0.11,100.00,7.52,2.16,2.01,0.00,2.01,0.00,0.04,1.97,0.50,1.46,0.00,1.46,93.06,1.46,1.45,0.01,1.46,0.00,0.06,1.40,0.58,0.82,0.00,0.82,99.32,28.87,16.60,0.14,16.74,0.00,0.22,16.52,4.10,12.42,0.00,12.42
Action Const.Eq.,532762,ACE,Engineering,836.25,1044.49,9966.61,60.75,28.42,42.39,0.12,11.91,673.24,89.18,16.97,106.15,5.43,3.81,96.91,22.97,0.00,73.94,29.74,13.25,651.61,81.65,16.24,97.89,5.21,3.14,89.54,21.97,67.55,0.00,67.57,12.53,491.83,45.04,5.96,51.00,3.97,2.13,44.90,11.04,33.86,0.00,33.86,9.16,2159.68,220.92,41.12,242.18,18.00,10.29,233.75,60.76,157.04,19.86,172.98
Active Clothing,541144,,Textiles - Products,96.96,66.88,150.41,83.37,13.33,40.54,0.00,0.00,76.86,6.62,0.14,6.76,2.64,2.02,2.10,0.29,0.00,1.81,23.99,8.61,44.65,4.03,0.09,4.12,0.82,2.29,1.01,0.26,0.74,0.00,0.74,9.03,75.10,4.28,0.13,4.41,1.03,1.99,1.39,0.28,1.10,0.00,1.10,5.70,200.49,13.41,0.36,13.77,3.53,7.21,3.03,0.77,2.26,0.00,2.26
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1076.20,11897.54,120003.30,36030.81,24.61,91.25,0.00,0.00,3673.87,1350.14,92.59,1442.73,432.05,640.81,369.87,85.78,0.00,284.09,60.78,36.75,3663.91,1269.30,108.34,1377.64,418.88,615.67,343.09,161.11,175.06,0.00,181.98,34.64,3251.48,1163.62,198.08,1361.70,397.84,713.91,249.95,55.48,194.47,0.00,194.47,35.79,13292.72,4517.81,1583.12,6101.13,1607.74,2781.47,1711.72,431.12,1256.48,-0.20,1280.60
Adani Enterp.,512599,ADANIENT,Trading,2941.25,36671.65,335454.76,57144.64,32.69,128.75,0.04,136.80,22517.33,2430.12,460.70,2978.82,756.96,1342.84,791.02,397.80,-88.00,333.34,41.73,10.79,25438.45,2524.00,371.49,2895.49,713.86,1103.11,1078.52,360.36,673.93,0.00,676.93,9.92,38175.23,1869.35,266.23,2135.58,531.39,933.98,670.21,231.31,432.30,0.00,432.30,4.90,136977.76,8827.98,828.04,10012.78,2436.14,3969.98,3249.90,1040.96,2664.09,-356.76,2421.60
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1531.80,7933.00,242522.79,57378.00,36.33,166.39,0.00,0.00,2220.00,1699.00,353.00,2068.00,474.00,1165.00,413.00,119.00,-16.00,371.00,100.00,76.53,2162.00,2081.00,178.00,2309.00,451.00,1393.00,415.00,142.00,354.79,-50.00,323.00,96.25,1584.00,866.00,100.00,966.00,298.00,498.00,170.00,24.00,149.00,0.00,149.00,54.67,7792.00,4970.00,667.00,5870.00,1300.00,2911.00,1426.00,453.00,1132.15,-233.00,973.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,1074.00,48693.40,232030.72,50060.34,18.76,29.33,0.47,1080.08,6646.41,3663.98,-103.89,4015.25,974.47,520.10,2065.52,303.89,-455.16,1761.63,100.00,55.13,6247.55,3689.33,383.68,4073.01,949.58,632.69,2490.74,371.36,2114.72,0.00,2119.38,59.05,5210.80,2890.61,441.13,3331.74,854.30,577.05,1900.39,162.58,1677.48,0.00,1737.81,55.47,20851.91,10947.13,327.88,12488.07,3423.24,2362.64,5489.13,96.38,6291.87,-1213.06,5392.75
Adani Power,533096,ADANIPOWER,Power Generation And Supply,535.45,40509.32,206788.18,32367.23,10.65,10.04,0.00,0.00,12990.58,5171.39,1945.10,7116.49,1004.48,888.44,5223.57,-1370.60,0.00,6594.17,47.72,39.81,11005.54,3514.23,7103.47,10617.70,934.59,883.49,8799.62,40.20,8759.42,0.00,8759.42,31.93,7043.77,947.78,1402.22,2350.00,833.03,818.09,698.88,3.35,695.53,0.00,695.53,13.46,38773.30,10096.34,4215.54,14350.46,3303.68,3333.50,7674.70,-3051.94,10765.22,-38.58,10726.64
Adani Total Gas,542066,ATGL,Miscellaneous,1026.25,3235.73,112835.16,1356.42,115.09,197.61,0.02,27.50,1095.59,279.93,14.87,294.80,37.62,27.28,229.90,57.22,0.00,172.68,36.84,25.55,1056.06,247.74,10.02,257.76,32.75,23.69,201.32,51.10,150.22,0.00,150.22,23.46,1115.50,226.21,30.75,256.96,27.43,21.31,208.22,48.20,160.02,0.00,160.02,20.28,4378.19,869.87,54.20,923.51,113.10,78.43,732.54,186.05,546.07,0.56,546.49
Adani Wilmar,543458,AWL,Solvent Extraction,363.00,7961.87,47210.51,3834.01,31.70,257.47,0.00,0.00,12267.15,143.67,10.54,207.72,95.74,220.23,-161.76,-31.53,-53.51,-130.73,9.97,1.17,12928.08,130.40,66.10,196.50,93.51,170.67,-67.68,-7.97,-78.92,0.00,-78.92,1.01,14150.03,253.87,59.17,313.04,90.10,163.36,59.58,27.71,48.76,0.00,48.76,1.79,58184.81,1663.73,258.57,1925.08,358.46,774.92,788.92,235.35,584.07,-2.78,582.12
