Name,Current,Qty,BidQty,Bid,Offer,OffQty,High,Low,Open,P.Close,Trd/OI,Value,Time,% Chg,
HEROMOTOCO,2500.00,2082230,    15,2497.00,2500.00,    10,2528.60,2370.00,2390.00,2407.25,  5233, 51290.5,15:29:58,  3.85,
HINDNATGLS_T,21.10, 505129,291363,21.10,0.00,     0,21.10,19.60,20.80,20.10,   411,   105.8,15:28:57,  4.98,
HINDOILEXP,195.00,1705806,  1000,195.00,195.30,   667,196.00,181.50,181.80,182.25,  2189,  3257.4,15:30:00,  7.00,
HUHTAMAKI,188.90, 362853,     3,187.15,188.00,    55,188.90,173.55,175.50,176.70,  1016,   663.3,15:29:56,  6.90,
IDBI,47.30,17322771,  5749,47.30,47.35,  4202,48.10,44.80,45.00,45.25,  3066,  8122.9,15:30:00,  4.53,
IIFL,391.50,4342237,  2445,391.50,391.60,  2327,392.35,349.55,353.55,353.50,  3426, 16476.8,15:29:59, 10.75,
INDORAMA,84.65,2121887,  1000,84.20,84.60,   225,84.75,75.95,76.40,77.15,  1801,  1733.6,15:29:57,  9.72,
INEOSSTYRO,879.45, 390854,   110,878.00,879.45,    16,887.50,846.00,849.25,848.65,  1898,  3400.6,15:30:00,  3.63,
INFOBEAN,750.00,  51497,     3,745.15,750.00,   195,754.85,700.05,715.00,718.45,   633,   373.6,15:29:57,  4.39,
JAGSNPHARM,325.00, 111956,    44,321.40,325.00,    75,334.90,300.00,307.20,306.00,   605,   353.3,15:29:58,  6.21,
JAICORPLTD,153.10,24533252,604808,153.10,0.00,     0,153.10,126.15,127.40,127.60,  4438, 35130.8,15:29:59, 19.98,
JINDALPHOT,227.60,  97481,  5595,227.60,0.00,     0,227.60,193.80,200.10,206.95,   617,   212.9,15:28:50,  9.98,
JSLL      ST,185.95, 316000, 17000,185.95,0.00,     0,185.95,177.10,177.10,177.10,   181,   581.4,15:14:18,  5.00,
JUSTDIAL,910.40,2994314,   416,910.00,910.40,   494,938.00,833.05,850.00,856.05,  3605, 26891.3,15:29:57,  6.35,
KABRAEXTRU,439.95, 114472,    20,439.00,439.95,    48,453.80,415.45,424.40,426.00,   667,   495.5,15:30:00,  3.27,
KALPATPOWR,368.05, 797918,    17,368.00,368.05,   344,369.65,350.15,351.40,349.75,  2300,  2912.3,15:29:57,  5.23,
KAMATHOTEL,92.45, 919752,   200,92.15,92.45,   272,93.40,83.15,86.90,86.90,  1846,   826.6,15:29:57,  6.39,
KNRCON,281.00, 287163,   120,280.90,281.00,   895,281.90,269.55,271.50,272.75,  2935,   789.3,15:30:00,  3.02,
KOPRAN,274.00, 165076,   350,272.55,273.90,   107,274.70,258.00,261.15,261.15,   939,   438.4,15:29:58,  4.92,
KPITTECH,583.90,10366268,    50,583.80,583.90,   945,594.00,505.30,505.30,521.40,  5306, 58770.8,15:30:00, 11.99,
KRISHIVAL SM,115.55, 636000, 12000,110.00,111.00,  3000,115.65,104.65,110.50,110.15,    85,   698.0,15:29:41,  4.90,
LALPATHLAB,2799.85, 432930,    73,2799.00,2799.45,    43,2810.00,2695.50,2718.30,2718.30,  4331, 11997.9,15:29:59,  3.00,
LGBBROSLTD,653.00, 287896,    25,651.00,653.00,   516,655.00,620.00,620.00,625.20,  1794,  1843.7,15:30:00,  4.45,
MADRASFERT,57.95,1779721,  6392,57.55,57.95,  1480,58.80,53.75,55.45,55.80,  1984,  1011.9,15:29:59,  3.85,
MAHLOG,510.50,2529835,     6,510.20,510.25,   424,547.00,475.55,475.60,475.60,  3527, 13145.6,15:29:57,  7.34,
MANAKSIA,86.15, 226024,   506,85.65,86.15,  1266,86.90,80.10,83.00,83.50,   563,   189.8,15:29:49,  3.17,
MANAKSTEEL,54.35,2265316,  3550,54.30,54.35,  4797,55.30,45.50,46.10,46.10,   971,  1204.7,15:29:59, 17.90,
MARATHON,147.00, 117030,   445,145.50,147.00,    93,154.40,140.05,140.95,142.40,   738,   172.3,15:29:56,  3.23,
MAXVIL,111.00, 149251,  1019,110.00,110.95,   105,111.00,105.75,106.40,107.00,   516,   163.2,15:29:56,  3.74,
MMFL,842.00,  23969,     8,825.20,842.00,    30,845.65,816.55,826.30,817.30,   494,   199.3,15:30:00,  3.02,
MMP,204.50,  55499,   146,204.65,204.80,   100,207.00,191.10,193.10,193.10,   197,   111.6,15:30:00,  5.90,
MOL,128.50,2530956,    29,128.10,128.15,    40,129.70,119.60,122.00,124.30,  2229,  3167.7,15:29:59,  3.38,
NAHARPOLY,536.00,  29913,    24,535.00,536.00,  2175,550.00,501.45,517.00,517.85,   469,   154.6,15:30:00,  3.50,
NAHARSPING_T,550.00,  46731,   200,538.00,550.00,   100,550.00,505.10,520.10,529.35,   496,   241.7,15:30:00,  3.90,
NAVKARCORP,71.40,13723450,   899,71.40,71.50,    80,71.80,62.60,66.50,65.30,  3808,  9390.3,15:30:00,  9.34,
NBVENTURES,163.95,3084378,   820,163.60,163.80,   205,168.95,153.45,153.45,156.90,  3463,  5102.9,15:29:58,  4.49,
NDL,56.35, 580520, 41855,56.35,0.00,     0,56.35,54.65,54.75,53.70,   633,   324.7,15:25:25,  4.93,
OMAXE,103.90,5266672,  1000,103.80,104.00,  8748,109.40,93.30,93.30,92.65,  3089,  5405.4,15:30:00, 12.14,
PEARLPOLY,32.00, 489547,  1767,31.90,32.00,   442,32.70,30.30,31.20,29.75,   918,   155.2,15:29:58,  7.56,
PENIND,41.95,2041549,   359,42.00,42.25,  1453,43.00,39.30,40.00,40.15,  1124,   853.3,15:30:00,  4.48,
PGEL,819.95,  81924,     7,813.00,819.95,    92,828.00,751.00,760.55,772.55,   822,   653.8,15:29:57,  6.14,
RIIL,1131.65,8346744,190735,1131.65,0.00,     0,1131.65,930.00,938.00,943.05,  5158, 87910.9,15:29:57, 20.00,
ROML,91.20, 399703, 31519,91.20,0.00,     0,91.20,83.00,83.50,82.95,   669,   359.3,15:29:14,  9.95,
RUCHI,1104.00,14464358,   172,1104.00,1104.10,    10,1138.50,1040.00,1040.10,1035.80,  5668,157255.3,15:30:00,  6.58,
SCHAEFFLER,2238.60, 625889,     7,2238.60,2240.00,    62,2277.95,2072.25,2148.00,2098.80,  3464, 13669.7,15:29:57,  6.66,
SHANTIGEAR,205.20, 795444,   323,205.50,206.00,   925,212.40,188.65,191.90,191.90,  1582,  1635.1,15:29:57,  6.93,
SHIVAMAUTO,35.00, 490078,  2862,35.00,0.00,     0,35.00,31.80,31.80,33.35,   603,   167.3,15:28:33,  4.95,
SIYSIL,679.15, 448862,    14,679.90,680.00,  2686,695.00,620.00,626.45,631.55,  1970,  2981.4,15:30:00,  7.54,
SRHHYPOLTD,480.00,  44612,    25,475.40,480.00,   268,481.00,456.65,461.30,457.20,   447,   209.4,15:30:00,  4.99,
SUMEETINDS,11.70,3135087,147541,11.70,0.00,     0,11.70,10.60,10.90,10.65,   835,   361.5,15:28:34,  9.86,
TARSONS,733.55,  78389,    10,733.00,736.00,   102,736.00,698.00,704.00,709.15,  1425,   559.4,15:29:58,  3.44,
TV18BRDCST,74.65,46008180, 13340,74.65,74.75,  4049,76.40,71.65,73.00,72.45,  4358, 34317.1,15:30:00,  3.04,
VAKRANGEE,36.00,6370815,  2181,35.90,36.00,  7778,37.00,34.00,34.80,34.85,  1966,  2270.6,15:30:00,  3.30,
VARROC,415.10, 688239,   420,415.10,416.00,    25,417.05,390.20,400.65,400.65,  1419,  2756.4,15:29:58,  3.61,
WALCHANNAG_T,65.90, 204418,    50,65.20,65.90,   290,66.00,61.10,61.10,63.05,   373,   131.7,15:29:46,  4.52,
