Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
TV18BRDCST,TV18 BROADCAST LTD.,104233093223,66.05,8.63487021,6.87702438,2668829,176276155.45,61.7505305,61.44878787,57.56025339,46.60665836,44976200000,Consumer Services,10631000000,8.26236,
DYNPRO,DYNEMIC PRODUCTS LTD.,6449852303,606.2,7.2920354,7.4822695,25070,15197434,563.38293024,561.6878566,573.41136099,547.5638246,2019349000,Process Industries,433514000,18.2926,
SHEMAROO,SHEMAROO ENTERTAIN,3231968322,127,6.81244743,18.52543164,199199,25298273,114.92808878,114.85305106,118.71968954,120.82993109,3111139000,Consumer Services,382400000,29.5265,
DYNPRO,DYNEMIC PRODUCTS L,6449852303,605.5,6.63027208,8.01891,204502,123825961,563.94223131,561.81274516,573.21686401,547.25979347,2019349000,Process Industries,433514000,18.2926,
DALMIASUG,DALMIA BHARAT SUGA,33909524144.000004,442,5.99520384,8.04204351,367866,162596772,414.18551096,413.08825282,414.58953221,381.68485174,24959700000,Non-Energy Minerals,4432300000,6.98348,
DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,33909524144.000004,441.35,5.34669757,7.69888013,52074,22982859.9,414.62203272,413.22038468,414.50376597,381.77674241,24959700000,Non-Energy Minerals,4432300000,6.98348,
KOTHARIPET,KOTHARI PETROCHEM,5469772459,97.75,5.1640667,11.65048544,829573,81090760.75,88.80345718,88.73930015,84.89889072,62.4915384,2280340000,Process Industries,482039000,3.79386,
MHRIL,MAHINDRA HOLIDAYS,41038294965,213.8,4.44553004,2.51738192,269501,57619313.8,207.81529966,207.55499525,207.23451606,200.53949926,16526862000.000002,Consumer Services,2715471000,25.924,
TIPSINDLTD,TIPS INDUSTRIES,27297729907,2189.25,4.27731072,12.71430778,5807,12712974.75,2046.72529145,2037.9755283,1995.96162182,1514.62005763,905300000,Consumer Services,908383000,10.2698,
SOLARINDS,SOLAR INDUSTRIES I,208398588074,2403.85,4.25458094,4.88917008,44876,107875172.6,2313.60043654,2310.73618652,2336.92585497,2109.02887871,24545100000,Process Industries,6489900000,24.0607,
JKPAPER,JK PAPER LTD.,37827543876,231.55,3.69458128,2.91111111,75229,17419274.95,225.49930522,225.24737829,222.97139449,209.23414535,27311700000,Process Industries,8897200000,8.60669,
JKPAPER,JK PAPER LTD,37827543876,230.9,3.44982079,2.80498664,983412,227069830.8,225.40023837,225.27784954,223.04312618,209.23797746,27311700000,Process Industries,8897200000,8.60669,
MINDTREE,MINDTREE LTD.,658836527234,4133.75,3.41872599,5.93926192,75002,310039517.5,3930.39305472,3925.71935725,4069.19484641,3719.41353287,79678000000,Technology Services,20499000000,19.4289,766139000000
ROSSELLIND,ROSSELL INDIA LTD,5214569461,146.95,3.37671474,0.71967101,112896,16590067.2,137.9412067,137.0768264,139.80421352,142.37356092,3152317000,Electronic Technology,413496000,8.80336,
