Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ADANITRANS,ADANI TRANSMISSION,3217359750122,2889.35,0.00692245,16.03815261,752850,2175247147.5,2662.67998267,2506.45475646,2372.58247565,2068.07815336,111915500000,Utilities,42061700000,84.1616423,2931700000000
ADANIENT,ADANI ENTERPRISES,2719985565619,2405.25,0.92946163,5.21653543,1169788,2813632587,2328.41868668,2275.66000987,2200.4973975,1891.20777329,693829500000,Distribution Services,39877200000,78.97634903,2646260000000
BLUEDART,BLUE DART EXPRESS,192910477585,8170.5,0.44996865,0.72053303,10975,89671237.5,7969.03966444,7762.06840952,7403.13323973,6692.26599456,44104900000,Transportation,9997900000,19.96946135,169115000000
MAHSEAMLES,MAHARASHTRA SEAML,44645199256,672,0.91605346,3.53593714,186747,125493984,656.44738041,641.19975795,612.76499049,531.30909642,42002900000,Non-Energy Minerals,6122000000,7.292584,
BLS,BLS INTERNATIONAL,43069978092,225.95,7.56962628,10.81412457,5500920,1242932874,209.81394077,204.50987976,191.44085021,144.61744405,8498897000.000001,Technology Services,1069260000,37.35264397,
BUTTERFLY,BUTTERFLY GANDHIMA,28493749822,1611.25,1.31099095,18.56144224,575287,926931178.75,1367.94279166,1289.64736176,1274.63541906,1174.87255746,9961818000,Consumer Durables,516070000.00000006,56.02838534,25260900000
GANESHHOUC,GANESH HOUSING CP,25516450333,317.1,3.93313668,22.19653179,104279,33066870.9,288.89795397,278.14193206,270.78158511,226.97828368,3836103000,Finance,1342384000,20.60231076,
SAFARI,SAFARI IND (INDIA) LTD,21909800335,1038.85,6.25990897,11.42872466,31780,33014653,975.4263354,954.4251279,935.49592296,884.2114494,7056824000,Consumer Durables,459431000,47.68898994,
PCJEWELLER,PC JEWELLER LTD,20035637546,47.45,9.96523754,56.85950413,13324796,632261570.2,36.25365757,31.59318038,26.90718469,24.55415009,16061300000,Consumer Durables,-957300000,-20.92931949,
KKCL,KEWEL KIRAN CLOTHI,19565995636,336.75,5.94620104,14.15254237,823193,277210242.75,303.44659035,286.09351598,262.61399054,228.79302309,6076100000,Consumer Non-Durables,998900000,16.76533751,
INSECTICID,INSECTICIDES INDIA,17697107297,932.5,4.09689663,4.18994413,81154,75676105,895.44182966,870.57196808,815.98699536,719.62952857,15039580000,Process Industries,1696768000,10.42989218,
LUMAXTECH,LUMAX AUTO TECHNOL,14091604389,232.3,12.30360164,12.05981669,2238920,520101116,205.24970672,193.66600995,181.1539079,167.66107563,15207372000,Producer Manufacturing,1512535000,9.43826185,11586900000
RAJMET,RAJNANDINI METAL LTD,8407760000,458.3,0.47133618,12.57676247,47519,21777957.7,427.5894591,417.94831492,403.94936599,300.48678904,10282518000,Non-Energy Minerals,180218000,46.65327548,
GRPLTD,GRP LTD,2207199506,1851.25,11.03946737,29.82117812,68911,127571488.75,1543.91170894,1456.85941249,1395.88220216,1265.98092371,3884237000,Producer Manufacturing,242088000,12.62879823,
GLOBAL,GLOBAL EDUCATION LTD,1878265306,186.45,1.05691057,23.39510258,28295,5275602.75,173.72894751,160.01624379,133.51639143,89.9176701,412733000,Commercial Services,184712490,10.13552633,
