Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
SALONA,SALONA COTSPIN,1288544889,289.05,19.9875467,28.35257549,110861,32044372.05,244.57146937,241.4887398,246.11499122,214.75842171,2249062953,Process Industries,351380000,11.9892,
WENDT,WENDT (INDIA),10687099609,6323.6,18.57935794,23.3776876,15318,96864904.80000003,5373.67232771,5217.55508905,5115.12588629,4691.96779226,1361184000,Producer Manufacturing,389300000,24.9228,
GANESHBE,GANESH BENZOPLAST LTD,6625688457,121.65,14.17175035,14.3864598,1765727,214800689.55,108.38818981,105.38212506,101.7896345,,2702710000,Process Industries,624930000,4.65876,
ARMANFIN,ARMAN FINANCIAL SE,8363785591,1121.1,13.93292683,9.61087212,258615,289933276.5,1003.54197933,963.45014094,902.47296095,831.84606785,1932607000,Finance,616983000,11.5438,
NECLIFE,NECTAR LIFESCIENCE,6380224798,32.35,13.50877193,22.53787879,7117514,230251577.9,28.07636031,27.60331569,28.16898392,28.59224262,15443440000,Health Technology,1386420000,11.6224,
CREST,CREST VENTURES,5405457382,214.8,12.60812582,19.66573816,172618,37078346.4,188.24429755,182.79202067,173.30018261,144.24529738,544872438,Finance,106746000,262.724,
HINDCOMPOS,HINDUSTAN COMPOSIT,4260118246,322.1,12.22996516,17.85583608,104546,33674266.6,288.08818419,283.73840387,288.73815634,298.50790582,1858809000,Producer Manufacturing,337000000,10.841,
SURYODAY,SURYODAY SMALL FIN BK LTD,12086173803,127.4,12.09854817,35.82089552,1623779,206869444.60000005,108.90681077,108.60323609,117.83031855,162.2378096,8756166000,Finance,,,35524300000
MANGCHEFER,MANGALORE CHEMICAL,11578929987,109.2,11.65644172,24.09090909,5370867,586498676.4,94.02382218,87.81996589,81.00601693,74.61748425,11134257000,Process Industries,1959008000,,
LASA,LASA SUPERGENERICS,1999061717,54.65,10.62753036,17.0235546,511411,27948611.15,48.2389612,47.04862046,50.49931946,61.91493244,2021186000,Process Industries,137857000,5.4433,
