Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
SIEMENS,SIEMENS INDIA LTD,912023932739,2647.85,3.41952115,11.97877019,729837,1932498900.45,2469.92538125,2420.87978105,2380.32648785,2286.51911404,135742000000,Producer Manufacturing,15426000000,55.96051684,794747000000
VBL,VARUN BEVERAGES,513988607629,821,3.22499529,5.79896907,1495285,1227628985,788.05493883,773.56363637,742.67480478,649.72303981,86801490000,Consumer Non-Durables,18040200000,29.722978,
ABB,ABB INDIA LTD,500527572235,2517,6.43831272,10.39715783,1036892,2609857164,2346.95647893,2318.62872247,2278.95492635,2113.54530985,69340000000,Producer Manufacturing,6366100000,74.45952345,
BLUEDART,BLUE DART EXPRESS,185319913853,7969.5,1.99654444,4.17647059,80598,642325761,7645.72994443,7452.18551969,7189.48905457,6592.88379001,44104900000,Transportation,9997900000,18.53588392,
VOLTAMP,VOLTAMP TRANSFORME,41827991742,3069.7,6.35784076,11.93888342,149751,459690644.7,2838.74912685,2667.06152916,2382.82796707,1979.22192372,11272090000,Producer Manufacturing,1388464000,30.12537001,
ELECON,ELECON ENGINEERING,30434240894,291.05,7.20073665,8.64128406,3100653,902445055.65,268.49027764,258.22055635,231.50319872,184.44834811,12023052000,Producer Manufacturing,2464398000,12.50806886,16530599999.999998
AUTOAXLES,AUTOMOTIVE AXLES,29055773102,1990.1,3.20221951,26.35555556,243727,485041102.7,1769.43104219,1694.80518689,1632.29419655,1493.43132251,14906190000,Producer Manufacturing,1346770000,21.57441367,
HUBTOWN,HUBTOWN LTD,5586115652,72.5,-4.85564304,18.85245902,605263,43881567.5,66.21575004,61.90810929,58.7073408,50.28021838,1902800000,Finance,-596200000,-20.14007993,
DANGEE,DANGEE DUMS LTD,3922260000,400.9,4.92017796,6.25496952,71691,28740921.9,384.3180531,372.66095359,349.61267791,272.9928795,205623000,Consumer Non-Durables,41933000,93.53635561,
IMAGICAA,IMAGICAAWORLD ENT LTD,2083492643,22,-4.96760259,15.4855643,3099707,68193554,19.74104847,17.81183011,16.02790482,13.2437543,720441000,Consumer Services,323128000,6.44788642,
GLOBAL,GLOBAL EDUCATION LTD,1793768786,167.4,-4.99432463,17.06293706,61865,10356201,153.83900848,141.11971212,119.26833142,83.59856747,412733000,Commercial Services,184712490,9.67807746,
