Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
POLICYBZR,PB FINTECH LTD,3.98886E+11,926.25,4.43091493,2.82526643,337890,312970612.5,890.2457126,895.3043208,995.2551979,8866620000,Technology Services,,,,9-Feb-22
SONACOMS,SONA BLW PRECISION FRGS L,3.65659E+11,648.05,3.62168212,-4.08495523,995602,645199876.1,660.7698451,678.7297949,695.6689128,15513300000,Producer Manufacturing,5958390000,,,9-Feb-22
AARTIIND,AARTI IND LTD,3.55181E+11,1009.75,3.10936383,-0.07916481,709530,716447917.5,1002.903809,1010.298042,1004.67532,44639900000,Process Industries,18500000000,26.8262,,9-Feb-22
POLYCAB,POLYCAB INDIA LTD,3.53762E+11,2440.8,3.04168865,-2.36409456,247301,603612280.8,2467.475269,2489.095754,2465.512604,88564580000,Producer Manufacturing,12075360000,17.7863,3.64436E+11,9-Feb-22
BHARATFORG,BHARAT FORGE,3.36674E+11,747.9,3.38678463,-0.70366437,656286,490836299.4,736.8238853,737.4225268,737.0775785,62872240000,Producer Manufacturing,16208140000,36.3333,3.77983E+11,9-Feb-22
OBEROIRLTY,OBEROI REALTY LTD,3.30969E+11,938.05,3.11074471,-1.76458268,723669,678837705.4,929.9866303,925.7837201,909.9638413,20525795000,Finance,12528300000,21.7937,,9-Feb-22
OFSS,ORACLE FIN SERVICE,3.09682E+11,3723.6,3.78649571,-0.50102209,114845,427636842,3648.491872,3719.287233,3917.393236,49839370000,Commercial Services,25364330000,9.17975,,9-Feb-22
MINDAIND,MINDA INDUSTRIES,2.92832E+11,1058,3.08374336,-4.59443618,442172,467817976,1075.846816,1090.891073,1061.603832,63737400000,Producer Manufacturing,9114800000,22.2777,,9-Feb-22
ATUL,ATUL LTD,2.75926E+11,9635.4,3.27884667,-0.30677544,24564,236683965.6,9548.276271,9564.865184,9407.858676,36959700000,Process Industries,9605600000,22.3967,,9-Feb-22
RAJESHEXPO,RAJESH EXPORTS,2.46025E+11,864.05,3.70259241,3.74617278,163923,141637668.2,832.2044803,830.1648072,796.6741852,2.58306E+12,Consumer Durables,12206130000,14.3512,1.62361E+11,9-Feb-22
PHOENIXLTD,PHOENIX MILLS,1.62725E+11,976.45,3.5581716,-3.4890042,182935,178626880.8,974.8195482,978.1187774,984.1552565,10732928000,Industrial Services,6662750000,34.6154,,9-Feb-22
CHAMBLFERT,CHAMBAL FERTILISER,1.62392E+11,404.1,3.52247983,0.14869888,1796604,726007676.4,412.0648524,421.0087557,412.2756787,54391700000,Process Industries,22347700000,,,9-Feb-22
BLUEDART,BLUE DART EXPRESS,1.54405E+11,6708.6,3.2060552,-1.36007411,12979,87070919.4,6695.208745,6738.345116,6686.199068,32881300000,Transportation,9563100000,20.4127,,9-Feb-22
METROBRAND,METRO BRANDS LTD,1.53958E+11,594.6,4.83074753,-0.6848171,192902,114699529.2,587.1007405,569.6651314,,8000266000,Retail Trade,,,,9-Feb-22
APLLTD,ALEMBIC PHARMACEUT,1.43737E+11,753.65,3.02802461,-2.5347559,130943,98685191.95,752.6694702,764.103334,778.3049153,52832800000,Health Technology,11999400000,13.611,1.60377E+11,9-Feb-22
GLENMARK,GLENMARK PHARM,1.36866E+11,501.75,3.46427467,-0.22867369,966188,484784829,493.1326468,495.9075759,503.087902,1.08581E+11,Health Technology,22172460000,8.0362,1.72078E+11,9-Feb-22
MEDPLUS,MEDPLUS HEALTH SERV LTD,1.34117E+11,1188.25,5.6550927,6.99653325,170311,202372045.8,1150.971969,1136.519583,,30692690000,Retail Trade,,,,9-Feb-22
MOTILALOFS,MOTILAL OSWAL FINA,1.33916E+11,940.4,3.26689727,2.14522348,163123,153400869.2,916.5974334,918.2435609,921.4905307,28938300000,Finance,19638700000,5.52002,,9-Feb-22
LAXMIMACH,LAKSHMI MACHINE,1.18438E+11,11691.95,5.55540509,5.01782939,33681,393796568,11064.49102,10708.61608,9986.461515,17184231000,Producer Manufacturing,2004044000,84.3573,,9-Feb-22
CREDITACC,CREDITACCESS GRAME,1.13226E+11,757.65,3.96569468,15.81320697,584316,442707017.4,679.5042007,647.4837626,621.8649114,24660700000,Finance,10841200000,9.70065,,9-Feb-22
NETWORK18,NETWORK 18 MEDIA,87629595328,87.75,4.96411483,2.15366705,1753634,153881383.5,85.1787021,85.86510354,85.36624439,47051100000,Consumer Services,10920100000,11.3422,,9-Feb-22
SUNCLAYLTD,SUNDARAM CLAYTON,80189866021,4199.3,5.54850385,11.00889541,21602,90713278.6,3927.310045,3890.320473,3911.701856,2.02987E+11,Producer Manufacturing,29365800000,7.81475,1.5916E+11,9-Feb-22
MMTC,MMTC,77324998856,53.95,4.6556741,-5.01760563,10948409,590666665.6,53.56881849,51.82872876,48.40092277,3.00015E+11,Distribution Services,,,,9-Feb-22
RHIM,RHI MAGNESITA INDIA LTD,65952142583,423.85,3.46637373,-3.54989191,89917,38111320.45,425.1137317,419.7000317,397.4845885,13614038000,Producer Manufacturing,2401282000,17.3717,56856800000,9-Feb-22
CCL,CCL PRODUCTS(IND),62516474312,485.2,3.24502607,-4.8813958,376117,182491968.4,477.0125332,463.1264107,437.6686148,12424804000,Consumer Non-Durables,3319981000,11.8658,,9-Feb-22
MINDACORP,MINDA CORP LTD,45425090179,198.15,4.12506569,-1.58927241,684696,135672512.4,197.9667077,196.4846275,185.9699304,23386000000,Producer Manufacturing,2758000000,12.1653,,9-Feb-22
INGERRAND,INGERSOLL RAND,45312709110,1495.25,4.19497578,3.71436499,98468,147234277,1433.3464,1395.22599,1310.591074,6127335000,Producer Manufacturing,1458600000,17.8161,28040400000,9-Feb-22
JKPAPER,JK PAPER LTD,39834960099,243.2,3.4893617,3.93162393,2558030,622112896,232.5310907,226.1654778,220.3175354,27311700000,Process Industries,7935900000,8.60669,64017700000,9-Feb-22
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,39116170869,383.65,4.86538199,-3.10645283,843603,323648291,386.9666685,394.3566237,,2507930000,Technology Services,,,,9-Feb-22
GLOBUSSPR,GLOBUS SPIRITS LTD,38818532443,1394.15,3.43126345,-10.05483871,228332,318329057.8,1468.812223,1485.72397,1423.974359,12302643000,Consumer Non-Durables,3412886000,4.07241,39286800000,9-Feb-22
SOMANYCERA,SOMANY CERAMICS LD,34607037460,839.35,3.31733136,-5.42535211,19162,16083624.7,851.5051314,865.2205702,861.746973,16459029000,Producer Manufacturing,2433400000,10.9069,,9-Feb-22
TEGA,TEGA INDUSTRIES LTD,32427294825,540.45,10.46499745,3.91270909,862850,466327282.5,519.5844061,536.7641146,,7936430000,Distribution Services,,,,9-Feb-22
ITDC,INDIA TOURISM DEV,31970544428,390.15,4.58383595,1.15374644,79113,30865936.95,383.3228367,381.8658782,380.1413425,1768681000,Consumer Services,,,34128600000,9-Feb-22
SARDAEN,SARDA ENERGY & MIN,30800465114,882.2,3.45353269,-3.72674197,95252,84031314.4,871.6322111,851.5623247,821.2491718,21988100000,Non-Energy Minerals,11747700000,5.95526,,9-Feb-22
SEAMECLTD,SEAMEC LTD,29048061628,1212.25,5.82253066,15.39193756,64029,77619155.25,1103.803415,1094.697551,1090.921614,2567950000,Industrial Services,1008900000,15.6151,31459200000,9-Feb-22
IFCI,IFCI LTD,28893995217,15,6.38297872,-0.99009901,8349141,125237115,15.02193015,15.35537867,15.2950607,17620000000,Finance,-3614400000,8.60483,1.18388E+11,9-Feb-22
PFOCUS,PRIME FOCUS,27845119704,96.95,4.6411225,15.0059312,615248,59648293.6,86.89142556,80.38076899,75.28450961,25298600000,Consumer Services,4938075000,9.32151,61046500000,9-Feb-22
