Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
JSL,JINDAL STAINLESS,142593186066,278.95001,2.87664403,6.14536553,953749,266048293.08749005,267.8868421,263.68938486,246.81289101,191.82230371,211311100000,Non-Energy Minerals,22733000000,7.68915172,
JSLHISAR,JINDAL STAINLESS (,119512715546,515.29999,1.73741165,6.59908992,254535,131161882.95465,492.70099895,483.7603997,453.52331112,358.86241438,150113600000,Non-Energy Minerals,16322500000,7.96798992,
SONATSOFTW,SONATA SOFTWARE,107949531988,801.70001,3.98858546,15.51041302,2437499,1954142972.67499,730.67323309,696.77593949,643.21748731,577.01997198,55533700000,Technology Services,5606300000,18.50094215,
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,91129341636,73.599998,1.23796566,15.17996197,5689399,418739755.021202,67.98708368,64.18903457,59.81395491,53.98679296,39975323000,Finance,,,88228100000
PGHL,PROCTER & GAMBLE HEALTH L,81106243968,5050.6499,3.36877655,10.88144676,67619,341519895.5881,4740.08811528,4618.09749754,4413.67275039,4351.91282733,11144100000,Health Technology,2812000000,28.84290326,
GPPL,GUJARAT PIPAVAV PO,52767467011,109.2,0.09165903,6.17403986,3635055,396948006,104.23181485,101.16568992,97.39588815,91.84239633,7435380000,Transportation,5048820000,8.8814727,
IONEXCHANG,ION EXCHANGE (INDIA) LTD,49663507143,3396.5,0.16810192,4.50769231,18669,63409258.5,3306.10808637,3179.46637805,2948.04625141,2357.40006852,15768677000,Producer Manufacturing,2436200000,18.48850962,
TEGA,TEGA INDUSTRIES LTD,42298344732,666.40002,4.27163837,4.76340842,128515,85642398.5703,640.50053079,633.06416899,613.25472268,559.94441241,9420320000,Distribution Services,2365420000,17.9119373,
KIRLOSIND,KIRLOSKAR IND LTD,23202951436,2252.8,-3.95429643,2.39534101,10551,23769292.8,2218.87220587,2158.73585331,2064.00106903,1808.9771425,37799200000,Non-Energy Minerals,7519300000,6.67936529,
ZENTEC,ZEN TECHNOLOGIES,21618769096,272.85001,0.16520559,8.53222787,1594466,435050064.04466,256.04134311,240.34697181,219.38361901,199.61647329,697524000,Technology Services,254394000,82.52906946,15598000000
KRISHANA,KRISHANA PHOSCHEM LTD,16372474713,546.34998,-1.09522806,7.506881,44555,24342623.3589,522.19652337,500.46050859,464.53247119,373.9349767,2083099000.0000005,Process Industries,527708999.99999994,34.65348462,
FOSECOIND,FOSECO(INDIA),15156343887,2290.8999,-3.15367153,11.76757086,13192,30221551.4808,2144.55774764,2077.46637249,2014.6638148,1861.15475948,4067351000,Process Industries,627444000,24.1556918,
OSWALSEEDS,SHREEOSWAL S AND CHE LTD,5911250000,372,-4.06189555,5.68181818,16367,6088524,361.69868965,340.06787734,295.76267233,194.67703569,2405169000,Process Industries,,,
SPECTRUM,SPECTRUM ELECTRICA,4486040000,311.5,4.98820003,29.79166667,16000,4984000,272.35253701,240.6898699,179.57447318,,2513012000,Electronic Technology,,,
TARMAT,TARMAT LTD,1501589317,71.699997,1.0570825,13.44936055,287722,20629666.536834,64.84034258,61.78984491,58.05433288,55.91582877,1810084000,Industrial Services,32911000,46.71515047,
