Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ITC,ITC LTD,3369794465176,284.35,3.96709324,6.85832394,35165665,9999356842.75,272.36163969,270.09848685,265.29092977,243.55924205,603922200000,Consumer Non-Durables,206584100000,15.5228058,2927640000000
VBL,VARUN BEVERAGES,513533914965,794,0.43640503,4.6113307,951574,755549756,775.57150011,763.60946733,735.20133643,645.11796924,86801490000,Consumer Non-Durables,18040200000,29.69777358,
TVSMOTOR,TVS MOTOR CO,399880815486,860.45,2.19728012,10.59768638,3263584,2808150852.8,807.8223938,778.74758279,729.48692765,656.52003198,240747500000,Consumer Durables,27546300000,19.89487211,445388000000
JAMNAAUTO,JAMNA AUTO IND,48711712736,124.9,2.25133033,11.51785714,6199390,774303811,115.83371203,112.81835768,110.303809,102.05524151,17178753000,Producer Manufacturing,2262870000,22.25407016,
VOLTAMP,VOLTAMP TRANSFORME,41599497857,2962.9,3.07890342,17.24738331,86606,256604917.4,2715.70533311,2555.85521528,2306.3125633,1948.68092984,11272090000,Producer Manufacturing,1388464000,29.96080407,
INSECTICID,INSECTICIDES INDIA,17054350187,881.35,2.35164325,5.74085183,60255,53105744.25,842.27175072,820.17471615,775.86982334,701.03752514,15039580000,Process Industries,1696768000,10.05107957,
SHALPAINTS,SHALIMAR PAINTS,12269655384,165.45,-2.73368607,37.07539354,765934,126723780.3,146.40960338,139.89678537,136.88590196,124.79836363,3581000000,Process Industries,-273500000,-44.86162846,
KOHINOOR,KOHINOOR FOODS,4709937922,116.8,-4.96338487,15.47207118,451293,52711022.4,104.09294707,87.79810156,59.73838639,27.3171045,985700000,Process Industries,500000,9419.875844,
DANGEE,DANGEE DUMS LTD,4095220000,398.35,-0.15039479,4.63619648,50549,20136194.15,379.18659626,366.59582902,344.50614146,269.44461988,205623000,Consumer Non-Durables,41933000,97.66103069,
IMAGICAA,IMAGICAAWORLD ENT LTD,1802421940,21,5,41.41414141,84614,1776894,17.55217492,16.20608816,15.21547826,12.96490821,720441000,Consumer Services,323128000,5.57804319,
GLOBAL,GLOBAL EDUCATION LTD,1550459684,159.9,4.99015102,33.25,41694,6666870.6,140.15037077,130.8452477,112.73861513,80.95255862,412733000,Commercial Services,184712490,8.360846,
