Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
MAHESHWARI,MAHESHWARI LOGISTI,2191672638,87.5,18.16340311,15.89403974,1004630,87905125,78.78706138,80.58145786,84.87023239,93.49085211,6759606000,Transportation,586823000,7.66675,,4-Mar-22
PRESSMN,PRESSMAN ADVERTISI,1039115820,48.75,9.9210823,35.79387187,501925,24468843.75,41.09039685,40.25216531,37.96857504,31.73456348,169969000,Commercial Services,36961000,3.34673,,4-Mar-22
TTKHLTCARE,TTK HEALTHCARE,9891939407,773.5,9.91899957,17.07280157,129029,99803931.5,704.3986647,698.7506458,696.5167883,671.5684422,6365279000,Health Technology,564159000,13.7607,,4-Mar-22
MTNL,MAHANAGAR TELEP NI,14395500240,25.1,9.84682713,14.35079727,5008866,125722536.6,23.54090182,24.67545883,26.08695448,22.5358304,13877100000,Communications,-1763300000,228.206,,4-Mar-22
LASA,LASA SUPERGENERICS,1840438248,49.05,8.39779006,8.39779006,206577,10132601.85,46.9654683,50.69095089,57.99080808,66.35628511,2021186000,Process Industries,137857000,5.4433,,4-Mar-22
NEULANDLAB,NEULAND LABORITIE,13477155584,1136.15,8.060681,7.51869026,142072,161415102.8,1098.80741,1162.618009,1327.115782,1569.569103,9242652000,Health Technology,1264692000,20.6212,,4-Mar-22
CEATLTD,CEAT LTD,39774575280,1059,7.83015986,8.76598367,311337,329705883,1005.308401,1024.827777,1077.762466,1198.195168,75785000000,Consumer Durables,7814200000,8.11418,,4-Mar-22
NDTV,NEW DELHI TELEVISI,10009164310,167.7,7.81099325,16.4987843,624491,104727140.7,153.5791114,147.1229158,131.7990559,97.58963892,3576290000,Consumer Services,678900000,5.41788,,4-Mar-22
LAOPALA,LA-OPALA RG LTD,37157250000,360.65,7.65671642,8.36838942,860429,310313718.8,345.5556481,354.9719192,369.1750187,329.5038718,2104649000,Consumer Durables,1172838000,30.8166,,4-Mar-22
3IINFOLTD,3I INFOTECH LTD,8382630835,52.5,5,1.74418605,1099713,57734932.5,54.23071725,60.14477435,71.32660735,76.2972087,6086200000,Technology Services,-896700000,,,4-Mar-22
EKC,EVEREST KANTO CYLI,21583147884,201.75,4.9960968,7.74365821,449812,90749571,200.0625313,211.6151589,214.537155,158.7635443,9491299000,Producer Manufacturing,3381700000,6.49422,,4-Mar-22
DUCON,DUCON INFRATECHNOL,5800038255,29.5,4.98220641,21.14989733,671385,19805857.5,25.41744364,24.29719228,22.25583946,15.58894676,3419538000,Distribution Services,127718000,13.1171,,4-Mar-22
DBREALTY,DB REALTY LTD,25505682062,109.8,4.97131931,19.34782609,1399518,153667076.4,102.2323398,100.3821975,85.82235589,51.59491969,468336000,Finance,-653155000,,,4-Mar-22
MEGASOFT,MEGASOFT LTD,3304897844,47.8,4.93962678,17.87916153,248776,11891492.8,46.49125816,50.67201629,53.94594795,36.61689488,594022000,Technology Services,-56720000,15.8211,,4-Mar-22
URJA,URJA GLOBAL LTD,8191449860,16.05,4.90196078,20.67669173,1766555,28353207.75,15.45365538,16.89468729,17.91057255,12.584911,1484595154,Utilities,6922000,,,4-Mar-22
