Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
AVTNPL,AVT NATURAL PROD,17337532778,120.85,6.05528741,1.98312236,1274559,154030455.15,114.71250628,108.80584669,98.63303733,81.50887385,4851279000,Process Industries,1021736000,9.91913,
PRICOLLTD,PRICOL LTD,14705003190,128.2,6.03804797,6.96704214,2439763,312777616.59999996,121.86966034,119.9335917,119.44136869,106.32735705,14117105000,Producer Manufacturing,1849917000,5.07599,
DATAPATTNS,DATA PATTERNS INDIA LTD,35020895109,712.9,5.62263871,7.17883184,486634,346921378.59999996,677.52162716,670.97580129,695.70414268,,2239500000,Electronic Technology,,,
SBCL,SHIVALIK BIMETAL CON. LTD,19207160943,527.2,5.49274637,11.7304228,190371,100363591.2,491.02398438,472.17251135,445.81805734,,2046023000,Producer Manufacturing,668943000,9.06878,
ZUARI,ZUARI AGRO CHEMICA,5639978900,141.2,5.21609538,-0.14144272,782455,110482645.99999999,135.49729464,132.87700373,128.75566078,120.30167762,24037450000,Process Industries,,9.79318,
AUTOAXLES,AUTOMOTIVE AXLES,23118299475,1605.05,5.18365608,-0.99617567,10112,16230265.6,1557.98038951,1534.25415593,1503.36136788,1369.96999481,9055740000,Producer Manufacturing,1173840000,22.3806,
SAPPHIRE,SAPPHIRE FOODS INDIA LTD,84702202740,1405.2,5.1757045,2.61428363,126912,178336742.4,1324.02365196,1309.95777701,1293.92568794,,10196190000,Consumer Services,,,
IFBIND,IFB INDUSTRIES LTD,38502984962,1001.75,5.14300708,6.83054282,139164,139407537,953.34126811,935.09115687,969.12262067,1045.21890757,28008000000,Consumer Durables,1198900000,20.4021,
SWSOLAR,STERLING & WILSON SO LTD,56794181502,314.65,5.07597262,-0.71000316,1801333,566789428.4499999,314.59836516,321.45876916,341.80213048,345.46464883,50512200000,Industrial Services,-11330900000,,
EPL,EPL LTD,54329759888,181.4,5.06805676,17.1456248,1184970,214953558,166.37857644,165.37828794,173.33641446,203.67020339,30898000000,Process Industries,5828000000,12.7989,
SPARC,SUN PHARMA ADV,75670317993,302,5.04347826,4.15588895,1072745,323968990,287.66576981,285.40522635,288.15279958,269.7909935,2529571000,Health Technology,-1711400000,,
NDL,NANDAN DENIM LTD,8533512634.000001,63,5,8.37155964,1286031,81019953,58.95901139,55.90948819,50.90046599,35.94906426,10882670000,Process Industries,1785203000,8.15283,
DEEPAKFERT,DEEPAK FERTILISERS,62527444012,544.15,4.99758804,-3.01220925,454502,247317263.3,545.32759619,549.75343233,533.44335519,436.2158843,58084900000,Process Industries,11274500000,4.49622,
ASAL,AUTOMOTIVE STAMPIN,8054354575,530,4.99207607,27.58786712,23062,12222860,453.50203686,420.32120179,417.88975519,288.91424348,3391302000,Producer Manufacturing,210995000,1760.71,
KPIGLOBAL,KPI GLOBAL INFRA LTD,9103960905,528.95,4.99206034,20.0113443,77498,40992567.1,473.27633582,456.05570421,426.57845316,,1022916000,Utilities,,5.20395,
SWELECTES,SWELECT ENERGY SYS,5212339743,363.95,4.99062455,9.54100828,30740,11187823,335.14088427,324.80381353,306.62170681,261.36017596,2446903000,Producer Manufacturing,591556000,5.43134,
JINDRILL,JINDAL DRILLING,7033713827,254.7,4.98763397,-3.77786173,59426,15135802.2,240.89478359,226.54049005,200.28679703,154.76728139,3978553000,Industrial Services,759525000,8.78539,
KHAICHEM,KHAITAN CHEM & FERT LTD,11667801586,126.45,4.98132005,-3.51011064,170525,21562886.25,124.15776314,119.46510529,107.47390737,75.73968499,4871528000,Process Industries,914657000,4.69992,6838390000
DBREALTY,DB REALTY LTD,22014919029,95.4,4.95049505,-3.24543611,808787,77158279.80000001,97.86429135,99.65517524,92.82093141,58.92635302,468336000,Finance,-653155000,,
PGEL,PG ELECTROPLAST LTD,15306311884,755.9,4.93510099,9.94909091,99465,75185593.5,701.43971453,686.4440346,684.97082596,564.46865606,7032065000,Electronic Technology,629701000,19.2607,
CEBBCO,COMMERCIAL ENGINEE,3731426923,43.95,4.89260143,2.80701754,304046,13362821.7,42.39800094,42.4810501,43.14158665,37.40716687,3634639000,Producer Manufacturing,263940999.99999997,6.71891,
RPOWER,RELIANCE POWER,42025561938,12.95,4.8582996,-0.38461538,12821598,166039694.1,13.07419183,13.35308099,13.85813584,12.68216777,73737900000,Utilities,31925400000,6.91559,
IRB,IRB INFRASTRUCTURE,144754834009,251.15,4.84241286,10.98099867,2523692,633825245.8000001,233.94173974,233.15243655,236.29176207,207.0262207,52986300000,Industrial Services,29160039000,7.53624,
SPIC,SOUTHERN PETROCHEM,14153004349,72.85,4.82014388,-1.75320297,4543641,331004246.84999996,67.8274309,63.74663349,58.94250104,51.26239637,3269361000,Process Industries,2032693000,,
MMFL,M.M. FORGINGS,18822582426,816.75,4.81231954,-8.52326819,20695,16902641.25,819.29503054,812.0983067,786.31004813,728.69500544,7825853000,Producer Manufacturing,2111001000.0000005,12.7424,
AXISCADES,AXISCADES TECHNOLO,4183813371,115.45,4.81162052,12.90953545,148068,17094450.6,104.30419815,100.82659397,100.05028937,89.66771049,5173861000,Technology Services,617628000,2.17032,
ELGIEQUIP,ELGI EQUIPMENT LTD,86246789791,285.1,4.75840529,-2.09478022,548608,156408140.8,290.26179879,305.01634016,319.90992366,271.11354304,19237680000,Producer Manufacturing,2664600000,31.5758,
SHAREINDIA,SHARE IND. SECURITIES LTD,36100706983,1190.9,4.7451515,6.63025473,126148,150229653.20000002,1135.95382855,1124.0628048,1109.627693,844.18617612,4536992000,Finance,2259861000,5.19608,
BLUESTARCO,BLUE STAR,95553006479,1038.2,4.7311611,5.42777355,172556,179147639.20000002,1000.77017648,1003.4356427,1003.99562765,940.77771335,42441100000,Producer Manufacturing,3053300000,39.8306,
PNCINFRA,PNC INFRATECH LTD,62120961978,253.95,4.72164948,1.70204245,738755,187606832.25,248.04283075,251.38252887,264.79170274,280.95314979,55810012000,Industrial Services,14740193000,6.53062,
RELCAPITAL,RELIANCE CAPITAL,3752727155,15.6,4.69798658,4,863093,13464250.8,14.73236026,14.43098337,14.52837271,15.73049913,177090000000,Finance,-13180000000,27.3711,
PFOCUS,PRIME FOCUS,26044710943,91.45,4.69376073,7.08430913,245782,22476763.9,86.77048451,84.44003704,80.81990041,72.47630688,25298600000,Consumer Services,6449442000,9.32151,
CHEMFAB,CHEMFAB ALKALIS,3105902871,229.7,4.62309269,7.89102865,96701,22212219.7,208.94626721,200.03040583,190.32364438,172.74784717,1808113000,Process Industries,405587000,6.12841,
ASAHIINDIA,ASAHI INDIA GLASS,96810566734,416.45,4.59625769,-4.28637095,318013,132436513.85,418.43910932,432.03437684,462.86020287,428.28443501,24212100000,Process Industries,7024200000,20.4953,
