Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
GAIL,GAIL INDIA LTD,615210203048,144.1,2.5987896,4.99089253,4501296,648636753.6,139.01194309,138.84542391,142.70995038,145.30076676,927698300000,Utilities,151515800000,4.49615752,
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,540296380216,126.1,5.43478261,6.68358714,5131235,647048733.5,120.36876363,120.1768388,123.74079832,156.88007593,573279000000,Producer Manufacturing,49625400000,13.49102436,
IDEA,VODAFONE IDEA LTD,279755164311,8.85,1.72413793,5.35714286,80561689,712970947.65,8.65918622,8.65163151,8.90622369,9.85534857,385155000000,Communications,160361000000,1.74453367,
AJANTPHARM,AJANTA PHARMA,206255872606,1237.6,2.56070274,2.70539419,47609,58920898.4,1207.57064109,1206.51449534,1199.58869931,1261.91878179,32962500000,Health Technology,,,151444000000
L_TFH,L&T FINANCE HOLDIN,173490787435,72,2.78372591,1.4084507,5542769,399079368,71.05971859,70.99228528,72.83187207,77.50185707,118551800000,Miscellaneous,31579600000,30.01787823,973745000000
GODREJIND,GODREJ INDUSTRIES,148895091490,449.15,1.52576854,5.53336466,223571,100416914.65,437.39494321,436.31329577,448.56571821,500.88606757,141301500000,Process Industries,10434900000,28.19768196,
GSPL,GUJARAT STATE PETR,128753031713,231.55,1.51249452,1.91461268,1700512,393753553.6,228.17755088,227.98803419,237.625111,268.58259098,179908382000,Utilities,35000994000,4.59390378,
MAHABANK,BK OF MAHARASHTRA,108360997538,16.65,3.41614907,4.71698113,11791378,196326443.7,16.13518301,16.09398802,16.40364017,18.01525964,156711246000,Finance,,,-2081600000
CESC,CESC,98357322200,74.45,0.4045853,2.68965517,774417,57655345.65,73.3236255,73.20578229,75.12973911,78.95318819,124905400000,Utilities,29230000000,7.40200897,218614000000
BCG,BRIGHTCOM GROUP,89091253860,45.85,4.91990847,7.37704918,402661,18462006.85,43.24381987,42.96952659,50.9302074,60.42891821,50195877000,Technology Services,15068783000,5.91230585,
EASEMYTRIP,EASY TRIP PLANNERS LTD,81777090299,403.2,7.02057067,3.6503856,1688415,680768928,388.10172423,387.54618866,383.89336118,323.03614155,2353740000,Consumer Services,1069000000,76.49868129,
BORORENEW,BOROSIL RENEWABLES LTD,81710183750,644.45,2.79948955,4.27993528,356525,229762536.25000003,628.55766841,627.81668839,630.10313051,567.55074379,6442221000,Process Industries,2445004000,33.41924338,
MANAPPURAM,MANAPPURAM FINANCE,75159858638,93.15,4.89864865,2.70121279,5735109,534225403.35,90.11582093,89.91548984,94.72201929,125.92193775,61263200000,Finance,24676700000,12.01585133,
FSL,FIRSTSOURCE SOLUTI,71615803024,106.7,3.74331551,2.59615385,2427864,259053088.8,103.74105711,103.64730247,107.69697573,131.61673006,59211530000,Commercial Services,9598580000,9.10268113,103785000000
LATENTVIEW,LATENT VIEW ANALYTICS LTD,70338102318,369.45,5.19646925,2.625,1022872,377900060.4,350.91742674,349.50637189,368.41334127,,4078170000,Commercial Services,,,79541200000
TATAINVEST,TATA INVESTMENT,68903206391,1425.8,4.59980926,3.09472162,29526,42098170.8,1373.21664898,1367.81778444,1387.7297889,1376.87597419,2536563000,Finance,2333900000,29.47427327,68473800000
SIS,SIS LTD,66079470363.99999,473.6,5.34979424,5.16265127,288606,136683801.6,454.59150194,454.36945567,462.08465307,470.08892602,100590760000,Commercial Services,4984990000,14.69033847,78542700000
JSL,JINDAL STAINLESS,57384098518,114.45,5.04818724,11.27856101,1219035,139518555.75,107.31421923,106.58619085,119.87506449,148.96403221,212234000000,Non-Energy Minerals,29871300000,2.90612724,
RITES,RITES LTD,56470945358,244.55,4.04169326,2.21525601,255701,62531679.55,237.10397108,236.93737193,241.77223571,255.50146261,26618300000,Commercial Services,7282200000,3.30311518,30734300000
PNBHOUSING,PNB HOUSING,55870082555,338.65,2.07987943,1.21040048,101730,34450864.5,334.40811906,334.21968804,342.8517417,414.67214323,62107700000,Finance,17137099999.999998,21.12903482,369903000000
GOCOLORS,GO FASHION INDIA LTD,52961208011,1000.95,2.16903134,0.40122373,42800,42840660,990.25930863,989.49879752,994.49122816,,4013125000,Consumer Non-Durables,,,
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,50505098385,41.55,3.48692403,3.875,501599,20841438.45,40.36624716,40.30128706,42.90536517,50.55314558,39975323000,Finance,,,97104600000
JSLHISAR,JINDAL STAINLESS (,49841203766,221.9,4.54652532,6.09610328,180394,40029428.6,213.39867579,213.19131454,237.53855149,284.31621237,150113600000,Non-Energy Minerals,21532700000,3.17101449,
GPIL,GODAWARI POWER,36920538395,271.25,3.55029586,2.74621212,163010,44216462.5,266.24852968,265.96460921,287.81614183,307.16153616,53991800000,Non-Energy Minerals,18994500000,1.93510429,
SHILPAMED,SHILPA MEDICARE,36139969572,430.2,3.55036707,8.3627204,184922,79553444.39999999,410.85630054,409.3658595,416.99811097,463.19712356,11455227000,Health Technology,2038557000,20.85731259,
