Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
TRIGYN,TRIGYN TECHNOLOGIE,3314084536,129.5,19.96294581,23.04038005,5506293,713064943.5,110.8051738,108.50233333,105.30348341,102.79380859,12727244000,Technology Services,607890000,3.29170826,
RITCO,RITCO LOGISTICS LTD,4641990419,223.55,16.98063841,32.31725363,676434,151216820.70000002,185.43156932,178.95953716,174.40631813,167.4025709,7511462000,Transportation,516563999.99999994,12.94131302,
TRU,TRUCAP FINANCE LTD,5398550234,51.8,12.97709924,-10.68965517,4945615,256182857,53.92498853,55.36845463,57.10829481,66.3822878,1238047000,Finance,85924000,104.11796744,9727590000
VISESHINFO,VISESH INFOTECNICS,1547518961,0.45,12.5,0,5163835,2323725.75,0.41892675,0.41578911,0.42409931,0.50864288,5635000,Technology Services,-23883000,,
TEJASNET,TEJAS NETWORKS LTD,124939437908,820.15,11.23694561,15.09262181,10943944,8975675671.6,741.00188548,728.44787925,699.8179835,624.42900648,9195700000,Electronic Technology,140400000,800.38488538,81618600000
KELLTONTEC,KELLTON TECH SOLU,7053505517,81.25,11.22518823,11.14911385,8689508,706022525,72.83380871,69.38826252,64.51422648,61.43536006,9173258000,Technology Services,934720000,8.80758785,
VIMTALABS,VIMTA LABORATORIES,9048024796,453.25,10.69727683,12.72071344,1227603,556411059.75,411.49047685,408.08303046,398.41432967,380.57568209,3150620000,Commercial Services,949110000,9.27198617,6818840000
REFEX,REFEX INDUSTRIES L,13937373071,692.85,9.99364979,30.55398284,277563,192309524.55,596.63111231,564.49732007,497.41744139,337.51195139,16291496000,Energy Minerals,1719708000,8.42535016,
SECURKLOUD,SECUREKLOUD TECH LTD,1424294186,47,9.94152047,22.07792208,195556,9191132,40.55020604,39.28031093,37.94229644,48.73166383,4584359000,Technology Services,-730374000,,2570250000
63MOONS,63 MOONS TECHNOLOG,11392918270,271.55,9.71717172,9.49596774,1717174,466298599.7000001,240.95299351,223.02971858,199.08079945,181.44945597,2900682000,Technology Services,-267658000.00000003,,
