Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ITC,ITC LTD,3504117878828,291.9,2.65517848,9.3258427,39881736,11641478738.4,275.91406884,272.17482144,266.33442272,244.04024461,603922200000,Consumer Non-Durables,206584100000,16.17301757,2927640000000
COROMANDEL,COROMANDEL INTL,283197914158,982.05,1.73521185,4.03072034,1562173,1534131994.6499999,952.14366164,942.80092255,916.96130382,846.29324914,191108500000,Process Industries,21508200000,13.16697418,
AIAENG,AIA ENGINEERING,208523469550,2369.15,7.09716791,7.20135747,207190,490864188.5,2211.46584771,2161.78033673,2049.93047831,1916.83670151,35665473000,Producer Manufacturing,7209451000,26.78378167,
BLUEDART,BLUE DART EXPRESS,185476508947,7772.75,-0.66646219,6.4760274,34793,270437290.75,7520.5101639,7353.96624428,7130.88256183,6566.64190299,44104900000,Transportation,9997900000,18.55154672,
CHALET,CHALET HOTELS LTD,67186327980,335.1,2.27376774,9.11755129,952861,319303721.1,314.27375777,306.87044708,298.43736759,262.9358634,507807000,Consumer Services,698427000,99.77180146,
MAHLIFE,MAHINDRA LIFESPACE,64092785225,424.55,2.41225425,3.81464727,506434,215006554.7,408.03789681,401.7176484,385.16322863,317.3800657,3935500000,Finance,-861300000,-75.69010243,
KSB,KSB LTD,50972605047,1477.75,1.04964442,4.43462898,42099,62211797.25,1435.28197741,1409.83712928,1369.33682116,1243.49178366,14864770000,Producer Manufacturing,2021000000,23.48203614,
JAMNAAUTO,JAMNA AUTO IND,49787996293,130.4,4.40352282,15.7054126,10714323,1397147719.2,118.48212802,114.49279981,111.09189492,102.33727891,17178753000,Producer Manufacturing,2262870000,22.72969781,
VOLTAMP,VOLTAMP TRANSFORME,43002996224,2989.45,0.89608154,14.10114504,89455,267421249.74999997,2765.47709073,2597.14995668,2333.1022667,1959.03684099,11272090000,Producer Manufacturing,1388464000,30.97163212,
AUTOAXLES,AUTOMOTIVE AXLES,26143320668,1956.1,13.37738364,23.54966051,449442,879153496.1999999,1674.18093957,1635.86589312,1605.00987307,1484.01846824,14906190000,Producer Manufacturing,1346770000,19.41186741,
FIEMIND,FIEM INDUSTRIES LTD,17701287137,1455.05,8.09375232,17.53231018,707741,1029798542.05,1281.65692071,1190.09828148,1081.00920602,1011.58039034,15722594000,Producer Manufacturing,1939609000,9.12621417,
INSECTICID,INSECTICIDES INDIA,17466348185,897,1.77568503,6.27962085,77924,69897828,852.22234149,827.49140985,780.62002635,702.98740052,15039580000,Process Industries,1696768000,10.29389297,
MONTECARLO,MONTE CARLO FASHIO,14515555956,745.85,6.55761126,20.31779319,973641,726190139.85,662.98903035,629.27319578,587.44956651,516.78835178,9043220000,Consumer Non-Durables,1817178000,7.98796593,
MANORAMA,MANORAMA INDUSTRIES LTD,12194560801,1010.55,-1.49144612,1.0499475,973,983265.15,,,,,2791189000,Consumer Non-Durables,389389000,31.31716818,
SHALPAINTS,SHALIMAR PAINTS,11962733446,168.65,1.93411907,23.41748994,474642,80048373.3,150.45331186,142.63518676,138.13155286,125.23469832,3581000000,Process Industries,-273500000,-43.73942759,
MARATHON,MARATHON NEXTGEN,9379999397,223.1,9.30916218,15.59585492,1004890,224190959,200.17978928,187.17324651,163.67939219,122.68699993,3060922000,Finance,744023000,12.60713633,
IMAGICAA,IMAGICAAWORLD ENT LTD,1891650746,22.05,5,27.4566474,231609,5106978.45,18.3699613,16.76265119,15.48349872,13.05530713,720441000,Consumer Services,323128000,5.85418393,
GLOBAL,GLOBAL EDUCATION LTD,1627829869,167.85,4.97185741,25.73033708,24634,4134816.9,145.18666699,134.36950982,114.89984591,81.81720977,412733000,Commercial Services,184712490,8.77971419,
MOTOGENFIN,MOTOR & GEN FINANC,1343833589,39.75,19.90950226,29.05844156,212642,8452519.5,30.31342739,29.21065447,28.74996599,27.17869913,62649000,Finance,-5205000,-258.18128511,
