Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
ICICIBANK,ICICI BANK,6530345134149,946.75,0.99743757,2.48985115,13096845,12399438003.75,929.59083622,920.53464248,900.07288479,818.97278048,1573324947000,Finance,,,6640470000000
BRITANNIA,BRITANNIA INDS,1014573392184,4285.3501,1.71610362,3.66235423,598884,2566427609.2883997,4170.66018518,4089.06448084,3942.60266044,3709.02867944,141356300000,Consumer Non-Durables,23018400000,45.15793418,951029000000
IDBI,IDBI BANK LTD,571490200977,54.299999,2.743616,8.0596995,52405381,2845612135.894619,50.31199475,48.61162448,45.92577783,42.65427571,232215366000,Finance,,,382155000000
UNIONBANK,UNION BK OF INDIA,542678966581,82.199997,3.46129654,7.17079559,37047392,3045295511.257824,75.33679939,69.16848872,58.60293372,46.23640103,817544192000,Finance,,,89551100000
IRFC,INDIAN RAILWAY FIN CORP L,438448361612,35.299999,5.21609554,25.17729698,347649110,12272013235.35089,30.49850353,28.03487142,25.01646098,22.72291702,203015970000,Finance,65486540000,64.27271423,4048260000000
BANKINDIA,BK OF INDIA,333825081165,83.75,3.07692308,6.68789809,22577829,1890893178.75,79.07767365,74.00352731,64.31539394,54.9948991,460141458000,Finance,,,-189807000000
ABCAPITAL,ADITYA BIRLA CAPIT,331104583496,144.10001,5.14411529,13.59874655,28477714,4103638872.17714,132.51058084,128.21690586,121.31671099,112.30382943,221889600000,Finance,33157500000,30.32522004,944230000000
GICRE,GENERAL INSURANCE,256405552860,147.35001,0.85557831,9.43187593,5648990,832378732.9899,141.43246557,137.41401335,131.22302772,128.12693365,492009148000,Finance,,,215703000000
APOLLOTYRE,APOLLO TYRES,198818345317,315.14999,0.78349214,12.37296444,7814998,2462896541.55002,294.750084,290.26343247,280.67945624,244.37016097,206398520000,Consumer Durables,27711350000,9.4576928,240365000000
IIFL,IIFL FINANCE LTD,182832246547,460.45001,-4.31213624,2.02748066,914457,421061734.79457,456.63113477,436.75039895,402.63250202,350.0058484,70038350000,Finance,18144700000,26.13909001,425713000000
RVNL,RAIL VIKAS NIGAM,167114357747,77.949997,-2.68414613,26.13268327,117037131,9123044010.338606,67.82903793,60.27175819,49.16725173,37.81461364,193817100000,Industrial Services,13242800000,15.40936643,107214000000
REDINGTON,REDINGTON LTD,143517941751,178,-3.10288514,6.26865672,4794253,853377034,171.70464854,164.10014301,153.90707612,144.24411793,626440100000,Electronic Technology,20100100000,7.29468718,111924000000
JKLAKSHMI,JK LAKSHMI CEMENT,79550842089,686.59998,1.51548759,8.38200158,1070025,734679143.5995,658.52384705,639.60335983,598.35571308,528.97206884,54198900000,Non-Energy Minerals,9190900000,9.95494914,80828200000
CEATLTD,CEAT LTD,77540802489,1929.9,0.59421423,13.28363466,570612,1101224098.8,1791.83851115,1724.97637947,1611.06960369,1355.03587758,91970900000,Consumer Durables,6900200000,14.65722769,87198700000
CCL,CCL PRODUCTS(IND),68935071625,539.15002,4.05288028,6.65677943,838832,452256289.57664,513.66963076,508.10088241,496.79708195,445.7039286,14620289000,Consumer Non-Durables,3628408000,21.04121136,74530300000
IRCON,IRCON INTERNATIONA,57935768584,59.900002,-2.91734031,0.67227227,34041728,2039099575.283456,58.59140981,55.12677101,49.18636298,43.6299643,73796700000,Industrial Services,6975000000,2.14402417,-5830830000
NCC,NCC LTD,52111264282,82.849998,-0.2408248,5.94629307,5631827,466596855.686346,79.67929516,77.47844928,74.07854226,69.30051108,111379600000,Industrial Services,11640800000,5.88736722,61439200000
JKTYRE,JK TYRE&INDUSTRIES,47719545438,195.89999,1.21415138,14.06112955,16377514,3208354828.82486,178.70506713,174.88254044,167.91326554,144.31544805,118929500000,Consumer Durables,10836600000,9.24907678,93444900000
HMT,HMT LTD (INDIA),42022801288,36.650002,4.86409428,22.57525753,68498,2510451.836996,32.56728556,31.38310806,29.5081307,27.29928437,1757303000,Producer Manufacturing,-1113200000,,45324800000
DCBBANK,DCB BANK LTD,39129433472,127.45,1.43255074,9.35220935,4799585,611707108.25,121.81578146,118.20092022,110.43235475,95.94046749,39718180000,Finance,,,46228600000
ACE,ACTION CONSTRUCT,39053336417,339.10001,3.39990842,8.61627134,2706630,917818260.0663,325.34272623,319.4417854,302.48576152,257.09198201,16282687000,Producer Manufacturing,1723862000,22.46133183,32373100000
BANARISUG,BANNARI AMMAN SUG,38875578903,3151.6001,1.72194303,2.26823182,2328,7336925.0328,3051.81657909,2995.16196006,2899.98595923,2632.07203717,19688454000,Process Industries,2389134000,19.80979338,44503100000
JTEKTINDIA,JTEKT INDIA LTD,35986234180,147.60001,0.06780339,13.14680721,523314,77241151.63314,136.10475938,126.5594679,113.45659205,96.05362158,15887969000,Consumer Durables,1772660000,20.64571953,25939800000
JWL,JUPITER WAGONS LTD,35897379864,87.849998,4.95818536,8.65800887,269843,23705707.010314,81.55969198,79.38416359,75.76026802,62.35400136,11783540000,Producer Manufacturing,1159758000,32.6440101,30303600000
SOUTHBANK,SOUTH INDIA BANK,34048896488,17.5,7.69230769,16.66666667,93917698,1643559715,15.54952627,14.67697381,12.74789634,10.00071711,76202869000,Finance,,,19857300000
POWERMECH,POWER MECH PROJECT,32752779636,2253.5,1.13544565,13.39791169,41720,94016020,2052.9896155,1960.98858021,1800.26379237,1332.38594082,27104900000,Industrial Services,3322760000,10.95922054,30203300000
GABRIEL,GABRIEL INDIA,28441499359,190.95,-3.63360604,5.43897816,1235853,235986130.35,182.17818428,174.50483155,164.0221184,144.57154592,23299640000,Producer Manufacturing,1896970000,14.58030404,21359600000
HONDAPOWER,HONDA INDIA POWER,26561223404,2623.05,0.20820216,5.76814516,26257,68873423.85000001,2450.83842915,2256.21162197,1947.4761549,1583.97799039,11404200000,Producer Manufacturing,1182700000,18.86575074,10935000000
BECTORFOOD,MRS BECTORS FOOD SPE LTD,25131786747,430.35001,0.58431692,6.25926173,338189,145539639.53189,419.30045329,409.73534575,390.54894596,356.66526333,9678240000,Consumer Non-Durables,1344430000,18.92666539,21584400000
PANAMAPET,PANAMA PETROCHEM L,25119968543,404,-2.67405679,11.54058223,479277,193627908,371.55056339,346.92071942,320.67935448,292.05181219,21323540000,Process Industries,3258021000,7.50006478,16882700000
TVSSRICHAK,TVS SRICHAKRA LTD,24696665855,3178.7,-1.50437679,7.2074199,14598,46402662.59999999,3075.11503939,2930.83095537,2684.71061617,2231.45132151,25282000000,Consumer Durables,1887800000,16.66398234,25965500000
WELENT,WELSPUN ENTERPRISE,23412357010,154.35001,-1.2159936,12.70537422,708836,109408843.68836,144.85837523,139.69159602,131.99822523,112.42474284,14014000000,Finance,2277700000,13.35204681,26159100000
ACCELYA,ACCELYA SOLUTIONS,22932707685,1682.7,9.74011152,8.56479241,233744,393321028.8,1548.29137992,1476.73969867,1328.0586762,1128.20854453,3683981000,Technology Services,1590748000,13.84083066,
TWL,TITAGARH WAGONS,22282072060,183.39999,-2.16058149,8.3284052,945619,173426515.14381,175.05584289,170.24062493,161.85284668,132.38257788,19307919000,Producer Manufacturing,1368487000,17.54431504,19656800000
FORCEMOT,FORCE MOTORS LTD,20430374992,1551.2,-1.02724431,4.17030421,87047,135027306.4,1503.43481738,1462.40751657,1377.97803491,1241.06021851,32404200000,Consumer Durables,1320400000,21.94999621,24961500000
TEXRAIL,TEXMACO RAIL & ENG,20277803925,62.299999,-1.03256869,15.7992568,13589228,846608890.810772,57.31150707,54.6166072,51.34416734,45.15458565,16217359000,Producer Manufacturing,988919000,27.84248146,23526700000
WABAG,VA TECH WABAG LTD,20149699219,339.39999,4.70461221,11.3882438,2806321,952465319.33679,312.95541383,300.37482901,283.5868934,275.43349979,29793000000,Industrial Services,2242800000,9.32093776,16638700000
VINDHYATEL,VINDHYA TELELINKS,19660582475,1718.15,3.08075354,7.79534475,60819,104496164.85,1595.70657046,1518.37029444,1406.54764065,1212.84368414,13228899000,Industrial Services,1573763000,16.92070056,21920200000
DFMFOODS,D F M FOODS,19255660160,393.89999,2.80568975,9.11357064,181679,71563356.28321,372.50553863,371.38267205,362.24984672,312.9939437,5544500000,Consumer Non-Durables,-437300000,,19535800000
LUMAXIND,LUMAX INDUSTRIES,18019623569,1955.5,1.19802313,8.94150418,43505,85074027.5,1832.73814894,1756.06805525,1668.6530609,1448.62743455,17513110000,Producer Manufacturing,1946477000,11.27244225,19098400000
SHALBY,SHALBY LTD,16044851013,148.05,-0.40362599,2.49221184,316666,46882401.3,144.99620805,143.72150264,139.31273798,131.47660504,6989450000,Health Services,1293330000,12.77436618,14528700000
RANEHOLDIN,RANE HOLDINGS LTD,13064194493,959.15002,4.77933134,12.84117882,57202,54865299.44404,911.78809699,899.91366009,872.45509804,750.584854,26667000000,Producer Manufacturing,2175100000,10.67343777,21466000000
DREDGECORP,DREDGING CORP IND,12439000000,437.75,-1.44095241,6.27579768,792104,346743526,419.80088674,400.19066623,364.34314425,327.85583961,7990910000,Transportation,1686928000,7.35271511,8123700000
UNIVCABLES,UNIVERSAL CABLES,10361774234,291.79999,-2.19541471,2.08150421,142022,41442018.17978,280.69073631,271.25408807,249.88702118,199.72229562,18122994000,Electronic Technology,1684429000,10.53569206,14766300000
UGARSUGAR,UGAR SUGAR WORKS,10102500343,91.449997,1.78074461,17.62057492,2151777,196780000.19466895,82.93522908,80.15422457,74.43588762,60.43189537,11139258000,Process Industries,1208943000,12.17248236,11447700000
SDBL,SOM DIST & BREW LTD,9875136993,141.5,0.42584105,14.11290323,724955,102581132.5,131.64671838,125.43557409,116.47617423,87.4624758,3627609000,Consumer Non-Durables,685796000,16.77318473,9834440000
RICOAUTO,RICO AUTO INDS,9354957155,67.650002,-2.16919733,21.01967724,3884564,262790762.369128,61.15106486,59.54619613,57.50213775,49.55564219,18469200000,Producer Manufacturing,1876200000,8.47183517,14021200000
SKIPPER,SKIPPER LTD,9276253479,91.650002,1.27072044,3.50084573,554932,50859518.909864,85.26034951,80.09067496,73.86227953,67.29362382,16955869999.999998,Producer Manufacturing,1901090000,7.760171,12904700000
ROHLTD,ROYAL ORCHID HOTEL,8187798103,299.54999,0.30135611,8.16031023,263378,78894877.26621999,286.41479076,281.08207702,267.89478093,196.78985489,1385239000,Consumer Services,598500000,15.51738196,8538440000.000001
