Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
HDFCLIFE,HDFC LIFE INSURANC,1355243267049,667.2,5.86275288,6.41148325,30050877,20049945134.4,628.59844155,610.57126544,579.87295966,557.29981477,712686600000,Finance,,,
INDIGO,INTERGLOBE AVIATIO,949313318962,2529.75,2.6330161,1.59638554,1985055,5021692886.25,2459.00494985,2416.90377156,2292.63736529,2061.4950385,544464530000,Transportation,94551240000,12.3094981,
DRREDDY,DR REDDYS LABS,839718277508,5025.6,-0.31736155,3.00471408,666063,3347366212.8,4910.94700455,4817.38851726,4717.84186543,4538.9621863,245879000000,Health Technology,64732000000,12.22568865,721284000000
TORNTPHARM,TORRENT PHARM,632052302016,1879.05,0.60500602,1.02419355,166248,312388304.4,1853.74877776,1821.02154298,1741.1926168,1612.79719459,96200000000,Health Technology,28420000000,23.87270591,
TRENT,TRENT LTD,623045100673,1742.85,-0.61585835,1.92105263,320512,558604339.1999999,1708.65392147,1662.50767466,1561.0957143,1399.55131741,82285500000,Retail Trade,10706500000,61.8354178,527827000000
ZYDUSLIFE,ZYDUS LIFESCIENCES,568706849751,570.7,1.58419547,2.51481763,1246943,711630370.1,552.53903163,540.15893116,521.63430853,469.90917059,172374000000,Health Technology,39184000000,15.06882528,519248000000
MUTHOOTFIN,MUTHOOT FINANCE LTD,496932659015,1238.1,0.02827712,4.74619289,319748,395879998.7999999,1202.9148796,1172.02120449,1116.54648944,1082.50219116,119750050000,Finance,52429480000,18.6187061,
ABCAPITAL,ADITYA BIRLA CAPIT,438319784415,192.3,6.09655172,7.46018441,29042894,5584948516.200001,179.58365124,176.31098406,169.79049732,148.84606121,302013300000,Finance,65961399999.99999,19.36934911,
LUPIN,LUPIN LTD,397633660278,881.7,0.88100686,6.22891566,1365308,1203792063.6000001,852.32060261,832.67514229,789.09746633,739.77761069,166416600000,Health Technology,17182000000,24.82266676,
POLICYBZR,PB FINTECH LTD,314383758284,716.65,2.5984252,9.41221374,5150226,3690909462.9,668.74392383,650.41459088,622.50401854,582.3954832,25578471000,Technology Services,-6616010000,,
COFORGE,COFORGE LTD,281828943674,4695.45,1.92653735,3.1967033,353159,1658240426.55,4577.56943891,4520.46707279,4364.51894538,4124.59158279,80146000000,Technology Services,12385000000,22.81291431,
FACT,FERTILIZERS & CHEM,270702584137.00003,462.35,10.47789725,21.06572718,13066819,6041443764.650001,406.52134496,377.64905156,337.84787786,256.47365607,27190174000,Process Industries,9671100000,27.9908784,
JKCEMENT,JK CEMENTS LTD,264844596229.00003,3424.65,-0.03648384,1.23415121,126047,431666858.55,3371.18497647,3303.91172279,3163.49362514,2935.18442372,97201992000,Non-Energy Minerals,13021035000,23.6756589,
EMAMILTD.BO,EMAMI LTD,185828973375,427,1.00532229,2.39808153,281292,120111684,413.51167916,405.46902147,391.51073796,,34057300000.000004,Consumer Non-Durables,8627600000,21.30980497,
ANGELONE,ANGEL ONE LTD,140570755972,1722.95,2.67878427,9.67218332,851711,1467455467.45,1605.68847524,1528.75050466,1401.65086214,1324.00102786,30077960000,Finance,12277680000,7.57020919,51038800000
APARINDS,APAR INDUSTRY LTD,128142459747,3398.1,1.41008695,9.48897701,72438,246151567.8,3176.4756253,3057.21259678,2859.06618091,2173.93304828,143521500000,Electronic Technology,12338600000,10.22018379,
JBMA,JBM AUTO LTD,126039620190,1081.8,1.50121974,7.2735386,571782,618553767.6,1016.07421801,960.70382942,861.11822645,647.50606359,38573800000,Producer Manufacturing,3982500000,35.81552296,
VGUARD,V-GUARD INDUSTRIES,119133551971,284.35,3.51291942,10.32007759,2013038,572407355.3000001,266.03258137,260.75272196,255.82926143,249.44144768,41260442000,Producer Manufacturing,3192852000,38.67810126,
