Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
IVP,IVP LTD,1475106657,141.45,19.97455471,15.9901599,555823,78621163.35,123.9650032,123.6571215,123.7881964,2896400000,Process Industries,299900000,13.4804,,11-Feb-22
WEIZMANIND,WEIZMANN,1489162114,93.6,19.54022989,47.16981132,647028,60561820.8,73.02087643,67.81183083,62.32946992,976158000,Producer Manufacturing,97701000,7.77617,814376000,11-Feb-22
RKEC,RKEC PROJECTS LTD,1555790288,64.85,14.27312775,4.85044462,282386,18312732.1,60.86542399,62.07669736,64.58386988,2075706713,Industrial Services,351176000,6.55406,2327070000,11-Feb-22
SMLT,SARTHAK METALS LTD,1659197624,121.2,10.68493151,9.38628159,124108,15041889.6,112.42514,112.547547,113.8871216,2215587251,Non-Energy Minerals,231724000,4.31747,,11-Feb-22
MHLXMIRU,MAHALAXMI RUBTECH LTD,1513920305,142.25,9.97294163,91.45356662,501664,71361704,100.681157,,,1368845449,Process Industries,183487000,3.2976,882230000,11-Feb-22
GREENLAM,GREENLAM INDUSTRIE,45472926957,374.55,9.53355754,-80.19249584,494485,185209356.8,1347.797977,1564.772561,1649.431407,11743808000,Process Industries,2045079000,16.0485,,11-Feb-22
HTMEDIA,HT MEDIA LTD,8856072876,38.1,9.32568149,9.64028777,8010888,305214832.8,34.46371637,32.54468372,29.83057174,11172900000,Consumer Services,252600000,,,11-Feb-22
ACCURACY,ACCURACY SHIPPING LTD,3089490000,205.2,8.25639673,2.4463305,77950,15995340,197.5166093,200.2589678,198.2092801,3746570000,Transportation,459090000,,,11-Feb-22
JINDRILL,JINDAL DRILLING,6090378807,209.7,7.9258878,1.30434783,843186,176816104.2,192.0084781,178.0941944,159.4064089,3978553000,Industrial Services,759525000,8.78539,,11-Feb-22
SPECIALITY,SPECIALITY RESTAUR,6395632721,136.35,7.7014218,14.67619849,2648181,361079479.4,117.4950844,110.0446106,102.1150771,1501360000,Consumer Services,271800000,260.548,4101610000,11-Feb-22
SHANKARA,SHANKARA BUILDING,15072559171,660.2,7.05367277,33.60315694,1019364,672984112.8,576.8147035,552.0835476,539.2016943,20383670000,Retail Trade,809017000,14.2998,,11-Feb-22
