Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
SALASAR,SALASAR TECHNO ENG,6208375828,255.45,17.31343284,18.01801802,1412540,360833343,228.0679859,230.6987181,239.027319,5955401000,Producer Manufacturing,721278000,11.7704,,21-Feb-22
LINC,LINC LTD,4227448606,314.1,11.02863203,11.68,131201,41210234.1,295.2685527,288.8353118,269.4834482,2539130000,Consumer Non-Durables,222181000,29.2726,,21-Feb-22
GULFPETRO,GP PETROLEUMS LTD,2526263456,54.65,10.18145161,11.41692151,1103807,60323052.55,51.59874481,51.37078324,50.34043745,6097976480,Energy Minerals,222660000,10.5017,,21-Feb-22
FMGOETZE,FED MOGUL GOETZE,13020700119,255.2,8.7113951,12.67108168,1025825,261790540,237.8261887,236.2128907,237.0087292,11036151000,Producer Manufacturing,1774113000,10.8122,,21-Feb-22
TCPLPACK,TCPL PACKAGING LTD,6545175274,781.35,8.69444251,35.76889661,894093,698599565.6,648.7348361,609.4887434,567.757726,8915808000,Commercial Services,1430952000,6.05307,,21-Feb-22
SHANTIGEAR,SHANTHI GEARS,13870227444,192.6,6.85159501,6.73316708,937922,180643777.2,182.5560863,176.9436974,167.7352936,2151500000,Producer Manufacturing,529500000,32.9733,,21-Feb-22
GENESYS,GENESYS INTL,13267036114,440.3,4.99582687,26.96078431,91230,40168569,393.0708446,382.3472228,356.8605414,795588000,Technology Services,244277000,,,21-Feb-22
ZODIAC,ZODIAC ENERGY LTD,1386518442,99.45,4.96042216,-5.42082739,181291,18029389.95,106.3389104,111.248118,93.19735466,1003685000,Producer Manufacturing,,4.78668,,21-Feb-22
SRPL,SHREE RAM PROTEINS LTD.,2093805007,102.5,4.85933504,24.54434994,713898,73174545,86.0872611,74.8182852,59.57712679,1525585000,Distribution Services,140168000,17.916,,21-Feb-22
APOLLO,APOLLO MICRO SYSTE,2547728921,130.75,4.76762821,2.06869633,79907,10447840.25,132.0964609,136.7275108,137.9083923,2030720827,Electronic Technology,413539210,7.41403,,21-Feb-22
DANGEE,DANGEE DUMS LTD,2224940000,226.55,4.52133795,10.40448343,81393,18439584.15,214.6073245,211.5909779,207.6906868,134363000,Consumer Non-Durables,33709000,,,21-Feb-22
SVPGLOB,SVP GLOBAL VENTURES LTD,8292075386,68.35,4.43086325,-0.50946143,1457475,99618416.25,68.24078601,69.12203753,76.91668316,12618009865,Distribution Services,3721601000,46.0579,,21-Feb-22
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,61401236448,55.7,4.3071161,2.95748614,6469178,360333214.6,54.93267474,55.57446769,57.37773356,36124307000,Finance,,,89412100000,21-Feb-22
GPIL,GODAWARI POWER,42325774815,313.2,4.20895026,2.52045827,793123,248406123.6,311.66398,307.3265836,295.7829202,40719185000,Non-Energy Minerals,19919300000,2.78675,,21-Feb-22
SHIVAMAUTO,SHIVAM AUTOTECH LTD,3086111090,26.25,4.16666667,6.49087221,909702,23879677.5,25.83499563,27.41616234,28.73871614,4874115000,Producer Manufacturing,799066000,7.78402,,21-Feb-22
VIKASECO,VIKAS ECOTECH LIMI,4554280992,5.1,4.08163265,-7.27272727,11295165,57605341.5,5.35562799,5.3186963,4.54516033,1161777304,Process Industries,114030000,45.7428,,21-Feb-22
BEPL,BHANSALI ENG POLYM,21882950844,137.35,4.0530303,6.97040498,750537,103086257,134.9856319,139.2887431,150.7894144,12919475000,Process Industries,5815632000,4.80764,,21-Feb-22
EIHAHOTELS,EIH ASSOC HOTELS,10960916669,371.8,3.91280045,5.71509809,41329,15366122.2,366.9578767,365.7433894,361.1446423,1013940000,Consumer Services,256880000,,,21-Feb-22
KREBSBIO,KREBS BIOCHEM&INDS,3229775702,155.7,3.86924616,13.15406977,153777,23943078.9,154.6684209,160.9750203,168.4345159,526835000,Health Technology,-287407000,,,21-Feb-22
AURIONPRO,AURIONPRO SOLUTION,6862849144,313.15,3.77796189,3.31573738,85040,26630276,310.8284505,317.49265,307.3562295,3727817000,Technology Services,1049249000,4.61931,,21-Feb-22
PANACEABIO,PANACEA BIOTEC LTD,12565589730,212.95,3.72625426,8.9258312,323419,68872076.05,208.3300109,210.7882951,211.6873867,6179370000,Health Technology,172700000,22.5484,,21-Feb-22
VISESHINFO,VISESH INFOTECNICS,4000902499,1.45,3.57142857,11.53846154,110547580,160293991,1.39350334,1.37175185,1.09939805,4147818,Technology Services,,,,21-Feb-22
STEELXIND,STEEL EXCHANGE IND,20197014099,237.75,3.4820457,2.78858625,341930,81293857.5,232.6676873,230.0273106,203.0948091,8984144297,Non-Energy Minerals,1212357000,,,21-Feb-22
SELAN,SELAN EXPLORATION,2340799971,158.3,3.32898172,5.85088599,322986,51128683.8,154.3969685,153.5560173,149.2844635,488198000,Energy Minerals,237400000,2.24515,,21-Feb-22
VADILALIND,VADILAL INDUSTRIES,7904816011,1134.3,3.0619662,7.58287096,79866,90592003.8,1068.5465,1020.469083,981.4731994,4633133000,Consumer Non-Durables,869153000,18.9274,,21-Feb-22
