Ticker,Description,Market Capitalization,Price,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
MICEL,MIC ELECTRONICS LTD,7845844252,33.95,-3.41394575,-13.83249168,490596,16655734.2,36.71974446,37.45019728,35.57214737,25.68590792,229081000,Health Technology,78400000,101.75311546,5875920000
SATINDLTD,SAT INDUSTRIES LTD,12641772151,108.1,-3.35270451,7.29528536,698361,75492824.1,103.28839978,100.42759167,100.55789993,88.35182799,4608371000,Producer Manufacturing,644497000,16.26612405,9461180000
PAKKA,PAKKA LTD,9931072449,245.4,-3.34777091,4.7822374,249442,61213066.8,244.71856929,245.55179885,233.90406956,,4083082000,Process Industries,906385000,11.48829851,9594160000
TALBROAUTO,TALBROS AUTO,18777703805,293.85,-3.32291813,-12.414307,117668,34576741.80000001,287.76199779,268.27893557,238.64515218,175.25447088,6471832000,Producer Manufacturing,1010807000,19.37865271,13714600000
RCDL,RAJGOR CASTOR DERI,1226880000,49.6,-3.31383827,-11.42857143,102000,5059200,53.7749997,,,,4286624000,Process Industries,,,
MHLXMIRU,MAHALAXMI RUBTECH LTD,2393279148,217.75,-3.30817052,-9.62855364,9590,2088222.5,228.4739422,224.39272533,208.39536146,204.08107725,2604347000,Process Industries,198932000,12.41729912,1928030000
STLTECH,STERLITE TECHNOLOGIES LTD,62703869078,152.05,-3.30683625,2.04697987,2574909,391514913.4500001,151.06488268,149.3883804,151.19958139,157.75265282,68460000000,Technology Services,9260000000,10.19264245,95811600000
DPSCLTD,DPSC LTD,21179924057,21.05,-3.2183908,-1.17370428,718632,15127203.6,21.75344398,20.72366739,18.50242862,14.94047934,6203505000,Utilities,305811000,75.64223673,19042300000
EMKAYTOOLS,EMKAY TAPS AND CUT,6669560000,605,-3.2,-2.41935484,2100,1270500,630.0946015,620.09830857,570.23126727,432.11812323,885951000,Producer Manufacturing,439461000,15.20992989,
SRHHYPOLTD,SREE RAYALASEEMA H,9143699673,516.85,-3.17534476,-6.11262489,51394,26562988.9,541.96537061,551.04551953,574.72803396,585.0346136,16469279999.999998,Process Industries,1520941000,3.93347781,7291410000
SADHNANIQ,SADHANA NITROCHEM LTD,23075260207,90.3,-3.16353887,0.89385475,1471536,132879700.8,92.40536192,93.12449164,91.23078667,,1421584000,Process Industries,348000000,70.98810404,22278700000
TRIL,TRANSFORM & RECTIF,25803601679,188.4,-3.16114109,-6.84796044,304742,57413392.8,192.6306955,186.93491202,170.39775843,118.63778544,13781694000,Producer Manufacturing,885400000,33.23435925,26396600000
ALANKIT,ALANKIT LTD,3244864361,14,-3.11418685,-8.79478827,1068270,14955780,14.07862713,13.2635766,12.08892857,10.97026428,3116883000,Technology Services,291945000,11.43733704,2537400000
NSIL,NALWA SONS INVEST,16562072467.999998,3123.25,-3.10997363,-2.70249221,8657,27037975.25,3122.4747769,2964.44031777,2759.53640492,2440.72444944,1329654000,Finance,646281000,25.94128478,13754500000
SURANASOL,SURANA SOLAR LTD,1423054881,28.15,-3.09810338,-2.93103448,171470,4826880.5,27.76403086,26.72163278,25.32362932,23.3023687,421833000,Electronic Technology,1279000,1112.19615403,1170070000
EROSMEDIA,EROS INTL MEDIA,2172454689,21.9,-3.09734513,15.26315789,1918178,42008098.2,20.75969784,20.05539813,19.48241216,21.72409686,6806300000,Consumer Services,-1264400000,,3192820000
FAZE3Q,FAZE THREE LTD,11620834415,463.55,-3.09397088,-4.41282804,69562,32245465.1,467.15727008,460.18462143,437.76224551,371.86315606,5309600000,Process Industries,888500000,13.7750528,9527570000
OSIAHYPER,OSIA HYPER RETAIL LTD,6691719193,54.9,-3.08914729,-1.96428571,1360706,74702759.39999999,55.20240044,54.47003693,51.83905612,40.05205745,7323969000,Retail Trade,390662000,19.71648943,7214420000
DBL,DILIP BUILDCON LTD,60364849531,400.35,-3.07468595,-5.57783019,1125956,450776484.6,406.67108964,386.33812282,350.38967349,285.03760765,106163361000,Industrial Services,10618589000,11.63350964,108749000000
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,18095032603,103.05,-3.01176471,-5.89041096,1634705,168456350.25,105.31925174,103.03058335,96.44812832,81.91294539,6744030000,Finance,848980000,27.85016444,20677600000
BEARDSELL,BEARDSELL LTD,1865370083,46.85,-3.00206839,-7.59369019,30683,1437498.55,47.72807339,46.66356839,42.61722154,32.62128832,2320122000,Process Industries,203600000,10.60113007,1693030000
