Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
PGEL,PG ELECTROPLAST LTD,16358003684,818.75,5.98019546,1.60709854,82016,67150600,785.28732634,766.225127,732.76005763,600.34495148,7032065000,Electronic Technology,629701000,19.2607,
PARSVNATH,PARSVNATH DEVELOPE,7332803097,17.95,5.89970501,4.05797101,440975,7915501.25,17.35322142,17.06709125,16.97855255,16.14854424,3577369000,Finance,1181762000,394.521,
HUHTAMAKI,HUHTAMAKI INDIA LTD,13329621441,186.75,5.68760611,5.21126761,364294,68031904.5,177.798307,174.07746663,176.47745149,217.10935289,26135400000,Process Industries,1071400000.0000002,20.7783,20963200000
JAGSNPHARM,JAGSONPAL PHARMACE,8027067026,323.3,5.65359477,-0.36979969,112251,36290748.30000001,317.47780647,312.26132928,278.05557655,198.99946885,1879456000,Health Technology,302820000,8.00956,
KAMATHOTEL,KAMAT HOTELS (IND),2050633836.9999995,91.75,5.58112773,15.3362665,923595,84739841.25,81.92717245,77.71702181,69.39435476,56.28377446,636096000,Consumer Services,311554000,59.3553,
BFINVEST,BF INVESTMENT LTD,11464143190,322.45,5.44473512,2.5115244,166425,53663741.25,312.27555561,307.18035842,304.40681835,319.48251103,71830000,Finance,163820000,72.5681,
ANANTRAJ,ANANT RAJ LTD,17263134338,61.45,5.31276778,1.40264026,1495003,91867934.35000002,61.64130368,63.25344041,66.43749599,66.22120319,2496634000,Industrial Services,713800000,91.6928,
HATHWAY,HATHWAY CABLE & DA,35490593718,21.1,5.23690773,4.19753086,15631614,329827055.40000004,20.38127174,19.90816477,19.74560619,22.00698802,17317700000,Consumer Services,4145500000,6.38489,
FCL,FINEOTEX CHEMICAL,21950336648,208.3,5.2020202,-7.38105825,1452778,302613657.40000004,207.78161055,199.56553165,181.71309644,141.11732258,2174356000,Process Industries,625380000,17.3404,
NBVENTURES,NAVA BHARAT VENTUR,24514727966,164.75,5.00318674,1.66615242,3087402,508649479.5,157.92117331,152.14306418,140.93742729,120.05952068,25433360000,Utilities,11956765000,4.23308,
SELMC,SEL MANUFACTURING CO LTD,30851719083,1881.75,4.99958151,27.61953204,3260,6134505,1549.75218977,1295.7626743,868.47868078,,1893957000,Process Industries,-980091000,1.07286,
ASAL,AUTOMOTIVE STAMPIN,9147410951,599.65,4.9991245,10.52437563,27900,16730235,577.59870516,563.79850115,512.84875377,342.74822412,3391302000,Producer Manufacturing,210995000,1760.71,
BIGBLOC,BIGBLOC CONSTRUCTI,9825356893,146.1,4.99461013,23.60406091,313543,45808632.3,128.81379473,117.58897447,98.44171238,62.03629177,1027780483,Non-Energy Minerals,224237000,18.1059,
PENTAGOLD,PENTA GOLD LTD,2599080000,214.45,4.99388005,-0.25581395,21000,4503450,214.79983771,206.72216241,173.9799759,108.23998622,1531246180,Consumer Durables,3624130,93.4172,
DEVIT,DEV INFO TECHNOLOGY LTD,2166796322,206.05,4.99363057,19.72690296,272223,56091549.15000001,177.67652708,162.42504795,,,846376623,Technology Services,39098570,15.0407,
JITFINFRA,JITF INFRALOGISTIC,3678200319,148.3,4.99115044,27.56989247,5858,868741.4,130.43416272,125.59474807,127.14250273,119.4921007,9223260000,Transportation,1156247000,27.6863,
