,,,,,,,,,,,,,,,Sum of Last,Column Labels,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,ASHAPURMIN,,,,105.5,,,,108.7,,,,,,214.2
,,,,,,,,,,,,,1,,ASIANTILES,,,,,,,113,,,,,,,113
,,,,,,,,,,,,,1,,ASTEC,,,,1701.55,,,,,,,,,,1701.55
,,,,,,,,,,,,,1,,ATGL,,,,,,,,,,,,,1641.8,1641.8
,,,,,,,,,,,,,2,,ATUL,,,9635.4,,,,9600.15,,,,,,,19235.55
,,,,,,,,,,,,,2,,AURIONPRO,,,,,,,,,,301.75,313.15,,,614.9
,,,,,,,,,,,,,1,,AURUM,,,,,,,,,132.3,,,,,132.3
,,,,,,,,,,,,,2,,AUSOMENT,89,106.75,,,,,,,,,,,,195.75
,,,,,,,,,,,,,2,,AUTOAXLES,,,,1570.4,,,,,,,,,1508.5,3078.9
,,,,,,,,,,,,,3,,AVADHSUGAR,,,649.25,,,,582.35,,,,,,560.5,1792.1
,,,,,,,,,,,,,2,,AVTNPL,,103.75,,,,,,,,,,,91.65,195.4
,,,,,,,,,,,,,1,,BAJAJCON,,,,,,,173.15,,,,,,,173.15
,,,,,,,,,,,,,3,,BAJAJHCARE,426.05,,,,,,,,,,,373.9,390.9,1190.85
,,,,,,,,,,,,,3,,BAJAJHIND,,,16.95,,,,,15.25,,,,,14,46.2
,,,,,,,,,,,,,6,,BALAJITELE,76.85,,75.45,87.1,,,75.75,79.55,,,,78.15,,472.85
,,,,,,,,,,,,,2,,BALAMINES,,,,,,,,3047.8,,,,,2905.25,5953.05
,,,,,,,,,,,,,1,,BALMLAWRIE,,,,,,,,,,127.6,,,,127.6
,,,,,,,,,,,,,1,,BALPHARMA,,,,,,,,,,,,,119.65,119.65
,,,,,,,,,,,,,1,,BANCOINDIA,,,,166.7,,,,,,,,,,166.7
,,,,,,,,,,,,,1,,BANSWRAS,,,,,,,,233.55,,,,,,233.55
,,,,,,,,,,,,,1,,BASF,,,,,,,,2825.15,,,,,,2825.15
,,,,,,,,,,,,,1,,BASML,,,,89.6,,,,,,,,,,89.6
