Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),,,Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
SHREYAS,SHREYAS SHIP & LO,6591651067,309.85,3.02576891,6.5875473,123385,38230842.25,302.2023211,296.0856301,283.2636136,251.0843481,5599800000,Transportation,1744100000,5.3812,,7-Mar-22,,,,,,,,,,,,,,,,,,
UNIDT,UNITED DRILLING TOOLS LTD,9527242480,483.35,3.00479489,6.20742694,62374,30148472.9,464.3906832,474.8633454,479.9343594,411.8370933,1428536000,Industrial Services,677783000,13.3842,,7-Mar-22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESHWARI,MAHESHWARI LOGISTI,2191672638,87.5,18.16340311,15.89403974,1004630,87905125,78.78706138,80.58145786,84.87023239,93.49085211,6759606000,Transportation,586823000,7.66675,,4-Mar-22,,,,,,,,,,,,,,,,,,
PRESSMN,PRESSMAN ADVERTISI,1039115820,48.75,9.9210823,35.79387187,501925,24468843.75,41.09039685,40.25216531,37.96857504,31.73456348,169969000,Commercial Services,36961000,3.34673,,4-Mar-22,,,,,,,,,,,,,,,,,,
TTKHLTCARE,TTK HEALTHCARE,9891939407,773.5,9.91899957,17.07280157,129029,99803931.5,704.3986647,698.7506458,696.5167883,671.5684422,6365279000,Health Technology,564159000,13.7607,,4-Mar-22,,,,,,,,,,,,,,,,,,
MTNL,MAHANAGAR TELEP NI,14395500240,25.1,9.84682713,14.35079727,5008866,125722536.6,23.54090182,24.67545883,26.08695448,22.5358304,13877100000,Communications,-1763300000,228.206,,4-Mar-22,,,,,,,,,,,,,,,,,,
LASA,LASA SUPERGENERICS,1840438248,49.05,8.39779006,8.39779006,206577,10132601.85,46.9654683,50.69095089,57.99080808,66.35628511,2021186000,Process Industries,137857000,5.4433,,4-Mar-22,,,,,,,,,,,,,,,,,,
NEULANDLAB,NEULAND LABORITIE,13477155584,1136.15,8.060681,7.51869026,142072,161415102.8,1098.80741,1162.618009,1327.115782,1569.569103,9242652000,Health Technology,1264692000,20.6212,,4-Mar-22,,,,,,,,,,,,,,,,,,
CEATLTD,CEAT LTD,39774575280,1059,7.83015986,8.76598367,311337,329705883,1005.308401,1024.827777,1077.762466,1198.195168,75785000000,Consumer Durables,7814200000,8.11418,,4-Mar-22,,,,,,,,,,,,,,,,,,
NDTV,NEW DELHI TELEVISI,10009164310,167.7,7.81099325,16.4987843,624491,104727140.7,153.5791114,147.1229158,131.7990559,97.58963892,3576290000,Consumer Services,678900000,5.41788,,4-Mar-22,,,,,,,,,,,,,,,,,,
LAOPALA,LA-OPALA RG LTD,37157250000,360.65,7.65671642,8.36838942,860429,310313718.8,345.5556481,354.9719192,369.1750187,329.5038718,2104649000,Consumer Durables,1172838000,30.8166,,4-Mar-22,,,,,,,,,,,,,,,,,,
3IINFOLTD,3I INFOTECH LTD,8382630835,52.5,5,1.74418605,1099713,57734932.5,54.23071725,60.14477435,71.32660735,76.2972087,6086200000,Technology Services,-896700000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
EKC,EVEREST KANTO CYLI,21583147884,201.75,4.9960968,7.74365821,449812,90749571,200.0625313,211.6151589,214.537155,158.7635443,9491299000,Producer Manufacturing,3381700000,6.49422,,4-Mar-22,,,,,,,,,,,,,,,,,,
DUCON,DUCON INFRATECHNOL,5800038255,29.5,4.98220641,21.14989733,671385,19805857.5,25.41744364,24.29719228,22.25583946,15.58894676,3419538000,Distribution Services,127718000,13.1171,,4-Mar-22,,,,,,,,,,,,,,,,,,
DBREALTY,DB REALTY LTD,25505682062,109.8,4.97131931,19.34782609,1399518,153667076.4,102.2323398,100.3821975,85.82235589,51.59491969,468336000,Finance,-653155000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
MEGASOFT,MEGASOFT LTD,3304897844,47.8,4.93962678,17.87916153,248776,11891492.8,46.49125816,50.67201629,53.94594795,36.61689488,594022000,Technology Services,-56720000,15.8211,,4-Mar-22,,,,,,,,,,,,,,,,,,
URJA,URJA GLOBAL LTD,8191449860,16.05,4.90196078,20.67669173,1766555,28353207.75,15.45365538,16.89468729,17.91057255,12.584911,1484595154,Utilities,6922000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
SIMPLEXINF,SIMPLEX INFRASTRUC,2328569852,42.85,4.89596083,21.21640736,262126,11232099.1,39.29082215,40.27779905,42.17626141,41.92751833,22000300000,Industrial Services,707000000,214.093,,4-Mar-22,,,,,,,,,,,,,,,,,,
MBAPL,MADHYA BHARAT AGRO P. LTD,7343138300,351.45,4.84785203,32.72280967,159336,55998637.2,293.4296161,267.2278191,230.1593431,174.18404,1311025000,Process Industries,795013000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
ACRYSIL,ACRYSIL LTD,18032392412,708.2,4.77881343,4.40038328,140290,99353378,696.1678067,715.0063473,751.7175256,657.3621423,3015393000,Consumer Durables,954403000,15.5143,,4-Mar-22,,,,,,,,,,,,,,,,,,
SINTEX,SINTEX INDUSTRIES,5057399302,8.85,4.73372781,9.9378882,3482676,30821682.6,8.5523068,9.14175827,10.29249183,8.16419302,16957100000,Process Industries,3893600000,48.9498,,4-Mar-22,,,,,,,,,,,,,,,,,,
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,7924025435,394.8,4.55508475,18.18590031,152981,60396898.8,353.8173279,333.5123647,286.0697968,,1151793679,Finance,682433000,2.05895,,4-Mar-22,,,,,,,,,,,,,,,,,,
CENTEXT,CENTURY EXTRUSIONS,1004000015,13,4.41767068,28.71287129,2712518,35262734,11.45306454,11.54351709,11.72278709,9.94398552,1873300000,Producer Manufacturing,193900000,4.44467,,4-Mar-22,,,,,,,,,,,,,,,,,,
CHALET,CHALET HOTELS LTD,52035061371,263.55,4.19055149,0.89969372,1560306,411218646.3,258.4364124,255.4019251,247.4537991,220.5102453,2943870000,Consumer Services,688640000,669.782,,4-Mar-22,,,,,,,,,,,,,,,,,,
CAMLINFINE,CAMLIN FINE SCIENC,17185949529,140.25,4.15893056,9.31410756,487193,68328818.25,134.2746553,137.063445,142.6217114,151.5504991,11808762000,Process Industries,1798028000,12.3406,,4-Mar-22,,,,,,,,,,,,,,,,,,
FLFL,FUTURE LIFESTYLE F,11037085643,56.9,4.02193784,10.70038911,502659,28601297.1,52.82035732,51.73668352,51.88903016,61.12670352,22767200000,Consumer Non-Durables,1581600000,149.348,,4-Mar-22,,,,,,,,,,,,,,,,,,
ISMTLTD,ISMT LTD,7786548214,54.35,3.91969407,13.94129979,248473,13504507.55,50.90741987,50.90148238,50.49271802,37.69799372,12488200000,Non-Energy Minerals,874700000,125.403,,4-Mar-22,,,,,,,,,,,,,,,,,,
BIRLACABLE,BIRLA CABLE LTD,4156500092,143.6,3.68231047,5.47190599,1898164,272576350.4,134.3465216,126.8397413,113.860595,94.42082587,3256412000,Producer Manufacturing,378324000,10.7048,,4-Mar-22,,,,,,,,,,,,,,,,,,
LUMAXTECH,LUMAX AUTO TECHNOL,10850705566,165.3,3.63636364,-0.03023889,136826,22617337.8,168.1758806,173.6934337,173.905222,156.5682337,11079285000,Producer Manufacturing,1486733000,10.8806,,4-Mar-22,,,,,,,,,,,,,,,,,,
STAR,STRIDES PHARMA SCI,27722728739,319.6,3.63164721,-3.37112623,2306258,737080056.8,331.9008875,351.7234023,394.3345475,537.255412,32802660000,Health Technology,1073630000,18.74,,4-Mar-22,,,,,,,,,,,,,,,,,,
ISGEC,ISGEC HEAVY ENG LTD,40077262958,565.5,3.60938073,2.65020875,112252,63478506,556.3576883,571.1201665,596.9290361,653.6059786,52701661000,Producer Manufacturing,3233600000,13.4344,,4-Mar-22,,,,,,,,,,,,,,,,,,
HCG,HEALTHCARE GLOBAL,32468786151,246.15,3.55490114,6.44324324,912994,224733473.1,235.2785212,236.9990444,240.4467959,228.2996256,10091850000,Health Services,2109100000,24.4232,,4-Mar-22,,,,,,,,,,,,,,,,,,
SHARDAMOTR,SHARDA MOTOR INDUS,21131756254,737.65,3.53709032,2.86570911,45343,33447263.95,726.1063658,741.0565802,765.3779186,665.4957167,17365360000,Producer Manufacturing,2159522000,6.85302,,4-Mar-22,,,,,,,,,,,,,,,,,,
SIYSIL,SIYARAM SILK,20986077890,464.55,3.53242701,1.70771757,130377,60566635.35,454.6017646,457.9054897,455.6637016,396.8246819,10892457000,Process Industries,2955600000,16.5742,,4-Mar-22,,,,,,,,,,,,,,,,,,
MAPMYINDIA,C.E. INFO SYSTEMS LTD,74774427684,1452.45,3.45453898,3.0033331,496364,720943891.8,1416.210748,1440.696526,1541.595694,,1524630000,Industrial Services,,,,4-Mar-22,,,,,,,,,,,,,,,,,,
GSFC,GUJARAT STATE FER,48873270774,126.8,3.42577488,4.27631579,3638100,461311080,124.3676558,125.3350325,125.3081965,116.5572082,54864750000,Process Industries,10470200000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
HEG,HEG LTD,42711720507,1141.75,3.20437494,-0.28384279,633805,723646858.8,1184.598504,1287.374352,1493.591225,1773.314703,12408147000,Electronic Technology,4066300000,,,4-Mar-22,,,,,,,,,,,,,,,,,,
ROSSELLIND,ROSSELL INDIA LTD,5025582274,140.8,3.18798095,14.14673693,273862,38559769.6,133.8611058,135.1514054,139.4744854,142.3758773,3152317000,Electronic Technology,413496000,8.80336,,4-Mar-22,,,,,,,,,,,,,,,,,,
ECLERX,ECLERX SERVICES,73506528133,2241.75,3.14246935,2.33964848,82023,183875060.3,2200.403685,2261.387118,2350.741091,2099.184306,15644910000,Technology Services,6360210000,7.00101,,4-Mar-22,,,,,,,,,,,,,,,,,,
ALLSEC,ALLSEC TECHNOLOGIE,7926977409,536.7,3.12229801,9.84445354,34876,18717949.2,520.672631,542.0618653,563.342196,492.1035273,2766900000,Commercial Services,775800000,4.28353,8669180000,4-Mar-22,,,,,,,,,,,,,,,,,,
DEEPAKFERT,DEEPAK FERTILISERS,70058475143,598.65,3.09997417,11.05648827,808034,483729554.1,566.6703454,557.5684564,518.6703637,416.3053419,58084900000,Process Industries,11274500000,4.49622,,4-Mar-22,,,,,,,,,,,,,,,,,,
ATGL,ADANI TOTAL GAS LTD,1.92E+12,1805.2,3.08065667,14.74701246,307022,554236114.4,1687.135018,1702.946943,1719.252123,1440.601698,16956000000,Utilities,8465300000,149.17,,4-Mar-22,,,,,,,,,,,,,,,,,,
TASTYBITE,TASTY BITE EATABLE,28878405328,11621.95,3.07807608,-2.11116352,1591,18490522.45,11789.59577,12141.07248,12871.22907,14490.96574,3853130000,Consumer Non-Durables,426950000,69.564,,4-Mar-22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STCINDIA,STATE TRD CORP IND,5465999908,109.25,19.98901702,29.98215348,583111,63704876.75,96.59654987,98.93599047,101.8466252,99.51907656,2498100000,Distribution Services,-751300000,,,3-Mar-22,,,,,,,,,,,,,,,,,,
KRISHANA,KRISHANA PHOSCHEM LTD,5466876860,221.3,19.97831391,29.07553223,114060,25241478,192.6554138,191.9296869,185.1203658,155.3461536,1477831000,Process Industries,,,,3-Mar-22,,,,,,,,,,,,,,,,,,
KOTHARIPRO,KOTHARI PRODUCTS,3164941713,128.9,19.96277338,66.00128783,1068824,137771413.6,100.5648043,99.94597913,100.2822519,95.12545936,31170500000,Finance,-172300000,,,3-Mar-22,,,,,,,,,,,,,,,,,,
THEINVEST,THE INVESTMENT TRU,5051562384,118.1,19.95937024,21.19035403,126779,14972599.9,103.7444807,105.3365134,107.3359168,109.2897783,3039165000,Finance,242078000,6.17646,,3-Mar-22,,,,,,,,,,,,,,,,,,
FELDVR,FUTURE ENTERPRISES,5562850948,18.35,19.93464052,71.4953271,688308,12630451.8,13.68693605,13.31492322,13.17273262,12.92506366,14221400000,Process Industries,2477900000,42.4118,,3-Mar-22,,,,,,,,,,,,,,,,,,
MCL,MADHAV COPPER LTD,1077569232,47.6,19.89924433,106.9565217,1351523,64332494.8,34.40802884,33.14665411,33.28147819,44.88703685,3833474000,Producer Manufacturing,20973910,26.8928,,3-Mar-22,,,,,,,,,,,,,,,,,,
NAHARPOLY,NAHAR POLY FILMS,10174510671,479.45,16.10364451,39.35474495,921282,441708654.9,414.1013299,402.2134763,362.8369471,262.2820827,3034307000,Process Industries,881286000,4.99336,,3-Mar-22,,,,,,,,,,,,,,,,,,
ORIENTHOT,ORIENTAL HOTELS,8394161560,54.4,15.62167906,16.36363636,1684609,91642729.6,50.68569865,51.72190852,50.16094526,41.16869439,1158802000,Consumer Services,176600000,,,3-Mar-22,,,,,,,,,,,,,,,,,,
