Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
SRHHYPOLTD,SREE RAYALASEEMA H,5701294764,387.65,16.77963549,16.6040006,369868,143379330.2,345.9639936,342.2222981,338.1883567,9101500000,Process Industries,1219333000,2.59167,4375900000,15-Feb-22
ACCURACY,ACCURACY SHIPPING LTD,3047330000,231.55,14.40217391,21.61239496,274315,63517638.25,204.4309533,203.4235542,199.6746565,3746570000,Transportation,459090000,,,15-Feb-22
TCPLPACK,TCPL PACKAGING LTD,5242509998,642.85,11.70286707,3.211046,89160,57316506,588.5482146,569.7789567,547.2883407,8915808000,Commercial Services,1430952000,6.05307,,15-Feb-22
KOPRAN,KOPRAN LTD,11669013116,297.25,10.52240193,-1.40961857,297166,88332593.5,293.6342068,296.5516187,291.3466633,4822561000,Health Technology,797759000,6.91197,,15-Feb-22
TANLA,TANLA PLATFORMS L,1.97401E+11,1597.05,9.99724499,-2.56840436,318410,508516690.5,1624.458463,1687.685407,1683.260561,23414655000,Technology Services,6500948000,24.8386,,15-Feb-22
ANANTRAJ,ANANT RAJ LTD,19741943822,73.4,9.96254682,-1.93720775,1307921,96001401.4,74.14674166,75.83427209,75.380031,2496634000,Industrial Services,713800000,91.6928,,15-Feb-22
IZMO,IZMO LTD,1058022730,86.65,9.96192893,1.16754232,146620,12704623,86.11626463,87.89889445,87.76956385,1161430892,Retail Trade,246261000,2.19986,1130870000,15-Feb-22
COFFEEDAY,COFFEE DAY ENTERPR,11735033121,60.9,9.92779783,-2.79329609,6230036,379409192.4,62.0944219,62.42544129,56.25805238,8534200000,Consumer Services,-485500000,,,15-Feb-22
CAPACITE,CAPACIT'E INFRAPRO,8771580915,141.75,9.84114684,-0.66573231,452037,64076244.75,143.7408355,149.6073291,159.2803512,8797219000,Industrial Services,2241973000,10.8013,,15-Feb-22
SHEMAROO,SHEMAROO ENTERTAIN,2923449945,118.6,9.66250578,2.68398268,431565,51183609,116.5402276,118.4758015,122.9149632,3111139000,Consumer Services,382400000,29.5265,,15-Feb-22
GOKEX,GOKALDAS EXPORTS L,20596666494,381.75,9.54088953,-2.99834837,518339,197875913.3,383.6492206,380.7790452,349.0121764,11635993000,Process Industries,1411983000,13.9502,,15-Feb-22
CLEDUCATE,CL EDUCATE LTD,2925212512,113.85,9.47115385,11.50832517,97491,11099350.35,110.8369697,112.6045869,112.0670719,1844994000,Commercial Services,-11668000,,,15-Feb-22
CAPTRUST,CAPITAL TRUST LTD.,1820207515,122.3,9.34286992,0.65843621,126885,15518035.5,120.3433953,122.5793356,119.982837,1103108000,Finance,-40884000,6.08462,,15-Feb-22
KITEX,KITEX GARMENTS LTD,15328250000,251.95,8.88072602,-2.70322456,995157,250729806.1,253.8987117,251.5829019,230.6065006,4348212000,Consumer Non-Durables,1338407000,5.58914,,15-Feb-22
SPICEJET,SPICEJET LTD,35632231796,64,8.84353741,5.09031199,9938100,636038400,61.75554798,62.20564712,64.75967815,51426500000,Transportation,-5161690000,,1.41962E+11,15-Feb-22
RAJMET,RAJNANDINI METAL LTD,4226460000,248.4,8.32969908,17.05937795,221367,54987562.8,217.3328997,206.0822023,187.2619253,6309174000,Distribution Services,152885000,,,15-Feb-22
MANAKSIA,MANAKSIA LTD,4610320317,75.6,8.15450644,2.85714286,550709,41633600.4,74.39790229,74.62638302,72.60245543,8610365000,Producer Manufacturing,1602727000,-2.78819,,15-Feb-22
HGINFRA,H.G. INFRA ENGINEE,38187013907,633.85,8.11940299,-1.69057774,207039,131231670.2,615.7785025,608.2418257,609.3507055,25677900000,Industrial Services,6979710000,5.45977,,15-Feb-22
AMBIKCO,AMBIKA COTTON MILL,13458616585,2541.3,8.05536067,-1.9276411,87060,221245578,2452.89064,2343.236046,2173.785301,6152451000,Process Industries,2491900000,4.51087,,15-Feb-22
UGARSUGAR,UGAR SUGAR WORKS,5169375086,49.35,7.9868709,11.14864865,1498777,73964644.95,44.54469583,40.48820586,35.50847794,9099554000,Process Industries,944581000,35.4491,,15-Feb-22
RUSHIL,RUSHIL DECOR LTD,7027712361,382.1,7.9073708,0.81794195,85839,32799081.9,372.3339352,367.9364052,359.4199671,3354438484,Producer Manufacturing,532423000,20.2083,,15-Feb-22
CHEMFAB,CHEMFAB ALKALIS,2609099836,200,7.87486516,-5.3030303,53543,10708600,200.8357364,196.1318292,183.1180502,1808113000,Process Industries,405587000,6.12841,,15-Feb-22
PRECOT,PRECOT LTD,3904200073,350.5,7.73013678,0.12855306,51042,17890221,348.9664004,346.1719753,328.2374297,6620008000,Process Industries,1892800000,4.93329,,15-Feb-22
DREDGECORP,DREDGING CORP IND,9098600342,349.55,7.68638324,-1.31281762,1358908,475006291.4,345.1455632,341.9208877,336.6228089,7637640000,Transportation,47033000,,,15-Feb-22
GRAVITA,GRAVITA INDIA LTD,23904376497,378.45,7.49893481,0.4512276,349967,132445011.2,368.5192018,354.3652267,314.4107411,14067282000,Non-Energy Minerals,1833791000,7.23428,,15-Feb-22
TCIEXP,TCI EXPRESS LTD,63702424584,1783.25,7.2696102,0.99966017,41500,74004875,1806.400802,1895.647627,1991.814832,8439900000,Transportation,1789000000,26.0405,,15-Feb-22
RTNINDIA,RATTANINDIA ENT LTD,66487168216,51.55,7.17255717,-2.36742424,2770507,142819635.9,52.21135538,53.25080887,52.72306837,1000000,Utilities,-28793000,,,15-Feb-22
NIITLTD,NIIT,53375387328,428.1,7.14553873,-2.03661327,1466312,627728167.2,430.1072636,435.2836691,429.3103085,9494940000,Commercial Services,2943700000,3.71434,,15-Feb-22
PENIND,PENNAR INDUSTRIES,5217354003,39.1,7.12328767,-12.52796421,1931251,75511914.1,41.25107755,40.98304819,37.88565833,15253500000,Non-Energy Minerals,1661500000,7.86177,,15-Feb-22
INOXWIND,INOX WIND LTD,26130869568,125.9,7.10336027,-3.19108035,925750,116551925,127.2266747,126.6591421,125.014577,7107264000,Producer Manufacturing,-1225900000,,,15-Feb-22
TALBROAUTO,TALBROS AUTO,5728989308,496.45,6.95895723,-2.14841825,64365,31954004.25,510.4138206,521.462623,484.6405772,4441972000,Producer Manufacturing,764320000,6.07266,,15-Feb-22
JASH,JASH ENGINEERING LTD,5908446656,532.05,6.95547291,18.48346509,118508,63052181.4,481.5038715,474.1572225,470.4631049,2984360000,Producer Manufacturing,501459000,8.03028,,15-Feb-22
SIYSIL,SIYARAM SILK,20665017563,474.45,6.94240956,-1.48463455,191613,90910787.85,475.5702914,470.6182513,457.3321021,10892457000,Process Industries,2955600000,16.5742,,15-Feb-22
GLOBUSSPR,GLOBUS SPIRITS LTD,33555466433,1246.8,6.92050424,-7.50055642,380953,474972200.4,1363.126958,1419.448688,1404.097084,12302643000,Consumer Non-Durables,3321826000,4.07241,,15-Feb-22
PPAP,PPAP AUTOMOTIVE LTD,2843400085,216.8,6.87700271,-8.19394453,57940,12561392,225.3657309,229.5463517,232.328777,3218770000,Producer Manufacturing,433609000,9.73054,,15-Feb-22
EXXARO,EXXARO TILES LTD,5386824871,128.3,6.87213661,1.10323089,423467,54330816.1,127.9625457,131.1202671,136.7707411,2542370000,Producer Manufacturing,,,,15-Feb-22
JTLINFRA,JTL INFRA LTD,13654475105,246.65,6.82113469,-1.04312939,250910,61886951.5,245.2987522,244.0828494,,4357610000,Non-Energy Minerals,658914000,18.677,,15-Feb-22
MACPOWER,MACPOWER CNC MACHINES LTD,2043360000,217.95,6.70746634,-5.91409454,54054,11781069.3,224.050742,226.5216658,218.4494194,1127600000,Producer Manufacturing,194154000,,,15-Feb-22
SAKSOFT,SAKSOFT LTD,9304355502,938.25,6.67993178,-2.39779465,66427,62325132.75,952.471768,969.7671715,977.058569,3858070000,Technology Services,724234000,4.88332,,15-Feb-22
