BSE_Code,Date,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Company Name,NSE_Code
590138,231020,2988,2959,203.47,204.73,B ,,
717504,231020,3,3,96.0,91.25,F ,,
717505,231020,5408,5407,10.35,10.35,F ,,
750810,231020,224294,224294,6.73,5.59,R ,,
800251,231020,13,12,6010.0,5949.95,G ,,
800252,231020,1,1,6000.0,6000.0,G ,,
800253,231020,1,1,6099.96,6099.96,G ,,
800254,231020,9,9,5970.0,5966.0,G ,,
800265,231020,1,1,6000.0,5810.0,G ,,
800268,231020,10,10,6147.0,5900.0,G ,,
800274,231020,4,4,5853.03,5935.0,G ,,
800297,231020,1,1,6090.0,5925.0,G ,,
800313,231020,5,5,6000.0,5989.0,G ,,
800318,231020,25,21,5999.0,5990.0,G ,,
800320,231020,125,79,5979.98,5930.01,G ,,
800324,231020,72,72,5950.01,5890.0,G ,,
800325,231020,53,51,5986.11,5990.21,G ,,
800327,231020,112,102,5945.0,5945.0,G ,,
800328,231020,15,15,5943.0,5911.67,G ,,
800330,231020,200,200,95.0,95.0,G ,,
800332,231020,1,1,5911.0,5865.11,G ,,
800340,231020,58,58,5956.0,5913.11,G ,,
800341,231020,1,1,5930.0,5985.0,G ,,
800434,231020,3,2,5961.0,5930.0,G ,,
800437,231020,152,104,5973.03,5923.55,G ,,
800439,231020,8,5,5975.0,5870.0,G ,,
800442,231020,114800,114800,102.6,102.6,G ,,
800444,231020,10000,10000,98.55,101.75,G ,,
800452,231020,200,200,99.7,99.7,G ,,
800488,231020,2,2,6000.0,6000.0,G ,,
800489,231020,50,50,100.5,102.1,G ,,
800520,231020,10000,10000,100.0,100.0,G ,,
800574,231020,35000,35000,103.75,102.0,G ,,
800575,231020,15,15,5960.0,5936.0,G ,,
800578,231020,100,100,100.0,101.0,G ,,
800580,231020,220,169,6020.0,6046.2,G ,,
800581,231020,4760,4760,99.35,99.45,G ,,
800584,231020,80,80,98.95,98.95,G ,,
800596,231020,89,34,5927.06,5925.0,G ,,
890157,231020,204,151,561.65,564.85,A ,,
890168,231020,5654,5291,65.93,68.0,B ,,
890179,231020,17855486,17855486,1.0,1.05,XT,,
890187,231020,68337,5862,12.12,12.13,A ,,
890188,231020,37,37,65.41,66.74,XT,,
890189,231020,49500,26923,23.13,25.0,X ,,
935383,231020,67865,67865,10.51,10.54,F ,,
935506,231020,146,146,1021.81,1039.9,F ,,
935510,231020,351,351,1114.0,1095.51,F ,,
935540,231020,43,43,1085.0,1085.0,F ,,
935548,231020,41,41,1226.05,1234.0,F ,,
935582,231020,3,3,1145.0,1350.0,F ,,
935616,231020,100,100,1088.0,1088.0,F ,,
935642,231020,50,50,1171.0,1180.0,F ,,
935662,231020,1,1,1040.0,1040.0,F ,,
935666,231020,900,885,1133.5,1132.0,F ,,
935672,231020,2,2,1082.11,1050.1,F ,,
935682,231020,402,400,1129.0,1124.0,F ,,
935686,231020,10,10,1140.0,1210.0,F ,,
935690,231020,20,20,1169.0,1168.5,F ,,
935712,231020,10,10,1986.0,1974.0,F ,,
935752,231020,190,190,1051.0,1054.8,F ,,
936224,231020,300,300,1039.1,1026.0,F ,,
936226,231020,1,1,1009.0,1002.0,F ,,
936254,231020,12,12,960.01,963.5,F ,,
936308,231020,423,423,998.0,1000.0,F ,,
936372,231020,300,196,1621.0,1620.0,F ,,
936374,231020,200,200,1625.0,1625.0,F ,,
936380,231020,150,150,1080.0,1084.0,F ,,
936384,231020,300,300,1110.7,1090.0,F ,,
936386,231020,100,100,1022.0,1040.0,F ,,
936394,231020,50,50,1076.9,1076.0,F ,,
936396,231020,192,96,1582.82,1586.0,F ,,
936398,231020,543,475,1004.0,1030.0,F ,,
936412,231020,500,400,1077.96,1074.0,F ,,
936416,231020,145,145,1096.71,1095.0,F ,,
936452,231020,500,500,1019.9,1000.0,F ,,
936464,231020,164,164,1517.0,1520.5,F ,,
936482,231020,80,80,1004.8,1000.0,F ,,
936492,231020,96,96,1544.0,1565.0,F ,,
936504,231020,100,100,998.0,1000.0,F ,,
936506,231020,4,4,1065.35,1038.7,F ,,
936508,231020,36,36,1548.0,1557.8,F ,,
936520,231020,500,500,1058.05,1058.0,F ,,
936524,231020,5,5,1005.55,991.0,F ,,
936544,231020,90,90,1053.8,1053.8,F ,,
936550,231020,81,81,1527.0,1527.02,F ,,
936574,231020,135,85,1062.1,1079.0,F ,,
936604,231020,130,130,1001.05,1000.02,F ,,
936606,231020,600,600,1503.0,1500.66,F ,,
936718,231020,190,190,1025.2,1026.2,F ,,
936722,231020,5,5,950.0,949.99,F ,,
936736,231020,41,41,1037.6,1030.0,F ,,
936762,231020,17,17,1485.0,1485.0,F ,,
936806,231020,1,1,1015.0,1015.0,F ,,
936810,231020,1095,850,1039.0,1034.25,F ,,
936930,231020,20,20,1010.0,1010.0,F ,,
936936,231020,75,75,1006.0,1006.75,F ,,
936953,231020,124,124,1001.91,1005.0,F ,,
936971,231020,225,225,1067.15,1090.81,F ,,
936975,231020,78,78,936.9,960.0,F ,,
937009,231020,149,100,1067.06,1067.29,F ,,
937023,231020,3,3,1005.0,1005.0,F ,,
937037,231020,2000,2000,1405.0,1445.0,F ,,
937071,231020,500,500,1099.0,1020.0,F ,,
937085,231020,70,70,997.9,999.0,F ,,
937087,231020,100,100,1040.0,1038.0,F ,,
937093,231020,128,128,990.0,990.0,F ,,
937295,231020,8,8,999.0,980.0,F ,,
937317,231020,9,9,1230.0,1231.0,F ,,
937337,231020,100,100,1246.29,1263.5,F ,,
937339,231020,21,21,958.99,944.0,F ,,
