NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
UCAL,231020,12330,12330,BE,12330,137.6,134.5,,
DIACABS,231019,39,39,BE,39,62.65,61.45,,
DOLPHIN,231019,122,122,BE,122,497.0,488.2,,
GATECHDVR,231019,81427,81427,BE,81427,11.85,11.3,,
GTECJAINX,231019,1069,1069,BE,1069,100.85,102.9,,
GVPTECH,231019,68637,68637,BE,68637,14.25,14.4,,
LLOYDSENGG,231019,1623568,1623568,BE,1623568,48.05,45.8,,
SAMPANN,231019,18303,18303,BE,18303,16.8,17.35,,
SEMAC,231019,2601,2601,BE,2601,2371.5,2330.0,,
SICALLOG,231019,1273,1273,BE,1273,129.8,123.65,,
TCLCONS,231019,3216,3216,BE,3216,29.3,30.8,,
UCAL,231019,5783,5783,BE,5783,134.5,134.65,,
