NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
ICICIGOLD,231020,709436,460824,EQ,709436,53.13,52.38,,
ICICIINFRA,231020,8868,8850,EQ,8868,63.45,63.97,,
ICICILIQ,231020,199070,136667,EQ,199070,999.99,999.99,,
ICICILOVOL,231020,218157,210435,EQ,218157,163.78,164.31,,
ICICIM150,231020,23668,20295,EQ,23668,153.03,154.08,,
ICICIMCAP,231020,16388,14043,EQ,16388,119.96,121.0,,
ICICIMOM30,231020,56268,50202,EQ,56268,23.06,23.32,,
ICICINF100,231020,1917,1357,EQ,1917,213.82,214.78,,
ICICINIFTY,231020,2220366,1085695,EQ,2220366,214.2,215.46,,
ICICINV20,231020,61934,55581,EQ,61934,113.95,114.92,,
ICICINXT50,231020,40830,32297,EQ,40830,46.1,46.55,,
ICICIPHARM,231020,13634,7371,EQ,13634,96.7,97.73,,
ICICIQTY30,231020,77,64,EQ,77,164.5,166.06,,
ICICISENSX,231020,991,860,EQ,991,728.7,729.56,,
ICICISILVE,231020,281624,242619,EQ,281624,73.4,72.95,,
ICICITECH,231020,187505,79270,EQ,187505,33.07,33.1,,
IDFNIFTYET,231020,256,248,EQ,256,209.93,210.61,,
INFRABEES,231020,2258,2014,EQ,2258,645.32,650.28,,
ITBEES,231020,6325332,4670460,EQ,6325332,33.12,33.22,,
IVZINGOLD,231020,243,241,EQ,243,5369.9,5333.75,,
JUNIORBEES,231020,88440,68471,EQ,88440,473.44,477.16,,
KOTAKALPHA,231020,84846,45993,EQ,84846,35.07,35.36,,
KOTAKBKETF,231020,13219,12705,EQ,13219,445.75,446.47,,
KOTAKCONS,231020,2343,1001,EQ,2343,85.46,86.32,,
KOTAKGOLD,231020,254289,215623,EQ,254289,51.72,51.12,,
KOTAKIT,231020,98768,93351,EQ,98768,32.93,32.95,,
KOTAKLIQ,231020,10,0,EQ,10,999.99,999.99,,
KOTAKLOVOL,231020,10187,7371,EQ,10187,15.39,15.46,,
KOTAKMID50,231020,23981,11042,EQ,23981,114.84,116.26,,
KOTAKMNC,231020,9115,8650,EQ,9115,22.96,22.4,,
KOTAKNIFTY,231020,14619,10625,EQ,14619,209.78,210.75,,
KOTAKNV20,231020,13999,6734,EQ,13999,115.51,117.3,,
KOTAKPSUBK,231020,49810,28896,EQ,49810,494.46,501.88,,
KOTAKSILVE,231020,17030,15918,EQ,17030,71.14,70.94,,
LICMFGOLD,231020,394,221,EQ,394,5549.1,5465.0,,
LICNETFGSC,231020,45891,43024,EQ,45891,23.85,23.85,,
LICNETFN50,231020,198,140,EQ,198,211.18,212.19,,
LICNETFSEN,231020,419,248,EQ,419,718.85,728.99,,
LICNFNHGP,231020,78,43,EQ,78,208.15,209.41,,
LIQUID,231020,221585,184794,EQ,221585,999.99,999.99,,
LIQUIDBEES,231020,1679118,1321616,EQ,1679118,1000.0,999.99,,
LIQUIDETF,231020,251696,218537,EQ,251696,999.99,999.99,,
LORDSCHLO,231020,11875,7346,EQ,11875,166.35,171.05,,
LTGILTBEES,231020,259952,165215,EQ,259952,24.19,24.19,,
MAFANG,231020,255369,154394,EQ,255369,61.25,61.55,,
MAHKTECH,231020,468306,361513,EQ,468306,13.57,13.6,,
MAKEINDIA,231020,4287,3815,EQ,4287,98.48,99.42,,
MASPTOP50,231020,181221,148023,EQ,181221,31.65,31.88,,
MID150BEES,231020,175369,121306,EQ,175369,153.43,154.81,,
MIDCAPETF,231020,353423,332504,EQ,353423,15.09,15.23,,
MOGSEC,231020,27720,27221,EQ,27720,52.79,52.72,,
MOHEALTH,231020,20686,14726,EQ,20686,28.13,28.87,,
MOLOWVOL,231020,151,132,EQ,151,28.58,28.78,,
MOM100,231020,116196,87330,EQ,116196,42.49,42.98,,
MOM50,231020,281,255,EQ,281,197.99,199.24,,
MOMENTUM,231020,3957,2852,EQ,3957,22.94,23.2,,
MOMOMENTUM,231020,27189,25725,EQ,27189,46.02,46.28,,
MON100,231020,464392,234996,EQ,464392,119.43,120.65,,
MONIFTY500,231020,42932,39611,EQ,42932,17.31,17.37,,
MONQ50,231020,22822,18024,EQ,22822,53.0,53.71,,
MOQUALITY,231020,27,21,EQ,27,135.73,137.36,,
MOVALUE,231020,12682,9543,EQ,12682,63.35,64.4,,
NAVINIFTY,231020,217,182,EQ,217,195.3,196.0,,
NETF,231020,865,495,EQ,865,206.38,208.57,,
NEXT50,231020,1270,1046,EQ,1270,450.8,455.12,,
NIF100BEES,231020,5404,4717,EQ,5404,203.53,204.2,,
NIFMID150,231020,304,154,EQ,304,149.8,151.1,,
NIFTYBEES,231020,2642139,1661186,EQ,2642139,215.3,216.67,,
NIFTYETF,231020,39326,36958,EQ,39326,206.07,206.99,,
NIFTYQLITY,231020,14264,12665,EQ,14264,16.63,16.78,,
NIITMTS,231020,226694,159487,EQ,226694,404.9,399.9,,
NPBET,231020,197,152,EQ,197,233.43,233.16,,
NUVAMA,231020,51282,35924,EQ,51282,2562.0,2561.15,,
NV20BEES,231020,13234,11794,EQ,13234,117.05,118.12,,
ORIENTCER,231020,540717,372081,EQ,540717,46.45,49.05,,
PHARMABEES,231020,1268529,764617,EQ,1268529,15.31,15.52,,
PROZONER,231020,958182,510164,EQ,958182,34.15,35.55,,
PSUBANKICI,231020,181209,151653,EQ,181209,49.72,50.61,,
PSUBNKBEES,231020,1573407,1087365,EQ,1573407,54.97,55.81,,
QGOLDHALF,231020,157345,91187,EQ,157345,51.24,50.63,,
QNIFTY,231020,2939,2393,EQ,2939,2089.98,2095.23,,
REDTAPE,231020,313342,165533,EQ,313342,549.15,537.2,,
SANDUMA,231020,22979,14354,EQ,22979,1613.85,1647.9,,
SBIETFCON,231020,2267,1177,EQ,2267,86.37,87.19,,
SBIETFIT,231020,2283,1743,EQ,2283,330.76,331.17,,
