SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1124.95,1129.85,1114.5,1116,1116,1117.5,735,3071,3436870,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,134,134,131,131.6,131.1,133.85,225,14932,1969694,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,880,880,856.9,861.2,861.2,872.2,1848,25838,22340917,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.05,10.25,9.05,9.59,9.59,9.05,237,99460,978294,,INE432A01017,,,
500010,HDFC        ,A ,Q,1260.35,1282,1260.35,1280.85,1278.95,1258.75,2791,62448,79691700,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,26.4,26.4,25.25,25.8,25.75,25.65,190,66804,1731906,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,15.05,15.17,14.96,15.11,15.1,15.15,108,16386,247214,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,2.72,2.72,2.48,2.53,2.52,2.59,38,12360,31309,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,53.2,54.1,52.9,53.5,53.5,53,865,158189,8474678,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,103.75,104.1,103.75,104.1,104.1,103.65,3,700,72672,,INE363A01022,,,
500024,ASSAMCO     ,T ,Q,6.65,6.7,6.53,6.7,6.7,6.39,242,281111,1882276,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2141.65,2161,2121.1,2130.1,2130.1,2128.5,131,845,1810821,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,5.88,5.88,5.5,5.62,5.62,5.6,17,4449,26012,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,53.05,53.7,53,53,53,53,9,795,42164,,INE448A01013,,,
500030,AUTORID.FIN ,B ,Q,1,1,1,1,1,0.96,1,10,10,,INE450A01019,,,
500031,BAJAJ ELECT.,A ,Q,229.5,237,228.7,232,232,228.25,1145,41427,9657678,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,14.29,14.5,14.22,14.4,14.4,14.29,800,434528,6256697,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4177,4318,4169.65,4273.8,4273.8,4147.3,9784,113948,486211999,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,935,960,921.15,929.45,929.45,929.25,4529,75617,70189162,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,139.2,141.45,138.8,140.15,140.15,138.8,1660,152834,21388285,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,207,207,203,203.5,203.5,205.25,289,11099,2277290,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,822.9,840.45,817,838.2,838.2,811.55,4544,183894,153211242,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2050,2100,2050,2070,2070,2020.05,19,87,180481,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1141.4,1197.9,1140.25,1183.55,1183.4,1150.4,548,2122,2489720,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,465.95,470.15,463.05,464.7,464.7,465.95,915,16286,7592807,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1254,1263.35,1223,1233.45,1233.45,1232.75,10537,252303,313236202,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,1529.95,1535,1513,1519.9,1519.9,1515.25,3757,88385,134728141,,INE263A01016,,,
500052,BHANSALI ENG,B ,Q,23.9,23.9,23.5,23.65,23.65,23.95,485,182662,4338798,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,55.8,56.6,52.5,53.1,53.1,55.45,2662,351578,19079235,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,2.45,2.58,2.45,2.51,2.51,2.57,3,610,1537,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,75,76.5,74.75,76,76,74.6,73,4625,350760,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,43.25,44.5,43,44.5,44.5,42.4,69,10313,452374,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,514,514,498.15,505.5,505.5,511.95,174,71991,36477373,,INE472A01039,,,
