Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,05072023,1302435646,0002156"
"Trade Date <05-JUL-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,98,98,100.00"
"20,2,21STCENMGM,EQ,2387,2387,100.00"
"20,3,360ONE,EQ,440459,361772,82.14"
"20,4,364D010224,TB,5000,5000,100.00"
"20,5,364D030823,TB,200,200,100.00"
"20,6,364D220324,TB,100,100,100.00"
"20,7,364D240823,TB,300,300,100.00"
"20,8,364D270723,TB,100,100,100.00"
"20,9,364D280624,TB,100,100,100.00"
"20,10,3IINFOLTD,EQ,250310,141897,56.69"
"20,11,3MINDIA,EQ,1396,620,44.41"
"20,12,456GS2023,GS,265,265,100.00"
"20,13,515GS2025,GS,200,200,100.00"
"20,14,563GS2026,GS,1291,1291,100.00"
"20,15,5PAISA,EQ,786294,127234,16.18"
"20,16,622GS2035,GS,201,201,100.00"
"20,17,63MOONS,EQ,719926,252851,35.12"
"20,18,654GS2032,GS,14664,14664,100.00"
"20,19,667GS2035,GS,218,218,100.00"
"20,20,667GS2050,GS,15204,15203,99.99"
"20,21,669GS2024,GS,5335,5335,100.00"
"20,22,676GS2061,GS,1010,1010,100.00"
"20,23,689GS2025,GS,2,1,50.00"
"20,24,68GS2060,GS,14446,14001,96.92"
"20,25,695GS2061,GS,150,150,100.00"
"20,26,699GS2026,GS,300,300,100.00"
"20,27,699GS2051,GS,919,919,100.00"
"20,28,706GS2028,GS,14985,11185,74.64"
"20,29,710GS2029,GS,150,150,100.00"
"20,30,717GS2030,GS,17020,17020,100.00"
"20,31,725GS2063,GS,16615,16615,100.00"
"20,32,726GS2032,GS,12,11,91.67"
"20,33,726GS2033,GS,1,1,100.00"
"20,34,727GS2026,GS,788,788,100.00"
"20,35,732GS2024,GS,100,100,100.00"
"20,36,736GS2052,GS,400,400,100.00"
"20,37,738GS2027,GS,112461,112461,100.00"
