SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1360.2,1419.4,1345.65,1356.85,1348.2,1391.35,1588,13450,18528866,,INE117A01022,28-Jan-21,,
500003,AEGIS LOGIS ,A ,Q,280.9,287.55,279.75,283.3,282.15,283.55,532,10830,3061015,,INE208C01025,28-Jan-21,,
500008,AMAR RAJA BA,A ,Q,950,979,940,966.1,966.1,956.65,2497,74915,71744695,,INE885A01032,28-Jan-21,,
500009,A.SARABHAI  ,X ,Q,21.2,21.3,20.25,20.85,20.85,20.5,125,30452,634669,,INE432A01017,28-Jan-21,,
500010,HDFC        ,A ,Q,2422.1,2453.15,2395.85,2425.75,2425,2466.65,11117,1011201,2469002948,,INE001A01036,28-Jan-21,,
500012,ANDHRA PETRO,X ,Q,47.55,47.55,45.35,45.65,45.4,47.7,863,193645,8904906,,INE714B01016,28-Jan-21,,
500013,ANSAL INFRAS,T ,Q,7.52,8.1,7.51,7.92,7.92,7.9,48,10967,85539,,INE436A01026,28-Jan-21,,
500014,UTIQUE      ,X ,Q,2,2,2,2,2,2.02,9,5849,11698,,INE096A01010,28-Jan-21,,
500016,ARUNAHTEL   ,XT,Q,6.3,6.3,6.3,6.3,6.3,6.3,4,165,1039,,INE957C01019,28-Jan-21,,
500020,BOM DYEING  ,A ,Q,73,75.55,72.8,74.65,74.65,73.95,1680,222748,16558743,,INE032A01023,28-Jan-21,,
500023,ASIANHOTNR  ,B ,Q,65,71.9,65,70.25,70.25,68.1,42,452,30446,,INE363A01022,28-Jan-21,,
500027,ATUL LTD.   ,A ,Q,6301,6425.55,6219.8,6308.55,6303.4,6376,721,1572,9927083,,INE100A01010,28-Jan-21,,
500028,ATV PROJECTS,XT,Q,4.77,5.27,4.77,4.9,4.9,5.02,17,12993,64173,,INE447A01015,28-Jan-21,,
500029,AUTOLITE(I) ,Z ,Q,29.55,31.95,29.45,30.25,30,31,31,1824,55544,,INE448A01013,28-Jan-21,,
500031,BAJAJ ELECT.,A ,Q,738,756.3,715,721.3,721.3,728.15,1441,20913,15401406,,INE193E01025,28-Jan-21,,
500032,BAJAJHIND   ,A ,Q,6.47,6.8,6.39,6.71,6.71,6.54,526,445817,2974865,,INE306A01021,28-Jan-21,,
500033,FORCE MOTR  ,A ,Q,1333,1359.55,1328,1340.35,1343.65,1356.15,557,3815,5108854,,INE451A01017,28-Jan-21,,
500034,BAJFINANCE  ,A ,Q,4800,4910.8,4723.85,4812.9,4812.9,4844.95,12004,171050,823416335,,INE296A01024,28-Jan-21,,
500038,BALRAM.CHINI,A ,Q,172.3,175.75,169.5,170.75,170.7,173.9,497,17957,3081746,,INE119A01028,28-Jan-21,,
500039,BANCO PROD. ,B ,Q,136.75,140,136,136.65,137,137.45,442,15109,2076512,,INE213C01025,28-Jan-21,,
500040,CENTURY TEXT,A ,Q,397.85,424.45,393.8,417.75,418,403.2,4423,147152,61148448,,INE055A01016,28-Jan-21,,
500041,BANNARI AMAN,A ,Q,1453.6,1453.6,1453.6,1453.6,1453.6,1480,1,5,7268,,INE459A01010,28-Jan-21,,
500042,BASF INDIA  ,A ,Q,1600,1608.7,1575.1,1578.95,1578.95,1600.25,408,1254,1992539,,INE373A01013,28-Jan-21,,
500043,BATA INDIA  ,A ,Q,1493,1537.75,1493,1523.8,1525.25,1513.25,3509,42367,64573764,,INE176A01028,28-Jan-21,,
500048,BEML LTD    ,A ,Q,903.5,905,887.8,899.3,899.3,907.4,1005,11977,10737584,,INE258A01016,28-Jan-21,,
500049,BHARAT ELECT,A ,Q,132.3,134.65,130,131.25,131.25,132.3,4311,617788,81570603,,INE263A01024,28-Jan-21,,
500052,BHANSALI ENG,A ,Q,129,140.65,126,139.7,140.4,129.8,2610,199204,26827449,,INE922A01025,28-Jan-21,,
500055,TATASTLBSL  ,B ,Q,39,39.5,38.4,38.9,39,39.4,1797,462460,18013183,,INE824B01021,28-Jan-21,,
500060,BIRLACABLE  ,B ,Q,59.5,62,57.7,59.15,59.8,59.65,381,12968,772147,,INE800A01015,28-Jan-21,,
500067,BLUE STAR   ,A ,Q,732,764.8,725.65,736.05,737.35,760.1,675,4295,3180250,,INE472A01039,28-Jan-21,,
500068,DISA INDIA  ,X ,Q,4000,4000,3911,3977.25,3955,3928.55,21,42,167069,,INE131C01011,28-Jan-21,,
500069,BNK CAPITAL ,X ,Q,115,119.9,110,112.05,110.05,115,61,13627,1538110,,INE418C01012,28-Jan-21,,
500074,BPL LTD.    ,B ,Q,20.1,21.3,19.8,21.25,21.2,20.3,117,22967,487228,,INE110A01019,28-Jan-21,,
500078,OAL         ,B ,Q,590,615,575,591,591,590.25,534,4109,2446281,,INE959C01023,28-Jan-21,,
500083,CENTURY EXT ,T ,Q,4.6,4.71,4.34,4.69,4.69,4.49,21,3709,16413,,INE281A01026,28-Jan-21,,
500084,CESC LTD.   ,A ,Q,602.1,630.75,602.1,623.6,630,614.25,710,10883,6696714,,INE486A01013,28-Jan-21,,
500085,CHAMBAL FERT,A ,Q,231.1,242,226.05,239.15,239.15,230.6,1740,136492,31943262,,INE085A01013,28-Jan-21,,
500086,EXIDE IND.  ,A ,Q,193.95,199.7,193.5,198.05,198.05,196.7,2207,173315,34169307,,INE302A01020,28-Jan-21,,
500087,CIPLA LTD.  ,A ,Q,834,848.7,826,841.55,841.55,842.1,3849,130590,109570303,,INE059A01026,28-Jan-21,,
500089,DIC INDIA   ,B ,Q,393,398.5,392.65,396.65,398,395.1,239,3608,1427658,,INE303A01010,28-Jan-21,,
500092,CRISIL LTD  ,A ,Q,1900,1931.5,1890,1901.1,1899.55,1903.1,309,1204,2307120,,INE007A01025,28-Jan-21,,
500093,CGPOWER     ,B ,Q,39,40.35,37.85,39.8,40,39.4,1489,519757,20530806,,INE067A01029,28-Jan-21,,
500096,DABUR (I)   ,A ,Q,525,534.9,520.9,527.6,528.8,527.7,2985,72864,38518083,,INE016A01026,28-Jan-21,,
500097,DALMIASUG   ,A ,Q,134.4,135.55,133.5,135.15,135.55,135.4,82,1936,260723,,INE495A01022,28-Jan-21,,
500101,ARVIND Ltd  ,A ,Q,49.8,55.8,48.5,53.6,53.6,49.8,4520,1387783,73194552,,INE034A01011,28-Jan-21,,
500102,BALARPUR IND,Z ,Q,1.52,1.52,1.45,1.45,1.45,1.52,409,975006,1434437,,INE294A01037,28-Jan-21,,
500103,BHEL        ,A ,Q,35.25,36.85,35.15,36.6,36.6,35.7,3773,5304476,189320118,,INE257A01026,28-Jan-21,,
500104,HIND.PETRO  ,A ,Q,216,223.85,214.1,222.15,222.15,216.65,2234,188895,41586872,,INE094A01015,28-Jan-21,,
500106,IFCI LTD    ,A ,Q,8.76,9.02,8.76,8.93,8.93,9.02,72228,575037,5138111,,INE039A01010,28-Jan-21,,
500108,MAHA.TELE   ,B ,Q,11.85,14.09,11.73,13.51,13.51,12.1,1933,955352,12488308,,INE153A01019,28-Jan-21,,
500109,MRPL        ,A ,Q,35,38.35,34.4,37.6,37.6,35.1,1502,230254,8431616,,INE103A01014,28-Jan-21,,
500110,CHENNAI PET.,A ,Q,93.5,95.25,89.6,91.45,91.45,95.75,2444,162001,15053495,,INE178A01016,28-Jan-21,,
500111,REL.CAP.    ,T ,Q,9.65,10.05,9.34,9.84,9.84,9.83,787,185374,1794596,,INE013A01015,28-Jan-21,,
500112,STATE BANK  ,A ,Q,275.6,283.35,269.55,282.4,282.4,275.6,17145,3304951,913974254,,INE062A01020,28-Jan-21,,
500113,STEEL AUTH. ,A ,Q,57,57.9,55.3,57.1,57.1,57.25,9257,5395768,306052609,,INE114A01011,28-Jan-21,,
500114,TITAN       ,A ,Q,1427.9,1454,1419.25,1450.3,1450.3,1441.2,6785,240570,345896469,,INE280A01028,28-Jan-21,,
500116,IDBI BANK L ,A ,Q,27.85,28.75,27.5,28.3,28.3,27.7,2211,1231112,34703074,,INE008A01015,28-Jan-21,,
500117,DCW LTD.    ,B ,Q,19.95,20.6,19.6,20.05,20.05,20.1,196,73542,1474491,,INE500A01029,28-Jan-21,,
500119,DHAMPUR SUGA,A ,Q,158.1,161,158.1,160.45,160.5,159.2,239,11553,1848816,,INE041A01016,28-Jan-21,,
500120,DIAMINES&CHM,X ,Q,349,349,330,332,332,347.75,512,16513,5527616,,INE591D01014,28-Jan-21,,
500123,ELANTAS     ,A ,Q,2799,2814,2755.3,2797.25,2800,2769.85,61,459,1279331,,INE280B01018,28-Jan-21,,
500124,DR.REDDY'S  ,A ,Q,4840,4902.3,4776.25,4876.35,4876.35,4908.85,3021,56958,277184395,,INE089A01023,28-Jan-21,,
500125,E.I.D.PAR   ,A ,Q,335.3,343.35,335.3,341.55,341.85,341.75,167,167474,57192047,,INE126A01031,28-Jan-21,,
500126,PGHL        ,A ,Q,7300,7300,6992.95,7059.45,7103.95,7178.5,321,607,4319341,,INE199A01012,28-Jan-21,,
500128,ELEC.CASTING,B ,Q,21.6,21.75,20.95,21.45,21.5,21.25,113,36217,770624,,INE086A01029,28-Jan-21,,
500133,ESAB INDIA  ,A ,Q,1758,1767.7,1740,1746.25,1740,1781.65,154,295,517780,,INE284A01012,28-Jan-21,,
500135,EPL         ,A ,Q,247.1,249.95,239.2,247.7,249.95,249.65,1545,29827,7264347,,INE255A01020,28-Jan-21,,
500136,ESTER INDUS.,B ,Q,107.2,119.6,107.2,116.95,116.95,107.9,1642,68561,7939270,,INE778B01029,28-Jan-21,,
500142,FGP LTD.    ,XT,Q,1.72,1.72,1.72,1.72,1.72,1.69,1,2500,4300,,INE512A01016,28-Jan-21,,
500143,P.H.CAPITAL ,X ,Q,17.7,19.35,17.7,19.35,19.35,18.5,3,560,10011,,INE160F01013,28-Jan-21,,
500144,FINOL. CABLE,A ,Q,362.05,375.25,362.05,368.25,368.25,373.85,640,9359,3463638,,INE235A01022,28-Jan-21,,
500147,COCKERILL   ,X ,Q,790,833,781,781.7,781,784.1,45,1598,1295788,,INE515A01019,28-Jan-21,,
500148,UFLEX LTD   ,A ,Q,348,372,346.1,366.65,365.75,351.1,503,11586,4237922,,INE516A01017,28-Jan-21,,
500150,FOSECO INDIA,B ,Q,1279,1295.2,1270,1286.2,1286.2,1278.4,49,196,251456,,INE519A01011,28-Jan-21,,
500151,GOLDEN TOB  ,B ,Q,45,49.9,44.3,46.8,46.8,45.45,101,2478,113126,,INE973A01010,28-Jan-21,,
500153,GANESH BENZO,X ,Q,57.35,62.15,56,62.15,62.15,56.5,497,163900,10035483,,INE388A01029,28-Jan-21,,
500159,METROGLOBL  ,X ,Q,53.95,53.95,48.5,49.65,49.65,50.5,27,1984,98348,,INE085D01033,28-Jan-21,,
500160,GTL LTD.    ,B ,Q,7.15,7.6,7.04,7.6,7.6,7.24,205,141284,1064586,,INE043A01012,28-Jan-21,,
500163,GODFREY PH  ,A ,Q,908,925,908,919.85,923.9,917.85,593,7112,6548190,,INE260B01028,28-Jan-21,,
500164,GODREJ IND  ,A ,Q,431,438.3,428.25,435.1,435.1,432.95,774,11043,4789618,,INE233A01035,28-Jan-21,,
500165,KANSAI NERO ,A ,Q,572.1,594.4,557.7,586.85,586.85,575.35,1215,19686,11380766,,INE531A01024,28-Jan-21,,
500166,GOODRICKE   ,X ,Q,259,259,252.25,256.35,255.55,254.05,48,1602,408992,,INE300A01016,28-Jan-21,,
500168,GOODYEAR (I),A ,Q,945.85,945.85,924,932.25,934.85,951,811,4475,4170557,,INE533A01012,28-Jan-21,,
500171,GHCL LTD    ,A ,Q,208,216.2,206,209.7,209.7,214.65,1063,51741,11002080,,INE539A01019,28-Jan-21,,
500173,GFLLIMITED  ,A ,Q,88.6,90.25,88.35,89.55,89.55,88.6,46,579,51646,,INE538A01037,28-Jan-21,,
500174,GUJ.LEASE   ,B ,Q,2.66,2.66,2.53,2.53,2.53,2.66,7,620,1582,,INE540A01017,28-Jan-21,,
500179,HCL INFOSYS ,B ,Q,8.35,8.54,8.2,8.32,8.21,8.37,111,36353,303876,,INE236A01020,28-Jan-21,,
500180,HDFC BANK   ,A ,Q,1388,1400,1342,1370.2,1370.2,1409.8,40760,608749,829770460,,INE040A01034,28-Jan-21,,
500182,HEROMOTOCO  ,A ,Q,3320,3462.35,3315.1,3396.15,3396.15,3356.25,6727,55089,187495920,,INE158A01026,28-Jan-21,,
500183,HFCL        ,A ,Q,27.9,31.6,27.55,30.85,30.85,28.45,4863,2295757,69915404,,INE548A01028,28-Jan-21,,
500184,HSCL        ,A ,Q,44.75,45.8,43.8,45.35,45.35,45.05,824,164339,7391117,,INE019C01026,28-Jan-21,,
500185,HIND.CONSTN.,A ,Q,8.01,8.05,7.85,7.99,7.99,8,427,242539,1934035,,INE549A01026,28-Jan-21,,
500186,HIND.OIL EXP,A ,Q,79,80.45,78.6,80,79.95,80.95,270,16331,1305042,,INE345A01011,28-Jan-21,,
500187,HSIL        ,B ,Q,142.9,145.75,134.1,143.1,143.1,142.25,1038,43034,6037082,,INE415A01038,28-Jan-21,,
500188,HINDUS.ZI   ,A ,Q,261.5,270,258.5,264.2,262.8,264,1658,75578,19917755,,INE267A01025,28-Jan-21,,
500189,NXTDIGITAL  ,B ,Q,526.5,552.5,517.55,542.9,547.55,529.95,60,161,87364,,INE353A01023,28-Jan-21,,
500191,HMT LTD.    ,Z ,Q,21.5,21.7,20.5,21.05,21,21.5,37,4802,99568,,INE262A01018,28-Jan-21,,
500192,PRAG BOSIMI ,XT,Q,2.2,2.21,2.04,2.2,2.2,2.14,9,2337,5039,,INE962B01011,28-Jan-21,,
500193,HLVLTD      ,B ,Q,5.91,6.09,5.85,6.01,6.01,5.89,109,48337,289370,,INE102A01024,28-Jan-21,,
500199,I.G.PETRO   ,B ,Q,377.75,397,376.85,388.3,386.4,380.55,174,1586,614265,,INE204A01010,28-Jan-21,,
500201,IND.GLYCOLS ,A ,Q,360,366.7,354.8,357.25,356.05,361.25,163,2969,1063661,,INE560A01015,28-Jan-21,,
500202,IND.LEAS.DEV,X ,Q,9.87,9.87,9.87,9.87,9.87,9.4,2,2,19,,INE333C01013,28-Jan-21,,
500206,MARGO FIN   ,X ,Q,7.78,7.78,7.78,7.78,7.78,7.41,1,270,2100,,INE680B01019,28-Jan-21,,
500207,INDO RAMA   ,B ,Q,34.55,35.4,33.65,34.9,34.9,35.4,59,2853,99167,,INE156A01020,28-Jan-21,,
500209,INFOSYS LTD ,A ,Q,1289.55,1295.65,1273,1276.3,1276.3,1301.75,21157,1497298,1927973583,,INE009A01021,28-Jan-21,,
500210,INGERSOLL   ,A ,Q,693.6,698.75,678.75,693.2,693.2,696.55,622,4256,2931363,,INE177A01018,28-Jan-21,,
500211,INSILCO LTD.,X ,Q,9.03,9.49,9.03,9.05,9.05,9.03,15,6193,57568,,INE901A01011,28-Jan-21,,
500212,INTEG.FIN.SE,XT,Q,29.55,29.55,27.25,29.5,29.5,28.15,7,449,12628,,INE898B01017,28-Jan-21,,
500213,INTER.TRAVEL,X ,Q,59.75,59.8,58.25,58.35,58.5,58,23,1113,65492,,INE262B01016,28-Jan-21,,
500214,ION EXCHANGE,A ,Q,1002.25,1064,1002.25,1032.8,1032.8,1008.8,1356,25367,26014254,,INE570A01014,28-Jan-21,,
500215,AGRO TECH FO,A ,Q,792.8,797.5,792.5,796.55,796.55,799.45,32,171,136109,,INE209A01019,28-Jan-21,,
500219,JAIN IRRIG  ,A ,Q,19.9,20.6,19.75,20.3,20.3,19.95,439,169514,3430195,,INE175A01038,28-Jan-21,,
500220,JASCH INDUST,X ,Q,39,42,38.25,40.3,40.2,40,23,4224,170685,,INE711C01010,28-Jan-21,,
500223,JCT LTD     ,X ,Q,0.87,0.9,0.86,0.87,0.89,0.9,312,319038,276994,,INE945A01026,28-Jan-21,,
500227,JINDAL POLYF,A ,Q,442.35,472.75,440.5,452.75,452.75,437.95,1021,9200,4221945,,INE197D01010,28-Jan-21,,
500228,JSWSL       ,A ,Q,368.55,380.65,368.55,376.35,376.35,376.4,5135,403874,151066962,,INE019A01038,28-Jan-21,,
500231,UMANG DAIR  ,B ,Q,60.6,62.3,59.95,61,61,61.2,103,2748,167571,,INE864B01027,28-Jan-21,,
500233,KAJARIA CER.,A ,Q,835.05,854.9,832.15,835.9,837.5,849.6,1396,17074,14437873,,INE217B01036,28-Jan-21,,
500234,KAKATIYA CEM,B ,Q,182,183.5,163.8,165.8,165.8,180,335,5531,951562,,INE437B01014,28-Jan-21,,
500235,KALYANI STEL,A ,Q,261.2,274,259.8,271.5,271.5,264.7,348,8691,2317370,,INE907A01026,28-Jan-21,,
