anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500231,UMANG DAIR  ,B ,Q,30.6,34,30.6,33.8,34,29.5,7,524,16341,,INE864B01027,26-Mar-20,,
500233,KAJARIA CER.,A ,Q,363.75,390.5,360.4,372.35,368.7,358.55,521,7060,2675073,,INE217B01036,26-Mar-20,,
500234,KAKATIYA CEM,B ,Q,97.45,102,97.45,102,102,97.15,113,1856,187826,,INE437B01014,26-Mar-20,,
500235,KALYANI STEL,B ,Q,107.7,116.5,107.55,113.85,113.15,106.95,642,6691,757194,,INE907A01026,26-Mar-20,,
500236,KANELIND    ,XT,Q,0.3,0.3,0.3,0.3,0.3,0.31,3,304,91,,INE252C01015,26-Mar-20,,
500238,WHIRLPOOL   ,A ,Q,1806,1920,1806,1821.8,1850,1807,858,2674,5031965,,INE716A01013,26-Mar-20,,
500239,KG DENIM    ,X ,Q,18.1,19,17.2,17.95,18,18.1,51,15168,277031,,INE104A01012,26-Mar-20,,
500240,KINETIC ENG.,XT,Q,12.35,12.35,12.35,12.35,12.35,13,23,1736,21439,,INE266B01017,26-Mar-20,,
500241,KIRL.BROS.  ,B ,Q,88.15,92,87.55,90.85,87.75,84.3,55,739,66311,,INE732A01036,26-Mar-20,,
500245,KIRL.FERROUS,B ,Q,43.95,46,39.3,46,46,41.85,124,18696,856702,,INE884B01025,26-Mar-20,,
500247,KOTAK MAH.BK,A ,Q,1300,1419.15,1255.05,1389,1389,1290.15,16052,286907,385519329,,INE237A01028,26-Mar-20,,
500249,KSB         ,B ,Q,460.3,460.3,437.05,445.45,447,432.15,36,219,98068,,INE999A01015,26-Mar-20,,
500250,L.G.BALKRISH,B ,Q,158.25,174.85,158.25,167,167,160.5,73,623,104771,,INE337A01034,26-Mar-20,,
500251,TRENT LTD.  ,A ,Q,474,507.45,449.3,491.35,491.35,446.7,1114,12694,6209095,,INE849A01020,26-Mar-20,,
500252,LAXMIMACH   ,A ,Q,2292.4,2549.9,2270,2490.65,2490.65,2234.85,180,702,1702135,,INE269B01029,26-Mar-20,,
500253,LIC HOUS.FIN,A ,Q,212,252.1,207.45,228.6,231.95,210.1,7890,394990,92337908,,INE115A01026,26-Mar-20,,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,21,74867,14224,,INE292A01023,26-Mar-20,,
500257,LUPIN LTD.  ,A ,Q,574.95,574.95,543.1,558.15,557.8,565.5,2909,76232,42385915,,INE326A01037,26-Mar-20,,
500259,LYKA LABS   ,B ,Q,11.3,11.75,11,11.6,11.6,10.75,20,900,10249,,INE933A01014,26-Mar-20,,
500260,RAMCOCEM    ,A ,Q,501,535.65,490,519.25,509,503.25,1429,17416,8907844,,INE331A01037,26-Mar-20,,
500264,MAFATLAL IND,X ,Q,64.35,70,64,65.2,64,64.35,18,524,34427,,INE270B01027,26-Mar-20,,
