SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
505029,ATLAS CYCLES,T ,Q,360,395.25,360,395.25,395.25,376.45,156,5610,2123441,,INE446A01017,,,
505036,AUTO COR.GOA,XC,Q,678,685,678,680.1,680,678.85,36,1069,729703,,INE451C01013,,,
505075,SETCO AUTO  ,B ,Q,39.1,39.65,38.25,38.55,38.55,39.1,327,33170,1289572,,INE878E01021,,,
505141,SCOOTERS IND,ST,Q,50.5,51,50.5,51,51,52.9,6,640,32428,,INE959E01011,,,
505160,TALBROS AUTO,B ,Q,209,213.5,203.5,206.9,206.9,205.9,291,12597,2640163,,INE187D01011,,,
505163,ZF STEERING ,B ,Q,1250.05,1257.4,1211.1,1221.45,1221.45,1248.8,479,3984,4898333,,INE116C01012,,,
505192,SMLISUZU    ,B ,Q,1228.8,1250,1224.8,1235.25,1235.25,1220.05,480,20273,25211158,,INE294B01019,,,
505196,TIL LTD.    ,B ,Q,406.25,406.7,397.95,398.9,401,405.6,299,6939,2793675,,INE806C01018,,,
505200,EICHER MOTOR,A ,Q,28123,28123,27525,27652.85,27652.85,27561.95,746,2050,56964278,,INE066A01013,,,
505216,ALFRED HERB ,XD,Q,629,650,629,635,635,630.25,13,55,34646,,INE782D01027,,,
505230,CIMMCO      ,B ,Q,88,88.5,84.3,85.55,85,87.2,45,4212,361961,,INE184C01028,,,
505232,VELJAN      ,XT,Q,1272.05,1295.95,1240,1279,1280,1259.15,37,817,1039965,,INE232E01013,,,
505242,DYNAMAT.TECH,B ,Q,2501.5,2501.5,2414.1,2441.95,2440,2506.4,46,257,631115,,INE221B01012,,,
505250,G.G.DANDEKAR,XD,Q,50.3,60,50.3,56.55,56.5,57,24,2395,140145,,INE631D01026,,,
505255,GMM PFAUDLER,XC,Q,625,638,610,624.45,631.8,619.8,295,14069,8776021,,INE541A01023,,,
505283,KIRLOSAR PN ,B ,Q,1190,1190,1152,1165.05,1165,1184.6,38,2026,2388667,,INE811A01012,,,
505299,KULK-POWER  ,Z ,Q,27,27,27,27,27,25.75,1,100,2700,,INE731D01024,,,
505324,MANUGRAPH IN,B ,Q,51.05,51.5,49.9,50.15,50.15,51.15,24,5619,283046,,INE867A01022,,,
