SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,901,920,897.2,898.8,898,901.15,756,10249,9213029,,INE117A01022,21-Sep-20,,
500003,AEGIS LOGIS ,A ,Q,240,245,230.7,234.25,232,234.65,632,11111,2652132,,INE208C01025,21-Sep-20,,
500008,AMAR RAJA BA,A ,Q,758.3,758.3,718.65,724.9,724.9,764.05,2065,44679,33248968,,INE885A01032,21-Sep-20,,
500009,A.SARABHAI  ,X ,Q,20.2,20.2,18.8,18.9,18.9,19.75,203,47742,928409,,INE432A01017,21-Sep-20,,
500010,HDFC        ,A ,Q,1715.1,1747.15,1702.35,1708.95,1709.25,1722.8,4964,56645,97666917,,INE001A01036,21-Sep-20,,
500012,ANDHRA PETRO,XT,Q,33.5,34,31,31.85,32.5,32.5,355,108203,3514313,,INE714B01016,21-Sep-20,,
500013,ANSAL INFRAS,B ,Q,4.01,4.01,3.9,3.96,3.96,4.05,43,21268,84696,,INE436A01026,21-Sep-20,,
500014,UTIQUE      ,X ,Q,1.05,1.1,1,1.1,1.1,1.05,12,3761,3892,,INE096A01010,21-Sep-20,,
500016,ARUNAHTEL   ,XT,Q,7.12,7.12,7.12,7.12,7.12,6.79,1,5,35,,INE957C01019,21-Sep-20,,
500020,BOM DYEING  ,A ,Q,68,68,63.7,64.65,64.65,68.05,1822,152781,10078967,,INE032A01023,21-Sep-20,,
500023,ASIANHOTNR  ,B ,Q,56.1,57.8,55.25,56.45,56.45,57.05,117,938,52660,,INE363A01022,21-Sep-20,,
500027,ATUL LTD.   ,A ,Q,6794.65,6804.1,6236.25,6250.95,6261.55,6612.3,905,2438,15842255,,INE100A01010,21-Sep-20,,
500028,ATV PROJECTS,XT,Q,3.95,4.1,3.76,3.78,3.78,3.95,40,13571,52161,,INE447A01015,21-Sep-20,,
500029,AUTOLITE(I) ,B ,Q,20,20.2,19.15,19.35,19.15,19.75,68,3903,76170,,INE448A01013,21-Sep-20,,
500031,BAJAJ ELECT.,A ,Q,493,503.55,467.5,473.3,472,492.8,587,7382,3572327,,INE193E01025,21-Sep-20,,
500032,BAJAJHIND   ,B ,Q,5.47,5.47,5.14,5.2,5.2,5.38,1036,413702,2166329,,INE306A01021,21-Sep-20,,
500033,FORCE MOTR  ,A ,Q,1164.6,1174.95,1100,1109.15,1109.15,1164.6,1084,7596,8583838,,INE451A01017,21-Sep-20,,
500034,BAJFINANCE  ,A ,Q,3470,3470,3315,3327.95,3327.95,3475.45,22838,159913,540579100,,INE296A01024,21-Sep-20,,
500038,BALRAM.CHINI,A ,Q,161,161,148.3,149.65,149.65,160.15,758,30645,4746613,,INE119A01028,21-Sep-20,,
500039,BANCO PROD. ,B ,Q,94,94,86.25,87.65,87.7,90.35,219,11187,999696,,INE213C01025,21-Sep-20,,
500040,CENTURY TEXT,A ,Q,367.9,371.95,341,343.65,343.4,369.8,1100,37899,13376839,,INE055A01016,21-Sep-20,,
500041,BANNARI AMAN,B ,Q,1300.4,1306.4,1282.6,1300.25,1300,1300.15,26,1408,1830373,,INE459A01010,21-Sep-20,,
500042,BASF INDIA  ,A ,Q,1513,1548,1448.9,1459.8,1456.1,1512.4,981,4606,6876363,,INE373A01013,21-Sep-20,,
500043,BATA INDIA  ,A ,Q,1340,1352.5,1315,1322.8,1322.8,1334.4,2454,26089,34902991,,INE176A01028,21-Sep-20,,
500048,BEML LTD    ,A ,Q,649,650,618,625.25,623.8,648.75,1326,27613,17515275,,INE258A01016,21-Sep-20,,
500049,BHARAT ELECT,A ,Q,104,104,95.2,96.2,96.2,103.6,2540,356650,35231435,,INE263A01024,21-Sep-20,,
500052,BHANSALI ENG,B ,Q,62.1,65.3,58.25,59.15,60.5,62.75,850,88203,5461747,,INE922A01025,21-Sep-20,,
500055,TATASTLBSL  ,B ,Q,23.1,23.3,21.7,21.8,21.8,23.1,5762,227737,5042049,,INE824B01021,21-Sep-20,,
500058,BIHAR SPONGE,XT,Q,0.58,0.58,0.58,0.58,0.58,0.56,6,6859,3978,,INE819C01011,21-Sep-20,,
500060,BIRLACABLE  ,B ,Q,55,55.8,51.3,52.1,52.5,54.25,145,4701,251584,,INE800A01015,21-Sep-20,,
500067,BLUE STAR   ,A ,Q,620,648.5,616.5,631.45,632.1,635.65,1446,16180,10246052,,INE472A01039,21-Sep-20,,
500068,DISA INDIA  ,X ,Q,3505,3567.95,3430,3443.85,3430,3505,30,188,655691,,INE131C01011,21-Sep-20,,
500069,BNK CAPITAL ,X ,Q,66.55,73.25,66.55,73.25,73.25,73.3,2,120,8455,,INE418C01012,21-Sep-20,,
500074,BPL LTD.    ,B ,Q,18.85,19.05,18.1,18.2,18.3,18.75,80,9932,184041,,INE110A01019,21-Sep-20,,
500078,OAL         ,B ,Q,410,411,370.2,373.05,370.95,411.3,620,5329,2062257,,INE959C01023,21-Sep-20,,
500083,CENTURY EXT ,B ,Q,3.45,3.45,3.28,3.29,3.31,3.45,64,24456,80842,,INE281A01026,21-Sep-20,,
500084,CESC LTD.   ,A ,Q,684.4,700,623.65,639.25,632,676.3,3131,48182,32822708,,INE486A01013,21-Sep-20,,
500085,CHAMBAL FERT,A ,Q,156.3,156.8,151.15,152.4,152.4,156.8,10387,130659,20141199,,INE085A01013,21-Sep-20,,
500086,EXIDE IND.  ,A ,Q,166.2,166.5,157.25,159,159,167,2329,255536,41675476,,INE302A01020,21-Sep-20,,
500087,CIPLA LTD.  ,A ,Q,806.85,811.4,762.1,767.7,767.7,806.85,13306,506235,398734334,,INE059A01026,21-Sep-20,,
500089,DIC INDIA   ,B ,Q,380.35,383.8,356.05,360.25,360.05,379.3,133,1231,460033,,INE303A01010,21-Sep-20,,
500092,CRISIL LTD  ,A ,Q,1692,1763,1692,1738.65,1735.55,1730.85,403,1483,2564320,,INE007A01025,21-Sep-20,,
500093,CGPOWER     ,B ,Q,25,25.5,24.15,24.15,24.15,25.4,1135,591922,14553042,,INE067A01029,21-Sep-20,,
500096,DABUR (I)   ,A ,Q,510,510.7,487.55,490.8,490.8,507.85,2205,56863,28261294,,INE016A01026,21-Sep-20,,
500097,DALMIASUG   ,B ,Q,133.2,133.9,127.85,128.4,128.4,135,429,14925,1933689,,INE495A01022,21-Sep-20,,
500101,ARVIND Ltd  ,A ,Q,32.7,32.7,30.4,31.1,31.1,32.7,1871,857020,27094256,,INE034A01011,21-Sep-20,,
500102,BALARPUR IND,T ,Q,1.49,1.49,1.35,1.36,1.35,1.42,429,1062309,1480071,,INE294A01037,21-Sep-20,,
500103,BHEL        ,A ,Q,34.4,35.55,34.05,34.3,34.3,34.65,10225,3628042,125516002,,INE257A01026,21-Sep-20,,
500104,HIND.PETRO  ,A ,Q,194,198.5,188.45,189.05,189.05,193.95,3148,295302,57234172,,INE094A01015,21-Sep-20,,
500106,IFCI LTD    ,A ,Q,6.52,6.6,6.19,6.26,6.26,6.58,24396,485444,3085217,,INE039A01010,21-Sep-20,,
500108,MAHA.TELE   ,B ,Q,9.4,9.4,8.55,8.69,8.69,9.19,11984,274201,2452841,,INE153A01019,21-Sep-20,,
