SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1485.95,1485.95,1455,1467.45,1467.45,1468.3,746,3869,5666882,,INE117A01022,15-Nov-19,,
500003,AEGIS LOGIS ,A ,Q,180,180,171,174.85,174.85,179.05,1120,20637,3607680,,INE208C01025,15-Nov-19,,
500008,AMAR RAJA BA,A ,Q,750.5,753.5,742.9,746.2,745,748.95,596,17435,13016784,,INE885A01032,15-Nov-19,,
500009,A.SARABHAI  ,X ,Q,10.5,11.25,10.4,10.95,11.25,10.59,73,21358,233428,,INE432A01017,15-Nov-19,,
500010,HDFC        ,A ,Q,2226,2238.1,2208.05,2224.2,2224.2,2225.1,5673,128940,286949154,,INE001A01036,15-Nov-19,,
500012,ANDHRA PETRO,X ,Q,34.25,35.65,34.2,34.55,34.45,34.4,156,29561,1025610,,INE714B01016,15-Nov-19,,
500013,ANSAL INFRAS,B ,Q,5.01,5.2,5.01,5.01,5.01,5.27,59,10542,52979,,INE436A01026,15-Nov-19,,
500014,APPLE FINANC,X ,Q,1.2,1.2,1.16,1.16,1.16,1.15,11,6995,8332,,INE096A01010,15-Nov-19,,
500016,ARUNAHTEL   ,XT,Q,6.31,6.62,6.31,6.62,6.62,6.31,4,677,4450,,INE957C01019,15-Nov-19,,
500020,BOM DYEING  ,A ,Q,81.45,82.35,78.15,79,79,80.7,2367,256668,20441925,,INE032A01023,15-Nov-19,,
500027,ATUL LTD.   ,A ,Q,4004.6,4071.65,3992.25,4038.65,4038.65,3976.4,301,1435,5802858,,INE100A01010,15-Nov-19,,
500028,ATV PROJECTS,XT,Q,3.9,4.09,3.75,4.04,4.09,3.9,24,3572,14212,,INE447A01015,15-Nov-19,,
500029,AUTOLITE(I) ,B ,Q,21,21.45,20.25,21.45,21.45,21.6,5,207,4352,,INE448A01013,15-Nov-19,,
500031,BAJAJ ELECT.,A ,Q,322.25,329.75,322,326.35,326.35,321.7,1695,10996,3588569,,INE193E01025,15-Nov-19,,
500032,BAJAJHIND   ,B ,Q,6.9,7.06,6.4,6.87,6.87,6.62,581,536030,3618036,,INE306A01021,15-Nov-19,,
500033,FORCE MOTR  ,A ,Q,1064.95,1079.25,1019.1,1026.95,1026.95,1051.9,1190,9930,10372478,,INE451A01017,15-Nov-19,,
500034,BAJFINANCE  ,A ,Q,4215,4246.95,4178.05,4187.85,4187.85,4211.95,2794,32506,137025073,,INE296A01024,15-Nov-19,,
500038,BALRAM.CHINI,A ,Q,147,149.7,146.45,147.65,147.65,146.7,557,36504,5416161,,INE119A01028,15-Nov-19,,
500039,BANCO PROD. ,B ,Q,102.95,102.95,98.55,99.65,99.75,99.15,530,7320,735326,,INE213C01025,15-Nov-19,,
500040,CENTURY TEXT,A ,Q,406,419.8,406,416.25,417,406,1246,52019,21581605,,INE055A01016,15-Nov-19,,
500041,BANNARI AMAN,B ,Q,1196.75,1248.6,1195,1226.1,1224.4,1148,49,70,84427,,INE459A01010,15-Nov-19,,
500042,BASF INDIA  ,A ,Q,961.3,971,942.3,946.8,946.8,966.75,262,1766,1683738,,INE373A01013,15-Nov-19,,
500043,BATA INDIA  ,A ,Q,1710.1,1743.05,1709.7,1730.6,1736.5,1710.1,1214,29735,51407026,,INE176A01028,15-Nov-19,,
500048,BEML LTD    ,A ,Q,953.7,974.35,948,952.55,952.55,949.85,1604,31663,30425582,,INE258A01016,15-Nov-19,,
500049,BHARAT ELECT,A ,Q,110,112.25,109.75,111.2,111.2,109.25,1847,203258,22565480,,INE263A01024,15-Nov-19,,
500052,BHANSALI ENG,B ,Q,49.3,50.25,48.2,48.45,48.45,48.7,369,35000,1717262,,INE922A01025,15-Nov-19,,
500055,TATASTLBSL  ,B ,Q,25,25.45,24.6,24.9,24.8,24.7,214,95360,2381933,,INE824B01021,15-Nov-19,,
500058,BIHAR SPONGE,XT,Q,0.57,0.57,0.53,0.54,0.54,0.55,11,4223,2313,,INE819C01011,15-Nov-19,,
500060,BIRLACABLE  ,B ,Q,61.25,66.65,61,66.4,65.95,63.5,984,64500,4251017,,INE800A01015,15-Nov-19,,
500067,BLUE STAR   ,A ,Q,794,827.55,791.05,811.55,812.7,795.2,1069,7724,6251003,,INE472A01039,15-Nov-19,,
500068,DISA INDIA  ,X ,Q,5180,5180,4965,5000.7,4976.25,5069,19,45,226298,,INE131C01011,15-Nov-19,,
500069,BNK CAPITAL ,X ,Q,80.85,80.85,79.5,79.75,80,79.5,3,3,240,,INE418C01012,15-Nov-19,,
500074,BPL LTD.    ,B ,Q,20.4,20.4,19.1,19.15,19.15,19.35,175,20099,392721,,INE110A01019,15-Nov-19,,
500078,OAL         ,B ,Q,193.4,193.45,183.15,186.6,186.6,188,33,965,181737,,INE959C01023,15-Nov-19,,
500083,CENTURY EXT ,B ,Q,2.85,2.85,2.63,2.72,2.72,2.83,16,2254,6084,,INE281A01026,15-Nov-19,,
500084,CESC LTD.   ,A ,Q,757,770,748.9,755.85,755.85,759.5,718,12813,9725547,,INE486A01013,15-Nov-19,,
500085,CHAMBAL FERT,A ,Q,161.75,163.05,154.5,156,156,160.85,3387,137399,21676925,,INE085A01013,15-Nov-19,,
500086,EXIDE IND.  ,A ,Q,191.95,193.45,189.8,190.75,190.75,190.7,897,90575,17358093,,INE302A01020,15-Nov-19,,
500087,CIPLA LTD.  ,A ,Q,447,467.85,435.6,463.1,463.1,451.5,5411,4165055,1887381764,,INE059A01026,15-Nov-19,,
500089,DIC INDIA   ,B ,Q,334.5,335,330,330,330,336.4,7,102,33920,,INE303A01010,15-Nov-19,,
500092,CRISIL LTD  ,A ,Q,1434.1,1488,1430,1481.2,1488,1417.7,270,723,1057539,,INE007A01025,15-Nov-19,,
500093,CGPOWER     ,A ,Q,16.2,16.3,15.4,15.5,15.5,16.2,306,91830,1445818,,INE067A01029,15-Nov-19,,
500096,DABUR (I)   ,A ,Q,463.05,465.6,460.2,461.45,461.15,462.8,477,15995,7402438,,INE016A01026,15-Nov-19,,
500097,DALMIASUG   ,B ,Q,90.45,90.75,89.45,89.9,89.65,89.95,70,3604,323951,,INE495A01022,15-Nov-19,,
500101,ARVIND Ltd  ,A ,Q,50,50.8,49,49.15,49.15,49.9,624,96194,4808406,,INE034A01011,15-Nov-19,,
500102,BALARPUR IND,B ,Q,0.5,0.52,0.49,0.51,0.51,0.5,125,881446,446986,,INE294A01037,15-Nov-19,,
