SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
543713,DRONACHRYA  ,M ,Q,154.8,155,142.1,148.9,149.8,152.5,152,168000,25173800,,INE0MQD01015,08-May-23,,
543714,LANDMARK    ,B ,Q,602.1,634.15,602.1,624.25,624.25,620.4,353,3760,2347612,,INE559R01029,08-May-23,,
543715,IEL         ,B ,Q,8.9,9.25,8.76,8.81,8.79,8.93,163,16100,142602,,INE059901020,08-May-23,,
543720,KFINTECH    ,B ,Q,316.25,323.05,303,305.25,305.15,315.75,773,18564,5853776,,INE138Y01010,08-May-23,,
543725,ELIN        ,B ,Q,135.15,139.45,131.7,132.4,132.8,135.05,1232,19204,2589749,,INE050401020,08-May-23,,
543732,RADIANTCMS  ,B ,Q,92.55,105,90.75,91.8,92.05,93.5,221,8439,782238,,INE855R01021,08-May-23,,
543737,AVEER       ,T ,Q,619.95,619.95,565,580.45,580.05,594.65,37,283,167562,,INE09BN01011,08-May-23,,
543738,DSPBANKETF  ,B ,Q,42.85,43.25,42.85,43.22,43.22,42.77,12,13,560,,INF740KA1RX3,08-May-23,,
543743,SAH         ,B ,Q,73.96,76.94,73.95,76.26,76.2,74.75,109,2182,167024,,INE035801013,08-May-23,,
543744,REXSEAL     ,M ,Q,146,150.95,146,150.95,150.95,151.75,4,4000,593900,,INE0MFT01014,08-May-23,,
543745,SVS         ,M ,Q,7.18,7.2,7.08,7.08,7.08,7.45,14,84000,598920,,INE0MID01012,08-May-23,,
543747,KAMOPAINTS  ,B ,Q,235.1,239.5,232.45,233.65,235.8,238.55,1885,71363,16897630,,INE0BTI01029,08-May-23,,
543748,AARTIPHARM  ,B ,Q,395.6,411.25,395.3,405.3,405.7,394.65,966,7432,3019544,,INE0LRU01027,08-May-23,,
543753,DHARNI      ,M ,Q,22.3,22.4,22.3,22.4,22.4,22.4,3,18000,402600,,INE0M9Q01011,08-May-23,,
543765,EARTH       ,M ,Q,55.5,58.4,55.5,58.33,58.25,54.18,13,39000,2224890,,INE0O4V01010,08-May-23,,
543766,ASHIKA      ,X ,Q,37.8,37.99,35.65,36.3,36.1,37.8,46,7183,263281,,INE094B01013,08-May-23,,
543767,BTML        ,B ,Q,180.7,188.85,179.8,185.4,188.85,188.25,29,363,65395,,INE0EEJ01015,08-May-23,,
543768,NSLNISP     ,B ,Q,37.57,38.11,37.55,37.86,37.86,37.76,2130,332443,12575067,,INE0NNS01018,08-May-23,,
543769,INDONG      ,M ,Q,14.07,14.07,14.07,14.07,14.07,14.07,1,4000,56280,,INE0KN201016,08-May-23,,
543774,HDFCBSE500  ,B ,Q,25.65,25.87,25.65,25.72,25.72,25.89,26,706,18158,,INF179KC1EZ4,08-May-23,,
543775,HDFCSML250  ,B ,Q,96.16,96.19,95.95,96.04,96.04,95.56,184,170470,16387287,,INF179KC1FB2,08-May-23,,
543781,MAGOLDETF   ,E ,Q,60.25,61.75,60.25,61.72,61.75,61.79,19,122,7513,,INF769K01JP9,08-May-23,,
543782,SEALMATIC   ,M ,Q,326.9,338,326.9,332.8,333,326.2,41,31800,10637160,,INE0O4601016,08-May-23,,
543787,ROBU        ,M ,Q,277.25,286.8,277.25,286.8,286.8,273.15,50,60000,17068080,,INE0OLH01013,08-May-23,,
543798,PATRON      ,M ,Q,8.08,8.33,8.08,8.33,8.33,8.1,7,28000,231680,,INE0NPA01011,08-May-23,,
543799,SVJ         ,M ,Q,35.6,35.91,35.6,35.91,35.91,34.2,14,48000,1722090,,INE0JZS01010,08-May-23,,
543805,RESGEN      ,M ,Q,52,52.5,50,50,50,51.1,9,27000,1377780,,INE0NYN01016,08-May-23,,
543806,ITCONS      ,M ,Q,47.15,49.75,47.15,49.01,49.01,48.05,7,14000,683780,,INE0O6A01019,08-May-23,,
543811,AIRAN       ,B ,Q,15.85,16.2,15.51,15.65,15.69,15.82,176,26529,420406,,INE645W01026,08-May-23,,
543812,DIVGIITTS   ,B ,Q,736.65,741.35,712.45,717.85,712.45,728,1987,14355,10443621,,INE753U01022,08-May-23,,
543819,PSUBANKICI  ,B ,Q,41.4,41.61,40.8,41.51,41.51,41.85,31,266,10911,,INF109KC10S8,08-May-23,,
543828,SUDARSHAN   ,M ,Q,69,69,67.55,67.55,67.55,69,3,4800,326640,,INE00TV01015,08-May-23,,
543829,GSLSU       ,B ,Q,216.7,224.05,207.8,211.1,211.1,216.75,1563,36753,7955517,,INE0JSX01015,08-May-23,,
543830,LABELKRAFT  ,M ,Q,54.5,54.5,54.5,54.5,54.5,54.99,2,4000,218000,,INE0NLJ01011,08-May-23,,
543843,COMMAND     ,M ,Q,25.45,25.45,25.45,25.45,25.45,26,3,12000,305400,,INE0LKQ01012,08-May-23,,
543848,DEVLAB      ,M ,Q,59,59,55,55,55,53.15,9,18000,1007820,,INE0NIJ01017,08-May-23,,
543853,AXISPEGP    ,B ,Q,61,61,61,61,61,61.11,1,86,5246,,INF846K010Q0,08-May-23,,
543858,MANV30F     ,B ,Q,135.01,135.01,135.01,135.01,135.01,136.4,1,35,4725,,INF769K01JU9,08-May-23,,
543860,JAFINANCE   ,X ,Q,41.86,41.86,37.88,37.88,37.88,39.87,63,6099,236900,,INE825B01010,08-May-23,,
543861,USK         ,B ,Q,31.48,31.84,30,30.23,30.34,31.24,1003,125226,3855345,,INE0N0Y01013,08-May-23,,
543874,MAIDEN      ,M ,Q,60,62.45,60,61.3,62.45,60.27,10,20000,1215700,,INE0O1T01010,08-May-23,,
