Sr.No.,Accord Code,Company Name,CD_ISIN No,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Sector,CD_Industry1,SC_Latest Price Date,CD_Listing Status,SC_Latest Price,SC_Latest Market Cap
518,113422,Bloom Industries Ltd.,INE373E01015,513422,,BSL IN,BLOM.BO,Iron & Steel,Metal - Ferrous ,08-Jun-2017,Listed,4.05,1.65
519,131175,BLS Infotech Ltd.,INE606B01022,531175,,BIN IN,BLSI.BO,IT,IT - Software ,09-Jun-2017,Listed,0.30,13.13
520,281585,BLS International Services Ltd.,INE153T01027,540073,BLS,BLSIN IN,,Miscellaneous,Miscellaneous,09-Jun-2017,Listed,186.30,1908.64
521,102761,Blue Blends (India) Ltd.,INE113O01014,502761,BLUEBLENDS,BLB IN,BLBL.BO,Textile ,Textile ,09-Jun-2017,Listed,40.80,84.02
522,131936,Blue Chip India Ltd.,INE657B01025,531936,BLUECHIP,BLCI IN,BLCI.BO,Finance,Finance - Investment,05-Jun-2017,Listed,0.25,1.38
523,106981,Blue Chip Tex Industries  Ltd.,INE472D01017,506981,,BCTX IN,BLCH.BO,Textile ,Textile - Manmade  Fibres,09-Jun-2017,Listed,81.50,16.06
524,279718,Blue Cloud Softech Solutions Ltd.,INE373T01021,539607,,BCSS IN,,IT,IT - Software ,01-Jun-2017,Listed,13.19,31.53
525,131495,Blue Coast Hotels  Ltd.,INE472B01011,531495,BLUECOAST,BCOH IN,BCHR.BO,Hospitality,Hotel  Resort & Restaurants,05-Jun-2017,Listed,146.70,187.02
526,126612,Blue Dart Express Ltd.,INE233B01017,526612,BLUEDART,BDE IN,BLDT.BO,Logistics,Courier  Services,09-Jun-2017,Listed,4389.20,10414.66
527,114440,Blue Pearl Texspin Ltd.,INE439N01023,514440,,EWFI IN,EWFI.BO,Trading,Trading,24-May-2017,Listed,32.00,0.82
528,100067,Blue Star Ltd.,INE472A01039,500067,BLUESTARCO,BLSTR IN,BLUS.BO,Consumer Durables,Air Conditioners,09-Jun-2017,Listed,627.70,6021.41
529,277414,Blueblood Ventures Ltd.,INE562S01013,539637,,BVL IN,,Finance,Finance - Stock Broking,16-May-2017,Listed,43.00,12.90
530,131713,Bluechip Stockspin Ltd.,INE337F01017,531713,,BCS IN,BLEC.BO,Finance,Finance - Investment,18-Jan-2017,Listed,2.04,1.03
531,131420,BMB Music & Magnetics Ltd.,INE644K01016,531420,,BOKA IN,BMBM.BO,Media & Entertainment,Film Production  Distribution & Entertainment,08-Jun-2017,Listed,1.87,1.13
532,123019,BN Rathi Securities Ltd.,INE710D01010,523019,,LL IN,BNRA.BO,Finance,Finance - Stock Broking,09-Jun-2017,Listed,29.70,14.97
533,100069,BNK Capital Markets Ltd.,INE418C01012,500069,,BNK IN,BNKC.BO,Finance,Finance - NBFC,09-Jun-2017,Listed,67.00,67.00
534,130809,BNR Udyog Ltd.,INE355C01016,530809,,RSSB IN,BNRU.BO,Diversified,Diversified,09-Jun-2017,Listed,39.90,11.97
535,124370,Bodal Chemicals Ltd.,INE338D01028,524370,BODALCHEM,BODL IN,BODA.BO,Chemicals,Chemicals ,09-Jun-2017,Listed,161.65,1763.72
536,200173,Bodhtree Consulting Ltd.,INE104F01011,539122,BODHTREE,BTREE IN,BODH.BO,IT,IT - Software ,09-Jun-2017,Listed,58.95,117.65
537,227291,Bohra Industries Ltd.,INE802W01015,,BOHRA,BOHRA IN,,Chemicals,Fertilizers,09-Jun-2017,Listed,50.75,77.35
538,101425,Bombay Burmah Trading Corporation Ltd.,INE050A01025,501425,BBTC,BBTC IN,BBRM.BO,Agri,Agriculture,09-Jun-2017,Listed,882.65,6158.42
539,101430,Bombay Cycle & Motor Agency Ltd.,INE691K01017,501430,,BCMA IN,BOCM.BO,Trading,Trading,09-Jun-2017,Listed,1484.45,29.69
540,100020,Bombay Dyeing & Manufacturing Company Ltd.,INE032A01023,500020,BOMDYEING,BD IN,BDYN.BO,Textile ,Textile ,09-Jun-2017,Listed,83.35,1721.47
541,132678,Bombay Rayon Fashions Ltd.,INE589G01011,532678,BRFL,BRFL IN,BRFL.BO,Textile ,Textile ,09-Jun-2017,Listed,138.00,4114.70
542,123133,Bonanza Industries Ltd.,INE143N01021,523133,,AKIL IN,BNZA.BO,Trading,Trading,17-Apr-2017,Listed,20.50,4.98
543,106315,Borax Morarji Ltd.,INE658B01015,506315,,BORX IN,BORX.BO,Chemicals,Chemicals ,09-Jun-2017,Listed,50.75,22.94
544,102219,Borosil Glass Works Ltd.,INE666D01014,502219,BOROGLASS,BRSL IN,BORO.BO,Construction Materials,Glass,09-Jun-2017,Listed,7965.50,1840.03
545,100530,Bosch Ltd.,INE323A01026,500530,BOSCHLTD,BOS IN,BOSH.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,23843.55,72772.28
546,278052,Boston Leasing and Finance Ltd.,INE962P01011,539274,,BLFL IN,,Finance,Finance - Investment,01-Jun-2017,Listed,11.86,8.18
547,225903,Bothra Metals & Alloys Ltd.,INE583M01012,535279,,BMAL IN,BOTH.BO,Non - Ferrous Metals,Aluminium & Aluminium Products,08-Jun-2017,Listed,38.00,70.36
548,243351,BP Capital Ltd.,INE947C01010,536965,,BPCA IN,,Finance,Finance - NBFC,07-Jun-2017,Listed,12.14,3.66
549,100074,BPL Ltd.,INE110A01019,500074,BPL,BPL IN,BPL.BO,Electricals,Electronics - Components,09-Jun-2017,Listed,75.30,368.10
550,105690,Brady & Morris Engineering Company Ltd.,INE856A01017,505690,,BMEC IN,BMEC.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,67.00,15.08
551,200509,Brahmanand Himghar Ltd.,INE318G01015,590081,,BRHL IN,BRHG.BO,Trading,Trading,28-Feb-2017,Listed,4.08,5.71
552,200064,Brahmaputra Infrastructure Ltd.,INE320I01017,535693,,BRAI IN,BRAH.BO,Infrastructure,Engineering - Construction,09-Jun-2017,Listed,36.80,106.79
553,131203,Brand Realty Services Ltd.,INE819G01012,531203,,BRRL IN,BRND.BO,Finance,Finance - Investment,22-May-2017,Listed,56.50,16.97
554,130207,Brawn Biotech Ltd.,INE899B01015,530207,,BRPH IN,BRAW.BO,Trading,Trading,09-Jun-2017,Listed,71.00,21.30
555,130249,Bridge Securities Ltd.,INE958C01017,530249,,BRSC IN,BRST.BO,Finance,Finance - Investment,08-Jun-2017,Listed,9.00,3.03
556,200020,Brigade Enterprises Ltd.,INE791I01019,532929,BRIGADE,BRGD IN,BRIG.BO,Realty,Construction - Real Estate,09-Jun-2017,Listed,270.55,3669.81
557,126731,Bright Brothers Ltd.,INE630D01010,526731,BRIGHTBROS,BRB IN,BRIB.BO,Plastic Products,Plastic Products,09-Jun-2017,Listed,78.80,44.76
558,132113,Brijlaxmi Leasing & Finance Ltd.,INE957E01023,532113,,BLFI IN,BRLF.BO,Finance,Finance - Investment,15-May-2017,Listed,0.19,1.07
559,270064,Brilliant Portfolios Ltd.,INE661F01010,539434,,BRLPRT IN,,Realty,Construction - Real Estate,07-Mar-2017,Listed,5.89,1.83
560,100825,Britannia Industries Ltd.,INE216A01022,500825,BRITANNIA,BRIT IN,BRIT.BO,FMCG,Consumer Food,09-Jun-2017,Listed,3668.05,44026.07
561,132816,Broadcast Initiatives Ltd.,INE698H01018,532816,BROADCAST,BCIL IN,BROI.BO,Media & Entertainment,TV Broadcasting & Software Production,02-May-2017,Listed,2.07,5.24
562,238438,Bronze Infra-Tech Ltd.,INE830N01015,534731,,BITL IN,BRON.BO,Realty,Construction - Real Estate,09-Jun-2017,Listed,1.23,2.13
563,281040,Bronze Trading Ltd.,INE022R01010,539873,,"BRONZE IN	",,Trading,Trading,07-Jun-2017,Listed,3.80,1.90
564,221680,Brooks Laboratories Ltd.,INE650L01011,533543,BROOKS,BKL IN,BROO.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,105.15,170.20
565,190061,Brushman (India) Ltd.,INE357C01012,590061,,BRUS IN,BRUS.BO,Miscellaneous,Miscellaneous,07-Mar-2017,Listed,1.15,1.70
566,212773,BS Ltd.,INE043K01029,533276,BSLIMITED,BSTL IN,BSLI.BO,Infrastructure,Engineering - Construction,09-Jun-2017,Listed,1.72,75.97
567,218537,BSE - 100 PE,,52,,,,Other,Index,09-Jun-2017,Listed,22.94,0.00
568,218540,BSE - 100 Price to Book Value,,55,,,,Other,Index,09-Jun-2017,Listed,2.80,0.00
569,218543,BSE - 100 Yield,,58,,,,Other,Index,09-Jun-2017,Listed,1.36,0.00
570,218538,BSE - 200 PE,,53,,,,Other,Index,09-Jun-2017,Listed,23.67,0.00
571,218541,BSE - 200 Price to Book Value,,56,,,,Other,Index,09-Jun-2017,Listed,2.88,0.00
572,218544,BSE - 200 Yield,,59,,,,Other,Index,09-Jun-2017,Listed,1.30,0.00
573,218536,BSE - 30  PE,,51,,,,Other,Index,09-Jun-2017,Listed,22.69,0.00
574,218539,BSE - 30 Price to Book Value,,54,,,,Other,Index,09-Jun-2017,Listed,2.94,0.00
575,218542,BSE - 30 Yield,,57,,,,Other,Index,09-Jun-2017,Listed,1.31,0.00
576,218485,BSE - PSU,,12,,BSETPSU IND,,Other,Index,09-Jun-2017,Listed,8540.16,1931374.20
577,207901,BSE Ltd.,INE118H01025,,BSE,BSE IN,,Finance,Finance - Stock Broking,09-Jun-2017,Listed,1118.70,6004.98
578,132123,BSEL Infrastructure Realty Ltd.,INE395A01016,532123,BSELINFRA,BSEL IN,BISL.BO,Realty,Construction - Real Estate,09-Jun-2017,Listed,4.23,34.95
579,114045,BSL Ltd.,INE594B01012,514045,BSL,BWSY IN,BSLL.BO,Textile ,Textile - Weaving,09-Jun-2017,Listed,76.95,79.20
580,282192,Bullish Bonds And Holdings Ltd.,INE595R01015,540006,,BULLB IN,,Finance,Finance - Investment,09-Jun-2017,Listed,29.75,10.65
581,200004,Burnpur Cement Ltd.,INE817H01014,532931,BURNPUR,BPUR IN,BRCL.BO,Construction Materials,Cement & Construction Materials,09-Jun-2017,Listed,10.12,87.16
582,117421,Butterfly Gandhimathi Appliances Ltd.,INE295F01017,517421,BUTTERFLY,BGAL IN,BUTT.BO,Consumer Durables,Consumer Durables - Domestic Appliances,09-Jun-2017,Listed,162.55,290.63
583,132813,C&C Constructions Ltd.,INE874H01015,532813,CANDC,CCON IN,CCCL.BO,Infrastructure,Engineering - Construction,09-Jun-2017,Listed,76.35,194.27
584,132321,Cadila Healthcare Ltd.,INE010B01027,532321,CADILAHC,CDH IN,CADI.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,540.70,55353.76
