SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1446.25,1482.25,1396.05,1410.95,1410.95,1451.9,1869,15631,22665868,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,189,198.9,184.9,186.45,185.3,188.3,1238,108731,20489379,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,857.5,869.4,853.2,855.45,856.4,856,1524,27423,23616450,,INE885A01032,,,
500009,A.SARABHAI  ,XT,Q,13.4,13.53,12.8,13,12.8,12.89,215,182155,2426302,,INE432A01017,,,
500010,HDFC        ,A ,Q,1480.45,1491.85,1475,1479.8,1480,1477.95,3595,176117,261213063,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,32.45,32.9,30.5,30.7,30.7,32.5,335,107677,3395060,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,26.6,27.4,23.6,23.8,23.8,26,3412,1065878,27113700,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,3.14,3.14,3.01,3.02,3.01,3.1,93,76304,232163,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,84.7,87.15,82.2,82.85,82.85,84.45,6291,1592970,135742753,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,129.45,135.4,129.45,133,133,134,9,1900,254801,,INE363A01022,,,
500024,ASSAMCO     ,B ,Q,7.81,8,7.67,7.69,7.7,7.78,206,179497,1408613,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2509.95,2550,2399,2424.1,2424.1,2493.1,525,3760,9220496,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,6.2,6.65,6.2,6.4,6.65,6.35,20,1974,12395,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,57.9,60.7,57,57.05,57.05,56.25,161,12622,741545,,INE448A01013,,,
500030,AUTORID.FIN ,T ,Q,1.2,1.2,1.1,1.2,1.2,1.15,9,2649,3048,,INE450A01019,,,
500031,BAJAJ ELECT.,A ,Q,356.9,357.35,344.7,345.55,345.55,354.45,1126,54714,19195291,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,14.34,14.58,13.95,14.04,14.05,14.26,922,701063,10017825,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4598,4635,4522,4535.4,4535.4,4576.95,3146,30853,141322489,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1258,1270,1230.5,1237.75,1240.55,1260.7,2111,46042,57754488,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,153.05,154.5,149.7,150.6,150.6,153.15,903,116252,17669848,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,219.95,223.25,215.25,216.75,216.75,219.85,328,17281,3810905,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,1131,1134.9,1083.3,1091.3,1091.3,1123.55,2949,98634,109917773,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2089.25,2089.9,2036,2045.15,2036,2089.95,19,150,311066,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1318.8,1339,1297,1304,1302.9,1318.25,210,1409,1861109,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,581.1,587.25,568.25,571.5,571.5,580.7,1094,39407,22802339,,INE176A01028,,,
