Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,22082023,1466269810,0002131"
"Trade Date <22-AUG-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,121,AKSHOPTFBR,EQ,585209,262495,44.85"
"20,122,AKZOINDIA,EQ,10976,5702,51.95"
"20,123,ALANKIT,EQ,766116,619694,80.89"
"20,124,ALBERTDAVD,EQ,10404,5736,55.13"
"20,125,ALEMBICLTD,EQ,481342,161556,33.56"
"20,126,ALICON,EQ,16382,6822,41.64"
"20,127,ALKALI,EQ,14945,7581,50.73"
"20,128,ALKEM,EQ,81156,39382,48.53"
"20,129,ALKYLAMINE,EQ,23159,11675,50.41"
"20,130,ALLCARGO,EQ,304052,167205,54.99"
"20,131,ALLETEC,SM,22400,17600,78.57"
"20,132,ALLSEC,EQ,15697,6995,44.56"
"20,133,ALMONDZ,EQ,185924,90759,48.82"
"20,134,ALOKINDS,EQ,19817055,5923365,29.89"
"20,135,ALPA,EQ,52428,30344,57.88"
"20,136,ALPHAGEO,EQ,22314,11494,51.51"
"20,137,AMARAJABAT,EQ,451646,278194,61.60"
"20,138,AMBANIORG,SM,4000,4000,100.00"
"20,139,AMBER,EQ,286142,205056,71.66"
"20,140,AMBIKCO,EQ,35455,18252,51.48"
"20,141,AMBUJACEM,EQ,3093757,1463970,47.32"
"20,142,AMEYA,SM,280000,188000,67.14"
"20,143,AMIABLE,SM,3200,3200,100.00"
"20,144,AMIORG,EQ,97583,46576,47.73"
"20,145,AMJLAND,EQ,65732,29223,44.46"
"20,146,AMRUTANJAN,EQ,25034,12045,48.11"
"20,147,ANANDRATHI,EQ,62677,30708,48.99"
"20,148,ANANTRAJ,EQ,1921060,1229936,64.02"
"20,149,ANDHRAPAP,EQ,85884,45997,53.56"
"20,150,ANDHRSUGAR,EQ,123325,60327,48.92"
"20,151,ANDREWYU,EQ,3222511,1448868,44.96"
"20,152,ANGELONE,EQ,370739,147131,39.69"
"20,153,ANLON,SM,7200,7200,100.00"
"20,154,ANNAPURNA,SM,18000,14000,77.78"
"20,155,ANUP,EQ,41000,18467,45.04"
"20,156,ANURAS,EQ,318299,107012,33.62"
"20,157,APARINDS,EQ,255435,80901,31.67"
"20,158,APCL,EQ,21069,14199,67.39"
"20,159,APCOTEXIND,EQ,43615,24075,55.20"
"20,160,APEX,EQ,189512,90354,47.68"
"20,161,APLAPOLLO,EQ,1009656,575551,57.00"
"20,162,APLLTD,EQ,88882,41559,46.76"
"20,163,APOLLO,EQ,1014033,447466,44.13"
"20,164,APOLLOHOSP,EQ,175172,70774,40.40"
"20,165,APOLLOPIPE,EQ,35216,20604,58.51"
"20,166,APOLLOTYRE,EQ,1889753,737154,39.01"
"20,167,APTECHT,EQ,537534,225609,41.97"
"20,168,APTUS,EQ,669411,524373,78.33"
"20,169,ARHAM,SM,150000,117000,78.00"
"20,170,ARIES,EQ,24598,14384,58.48"
"20,171,ARIHANTACA,SM,105600,78400,74.24"
"20,172,ARIHANTCAP,EQ,569654,366682,64.37"
