INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,31-Oct-19,0,XX,29638,29760,29460.6,29497.3,29497.3,21511,127031.2,997600,-3280,27-Oct-19
FUTIDX,BANKNIFTY,28-Nov-19,0,XX,29701.55,29790,29590.55,29629.95,29629.95,3559,21107.55,332620,-1380,27-Oct-19
FUTIDX,BANKNIFTY,26-Dec-19,0,XX,29759.55,29830,29675.55,29722,29722,84,499.7,15360,360,27-Oct-19
FUTIDX,NIFTY,31-Oct-19,0,XX,11675,11675,11614.05,11625,11625,19042,166084.27,13917825,23400,27-Oct-19
FUTIDX,NIFTY,28-Nov-19,0,XX,11699.95,11699.95,11655.55,11668.5,11668.5,3361,29421.07,2093250,54975,27-Oct-19
FUTIDX,NIFTY,26-Dec-19,0,XX,11728,11747.3,11705.2,11715.8,11715.8,312,2742,363600,6075,27-Oct-19
FUTIDX,NIFTYIT,31-Oct-19,0,XX,14965,15005,14965,14988,14988,9,67.44,15550,-250,27-Oct-19
FUTIDX,NIFTYIT,28-Nov-19,0,XX,15050,15050,15050,15050,15050,1,7.52,3850,50,27-Oct-19
FUTIDX,NIFTYIT,26-Dec-19,0,XX,0,0,0,15550,15102,0,0,0,0,27-Oct-19
FUTSTK,ACC,31-Oct-19,0,XX,1531,1534.95,1524.9,1531.65,1531.65,363,2222.6,1935200,-4000,27-Oct-19
FUTSTK,ACC,28-Nov-19,0,XX,1536.6,1540.15,1532,1537.85,1537.85,83,510.2,422400,3200,27-Oct-19
FUTSTK,ACC,26-Dec-19,0,XX,1541.2,1541.2,1541.2,1541.2,1543.8,1,6.16,4400,0,27-Oct-19
FUTSTK,ADANIENT,31-Oct-19,0,XX,182.95,184.5,181.75,183.85,183.85,492,3611.39,20516000,-56000,27-Oct-19
FUTSTK,ADANIENT,28-Nov-19,0,XX,184,185.3,183.05,184.85,184.85,141,1040.79,13664000,52000,27-Oct-19
FUTSTK,ADANIENT,26-Dec-19,0,XX,0,0,0,182.45,185.2,0,0,52000,0,27-Oct-19
FUTSTK,ADANIPORTS,31-Oct-19,0,XX,401.4,401.85,399.5,400.15,400.15,114,1142.22,11765000,12500,27-Oct-19
FUTSTK,ADANIPORTS,28-Nov-19,0,XX,402.25,403.1,401.4,401.8,401.8,34,341.89,1365000,17500,27-Oct-19
FUTSTK,ADANIPORTS,26-Dec-19,0,XX,404,404,404,404,403.7,1,10.1,12500,0,27-Oct-19
