DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
25102019|539938|000000002|0000000000000152|000000002|0000000000000152|100.00
25102019|539939|000006035|0000000000559747|000006035|0000000000563245|100.00
25102019|539940|000001071|0000000000040217|000002238|0000000000084738|047.86
25102019|539945|000000065|0000000000003634|000000066|0000000000003691|098.48
25102019|539956|000000220|0000000000044627|000000253|0000000000050127|086.96
25102019|539957|000007807|0000000007582549|000028319|0000000027466351|027.57
25102019|539978|000000945|0000000000445332|000002581|0000000001217092|036.61
25102019|539979|000022502|0000000000019741|000022502|0000000000019741|100.00
25102019|539980|000000008|0000000000000497|000000010|0000000000000625|080.00
25102019|539981|000001100|0000000000072545|000002620|0000000000174368|041.98
25102019|539982|000023311|0000000000376620|000023311|0000000000376620|100.00
25102019|539984|000000040|0000000000027400|000000040|0000000000027400|100.00
25102019|539986|000000300|0000000000012900|000000300|0000000000012900|100.00
25102019|539992|000197573|0000000000090884|000303406|0000000000140956|065.12
25102019|540005|000002720|0000000004548384|000020398|0000000033982041|013.33
25102019|540006|000002405|0000000000202020|000003405|0000000000280120|070.63
25102019|540024|000000005|0000000000000089|000000005|0000000000000089|100.00
25102019|540025|000001523|0000000000244137|000020524|0000000003273436|007.42
25102019|540027|000012157|0000000003853325|000012157|0000000003853325|100.00
25102019|540047|000012086|0000000004705685|000028123|0000000011250476|042.98
25102019|540048|000001113|0000000000226552|000001171|0000000000238063|095.05
25102019|540064|000007052|0000000002679760|000009603|0000000003649693|073.44
25102019|540065|000052127|0000000013568659|000957300|0000000243584499|005.45
25102019|540073|000000709|0000000000052112|000001068|0000000000078642|066.39
25102019|540078|000003000|0000000000501000|000003000|0000000000489000|100.00
25102019|540081|000000100|0000000000000131|000000100|0000000000000131|100.00
25102019|540083|000000055|0000000000000079|000000055|0000000000000078|100.00
25102019|540108|000008794|0000000000692968|000012504|0000000000923361|070.33
25102019|540115|000002863|0000000004181985|000024910|0000000036452607|011.49
25102019|540124|000002167|0000000000544893|000013075|0000000003360934|016.57
25102019|540125|000001600|0000000000030320|000003200|0000000000058800|050.00
25102019|540133|000025391|0000000012282897|000066917|0000000032211129|037.94
25102019|540134|000005585|0000000000075398|000005585|0000000000075397|100.00
25102019|540136|000000959|0000000000037737|000001943|0000000000076625|049.36
25102019|540140|000500000|0000000006360000|000500000|0000000006360000|100.00
25102019|540143|000001357|0000000000062422|000001759|0000000000078788|077.15
25102019|540144|000002500|0000000000022000|000005000|0000000000043125|050.00
25102019|540145|000000150|0000000000225750|000000150|0000000000225750|100.00
25102019|540153|000034824|0000000034721270|000035023|0000000035316539|099.43
25102019|540173|000156460|0000000076806214|000734370|0000000375230257|021.31
25102019|540175|000002046|0000000000057391|000002370|0000000000068680|086.33
25102019|540180|000000742|0000000000452880|000001195|0000000000735219|062.09
25102019|540192|000017852|0000000000085333|000019961|0000000000094157|089.43
25102019|540198|000012125|0000000000377088|000023225|0000000000739832|052.21
25102019|540203|000000050|0000000000061168|000000051|0000000000062391|098.04
25102019|540204|000000002|0000000000000058|000000002|0000000000000058|100.00
25102019|540210|000000894|0000000000012505|000000894|0000000000012505|100.00
25102019|540212|000000208|0000000000149126|000000311|0000000000223086|066.88
25102019|540222|000000336|0000000000115752|000000471|0000000000163456|071.34
25102019|540253|000000010|0000000000000093|000000010|0000000000000093|100.00
25102019|540268|000012514|0000000000726438|000012614|0000000000732521|099.21
25102019|540293|000002105|0000000000068202|000003995|0000000000130214|052.69
25102019|540358|000008000|0000000000201200|000018000|0000000000450900|044.44
25102019|540360|000003520|0000000000434368|000015608|0000000001914403|022.55
25102019|540361|000003954|0000000000033338|000003954|0000000000033338|100.00
25102019|540366|000002985|0000000000089550|000004033|0000000000121953|074.01
25102019|540376|000003214|0000000006049713|000011369|0000000021436680|028.27
25102019|540386|000150969|0000000001117185|000150969|0000000001117185|100.00
25102019|540393|000006000|0000000000090000|000006000|0000000000084000|100.00
25102019|540395|000002000|0000000000204000|000002000|0000000000204000|100.00
25102019|540396|000004000|0000000000142400|000004000|0000000000142400|100.00
25102019|540403|000000032|0000000000002400|000000036|0000000000002624|088.89
25102019|540404|000004000|0000000000438000|000005000|0000000000558300|080.00
25102019|540425|000001477|0000000000513996|000001477|0000000000513996|100.00
25102019|540469|000025000|0000000000250000|000025000|0000000000250000|100.00
25102019|540497|000001334|0000000000080040|000004054|0000000000242376|032.91
25102019|540519|000034500|0000000004935225|000040000|0000000005751225|086.25
25102019|540526|000002500|0000000000142050|000002500|0000000000142050|100.00
25102019|540530|000017128|0000000000603762|000042709|0000000001516908|040.10
25102019|540544|000000603|0000000000325590|000000703|0000000000383795|085.78
25102019|540565|000001701|0000000000160915|000001701|0000000000160914|100.00
25102019|540570|000000002|0000000000000028|000000002|0000000000000028|100.00
25102019|540575|000007241|0000000000682103|000007827|0000000000740522|092.51
25102019|540595|000005613|0000000000410311|000008263|0000000000600818|067.93
25102019|540596|000000195|0000000000083899|000001160|0000000000493817|016.81
25102019|540602|000002951|0000000000206275|000003147|0000000000220481|093.77
25102019|540611|000018548|0000000012761952|000027126|0000000018671634|068.38
25102019|540613|000003000|0000000000136500|000003000|0000000000136500|100.00
25102019|540615|000025731|0000000004258481|000048886|0000000008017989|052.63
25102019|540642|000000070|0000000000006748|000000070|0000000000006755|100.00
25102019|540647|000000000|0000000000000000|000002600|0000000000089700|000.00
25102019|540649|000002497|0000000000657461|000004750|0000000001258499|052.57
25102019|540650|000000325|0000000000032630|000000325|0000000000033162|100.00
25102019|540653|001120708|0000000001826755|001120708|0000000001826754|100.00
25102019|540669|000000020|0000000000005603|000000021|0000000000005958|095.24
25102019|540673|000003058|0000000002657250|000003777|0000000003555066|080.96
25102019|540678|000011610|0000000004343301|000035069|0000000013081683|033.11
25102019|540679|000000108|0000000000025737|000000108|0000000000025751|100.00
25102019|540680|000000092|0000000000010829|000000106|0000000000012471|086.79
25102019|540686|000000040|0000000000005600|000000040|0000000000005600|100.00
25102019|540691|000067896|0000000005367179|000138497|0000000011022292|049.02
25102019|540692|000001712|0000000000391364|000002873|0000000000664173|059.59
25102019|540697|000011200|0000000000166880|000011200|0000000000166880|100.00
25102019|540699|000000263|0000000000784451|000000570|0000000001709642|046.14
25102019|540700|000000565|0000000000034974|000000857|0000000000053253|065.93
25102019|540701|000050762|0000000005842707|000112024|0000000013258478|045.31
25102019|540702|000001329|0000000000023670|000001329|0000000000023670|100.00
25102019|540704|000000003|0000000000001510|000000006|0000000000002999|050.00
25102019|540709|000108044|0000000000446222|000178096|0000000000733582|060.67
25102019|540710|000000159|0000000000030902|000000420|0000000000081615|037.86
25102019|540716|000029370|0000000039041541|000052089|0000000070376471|056.38
25102019|540719|000010949|0000000010760678|000037773|0000000037198993|028.99
25102019|540724|000000056|0000000000051806|000000062|0000000000056651|090.32
25102019|540726|000005000|0000000000398750|000005000|0000000000398750|100.00
25102019|540727|000009000|0000000000468000|000009000|0000000000468000|100.00
25102019|540728|000000093|0000000000013769|000000143|0000000000020565|065.03
25102019|540730|000001500|0000000000145200|000001500|0000000000145200|100.00
25102019|540743|000000933|0000000000472518|000003514|0000000001766301|026.55
25102019|540744|000001803|0000000000009935|000001803|0000000000009935|100.00
25102019|540749|000000298|0000000000216617|000000480|0000000000348259|062.08
25102019|540750|000002587|0000000000358300|000006829|0000000000959319|037.88
25102019|540755|000031400|0000000008564350|000144958|0000000038971656|021.66
25102019|540757|000028800|0000000003985920|000033600|0000000004538880|085.71
25102019|540762|000002616|0000000000968836|000003758|0000000001390943|069.61
25102019|540767|000081260|0000000025678160|000438004|0000000140384538|018.55
25102019|540768|000002243|0000000000786172|000003934|0000000001380197|057.02
25102019|540769|000026105|0000000003692553|000059203|0000000008009539|044.09
25102019|540774|000001000|0000000000140450|000001035|0000000000145827|096.62
25102019|540775|000001460|0000000000363540|000002895|0000000000714863|050.43
25102019|540776|000000624|0000000000100371|000000647|0000000000104193|096.45
25102019|540777|000045865|0000000027961598|000127574|0000000078235663|035.95
25102019|540787|000077735|0000000002726167|000094390|0000000003305245|082.36
25102019|540789|000015500|0000000000005115|000015500|0000000000005115|100.00
25102019|540793|000003500|0000000000029155|000004000|0000000000033125|087.50
25102019|540795|000003000|0000000000108000|000003000|0000000000108000|100.00
25102019|540797|000002324|0000000000198005|000003941|0000000000338687|058.97
25102019|540798|000000394|0000000000192529|000000450|0000000000221033|087.56
25102019|540809|000008000|0000000000029920|000008000|0000000000029920|100.00
25102019|540824|000105678|0000000009775215|000283093|0000000027069855|037.33
25102019|540843|000003000|0000000000120900|000003000|0000000000120900|100.00
25102019|540850|000002000|0000000000013820|000002000|0000000000013820|100.00
25102019|540861|000003000|0000000000025050|000004000|0000000000034750|075.00
25102019|540879|000002970|0000000000205524|000005494|0000000000378457|054.06
25102019|540900|000003685|0000000000665880|000006177|0000000001124440|059.66
25102019|540901|000001103|0000000000073083|000001103|0000000000073083|100.00
25102019|540902|000001477|0000000001459498|000004608|0000000004611106|032.05
25102019|540935|000000487|0000000000753682|000001496|0000000002309362|032.55
25102019|540938|000070000|0000000000276500|000070000|0000000000276500|100.00
25102019|540945|000004000|0000000000012560|000004000|0000000000012560|100.00
25102019|540954|000001186|0000000000056928|000006606|0000000000316462|017.95
25102019|540955|000096000|0000000001612800|000096000|0000000001600200|100.00
25102019|540956|000022000|0000000001551000|000022000|0000000001551000|100.00
25102019|540961|000000025|0000000000000850|000000025|0000000000000850|100.00
25102019|540975|000001590|0000000000199148|000001760|0000000000219478|090.34
25102019|540981|000006001|0000000000051009|000006001|0000000000050968|100.00
25102019|541005|000000170|0000000000004947|000000170|0000000000005161|100.00
25102019|541019|000000534|0000000000101888|000001147|0000000000218540|046.56
25102019|541083|000001000|0000000000109400|000001000|0000000000109400|100.00
25102019|541096|000000200|0000000000035940|000000200|0000000000035940|100.00
25102019|541143|000001561|0000000000461510|000002952|0000000000873897|052.88
25102019|541153|000054862|0000000032626432|000157291|0000000092905335|034.88
25102019|541154|000000951|0000000000700555|000001650|0000000001206226|057.64
25102019|541161|000000954|0000000000145867|000001214|0000000000185672|078.58
25102019|541163|000000119|0000000000027650|000000166|0000000000038716|071.69
25102019|541178|000002000|0000000000026500|000002000|0000000000026500|100.00
25102019|541179|000011378|0000000003746776|000026753|0000000008771991|042.53
25102019|541195|000006449|0000000000859652|000010249|0000000001360672|062.92
25102019|541233|000014682|0000000000865504|000025651|0000000001513564|057.24
25102019|541269|000000084|0000000000014957|000000090|0000000000016088|093.33
25102019|541276|000010000|0000000000299000|000010000|0000000000299000|100.00
25102019|541301|000010797|0000000001950479|000014054|0000000002556535|076.83
25102019|541304|000020000|0000000001809000|000055000|0000000004996375|036.36
25102019|541336|000002459|0000000000440899|000003683|0000000000665906|066.77
25102019|541347|000000100|0000000000000151|000000100|0000000000000151|100.00
25102019|541352|000002000|0000000000100000|000002000|0000000000100000|100.00
25102019|541400|000000279|0000000000026812|000000492|0000000000048437|056.71
25102019|541403|000000265|0000000000045991|000000287|0000000000050838|092.33
25102019|541445|000003200|0000000000088000|000003200|0000000000089200|100.00
25102019|541450|000141761|0000000012609641|000457978|0000000041061639|030.95
25102019|541540|000001054|0000000000448372|000001463|0000000000623783|072.04
25102019|541545|000019854|0000000000083586|000022950|0000000000101175|086.51
25102019|541546|000005003|0000000000001650|000005003|0000000000001650|100.00
25102019|541556|000007703|0000000002150293|000038505|0000000010796031|020.01
25102019|541557|000000629|0000000001197050|000003538|0000000006697245|017.78
25102019|541578|000001039|0000000000479759|000001420|0000000000661553|073.17
25102019|541627|000007862|0000000000137708|000007862|0000000000137708|100.00
25102019|541700|000000020|0000000000014530|000000060|0000000000043594|033.33
25102019|541701|000016200|0000000005994000|000021000|0000000007698000|077.14
25102019|541702|000000010|0000000000000019|000000010|0000000000000018|100.00
25102019|541725|000001535|0000000000014337|000001535|0000000000014336|100.00
25102019|541729|000025692|0000000074520931|000054158|0000000159196212|047.44
25102019|541741|000000330|0000000000004752|000000330|0000000000004352|100.00
25102019|541744|000003000|0000000000025050|000003000|0000000000025010|100.00
25102019|541770|000051811|0000000033539851|000055169|0000000036169293|093.91
25102019|541771|000007540|0000000000004985|000007540|0000000000004985|100.00
25102019|541804|000008400|0000000000078036|000008400|0000000000078216|100.00
25102019|541890|000006250|0000000000001687|000006250|0000000000001687|100.00
25102019|541956|000025423|0000000010387838|000070932|0000000029561210|035.84
25102019|541972|000000040|0000000000012548|000000040|0000000000012562|100.00
25102019|541973|000000000|0000000000000000|000003000|0000000000318000|000.00
25102019|541974|000001800|0000000000549900|000014400|0000000004422390|012.50
25102019|541988|000001677|0000000002734684|000003206|0000000005231164|052.31
25102019|542011|000040134|0000000007781983|000093563|0000000017874463|042.90
25102019|542013|000016000|0000000000632000|000016000|0000000000614800|100.00
25102019|542025|000009000|0000000000208350|000012000|0000000000270600|075.00
25102019|542057|000004000|0000000000153000|000012000|0000000000465000|033.33
25102019|542066|000040629|0000000005964338|000099911|0000000014708967|040.67
25102019|542117|000000025|0000000000000312|000000025|0000000000000311|100.00
25102019|542141|000000443|0000000000118747|000000445|0000000000120111|099.55
25102019|542145|000006000|0000000000180000|000006000|0000000000180000|100.00
25102019|542216|000006516|0000000005270467|000015167|0000000012446820|042.96
25102019|542230|000000001|0000000000000280|000000003|0000000000000841|033.33
25102019|542231|000001800|0000000000002124|000001800|0000000000002124|100.00
25102019|542248|000002400|0000000000196560|000003600|0000000000294720|066.67
25102019|542285|000002000|0000000000188000|000002000|0000000000188000|100.00
25102019|542333|000000258|0000000000087372|000000507|0000000000174719|050.89
25102019|542337|000013289|0000000001035878|000024580|0000000001887582|054.06
25102019|542351|000000048|0000000000028494|000000048|0000000000028494|100.00
25102019|542383|000001600|0000000000086400|000001600|0000000000086400|100.00
25102019|542399|000000001|0000000000000339|000000003|0000000000000999|033.33
25102019|542446|000020800|0000000000634400|000104000|0000000003152760|020.00
25102019|542460|000000305|0000000000143579|000001049|0000000000496731|029.08
25102019|542484|000001261|0000000000569657|000001853|0000000000840238|068.05
25102019|542580|000012000|0000000000398400|000012000|0000000000398400|100.00
25102019|542597|000003695|0000000000351395|000006931|0000000000654755|053.31
25102019|542602|000003200|0000000001322848|000008200|0000000003374494|039.02
25102019|542628|000003000|0000000000080850|000009000|0000000000243450|033.33
25102019|542641|000008281|0000000000004897|000008281|0000000000004897|100.00
25102019|542646|000002500|0000000000021025|000002500|0000000000021025|100.00
25102019|542649|000273285|0000000006463191|000642116|0000000015379471|042.56
25102019|542650|000001248|0000000001769290|000005484|0000000007696585|022.76
25102019|542651|000004093|0000000000392928|000004922|0000000000474755|083.16
25102019|542652|000009575|0000000007827563|000031141|0000000025465506|030.75
25102019|542655|000080460|0000000000309946|000080460|0000000000309946|100.00
25102019|542665|000001043|0000000000414906|000001566|0000000000618331|066.60
25102019|542668|000002000|0000000000253000|000004000|0000000000493900|050.00
25102019|542669|000000011|0000000000000205|000000011|0000000000000207|100.00
25102019|542670|000004000|0000000000600000|000004000|0000000000624000|100.00
25102019|542677|000000100|0000000000001725|000000100|0000000000001725|100.00
25102019|542678|000028000|0000000000595000|000028000|0000000000595000|100.00
25102019|542682|000000936|0000000000031497|000000936|0000000000032677|100.00
25102019|542684|000002852|0000000000196646|000003846|0000000000265342|074.15
25102019|542685|000000137|0000000000000631|000000137|0000000000000615|100.00
25102019|542694|000003000|0000000000259500|000003000|0000000000259500|100.00
25102019|542696|000000139|0000000000004678|000000139|0000000000004677|100.00
25102019|542721|000008000|0000000000279200|000008000|0000000000279400|100.00
25102019|542724|000069000|0000000004205550|000069000|0000000004080000|100.00
25102019|542725|000066000|0000000001702800|000072000|0000000001856100|091.67
25102019|542726|000002049|0000000003733688|000004964|0000000009187079|041.28
25102019|542729|000000024|0000000000000686|000000067|0000000000001931|035.82
25102019|542747|000000015|0000000000000466|000000015|0000000000000465|100.00
25102019|542752|000007763|0000000010998231|000032947|0000000046323846|023.56
25102019|542758|000000000|0000000000000000|000000050|0000000000008109|000.00
25102019|542759|000000935|0000000001004611|000001899|0000000002053970|049.24
25102019|542760|000000731|0000000000428549|000001134|0000000000667552|064.46
25102019|542771|000114000|0000000004354800|000252000|0000000009871500|045.24
25102019|542772|000002215|0000000002811721|000002877|0000000003640484|076.99
25102019|542773|000204614|0000000005759885|000275138|0000000007738055|074.37
25102019|542774|000005005|0000000000057558|000005415|0000000000053511|092.43
25102019|542801|000004000|0000000000162000|000004000|0000000000162000|100.00
25102019|542802|000018000|0000000000414000|000018000|0000000000414000|100.00
25102019|542812|000000456|0000000000314050|000000456|0000000000314050|100.00
25102019|542823|000000001|0000000000000054|000000001|0000000000000053|100.00
