SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1543,1619.45,1532,1598.8,1598.8,1537.8,7407,135180,214580544,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,187.4,189.5,184.3,184.9,185.95,185.7,329,23697,4422497,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,883.7,902,883.6,897.7,902,882.4,1680,49979,44814779,,INE885A01032,,,
500009,A.SARABHAI  ,XT,Q,11.1,11.72,11.1,11.44,11.72,11.17,89,54448,634623,,INE432A01017,,,
500010,HDFC        ,A ,Q,1530.95,1575,1528.55,1572.8,1572.8,1523.3,4403,74108,115740302,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,29.1,29.45,28.05,28.85,28.85,28.3,178,53045,1520166,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,32.7,32.9,29.7,30.5,30.5,31.75,1756,419749,12916588,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,4.45,4.45,4.1,4.19,4.19,4.24,81,22788,97002,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,83.9,86.2,83.55,84.95,84.95,83,2842,610280,51907398,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,142,142,141,142,142,142,6,251,35641,,INE363A01022,,,
500024,ASSAMCO     ,B ,Q,7.25,7.3,7.15,7.18,7.18,7.29,182,169948,1222548,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2504.35,2535,2472,2519.3,2521,2470.8,205,1233,3082830,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,6.55,7,6.53,6.96,7,6.87,19,5003,34023,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,61.65,61.65,59.4,59.5,59.5,59.7,45,5270,317836,,INE448A01013,,,
500031,BAJAJ ELECT.,A ,Q,352.8,355.2,350,351.2,351.2,351.8,412,22042,7762831,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,16.45,16.9,16.4,16.6,16.6,16.45,1426,1525895,25406120,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4510,4580,4461,4550.9,4550.9,4506.25,4303,50909,231145414,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1296.85,1330.9,1292.3,1326.4,1326.4,1285.35,4424,95742,126148601,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,161.05,167,160.7,166,166,159.65,2325,366478,60116298,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,233,236,232,233.05,232,232.6,471,24614,5748322,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,1189,1195,1172.7,1182.55,1182.55,1181.2,2937,85318,100971284,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,1960,1960,1925,1940,1940,1940.55,33,392,758626,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1341.55,1366.85,1339,1342.65,1344.75,1337.4,491,3513,4745831,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,579.15,585,570,575.1,575.1,579.15,687,33913,19536885,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1336.3,1369.95,1334,1359.75,1359.75,1334.3,1502,22157,29974255,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,181.95,184.95,181.1,183.9,183.9,181.05,2255,270481,49722996,,INE263A01024,,,
500052,BHANSALI ENG,B ,Q,37.15,39.8,36.9,39.55,39.55,37,3286,1208296,46844732,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,88.65,91,86.8,87.75,87.75,88.3,2651,336600,29831970,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,2.22,2.33,2.22,2.26,2.33,2.31,16,10225,22952,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,88.45,90.1,85.5,86.15,86.15,87.3,570,46064,4076322,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,47.5,49.85,47,47.45,47.45,44.2,664,66622,3206515,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,711.1,722.6,667.35,687.7,687.7,705.55,1217,29523,20779309,,INE472A01039,,,
