INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,29-Nov-18,0,XX,25880,25880,25732.2,25762.2,25762.2,23750,122382.91,1397860,16860,07-Nov-18
FUTIDX,BANKNIFTY,27-Dec-18,0,XX,25907.65,25913.35,25827.65,25856.05,25856.05,177,915.38,66160,620,07-Nov-18
FUTIDX,BANKNIFTY,31-Jan-19,0,XX,25957.25,25989.1,25925.8,25942.7,25942.7,22,114.13,4020,80,07-Nov-18
FUTIDX,NIFTY,29-Nov-18,0,XX,10619.5,10648.1,10596.9,10614.55,10614.55,38360,305331.54,23795700,186150,07-Nov-18
FUTIDX,NIFTY,27-Dec-18,0,XX,10694.85,10694.85,10643.4,10662.5,10662.5,999,7986.7,908175,-450,07-Nov-18
FUTIDX,NIFTY,31-Jan-19,0,XX,10725,10725.95,10688.75,10704.5,10704.5,207,1661.42,111225,5325,07-Nov-18
FUTIDX,NIFTYIT,29-Nov-18,0,XX,14668,14727,14662,14705,14705,56,411.35,14150,-950,07-Nov-18
FUTIDX,NIFTYIT,27-Dec-18,0,XX,0,0,0,14475,14828,0,0,50,0,07-Nov-18
FUTIDX,NIFTYIT,31-Jan-19,0,XX,0,0,0,14357,14936,0,0,0,0,07-Nov-18
FUTIDX,NIFTYMID50,29-Nov-18,0,XX,4740,4798.1,4740,4798.1,4798.1,2,10.49,694870,0,07-Nov-18
FUTIDX,NIFTYMID50,27-Dec-18,0,XX,0,0,0,4819.75,4822.7,0,0,0,0,07-Nov-18
FUTSTK,ACC,29-Nov-18,0,XX,1455,1465,1452.95,1459.45,1459.45,291,1699.1,896800,7200,07-Nov-18
FUTSTK,ACC,27-Dec-18,0,XX,1465,1465,1465,1465,1465,2,11.72,14000,-400,07-Nov-18
FUTSTK,ACC,31-Jan-19,0,XX,0,0,0,1360.2,1488.3,0,0,400,0,07-Nov-18
FUTSTK,ADANIENT,29-Nov-18,0,XX,165.45,173,164.95,166.2,166.2,878,5876.26,34696000,-68000,07-Nov-18
FUTSTK,ADANIENT,27-Dec-18,0,XX,0,0,0,166.2,167.5,0,0,2624000,0,07-Nov-18
FUTSTK,ADANIENT,31-Jan-19,0,XX,169.8,169.8,169.8,169.8,168.7,1,6.79,8000,4000,07-Nov-18
FUTSTK,ADANIPORTS,29-Nov-18,0,XX,330,330,326.35,327.4,327.4,278,2278.69,17005000,-2500,07-Nov-18
FUTSTK,ADANIPORTS,27-Dec-18,0,XX,330,330,328.75,329.1,329.1,4,32.93,377500,2500,07-Nov-18
FUTSTK,ADANIPORTS,31-Jan-19,0,XX,0,0,0,311.85,332,0,0,0,0,07-Nov-18
FUTSTK,ADANIPOWER,29-Nov-18,0,XX,50.55,50.65,49.6,49.9,49.9,132,1320.8,158140000,340000,07-Nov-18
FUTSTK,ADANIPOWER,27-Dec-18,0,XX,49.9,49.9,49.9,49.9,49.9,1,9.98,1280000,20000,07-Nov-18
FUTSTK,ADANIPOWER,31-Jan-19,0,XX,0,0,0,50,50.5,0,0,0,0,07-Nov-18
FUTSTK,AJANTPHARM,29-Nov-18,0,XX,1036.3,1069.9,1036.3,1057.5,1057.5,131,692.54,561500,10000,07-Nov-18
FUTSTK,AJANTPHARM,27-Dec-18,0,XX,0,0,0,1072.15,1074.5,0,0,12500,0,07-Nov-18
FUTSTK,AJANTPHARM,31-Jan-19,0,XX,0,0,0,1095.15,1082.3,0,0,2000,0,07-Nov-18
FUTSTK,ALBK,29-Nov-18,0,XX,44.15,44.15,43.75,44.05,44.05,39,188.73,14421000,22000,07-Nov-18
