Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,30032022,1392713979,0002083"
"Trade Date <30-MAR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,113,ANSALAPI,EQ,85991,62283,72.43"
"20,114,ANSALHSG,EQ,95109,76833,80.78"
"20,115,ANUP,EQ,12531,8560,68.31"
"20,116,ANURAS,EQ,189166,81364,43.01"
"20,117,APARINDS,EQ,32738,17003,51.94"
"20,118,APCL,EQ,48215,29459,61.10"
"20,119,APCOTEXIND,EQ,19908,13726,68.95"
"20,120,APEX,EQ,49080,21953,44.73"
"20,121,APLAPOLLO,EQ,212684,109524,51.50"
"20,122,APLLTD,EQ,185278,79000,42.64"
"20,123,APOLLO,EQ,84435,62338,73.83"
"20,124,APOLLOHOSP,EQ,4839707,3189984,65.91"
"20,125,APOLLOPIPE,EQ,37082,25403,68.50"
"20,126,APOLLOTYRE,EQ,4244882,679463,16.01"
"20,127,APOLSINHOT,EQ,12855,5044,39.24"
"20,128,APTECHT,EQ,284231,57745,20.32"
"20,129,APTUS,EQ,353786,181675,51.35"
"20,130,ARCHIDPLY,EQ,22410,15607,69.64"
"20,131,ARCHIES,EQ,92896,58000,62.44"
"20,132,ARENTERP,EQ,2323,1223,52.65"
"20,133,ARIES,EQ,63526,26627,41.92"
"20,134,ARIHANTCAP,EQ,27656,16282,58.87"
"20,135,ARIHANTSUP,EQ,159273,79075,49.65"
"20,136,ARMANFIN,EQ,6415,4700,73.27"
"20,137,AROGRANITE,EQ,40879,27307,66.80"
"20,138,ARROWGREEN,EQ,8055,5723,71.05"
"20,139,ARSHIYA,EQ,2405102,1747483,72.66"
"20,140,ARSSINFRA,EQ,31978,24828,77.64"
"20,141,ARTEMISMED,EQ,81275,43348,53.33"
"20,142,ARTNIRMAN,EQ,3133,3133,100.00"
"20,143,ARVIND,EQ,755795,290568,38.45"
"20,144,ARVINDFASN,EQ,164341,111500,67.85"
"20,145,ARVSMART,EQ,55007,30305,55.09"
"20,146,ASAHIINDIA,EQ,269185,116111,43.13"
"20,147,ASAHISONG,EQ,17239,7371,42.76"
"20,148,ASALCBR,EQ,48477,28479,58.75"
"20,149,ASCOM,SM,4000,4000,100.00"
"20,150,ASHAPURMIN,EQ,235847,142040,60.23"
"20,151,ASHIANA,EQ,58930,34039,57.76"
"20,152,ASHIMASYN,EQ,279512,193776,69.33"
"20,153,ASHOKA,EQ,1004235,589116,58.66"
"20,154,ASHOKLEY,EQ,11237999,3803398,33.84"
"20,155,ASIANENE,EQ,121956,87676,71.89"
"20,156,ASIANHOTNR,EQ,13187,9906,75.12"
"20,157,ASIANPAINT,EQ,849545,449124,52.87"
"20,158,ASIANTILES,EQ,426116,295688,69.39"
"20,159,ASPINWALL,EQ,12447,8359,67.16"
"20,160,ASTEC,EQ,54468,35565,65.30"
"20,161,ASTERDM,EQ,403163,119971,29.76"
"20,162,ASTRAL,EQ,334656,225495,67.38"
"20,163,ASTRAMICRO,EQ,129520,61460,47.45"
"20,164,ASTRAZEN,EQ,11236,7970,70.93"
"20,165,ASTRON,EQ,120259,69688,57.95"
"20,166,ATALREAL,SM,217600,126400,58.09"
"20,167,ATFL,EQ,4390,2300,52.39"
"20,168,ATGL,EQ,233133,104879,44.99"
"20,169,ATLANTA,EQ,54560,42091,77.15"
"20,170,ATUL,EQ,50294,17245,34.29"
"20,171,ATULAUTO,EQ,124728,78028,62.56"
"20,172,AUBANK,EQ,1529258,750456,49.07"
"20,173,AURIONPRO,EQ,82884,46873,56.55"
"20,174,AUROPHARMA,EQ,4622242,2696700,58.34"
"20,175,AURUM,EQ,73707,48994,66.47"
"20,176,AUSOMENT,EQ,11071,8027,72.50"
"20,177,AUTOAXLES,EQ,56282,22377,39.76"
"20,178,AUTOIND,EQ,17197,10489,60.99"
"20,179,AVADHSUGAR,EQ,197930,57762,29.18"
"20,180,AVANTIFEED,EQ,758101,617790,81.49"
"20,181,AVTNPL,EQ,822092,219440,26.69"
"20,182,AWHCL,EQ,178839,115925,64.82"
"20,183,AWL,EQ,25219865,5998180,23.78"
"20,184,AXISBANK,EQ,16618114,7430795,44.72"
"20,185,AXISBNKETF,EQ,667,584,87.56"
"20,186,AXISBPSETF,EQ,81946,71119,86.79"
"20,187,AXISCADES,EQ,192112,133138,69.30"
"20,188,AXISCETF,EQ,492,366,74.39"
"20,189,AXISGOLD,EQ,95559,59553,62.32"
"20,190,AXISHCETF,EQ,1459,1141,78.20"
"20,191,AXISNIFTY,EQ,9417,8681,92.18"
"20,192,AXISTECETF,EQ,1016,707,69.59"
"20,193,AYMSYNTEX,EQ,42298,29405,69.52"
"20,194,BAFNAPH,EQ,16463,11860,72.04"
