Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,12042022,1013441532,0002101"
"Trade Date <12-APR-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,113,ANUP,EQ,44958,24656,54.84"
"20,114,ANURAS,EQ,131437,35898,27.31"
"20,115,APARINDS,EQ,47706,25313,53.06"
"20,116,APCL,EQ,30341,19035,62.74"
"20,117,APCOTEXIND,EQ,83891,38975,46.46"
"20,118,APEX,EQ,123484,67355,54.55"
"20,119,APLAPOLLO,EQ,628415,339158,53.97"
"20,120,APLLTD,EQ,224183,116960,52.17"
"20,121,APOLLO,EQ,97839,56841,58.10"
"20,122,APOLLOHOSP,EQ,574409,259085,45.10"
"20,123,APOLLOPIPE,EQ,237077,136977,57.78"
"20,124,APOLLOTYRE,EQ,4091155,1481485,36.21"
"20,125,APOLSINHOT,EQ,4329,3249,75.05"
"20,126,APTECHT,EQ,110406,39317,35.61"
"20,127,APTUS,EQ,86306,49088,56.88"
"20,128,ARCHIDPLY,EQ,30696,19012,61.94"
"20,129,ARCHIES,EQ,131748,85435,64.85"
"20,130,ARENTERP,EQ,16851,12892,76.51"
"20,131,ARIES,EQ,101556,34615,34.08"
"20,132,ARIHANTCAP,EQ,505602,321290,63.55"
"20,133,ARIHANTSUP,EQ,247885,186487,75.23"
"20,134,ARMANFIN,EQ,38222,14221,37.21"
"20,135,AROGRANITE,EQ,59638,34170,57.30"
"20,136,ARROWGREEN,EQ,10876,6471,59.50"
"20,137,ARSHIYA,EQ,1588005,874380,55.06"
"20,138,ARSSINFRA,EQ,18757,11393,60.74"
"20,139,ARTEMISMED,EQ,216228,132371,61.22"
"20,140,ARTNIRMAN,EQ,3339,1446,43.31"
"20,141,ARVIND,EQ,1826665,655971,35.91"
"20,142,ARVINDFASN,EQ,209581,129457,61.77"
"20,143,ARVSMART,EQ,89544,46102,51.49"
"20,144,ASAHIINDIA,EQ,152537,54763,35.90"
"20,145,ASAHISONG,EQ,89203,39123,43.86"
"20,146,ASALCBR,EQ,31439,16484,52.43"
"20,147,ASCOM,SM,4000,4000,100.00"
"20,148,ASHAPURMIN,EQ,901737,642342,71.23"
"20,149,ASHIANA,EQ,26025,15544,59.73"
"20,150,ASHIMASYN,EQ,150704,103779,68.86"
"20,151,ASHOKA,EQ,482881,209580,43.40"
"20,152,ASHOKLEY,EQ,12835767,4749352,37.00"
"20,153,ASIANENE,EQ,49364,26998,54.69"
"20,154,ASIANHOTNR,EQ,8744,5488,62.76"
"20,155,ASIANPAINT,EQ,794265,468250,58.95"
"20,156,ASIANTILES,EQ,945390,397687,42.07"
"20,157,ASLIND,SM,100000,100000,100.00"
"20,158,ASPINWALL,EQ,5150,3818,74.14"
"20,159,ASTEC,EQ,9532,5479,57.48"
"20,160,ASTERDM,EQ,539099,223773,41.51"
"20,161,ASTRAL,EQ,578679,236994,40.95"
"20,162,ASTRAMICRO,EQ,523317,170672,32.61"
"20,163,ASTRAZEN,EQ,10081,5152,51.11"
"20,164,ASTRON,EQ,166128,88650,53.36"
"20,165,ATALREAL,SM,54400,38400,70.59"
"20,166,ATFL,EQ,1902,1225,64.41"
"20,167,ATGL,EQ,804605,352519,43.81"
"20,168,ATLANTA,EQ,37608,17150,45.60"
"20,169,ATUL,EQ,59619,27896,46.79"
"20,170,ATULAUTO,EQ,109897,60814,55.34"
"20,171,AUBANK,EQ,1379914,556803,40.35"
"20,172,AURIONPRO,EQ,46750,25269,54.05"
"20,173,AUROPHARMA,EQ,1549353,546221,35.25"
"20,174,AURUM,EQ,61757,56837,92.03"
"20,175,AUSOMENT,EQ,16542,9054,54.73"
"20,176,AUTOAXLES,EQ,15957,9041,56.66"
"20,177,AUTOIND,EQ,275447,181729,65.98"
"20,178,AVADHSUGAR,EQ,512415,112940,22.04"
"20,179,AVANTIFEED,EQ,243021,107464,44.22"
"20,180,AVROIND,EQ,7136,7136,100.00"
"20,181,AVTNPL,EQ,247797,112024,45.21"
"20,182,AWHCL,EQ,123340,56140,45.52"
"20,183,AWL,EQ,22706296,6701719,29.51"
"20,184,AXISBANK,EQ,7672215,3243441,42.28"
"20,185,AXISBNKETF,EQ,699,590,84.41"
"20,186,AXISBPSETF,EQ,25942,16112,62.11"
"20,187,AXISCADES,EQ,253135,184251,72.79"
"20,188,AXISCETF,EQ,1344,1274,94.79"
"20,189,AXISGOLD,EQ,50311,28217,56.09"
"20,190,AXISHCETF,EQ,1805,1528,84.65"
"20,191,AXISNIFTY,EQ,3597,3090,85.90"
"20,192,AXISTECETF,EQ,1060,1038,97.92"
"20,193,AYMSYNTEX,EQ,28605,16535,57.80"
"20,194,BAFNAPH,EQ,1821,1337,73.42"
"20,195,BAGFILMS,EQ,3249345,1581757,48.68"
"20,196,BAJAJ-AUTO,EQ,266145,123744,46.49"
"20,197,BAJAJCON,EQ,534047,222332,41.63"
"20,198,BAJAJELEC,EQ,157206,42402,26.97"
"20,199,BAJAJFINSV,EQ,247647,80310,32.43"
"20,200,BAJAJHCARE,EQ,46235,25354,54.84"
