Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,26122023,1397920906,0002327"
"Trade Date <26-DEC-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,1018GS2026,GS,4080,4080,100.00"
"20,2,182D010224,TB,100,100,100.00"
"20,3,182D060624,TB,8100,8100,100.00"
"20,4,182D090524,TB,100,100,100.00"
"20,5,182D130624,TB,900,900,100.00"
"20,6,182D200624,TB,44300,44300,100.00"
"20,7,182D230524,TB,1300,1300,100.00"
"20,8,182D290324,TB,100,100,100.00"
"20,9,182D291223,TB,100,100,100.00"
"20,10,20MICRONS,EQ,471195,139197,29.54"
"20,11,21STCENMGM,EQ,5967,5967,100.00"
"20,12,360ONE,EQ,151516,62457,41.22"
"20,13,364D020524,TB,15000,15000,100.00"
"20,14,364D040424,TB,100,100,100.00"
"20,15,364D051224,TB,100,100,100.00"
"20,16,364D060624,TB,10000,10000,100.00"
"20,17,364D071124,TB,700,700,100.00"
"20,18,364D101024,TB,3300,3300,100.00"
"20,19,364D110424,TB,100,100,100.00"
"20,20,364D121224,TB,900,900,100.00"
"20,21,364D160524,TB,100,100,100.00"
"20,22,364D191224,TB,38700,38700,100.00"
"20,23,364D200624,TB,500,500,100.00"
"20,24,364D211124,TB,200,200,100.00"
"20,25,364D220324,TB,100,100,100.00"
"20,26,364D290824,TB,500,500,100.00"
"20,27,3IINFOLTD,EQ,857846,443038,51.65"
"20,28,3MINDIA,EQ,1511,759,50.23"
"20,29,3PLAND,EQ,13828,8078,58.42"
"20,30,563GS2026,GS,10,10,100.00"
"20,31,574GS2026,GS,10196,10146,99.51"
"20,32,577GS2030,GS,100,100,100.00"
"20,33,5PAISA,EQ,386615,170747,44.16"
"20,34,610GS2031,GS,32,32,100.00"
"20,35,618GS2024,GS,1856,1856,100.00"
"20,36,654GS2032,GS,1508,1507,99.93"
"20,37,667GS2035,GS,2,2,100.00"
"20,38,667GS2050,GS,49026,49026,100.00"
"20,39,669GS2024,GS,1109,1109,100.00"
"20,40,689GS2025,GS,100,100,100.00"
"20,41,695GS2061,GS,158,158,100.00"
"20,42,699GS2026,GS,500,500,100.00"
"20,43,699GS2051,GS,53,53,100.00"
"20,44,706GS2028,GS,125,125,100.00"
"20,45,710GS2029,GS,1921,1910,99.43"
"20,46,717GS2030,GS,1455,1455,100.00"
"20,47,718GS2033,GS,500,500,100.00"
"20,48,718GS2037,GS,201016,201016,100.00"
"20,49,725GS2063,GS,60244,56244,93.36"
"20,50,726GS2032,GS,2151,2151,100.00"
"20,51,726GS2033,GS,139,139,100.00"
"20,52,732GS2024,GS,8,8,100.00"
"20,53,732GS2030,GS,4200,4200,100.00"
"20,54,733GS2026,GS,1202,1202,100.00"
"20,55,736GS2052,GS,8847,7828,88.48"
"20,56,737GS2028,GS,1100,1100,100.00"
"20,57,738GS2027,GS,358473,356861,99.55"
"20,58,73GS2053,GS,29740,29740,100.00"
"20,59,741GS2036,GS,38760,38760,100.00"
"20,60,746GS2073,GS,400,400,100.00"
"20,61,74GS2062,GS,109,56,51.38"
"20,62,754GS2036,GS,493444,491943,99.70"
"20,63,758GJ26,SG,200,200,100.00"
"20,64,762GS2039,GS,4,2,50.00"
"20,65,824GS2027,GS,201,201,100.00"
"20,66,897GS2030,GS,1800,1800,100.00"
"20,67,915GS2024,GS,27,27,100.00"
"20,68,91D010224,TB,300,300,100.00"
