SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1390.05,1399,1365,1388.3,1385,1389.1,663,6763,9363292,,INE117A01022,09-Aug-17,,
500003,AEGIS LOGIS ,A ,Q,189,189,183,185.15,185.3,187.45,328,29565,5481002,,INE208C01025,09-Aug-17,,
500008,AMAR RAJA BA,A ,Q,796,810.8,790,802.45,802.45,801.2,1060,22164,17792088,,INE885A01032,09-Aug-17,,
500009,A.SARABHAI  ,XD,Q,8.1,8.35,7.75,7.83,7.83,8.26,80,41983,334538,,INE432A01017,09-Aug-17,,
500010,HDFC        ,A ,Q,1710,1741.05,1705.6,1731.45,1731.45,1720.6,1343,53312,92136059,,INE001A01036,09-Aug-17,,
500012,ANDHRA PETRO,XC,Q,25.65,27.1,25.5,25.6,25.65,26.5,84,26871,695303,,INE714B01016,09-Aug-17,,
500013,ANSAL INFRAS,B ,Q,24.7,24.7,23.6,23.85,23.9,25,240,76232,1844930,,INE436A01026,09-Aug-17,,
500014,APPLE FINANC,XT,Q,3.5,3.78,3.5,3.5,3.5,3.6,59,39057,137245,,INE096A01010,09-Aug-17,,
500020,BOM DYEING  ,A ,Q,79.9,80.4,77.95,78.25,78.25,80.2,1388,317319,25065095,,INE032A01023,09-Aug-17,,
500023,ASIANHOTNR  ,B ,Q,134.65,134.7,133,134.4,134.7,130,8,400,53750,,INE363A01022,09-Aug-17,,
500027,ATUL LTD.   ,A ,Q,2082,2082,2040.05,2052.35,2052.35,2092.7,368,3829,7912254,,INE100A01010,09-Aug-17,,
500028,ATV PROJECTS,XT,Q,7,7.3,6.92,6.98,6.92,7.26,32,9364,65661,,INE447A01015,09-Aug-17,,
500029,AUTOLITE(I) ,B ,Q,63,63.05,60,61.1,61.1,63.1,479,34229,2096154,,INE448A01013,09-Aug-17,,
500031,BAJAJ ELECT.,A ,Q,331,331.9,317.55,320.4,320.4,330.35,345,12460,4045856,,INE193E01025,09-Aug-17,,
500032,BAJAJHIND   ,B ,Q,15.2,15.3,14.85,14.9,14.9,15.35,1388,1626202,24474449,,INE306A01021,09-Aug-17,,
500033,FORCE MOTR  ,B ,Q,3967.1,3990,3931,3943.8,3943.8,3967.1,2707,19681,77859034,,INE451A01017,09-Aug-17,,
500034,BAJFINANCE  ,A ,Q,1773,1778,1684.2,1700.9,1700.9,1778.65,4236,89786,154956979,,INE296A01024,09-Aug-17,,
500038,BALRAM.CHINI,A ,Q,166.95,170,164,166.15,166.15,169.95,1800,211303,35354101,XD,INE119A01028,09-Aug-17,,
500039,BANCO PROD. ,B ,Q,223.45,225.8,220,222.05,221,225.35,267,13323,2966000,,INE213C01025,09-Aug-17,,
500040,CENTURY TEXT,A ,Q,1284.95,1289.9,1235.1,1246.85,1246.85,1282.9,3335,126331,159456493,,INE055A01016,09-Aug-17,,
500041,BANNARI AMAN,B ,Q,2002.05,2050,2001,2047.2,2050,2026.4,38,268,545333,,INE459A01010,09-Aug-17,,
500042,BASF INDIA  ,B ,Q,1432,1460,1420,1428.8,1435,1429.7,195,1309,1887538,,INE373A01013,09-Aug-17,,
500043,BATA INDIA  ,A ,Q,634,646.55,629.15,637.35,637.35,633.9,1694,57087,36541160,,INE176A01028,09-Aug-17,,
500048,BEML LTD    ,A ,Q,1687.1,1699,1593.45,1630.3,1630.3,1695.05,1765,38213,63680655,,INE258A01016,09-Aug-17,,
500049,BHARAT ELECT,A ,Q,181,182.5,178.15,179.65,178.3,181.95,1700,208491,37576948,,INE263A01024,09-Aug-17,,
500052,BHANSALI ENG,B ,Q,77.45,81.6,74.65,78.85,78.85,77.45,4531,739740,58193696,,INE922A01025,09-Aug-17,,
500055,BHUSH STEEL ,B ,Q,67.4,68.8,66.2,67.4,67,68.85,1206,160410,10858390,,INE824B01021,09-Aug-17,,
500058,BIHAR SPONGE,XT,Q,1.66,1.78,1.65,1.78,1.78,1.73,13,10226,17000,,INE819C01011,09-Aug-17,,
500059,BINANI IND. ,B ,Q,74.6,74.8,73.25,73.45,73.5,75.2,99,5972,442139,,INE071A01013,09-Aug-17,,
500060,BIRLACABLE  ,B ,Q,43.1,43.9,41.3,42.2,42.2,45.25,139,11999,508029,,INE800A01015,09-Aug-17,,
500067,BLUE STAR   ,B ,Q,678,685.9,670,675.25,671,683.35,161,1803,1219782,,INE472A01039,09-Aug-17,,
500068,DISA INDIA  ,XC,Q,5275,5399,5275,5399,5399,5295,2,3,15949,,INE131C01011,09-Aug-17,,
500069,BNK CAPITAL ,XD,Q,86.95,90,82,84.25,84.95,87.25,52,8396,710506,,INE418C01012,09-Aug-17,,
500074,BPL LTD.    ,B ,Q,63.5,63.5,60.45,60.95,60.95,63.8,406,64886,3991768,,INE110A01019,09-Aug-17,,
500078,CAMPH.& ALL ,XC,Q,750,760,742,748.35,745,760,36,1460,1098079,,INE959C01015,09-Aug-17,,
500083,CENTURY EXT ,B ,Q,4.1,4.4,4.1,4.39,4.3,4.5,38,22430,95505,,INE281A01026,09-Aug-17,,
500084,CESC LTD.   ,A ,Q,960,968,949.2,960,960,959,1185,31362,30115741,,INE486A01013,09-Aug-17,,
500085,CHAMBAL FERT,B ,Q,139.75,142,135.7,136.85,136.85,139.95,1900,208555,28879671,,INE085A01013,09-Aug-17,,
500086,EXIDE IND.  ,A ,Q,213.4,215,205.2,207.2,207.2,214.3,1402,469276,99027687,,INE302A01020,09-Aug-17,,
500087,CIPLA LTD.  ,A ,Q,579,579.9,558,561.9,561.9,578.25,2210,110144,62414076,,INE059A01026,09-Aug-17,,
500089,DIC INDIA   ,B ,Q,520,528,516.6,520,520,522,31,380,197804,,INE303A01010,09-Aug-17,,
500092,CRISIL LTD  ,A ,Q,1865.9,1865.9,1840,1843.8,1840,1856,130,20713,38322263,,INE007A01025,09-Aug-17,,
500093,CGPOWER     ,A ,Q,77.05,79.3,75,76.2,75,77.65,794,173631,13480399,,INE067A01029,09-Aug-17,,
500096,DABUR (I)   ,A ,Q,314.5,315,309.15,310.35,309.9,314.8,526,31722,9881734,,INE016A01026,09-Aug-17,,
500097,DALMIASUG   ,B ,Q,170,176.8,168.8,171.95,171.05,174.1,835,43868,7591306,,INE495A01022,09-Aug-17,,
500101,ARVIND Ltd  ,A ,Q,381.2,388.9,373.45,377.05,377.05,381.2,1982,134039,50999395,,INE034A01011,09-Aug-17,,
500102,BALARPUR IND,B ,Q,15.3,15.55,14.9,15,15,15.8,805,494550,7503807,,INE294A01037,09-Aug-17,,
500103,BHEL        ,A ,Q,133.5,134.4,131.25,133.15,133.15,134.8,2081,342776,45626226,,INE257A01026,09-Aug-17,,
500104,HIND.PETRO  ,A ,Q,428,447.3,420.05,430,430,436.4,7729,447637,193600832,,INE094A01015,09-Aug-17,,
500106,IFCI LTD    ,A ,Q,25.25,25.25,24.45,24.55,24.55,25.25,1157,487722,12090695,,INE039A01010,09-Aug-17,,
500108,MAHA.TELE   ,B ,Q,18.9,18.95,18.45,18.55,18.55,18.95,410,154801,2890098,,INE153A01019,09-Aug-17,,
500109,MRPL        ,A ,Q,138.4,138.4,132.25,134.2,134.2,138.95,2617,316886,42661438,,INE103A01014,09-Aug-17,,
500110,CHENNAI PET.,A ,Q,408.25,409.05,384.6,397.1,397.1,412.45,5809,241946,95751276,,INE178A01016,09-Aug-17,,
500111,REL.CAP.    ,A ,Q,782,817.75,775.05,799.6,799.6,784.15,21648,2112785,1680258153,,INE013A01015,09-Aug-17,,
500112,STATE BANK  ,A ,Q,303.65,307.45,300.2,302.2,302.2,303.85,7194,933434,284272169,,INE062A01020,09-Aug-17,,
500113,STEEL AUTH. ,A ,Q,62.95,63.3,61.05,61.6,61.6,62.95,1600,422226,26357051,,INE114A01011,09-Aug-17,,
500114,TITAN       ,A ,Q,617,627.9,606.55,618.9,618.9,609.45,5165,229405,142078354,,INE280A01028,09-Aug-17,,
500116,IDBI BANK L ,A ,Q,55.8,56.75,54.85,56.1,56.1,55.8,1204,359608,20041522,,INE008A01015,09-Aug-17,,
500117,DCW LTD.    ,B ,Q,34.15,34.7,33.7,33.95,33.95,34.3,623,229282,7833433,,INE500A01029,09-Aug-17,,
500119,DHAMPUR SUGA,B ,Q,256.65,262.7,245,247.2,247.2,255.25,3082,250645,63909101,,INE041A01016,09-Aug-17,,
500120,DIAMINES&CHM,XD,Q,75.1,75.5,73.35,75.1,75.5,76,22,1275,95239,,INE591D01014,09-Aug-17,,
500123,ELANTAS     ,B ,Q,1860.05,1889.75,1835,1875.2,1880,1875.55,373,1269,2361558,,INE280B01018,09-Aug-17,,
500124,DR.REDDY'S  ,A ,Q,2090,2104.4,2033.5,2046.65,2046.65,2101.7,7436,114454,235800450,,INE089A01023,09-Aug-17,,
500125,E.I.D.PAR   ,A ,Q,311.45,311.5,307,308.3,308.3,312.9,1383,60618,18755759,,INE126A01031,09-Aug-17,,
500126,MERCK LTD   ,B ,Q,1206.4,1225.75,1187,1192.75,1192.05,1214.9,365,3311,3992790,,INE199A01012,09-Aug-17,,
