SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3,,,,,,,,,,
500089,DIC INDIA   ,B ,Q,380.3,390,376,376.5,376.5,376.05,32,91,34346,,INE303A01010,15-Jul-22,,,,,,,,,,,,
500092,CRISIL LTD  ,A ,Q,3350,3356.35,3242,3282.2,3295.9,3298.35,1071,10976,35907887,,INE007A01025,15-Jul-22,,,,,,,,,,,,
500093,CGPOWER     ,B ,Q,202.55,204.3,199.55,203,203,202.05,1466,49280,9962234,,INE067A01029,15-Jul-22,,,,,,,,,,,,
500096,DABUR (I)   ,A ,Q,551.5,554.95,543.45,548,548,549.45,2360,48649,26697761,,INE016A01026,15-Jul-22,,,,,,,,,,,,
500097,DALMIASUG   ,A ,Q,346,365,344.5,360.85,360.9,347.8,2297,26540,9382646,,INE495A01022,15-Jul-22,,,,,,,,,,,,
500101,ARVIND Ltd  ,A ,Q,88.75,88.75,86.05,86.55,86.85,86.85,794,35068,3034592,,INE034A01011,15-Jul-22,,,,,,,,,,,,
500103,BHEL        ,A ,Q,49.5,49.65,48.8,49.5,49.5,49.2,2035,983315,48380837,,INE257A01026,15-Jul-22,,,,,,,,,,,,
500104,HIND.PETRO  ,A ,Q,239.1,241.6,235.7,239.8,239.8,238.3,4255,212050,50703717,,INE094A01015,15-Jul-22,,,,,,,,,,,,
500106,IFCI LTD    ,A ,Q,9.55,9.58,9.35,9.44,9.42,9.55,570,275195,2597067,,INE039A01010,15-Jul-22,,,,,,,,,,,,
500108,MAHA.TELE   ,A ,Q,23.6,24.4,22.85,23.6,23.6,23.6,2214,582416,13755692,,INE153A01019,15-Jul-22,,,,,,,,,,,,
500109,MRPL        ,A ,Q,72,72.2,70.6,71.05,71.05,71.75,2233,254640,18110088,,INE103A01014,15-Jul-22,,,,,,,,,,,,
500110,CHENNAI PET.,A ,Q,270.95,271.7,261,263.75,263.75,268.65,2798,104941,27872046,,INE178A01016,15-Jul-22,,,,,,,,,,,,
500111,REL.CAP.    ,T ,Q,12.09,12.09,11.9,11.94,11.94,11.98,287,62467,747481,,INE013A01015,15-Jul-22,,,,,,,,,,,,
500112,STATE BANK  ,A ,Q,482.1,484.5,474.85,479,479,479.45,8333,498088,237727178,,INE062A01020,15-Jul-22,,,,,,,,,,,,
500113,STEEL AUTH. ,A ,Q,70.05,70.3,68.55,69.3,69.3,70.05,5064,1532047,106179804,,INE114A01011,15-Jul-22,,,,,,,,,,,,
500114,TITAN       ,A ,Q,2144,2195.7,2134.7,2188.9,2188.9,2128.5,8035,103497,224549741,,INE280A01028,15-Jul-22,,,,,,,,,,,,
500116,IDBI BANK L ,A ,Q,33.5,35.55,33.15,35.25,35.25,33.5,4160,1276453,43692447,,INE008A01015,15-Jul-22,,,,,,,,,,,,
500117,DCW LTD.    ,B ,Q,35.4,35.5,34.4,34.75,35.05,35.2,777,47452,1650062,,INE500A01029,15-Jul-22,,,,,,,,,,,,
500119,DHAMPUR SUGA,A ,Q,217.8,219.9,211.6,218.65,218.65,215.35,1666,22553,4862254,,INE041A01016,15-Jul-22,,,,,,,,,,,,
500120,DIAMINES&CHM,X ,Q,290.95,290.95,283,286.85,286.7,285,51,3126,894706,,INE591D01014,15-Jul-22,,,,,,,,,,,,
500123,ELANTAS     ,B ,Q,4350,4400,4271,4301.7,4271,4326.05,90,248,1073835,,INE280B01018,15-Jul-22,,,,,,,,,,,,
500124,DR.REDDY'S  ,A ,Q,4581,4612.45,4522.2,4542.8,4542.8,4581.2,2141,8792,40191539,,INE089A01023,15-Jul-22,,,,,,,,,,,,
500125,E.I.D.PAR   ,A ,Q,544.05,556.25,540.45,552.25,552.25,547.4,2294,28824,15812560,,INE126A01031,15-Jul-22,,,,,,,,,,,,
500126,PGHL        ,A ,Q,4398.8,4398.8,4200.05,4207.1,4215,4213.3,122,197,835793,,INE199A01012,15-Jul-22,,,,,,,,,,,,
500128,ELEC.CASTING,B ,Q,35,35.65,34.45,34.9,34.9,34.85,759,81210,2839358,,INE086A01029,15-Jul-22,,,,,,,,,,,,
500133,ESAB INDIA  ,A ,Q,3426.75,3429.75,3311.2,3332.2,3338,3410.05,285,463,1548913,,INE284A01012,15-Jul-22,,,,,,,,,,,,
500135,EPL         ,A ,Q,168.15,186.5,168.15,182.55,182.55,170.05,3836,56165,10026925,,INE255A01020,15-Jul-22,,,,,,,,,,,,
500136,ESTER INDUS.,B ,Q,126.95,128.35,126.2,127.15,127.4,126.8,558,5756,731629,,INE778B01029,15-Jul-22,,,,,,,,,,,,
500142,FGP LTD.    ,X ,Q,7.55,8.3,7.55,8.11,8.11,7.9,48,4685,37885,,INE512A01016,15-Jul-22,,,,,,,,,,,,
500143,P.H.CAPITAL ,X ,Q,71.8,71.85,68.2,71,71,71.75,36,1369,95088,,INE160F01013,15-Jul-22,,,,,,,,,,,,
500144,FINOL. CABLE,A ,Q,411.05,412.65,402.9,408.15,408.15,409.4,329,2596,1058889,,INE235A01022,15-Jul-22,,,,,,,,,,,,
500147,COCKERILL   ,X ,Q,1195,1200,1162.2,1189.8,1189.8,1188.95,33,1283,1525199,,INE515A01019,15-Jul-22,,,,,,,,,,,,
500148,UFLEX LTD   ,A ,Q,631.8,632.7,608,610.8,610.5,628.35,1953,16757,10316564,,INE516A01017,15-Jul-22,,,,,,,,,,,,
500150,FOSECO INDIA,B ,Q,1599,1606,1550,1598.25,1606,1586.45,97,1011,1589673,,INE519A01011,15-Jul-22,,,,,,,,,,,,
500151,GOLDEN TOB  ,T ,Q,89,92.95,86.5,91.85,92.65,88.55,66,3711,340410,,INE973A01010,15-Jul-22,,,,,,,,,,,,
500153,GANESH BENZO,B ,Q,132.1,135.85,130.7,135.15,135.8,132.45,1315,40490,5415936,,INE388A01029,15-Jul-22,,,,,,,,,,,,
500159,METROGLOBL  ,X ,Q,76,76,72.5,75,74,76,19,1886,141370,,INE085D01033,15-Jul-22,,,,,,,,,,,,
500160,GTL LTD.    ,B ,Q,10.95,11.2,10.72,10.72,10.72,11.28,1164,1029780,11135580,,INE043A01012,15-Jul-22,,,,,,,,,,,,
500163,GODFREY PH  ,A ,Q,1072.75,1081.05,1067.85,1078.9,1078.9,1071.9,377,867,930521,,INE260B01028,15-Jul-22,,,,,,,,,,,,
500164,GODREJ IND  ,A ,Q,443.8,447.55,441,442.3,442,441.2,741,5122,2274605,,INE233A01035,15-Jul-22,,,,,,,,,,,,
500165,KANSAI NERO ,A ,Q,393.4,393.45,388.9,391.45,391.45,388.1,1200,9355,3654186,,INE531A01024,15-Jul-22,,,,,,,,,,,,
500166,GOODRICKE   ,X ,Q,242,244.5,239.35,240.55,240.25,238.55,110,6356,1537061,,INE300A01016,15-Jul-22,,,,,,,,,,,,
