Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,04072022,543878238,0002105"
"Trade Date <04-JUL-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,114,ANURAS,EQ,43160,17678,40.96"
"20,115,APARINDS,EQ,194060,54037,27.85"
"20,116,APCL,EQ,36641,25951,70.83"
"20,117,APCOTEXIND,EQ,71389,26509,37.13"
"20,118,APEX,EQ,26397,18601,70.47"
"20,119,APLAPOLLO,EQ,180781,106993,59.18"
"20,120,APLLTD,EQ,24836,10608,42.71"
"20,121,APOLLO,EQ,26146,16872,64.53"
"20,122,APOLLOHOSP,EQ,300790,86978,28.92"
"20,123,APOLLOPIPE,EQ,49574,40252,81.20"
"20,124,APOLLOTYRE,EQ,1051165,152746,14.53"
"20,125,APOLSINHOT,EQ,806,263,32.63"
"20,126,APTECHT,EQ,147981,42589,28.78"
"20,127,APTUS,EQ,223311,107249,48.03"
"20,128,ARCHIDPLY,EQ,13429,7633,56.84"
"20,129,ARCHIES,EQ,11931,8278,69.38"
"20,130,ARENTERP,EQ,1674,1034,61.77"
"20,131,ARIES,EQ,16568,9030,54.50"
"20,132,ARIHANTCAP,EQ,45218,22767,50.35"
"20,133,ARIHANTSUP,EQ,78939,25072,31.76"
"20,134,ARMANFIN,EQ,24488,11499,46.96"
"20,135,AROGRANITE,EQ,6048,4593,75.94"
"20,136,ARROWGREEN,EQ,1818,593,32.62"
"20,137,ARSHIYA,EQ,318187,222640,69.97"
"20,138,ARTEMISMED,EQ,199154,139117,69.85"
"20,139,ARTNIRMAN,EQ,776,753,97.04"
"20,140,ARVEE,EQ,3079,1882,61.12"
"20,141,ARVIND,EQ,235140,85452,36.34"
"20,142,ARVINDFASN,EQ,157935,102442,64.86"
"20,143,ARVSMART,EQ,4145,3100,74.79"
"20,144,ASAHIINDIA,EQ,180091,67522,37.49"
"20,145,ASAHISONG,EQ,4577,2133,46.60"
"20,146,ASAL,EQ,73552,36436,49.54"
"20,147,ASALCBR,EQ,5337,2415,45.25"
"20,148,ASHAPURMIN,EQ,65434,40166,61.38"
"20,149,ASHIANA,EQ,16076,10056,62.55"
"20,150,ASHIMASYN,EQ,17049,12746,74.76"
"20,151,ASHOKA,EQ,917658,242654,26.44"
"20,152,ASHOKLEY,EQ,15633650,7815782,49.99"
"20,153,ASIANENE,EQ,22257,11554,51.91"
"20,154,ASIANHOTNR,EQ,7112,3862,54.30"
"20,155,ASIANPAINT,EQ,653147,277371,42.47"
"20,156,ASIANTILES,EQ,2279368,817922,35.88"
"20,157,ASLIND,SM,12000,12000,100.00"
"20,158,ASPINWALL,EQ,429,235,54.78"
"20,159,ASTEC,EQ,29792,23726,79.64"
"20,160,ASTERDM,EQ,84960,23691,27.88"
"20,161,ASTRAL,EQ,248259,103101,41.53"
"20,162,ASTRAMICRO,EQ,94548,29341,31.03"
"20,163,ASTRAZEN,EQ,3491,1859,53.25"
"20,164,ASTRON,EQ,51983,20618,39.66"
"20,165,ATALREAL,SM,86400,38400,44.44"
"20,166,ATFL,EQ,990,459,46.36"
