DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
04012022|500002|000001737|0000000003855619|000012662|0000000028037583|013.72
04012022|500003|000031368|0000000006833519|000050318|0000000011073534|062.34
04012022|500008|000050018|0000000031826454|000086055|0000000054792917|058.12
04012022|500009|000446299|0000000015821300|000606391|0000000022007897|073.60
04012022|500010|000007122|0000000019051707|000024187|0000000064137129|029.45
04012022|500012|000254644|0000000030697335|000326264|0000000039470729|078.05
04012022|500013|000188818|0000000002430088|000232894|0000000003104517|081.07
04012022|500014|000433451|0000000005759221|000433451|0000000005759221|100.00
04012022|500016|000018839|0000000000174587|000018839|0000000000174587|100.00
04012022|500020|000056143|0000000006032566|000303315|0000000033042209|018.51
04012022|500023|000012107|0000000001043019|000022234|0000000001855879|054.45
04012022|500027|000000860|0000000007996581|000001917|0000000017622241|044.86
04012022|500028|000058263|0000000000779000|000058263|0000000000779000|100.00
04012022|500031|000003293|0000000004250276|000010457|0000000013447459|031.49
04012022|500032|001653344|0000000026205503|002378413|0000000037648013|069.51
04012022|500033|000001044|0000000001303539|000002315|0000000002909794|045.10
04012022|500034|000033813|0000000248280406|000071692|0000000523013703|047.16
04012022|500038|000109973|0000000046996962|000555567|0000000229288579|019.79
04012022|500039|000006641|0000000001189072|000010068|0000000001798658|065.96
04012022|500040|000004396|0000000004020802|000012274|0000000011269089|035.82
04012022|500041|000001042|0000000003042380|000002611|0000000007505572|039.91
04012022|500042|000000926|0000000002761147|000002057|0000000006146719|045.02
04012022|500043|000005298|0000000009775870|000014821|0000000027479589|035.75
04012022|500048|000011452|0000000019833147|000032807|0000000055921072|034.91
04012022|500049|000079145|0000000017115107|000350500|0000000075526492|022.58
04012022|500052|000011697|0000000002001942|000040943|0000000007040742|028.57
04012022|500058|000191207|0000000002205861|000191207|0000000002205861|100.00
04012022|500060|000042636|0000000004374454|000057252|0000000005940099|074.47
04012022|500067|000000697|0000000000715436|000001967|0000000002009563|035.43
04012022|500068|000000190|0000000001066651|000000280|0000000001576411|067.86
04012022|500069|000000781|0000000000194860|000000987|0000000000244092|079.13
04012022|500074|000057913|0000000004152363|000077686|0000000005605278|074.55
04012022|500078|000001448|0000000001126689|000001895|0000000001460010|076.41
04012022|500083|000567950|0000000008104647|001119185|0000000016964128|050.75
04012022|500084|000030474|0000000002724376|000100068|0000000008885636|030.45
04012022|500085|000008943|0000000003642037|000052419|0000000021113834|017.06
04012022|500086|000031265|0000000005315050|000093391|0000000015887040|033.48
04012022|500087|000061124|0000000056469408|000087661|0000000081036733|069.73
04012022|500089|000000182|0000000000072992|000000199|0000000000079764|091.46
04012022|500092|000001238|0000000003562779|000002988|0000000008632799|041.43
04012022|500093|000526861|0000000108217250|000667430|0000000135859121|078.94
04012022|500096|000010820|0000000006209057|000031031|0000000017843317|034.87
04012022|500097|000033976|0000000014681030|000081863|0000000034778767|041.50
04012022|500101|000025327|0000000003119021|000097647|0000000011910746|025.94
04012022|500103|000314167|0000000018865729|001912719|0000000115331983|016.43
04012022|500104|000007065|0000000002104311|000028702|0000000008543188|024.62
04012022|500106|000609751|0000000009938942|001130302|0000000018444899|053.95
04012022|500108|000712516|0000000023726783|001141552|0000000038317882|062.42
04012022|500109|000109701|0000000004848785|000168881|0000000007469732|064.96
04012022|500110|000021873|0000000002294478|000040437|0000000004237810|054.09
04012022|500111|001490751|0000000022942658|002089545|0000000032680178|071.34
04012022|500112|000643294|0000000311032649|001414630|0000000678071073|045.47
04012022|500113|000324328|0000000035611215|001369856|0000000150634159|023.68
