Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,23052023,966430162,0002269"
"Trade Date <23-MAY-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,118,ALANKIT,EQ,100742,51108,50.73"
"20,119,ALBERTDAVD,EQ,2784,1889,67.85"
"20,120,ALEMBICLTD,EQ,104309,69515,66.64"
"20,121,ALICON,EQ,13743,8582,62.45"
"20,122,ALKALI,EQ,38659,26777,69.26"
"20,123,ALKEM,EQ,373559,262577,70.29"
"20,124,ALKYLAMINE,EQ,17739,9428,53.15"
"20,125,ALLCARGO,EQ,317004,187241,59.07"
"20,126,ALLETEC,SM,44800,41600,92.86"
"20,127,ALLSEC,EQ,2469,1517,61.44"
"20,128,ALMONDZ,EQ,3008,2238,74.40"
"20,129,ALOKINDS,EQ,4931331,1824903,37.01"
"20,130,ALPA,EQ,68682,29001,42.23"
"20,131,ALPHAGEO,EQ,3671,2215,60.34"
"20,132,AMARAJABAT,EQ,328444,149773,45.60"
"20,133,AMBER,EQ,107962,44830,41.52"
"20,134,AMBICAAGAR,EQ,11519,8845,76.79"
"20,135,AMBIKCO,EQ,8272,5701,68.92"
"20,136,AMBUJACEM,EQ,18654251,4942791,26.50"
"20,137,AMDIND,EQ,139432,94744,67.95"
"20,138,AMEYA,SM,20000,20000,100.00"
"20,139,AMIORG,EQ,186104,84254,45.27"
"20,140,AMJLAND,EQ,13708,12161,88.71"
"20,141,AMRUTANJAN,EQ,19604,8795,44.86"
"20,142,ANANDRATHI,EQ,47786,23034,48.20"
"20,143,ANANTRAJ,EQ,182196,95297,52.30"
"20,144,ANDHRAPAP,EQ,98118,38213,38.95"
"20,145,ANDHRSUGAR,EQ,54850,32542,59.33"
"20,146,ANDREWYU,EQ,173145,93616,54.07"
"20,147,ANGELONE,EQ,531078,231712,43.63"
"20,148,ANIKINDS,EQ,30477,15547,51.01"
"20,149,ANLON,SM,8400,6000,71.43"
