INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,26-Nov-20,0,XX,28500,28744.95,28451,28596.35,28596.35,38918,278736.01,1812375,-13250,14-Nov-20
FUTIDX,BANKNIFTY,31-Dec-20,0,XX,28700,28754.5,28490.25,28607.5,28607.5,1528,10952.12,162850,1700,14-Nov-20
FUTIDX,BANKNIFTY,28-Jan-21,0,XX,28722,28768.55,28530,28662.5,28662.5,256,1837.05,29050,100,14-Nov-20
FUTIDX,NIFTY,26-Nov-20,0,XX,12805,12808,12760,12788.9,12788.9,25021,239946.17,11885550,96300,14-Nov-20
FUTIDX,NIFTY,31-Dec-20,0,XX,12795.15,12818.4,12786.95,12801.7,12801.7,2143,20570.55,1431075,68175,14-Nov-20
FUTIDX,NIFTY,28-Jan-21,0,XX,12836.1,12836.1,12800.1,12815.35,12815.35,363,3488.18,274425,9750,14-Nov-20
FUTSTK,ACC,26-Nov-20,0,XX,1681.95,1684.2,1664.1,1670.3,1670.3,307,2570.89,1847500,-7000,14-Nov-20
FUTSTK,ACC,31-Dec-20,0,XX,1675.65,1675.65,1665,1669.3,1669.3,5,41.73,89000,-500,14-Nov-20
FUTSTK,ACC,28-Jan-21,0,XX,0,0,0,1678.75,1682.5,0,0,1500,0,14-Nov-20
FUTSTK,ADANIENT,26-Nov-20,0,XX,370.75,373.2,370.1,371.65,371.65,238,1769.56,17592000,-70000,14-Nov-20
FUTSTK,ADANIENT,31-Dec-20,0,XX,373.6,373.6,373,373.35,373.35,7,52.27,396000,-6000,14-Nov-20
FUTSTK,ADANIENT,28-Jan-21,0,XX,374,374,374,374,374.5,1,7.48,12000,-2000,14-Nov-20
FUTSTK,ADANIPORTS,26-Nov-20,0,XX,369.9,369.9,363.5,366.4,366.4,299,2745.58,50325000,-125000,14-Nov-20
FUTSTK,ADANIPORTS,31-Dec-20,0,XX,367,369.8,364.95,366.65,366.65,14,128.83,265000,2500,14-Nov-20
FUTSTK,ADANIPORTS,28-Jan-21,0,XX,0,0,0,367,369.3,0,0,20000,0,14-Nov-20
FUTSTK,AMARAJABAT,26-Nov-20,0,XX,827.35,828,813.3,819.75,819.75,150,1234.8,1089000,-15000,14-Nov-20
FUTSTK,AMARAJABAT,31-Dec-20,0,XX,823.35,823.35,813.65,817.1,817.1,4,32.74,19000,1000,14-Nov-20
FUTSTK,AMARAJABAT,28-Jan-21,0,XX,0,0,0,835,831.55,0,0,1000,0,14-Nov-20
FUTSTK,AMBUJACEM,26-Nov-20,0,XX,258.75,260.7,258.25,258.85,258.85,209,1627.02,13956000,-3000,14-Nov-20
FUTSTK,AMBUJACEM,31-Dec-20,0,XX,260.55,261.15,259.55,259.6,259.6,4,31.22,300000,0,14-Nov-20
FUTSTK,AMBUJACEM,28-Jan-21,0,XX,0,0,0,250.3,261.25,0,0,12000,0,14-Nov-20
FUTSTK,APOLLOHOSP,26-Nov-20,0,XX,2283.05,2314.9,2273.3,2284.65,2284.65,803,9209.58,1952500,2000,14-Nov-20
FUTSTK,APOLLOHOSP,31-Dec-20,0,XX,2298,2301.1,2271,2275.85,2275.85,19,217.05,56000,500,14-Nov-20
FUTSTK,APOLLOHOSP,28-Jan-21,0,XX,2290,2290,2275,2275,2275,2,22.82,10500,0,14-Nov-20
FUTSTK,APOLLOTYRE,26-Nov-20,0,XX,165.25,166.35,164,164.9,164.9,175,1446.8,7415000,50000,14-Nov-20
FUTSTK,APOLLOTYRE,31-Dec-20,0,XX,166.25,166.25,164.2,165.05,165.05,9,74.4,345000,5000,14-Nov-20
FUTSTK,APOLLOTYRE,28-Jan-21,0,XX,164.5,164.5,164.5,164.5,164.5,1,8.22,65000,5000,14-Nov-20
FUTSTK,ASHOKLEY,26-Nov-20,0,XX,91.4,92.15,91.05,91.45,91.45,503,4148.59,28278000,-135000,14-Nov-20
FUTSTK,ASHOKLEY,31-Dec-20,0,XX,92,92.1,91.15,91.6,91.6,45,371.58,3087000,-27000,14-Nov-20
FUTSTK,ASHOKLEY,28-Jan-21,0,XX,92.1,92.2,92.05,92.15,92.15,3,24.87,261000,0,14-Nov-20
FUTSTK,ASIANPAINT,26-Nov-20,0,XX,2195.3,2196.05,2184.7,2189.8,2189.8,393,2582.82,3194700,-22500,14-Nov-20
FUTSTK,ASIANPAINT,31-Dec-20,0,XX,2199.3,2199.3,2193,2195.15,2195.15,17,111.96,197100,1500,14-Nov-20
FUTSTK,ASIANPAINT,28-Jan-21,0,XX,2202.65,2204.75,2202.65,2204.75,2204.75,2,13.22,7800,0,14-Nov-20
FUTSTK,AUROPHARMA,26-Nov-20,0,XX,862.75,864,850,853.25,853.25,752,4184.48,12481950,-17550,14-Nov-20
FUTSTK,AUROPHARMA,31-Dec-20,0,XX,867.05,867.05,854,856.7,856.7,28,156.25,200850,11050,14-Nov-20
FUTSTK,AUROPHARMA,28-Jan-21,0,XX,0,0,0,866.75,859.65,0,0,14950,0,14-Nov-20
FUTSTK,AXISBANK,26-Nov-20,0,XX,612.4,616.7,607.55,612.4,612.4,3766,27751.74,55066800,32400,14-Nov-20
