Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,30092022,913349129,0002122"
"Trade Date <30-SEP-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,1,20MICRONS,EQ,164045,70892,43.21"
"20,2,21STCENMGM,EQ,1406,1406,100.00"
"20,3,364D150623,TB,25700,25700,100.00"
"20,4,3IINFOLTD,EQ,366614,203022,55.38"
"20,5,3MINDIA,EQ,5968,2810,47.08"
"20,6,3PLAND,EQ,1982,963,48.59"
"20,7,456GS2023,GS,100,100,100.00"
"20,8,4THDIM,EQ,10,10,100.00"
"20,9,574GS2026,GS,325,300,92.31"
"20,10,5PAISA,EQ,18994,9339,49.17"
"20,11,63MOONS,EQ,73708,44759,60.72"
"20,12,667GS2050,GS,3456,3456,100.00"
"20,13,669GS2024,GS,700,700,100.00"
"20,14,695GS2061,GS,3000,3000,100.00"
"20,15,699GS2051,GS,207,180,86.96"
"20,16,706GS2046,GS,200,200,100.00"
"20,17,710GS2029,GS,1700,1700,100.00"
"20,18,719GS2060,GS,100,100,100.00"
"20,19,726GS2032,GS,5110,5110,100.00"
"20,20,736GS2052,GS,200,200,100.00"
"20,21,738GS2027,GS,265,265,100.00"
"20,22,74GS2062,GS,1900,1900,100.00"
"20,23,754GS2036,GS,651,651,100.00"
"20,24,824GS2027,GS,350,350,100.00"
"20,25,91D031122,TB,200,200,100.00"
"20,26,91D081222,TB,100,100,100.00"
"20,27,A2ZINFRA,EQ,246061,103427,42.03"
"20,28,AAATECH,SM,4500,4500,100.00"
"20,29,AAKASH,EQ,130331,57694,44.27"
"20,30,AAREYDRUGS,EQ,40136,23209,57.83"
"20,31,AARTIDRUGS,EQ,132532,42511,32.08"
"20,32,AARTIIND,EQ,1398098,464730,33.24"
"20,33,AARTISURF,EQ,7974,4299,53.91"
"20,34,AARVEEDEN,EQ,7826,2933,37.48"
"20,35,AARVI,EQ,71458,33934,47.49"
"20,36,AAVAS,EQ,60694,40638,66.96"
"20,37,ABAN,EQ,78334,39998,51.06"
"20,38,ABB,EQ,310742,124406,40.04"
"20,39,ABBOTINDIA,EQ,46497,25548,54.95"
"20,40,ABCAPITAL,EQ,2070582,755073,36.47"
"20,41,ABFRL,EQ,2338058,735226,31.45"
"20,42,ABINFRA,SM,4000,4000,100.00"
"20,43,ABSLAMC,EQ,140530,127970,91.06"
"20,44,ABSLBANETF,EQ,18014,5079,28.19"
"20,45,ABSLNN50ET,EQ,10442,529,5.07"
"20,46,ACC,EQ,896917,234442,26.14"
"20,47,ACCELYA,EQ,9978,5660,56.72"
"20,48,ACCORD,SM,4000,4000,100.00"
"20,49,ACCURACY,EQ,25888,13184,50.93"
"20,50,ACE,EQ,256808,73792,28.73"
"20,51,ACRYSIL,EQ,79001,35622,45.09"
"20,52,ADANIENT,EQ,4307707,773540,17.96"
"20,53,ADANIGREEN,EQ,5911038,1052850,17.81"
"20,54,ADANIPORTS,EQ,10406215,2551342,24.52"
"20,55,ADANITRANS,EQ,1128419,313705,27.80"
"20,56,ADFFOODS,EQ,69000,30658,44.43"
"20,57,ADORWELD,EQ,22369,14909,66.65"
"20,58,ADROITINFO,EQ,55238,34164,61.85"
"20,59,ADSL,EQ,94223,63235,67.11"
"20,60,ADVANIHOTR,EQ,18622,12712,68.26"
"20,61,ADVENZYMES,EQ,177972,98319,55.24"
"20,62,AEGISCHEM,EQ,255295,122192,47.86"
"20,63,AETHER,EQ,81118,20583,25.37"
"20,64,AFFLE,EQ,244820,108380,44.27"
"20,65,AGARIND,EQ,78622,38420,48.87"
"20,66,AGI,EQ,574022,170580,29.72"
"20,67,AGNI,SM,110000,70000,63.64"
"20,68,AGRITECH,EQ,724,510,70.44"
"20,69,AGROPHOS,EQ,92427,31026,33.57"
"20,70,AGSTRA,EQ,117578,63387,53.91"
