DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
15062022|500002|000011373|0000000026209648|000045249|0000000104710604|025.13
15062022|500003|000017354|0000000003983611|000063970|0000000014662125|027.13
15062022|500008|000011953|0000000005729671|000029745|0000000014342270|040.18
15062022|500009|000029541|0000000000942358|000041588|0000000001347772|071.03
15062022|500010|000110942|0000000233582834|000135718|0000000284227117|081.74
15062022|500012|000030121|0000000002515104|000041969|0000000003530949|071.77
15062022|500013|000005190|0000000000071341|000005190|0000000000071341|100.00
15062022|500014|000027751|0000000000155684|000042780|0000000000244590|064.87
15062022|500016|000044544|0000000000531410|000047624|0000000000568522|093.53
15062022|500020|000029195|0000000003026062|000114308|0000000011928088|025.54
15062022|500023|000000075|0000000000006004|000000075|0000000000006003|100.00
15062022|500027|000000196|0000000001591736|000000637|0000000005164507|030.77
15062022|500028|000006858|0000000000052784|000006858|0000000000052784|100.00
15062022|500031|000000899|0000000000845780|000003811|0000000003594351|023.59
15062022|500032|000231931|0000000003133388|000673608|0000000009139007|034.43
15062022|500033|000000743|0000000000751136|000001112|0000000001115128|066.82
15062022|500034|000008753|0000000048008893|000045839|0000000249926489|019.10
15062022|500038|000016613|0000000006610313|000102296|0000000040998640|016.24
15062022|500039|000006991|0000000001160506|000012647|0000000002107671|055.28
15062022|500040|000003762|0000000002923827|000009247|0000000007188178|040.68
15062022|500041|000000104|0000000000252746|000000113|0000000000275641|092.04
15062022|500042|000000145|0000000000363588|000000512|0000000001280546|028.32
15062022|500043|000001367|0000000002355068|000007288|0000000012597323|018.76
15062022|500048|000001714|0000000002146357|000004137|0000000005168620|041.43
15062022|500049|000047365|0000000011369969|000120940|0000000029166766|039.16
15062022|500052|000018812|0000000002058974|000085113|0000000009314809|022.10
15062022|500058|000034223|0000000000320770|000034223|0000000000320770|100.00
15062022|500060|000007138|0000000000784467|000009428|0000000001041416|075.71
15062022|500067|000000810|0000000000783918|000002044|0000000001957055|039.63
15062022|500068|000000101|0000000000613070|000000108|0000000000656276|093.52
15062022|500069|000001330|0000000000329840|000001792|0000000000447767|074.22
15062022|500074|000052926|0000000003096171|000093921|0000000005939398|056.35
15062022|500078|000000764|0000000000421614|000001278|0000000000721602|059.78
15062022|500083|000023725|0000000000241758|000028240|0000000000291470|084.01
15062022|500084|000025617|0000000001963544|000059248|0000000004489597|043.24
15062022|500085|000011100|0000000003553110|000039091|0000000012314873|028.40
15062022|500086|000014326|0000000002022832|000042906|0000000006059419|033.39
15062022|500087|000041393|0000000040095330|000054441|0000000052605587|076.03
15062022|500089|000000110|0000000000040189|000000110|0000000000040153|100.00
15062022|500092|000001316|0000000004200014|000002688|0000000008683603|048.96
15062022|500093|000069266|0000000011851413|000098116|0000000016607844|070.60
15062022|500096|000010480|0000000005199128|000037518|0000000018677146|027.93
15062022|500097|000008768|0000000003042058|000015127|0000000005321300|057.96
15062022|500101|000024409|0000000002273699|000095323|0000000008903118|025.61
15062022|500102|000970907|0000000001419755|000970907|0000000001419755|100.00
15062022|500103|000103261|0000000004910061|000623760|0000000029755081|016.55
15062022|500104|000034099|0000000007326171|000183515|0000000039128928|018.58
15062022|500106|000202866|0000000001902884|000301253|0000000002834524|067.34
15062022|500108|000066599|0000000001331980|000177502|0000000003569906|037.52
15062022|500109|000348206|0000000035830398|002296659|0000000232210179|015.16
15062022|500110|000054612|0000000018772875|000416890|0000000139630361|013.10
15062022|500111|000047797|0000000000638507|000047797|0000000000638507|100.00
15062022|500112|000361326|0000000163138689|000607019|0000000274989215|059.52
15062022|500113|000470456|0000000033284762|001725932|0000000122862970|027.26
15062022|500114|000003520|0000000007408192|000018448|0000000038920024|019.08
15062022|500116|000114652|0000000003944029|000399750|0000000013813374|028.68
15062022|500117|000007653|0000000000290432|000015455|0000000000588245|049.52
15062022|500119|000008437|0000000002097861|000037815|0000000009455325|022.31
15062022|500120|000003339|0000000000936089|000004163|0000000001168128|080.21
15062022|500123|000000153|0000000000583481|000000200|0000000000756911|076.50
15062022|500124|000006329|0000000027447291|000010047|0000000043513478|062.99
15062022|500125|000008752|0000000004694136|000022979|0000000012461438|038.09
15062022|500126|000000443|0000000001838096|000000794|0000000003284949|055.79
15062022|500128|000025435|0000000000819007|000052450|0000000001709649|048.49
15062022|500133|000000301|0000000000992774|000000558|0000000001845188|053.94
15062022|500135|000003746|0000000000576510|000006977|0000000001084730|053.69
15062022|500136|000003817|0000000000492393|000015725|0000000002045295|024.27
15062022|500142|000002864|0000000000020163|000004597|0000000000032648|062.30
15062022|500143|000000500|0000000000036700|000000670|0000000000046733|074.63
15062022|500144|000002689|0000000001021014|000005276|0000000001992795|050.97
15062022|500147|000001246|0000000001491836|000001941|0000000002310941|064.19
15062022|500148|000002140|0000000001227718|000004961|0000000002836719|043.14
15062022|500150|000000568|0000000000893095|000000840|0000000001313451|067.62
15062022|500151|000002765|0000000000250422|000002765|0000000000250422|100.00
15062022|500153|000024246|0000000002908308|000038907|0000000004593217|062.32
15062022|500159|000003083|0000000000243712|000003562|0000000000284866|086.55
15062022|500160|000207564|0000000001834866|000301757|0000000002622934|068.79
15062022|500163|000000279|0000000000326961|000001048|0000000001236080|026.62
15062022|500164|000001663|0000000000747935|000005045|0000000002278403|032.96
15062022|500165|000151802|0000000060644899|000160614|0000000063788002|094.51
15062022|500166|000006095|0000000001401850|000006641|0000000001524670|091.78
15062022|500168|000002586|0000000002645866|000005756|0000000005868045|044.93
15062022|500170|000010086|0000000000533046|000012052|0000000000636760|083.69
