SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2800,2800,2689,2695.75,2696,2772.15,1997,13931,38081659,,INE117A01022,22-Jul-22,,
500003,AEGIS LOGIS ,A ,Q,238.55,263.95,238.55,258.35,258.35,244.85,18006,940506,240792812,,INE208C01025,22-Jul-22,,
500008,AMAR RAJA BA,A ,Q,484.95,485.65,470.05,474.15,474.15,482.25,2633,30483,14578534,,INE885A01032,22-Jul-22,,
500009,A.SARABHAI  ,X ,Q,30.75,30.75,29.9,30.4,30.4,30.65,469,119574,3611592,,INE432A01017,22-Jul-22,,
500010,HDFC        ,A ,Q,2257,2301.9,2250,2296.55,2296.55,2243.4,7220,93000,212105134,,INE001A01036,22-Jul-22,,
500012,ANDHRA PETRO,B ,Q,82,83.7,81.35,83.2,83.05,81.55,722,65081,5366758,,INE714B01016,22-Jul-22,,
500013,ANSAL INFRAS,B ,Q,17.1,17.44,16.62,16.66,16.66,17.49,80,26986,455374,,INE436A01026,22-Jul-22,,
500014,UTIQUE      ,X ,Q,5.4,5.4,5.06,5.29,5.3,5.29,219,29526,155131,,INE096A01010,22-Jul-22,,
500016,ARUNAHTEL   ,X ,Q,13,13.3,12.75,12.8,13,12.78,32,6173,79544,,INE957C01019,22-Jul-22,,
500020,BOM DYEING  ,A ,Q,102.4,102.4,100.1,101.1,101.05,101.35,1856,134132,13549080,,INE032A01023,22-Jul-22,,
500023,ASIANHOTNR  ,B ,Q,83.65,85,83.05,83.3,83.35,84,47,1358,113010,,INE363A01022,22-Jul-22,,
500027,ATUL LTD.   ,A ,Q,8290,8807.05,8150,8655.25,8655.25,8203.45,3018,5388,45663007,,INE100A01010,22-Jul-22,,
500028,ATV PROJECTS,XT,Q,8.35,8.76,8.21,8.49,8.76,8.35,58,9245,79208,,INE447A01015,22-Jul-22,,
500031,BAJAJ ELECT.,A ,Q,1143.65,1156.5,1125.35,1153.9,1153.4,1143.1,682,2942,3359579,,INE193E01025,22-Jul-22,,
500032,BAJAJHIND   ,A ,Q,12.33,12.39,12.01,12.08,12.08,12.16,1251,1190780,14457663,,INE306A01021,22-Jul-22,,
500033,FORCE MOTR  ,A ,Q,1036.1,1036.1,1011,1015.95,1020,1024.65,423,1383,1410441,,INE451A01017,22-Jul-22,,
500034,BAJFINANCE  ,A ,Q,6270,6324.95,6216.7,6256.3,6256.3,6268.8,8529,49451,309748131,,INE296A01024,22-Jul-22,,
500038,BALRAM.CHINI,A ,Q,387,388.6,376.75,380.8,380.8,385.8,2337,74678,28527946,,INE119A01028,22-Jul-22,,
500039,BANCO PROD. ,B ,Q,184,186.55,182.6,183.7,184,184,4068,90942,16801467,,INE213C01025,22-Jul-22,,
500040,CENTURY TEXT,A ,Q,788.95,817.8,786.3,812.75,812.75,783.75,1799,12855,10328902,,INE055A01016,22-Jul-22,,
500041,BANNARI AMAN,B ,Q,2313.15,2320,2244,2268.45,2263.05,2299.7,35,46,104468,,INE459A01010,22-Jul-22,,
500042,BASF INDIA  ,A ,Q,2671.05,2778.55,2671.05,2688.3,2683,2680.45,1090,4737,12909302,,INE373A01013,22-Jul-22,,
500043,BATA INDIA  ,A ,Q,1825,1864.45,1820.75,1825.5,1826.1,1825.3,2649,46488,85641119,,INE176A01028,22-Jul-22,,
500048,BEML LTD    ,A ,Q,1357.7,1358.95,1316.8,1328.65,1325,1353.35,1016,7029,9419926,,INE258A01016,22-Jul-22,,
500049,BHARAT ELECT,A ,Q,269.4,270,265.35,266.8,266.8,268.85,5713,323130,86357391,,INE263A01024,22-Jul-22,,
500052,BHANSALI ENG,A ,Q,108.15,108.8,106.5,106.9,107.45,107.8,1070,31276,3361507,,INE922A01025,22-Jul-22,,
500058,BIHAR SPONGE,XT,Q,9.25,9.65,8.85,9.58,9.58,9.24,68,21293,197174,,INE819C01011,22-Jul-22,,
500060,BIRLACABLE  ,B ,Q,130.45,131.25,129,129.55,129.55,129.65,502,8260,1075075,,INE800A01015,22-Jul-22,,
500067,BLUE STAR   ,A ,Q,999,1021.15,997.1,1000,999.6,998.7,585,3446,3459307,,INE472A01039,22-Jul-22,,
500068,DISA INDIA  ,X ,Q,6750,7324,6750,7127.45,7127.45,6939.9,194,833,5951997,,INE131C01011,22-Jul-22,,
500069,QUESTCAP    ,X ,Q,245,247.3,239.3,240.95,242,245.7,56,1416,341404,,INE418C01012,22-Jul-22,,
500074,BPL LTD.    ,B ,Q,66.1,69.75,66.1,68.5,68.5,67.7,178,6172,424612,,INE110A01019,22-Jul-22,,
500078,OAL         ,B ,Q,579.05,581.1,564.4,572.75,564.4,571.85,92,595,342298,,INE959C01023,22-Jul-22,,
500083,CENTURY EXT ,B ,Q,9.57,9.73,9.5,9.61,9.6,9.44,58,10609,102124,,INE281A01026,22-Jul-22,,
500084,CESC LTD.   ,A ,Q,75.3,75.55,74.4,75,75,75,2060,82854,6200418,,INE486A01021,22-Jul-22,,
500085,CHAMBAL FERT,A ,Q,312.8,325.05,310.05,320.55,320.55,310.05,3834,136232,43395198,,INE085A01013,22-Jul-22,,
500086,EXIDE IND.  ,A ,Q,153,153.05,150.4,150.9,150.9,151.95,1155,53405,8087152,,INE302A01020,22-Jul-22,,
500087,CIPLA LTD.  ,A ,Q,977.9,977.9,968,972.8,972.8,968.15,1148,20289,19714744,,INE059A01026,22-Jul-22,,
500089,DIC INDIA   ,B ,Q,380.95,380.95,361,361.9,361.2,364.55,177,638,233822,,INE303A01010,22-Jul-22,,
500092,CRISIL LTD  ,A ,Q,3386.4,3386.4,3219.75,3296.65,3285.25,3296.85,1140,4389,14324980,,INE007A01025,22-Jul-22,,
500093,CGPOWER     ,A ,Q,222.9,231.9,219.2,229.15,228.9,221.55,10591,621409,140506294,,INE067A01029,22-Jul-22,,
500096,DABUR (I)   ,A ,Q,572.2,577.55,567.3,576.1,576,572.25,4618,84880,48622136,,INE016A01026,22-Jul-22,,
500097,DALMIASUG   ,A ,Q,374.85,384.9,361.9,368.85,368.55,369.9,1894,55561,20828420,,INE495A01022,22-Jul-22,,
500101,ARVIND Ltd  ,A ,Q,90.25,92.5,89.5,91.6,91.7,89.25,3072,210339,19187967,,INE034A01011,22-Jul-22,,
500103,BHEL        ,A ,Q,53.6,53.9,52,52.9,52.9,53.35,3084,1487324,78495760,,INE257A01026,22-Jul-22,,
500104,HIND.PETRO  ,A ,Q,239,239,233.25,234.3,234.3,237.65,1790,61201,14387218,,INE094A01015,22-Jul-22,,
500106,IFCI LTD    ,A ,Q,9.99,10.04,9.71,9.9,9.9,9.99,458,577999,5709205,,INE039A01010,22-Jul-22,,
