SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,3943,4018.3,3898.9,3930.65,3940.45,3928.9,526,1863,7342325,,INE117A01022,25-Oct-23,,
500003,AEGIS LOGIS ,A ,Q,309.3,309.3,292.05,294.3,294.3,303.2,1000,15932,4752000,,INE208C01025,25-Oct-23,,
500008,AMAR RAJA BA,A ,Q,618,623.4,605.55,610.75,611.85,617.1,1649,20705,12710319,,INE885A01032,25-Oct-23,,
500009,A.SARABHAI  ,XT,Q,39.82,39.82,39.82,39.82,39.82,40.63,44,13387,533070,,INE432A01017,25-Oct-23,,
500012,ANDHRA PETRO,X ,Q,75.21,79.75,75.21,76.39,76.39,77.53,637,108304,8374706,,INE714B01016,25-Oct-23,,
500014,UTIQUE      ,X ,Q,6.5,6.53,5.55,5.99,5.96,6.33,196,72099,434567,,INE096A01010,25-Oct-23,,
500016,ARUNAHTEL   ,X ,Q,16.5,16.5,15.13,16.21,16.34,15.64,50,12278,197995,,INE957C01019,25-Oct-23,,
500020,BOM DYEING  ,A ,Q,152.9,154.8,146.85,149.5,149.5,151.3,3739,376507,56685579,,INE032A01023,25-Oct-23,,
500023,ASIANHOTNR  ,B ,Q,156,156,143.05,145.7,145.7,149.55,61,744,108935,,INE363A01022,25-Oct-23,,
500027,ATUL LTD.   ,A ,Q,6407.85,6447.7,6272.05,6339.1,6339.1,6400.15,1292,3585,22747511,,INE100A01010,25-Oct-23,,
500028,ATV PROJECTS,XT,Q,13.96,14.2,13.69,13.69,13.69,13.96,27,10709,149293,,INE447A01015,25-Oct-23,,
500031,BAJAJ ELECT.,A ,Q,1053,1060,1025,1031.05,1043,1051.85,603,3212,3343048,,INE193E01025,25-Oct-23,,
500032,BAJAJHIND   ,A ,Q,24.24,24.96,23,23.52,23.52,24.06,10377,5327437,127855331,,INE306A01021,25-Oct-23,,
500033,FORCE MOTR  ,B ,Q,3524.7,3552.3,3348.8,3348.8,3348.8,3525.05,1262,7939,26845548,,INE451A01017,25-Oct-23,,
500034,BAJFINANCE  ,A ,Q,7781.05,7857.4,7677.85,7693.35,7693.35,7794.4,2589,17988,139338757,,INE296A01024,25-Oct-23,,
500038,BALRAM.CHINI,A ,Q,405,420.65,403.2,406.55,407.3,402.55,1956,73051,30083413,,INE119A01028,25-Oct-23,,
500039,BANCO PROD. ,B ,Q,456,465.55,428.25,430.1,430.6,455.45,3241,37082,16328838,,INE213C01025,25-Oct-23,,
500040,CENTURY TEXT,A ,Q,1042.05,1086.85,1042.05,1080.55,1084,1063.2,2968,24522,26059321,,INE055A01016,25-Oct-23,,
500041,BANNARI AMAN,B ,Q,2624.95,2625,2549.5,2568.85,2549.5,2602.95,61,112,290674,,INE459A01010,25-Oct-23,,
500042,BASF INDIA  ,A ,Q,2421.35,2517.6,2421.35,2507.95,2504.35,2470.75,77,361,902616,,INE373A01013,25-Oct-23,,
500043,BATA INDIA  ,A ,Q,1570.1,1600,1570.1,1588.75,1594.4,1574.5,894,4910,7791509,,INE176A01028,25-Oct-23,,
500048,BEML LTD    ,A ,Q,2123.8,2132.2,1956.6,1998.8,1998.8,2041.15,2117,23115,46840731,,INE258A01016,25-Oct-23,,
500049,BHARAT ELECT,A ,Q,132.4,134.65,129.4,131.2,131.25,132.5,3671,319643,42255385,,INE263A01024,25-Oct-23,,
500052,BHANSALI ENG,B ,Q,88.78,90.45,85.21,86.08,86.08,88.3,1943,109292,9512330,,INE922A01025,25-Oct-23,,
500058,BIHAR SPONGE,XT,Q,9.17,9.98,9.11,9.33,9.35,9.58,212,71497,665479,,INE819C01011,25-Oct-23,,
500059,BINANI IND. ,T ,Q,15,15,15,15,15,15.1,5,2105,31575,,INE071A01013,25-Oct-23,,
500060,BIRLACABLE  ,B ,Q,295,310.35,289.65,291,297,304.85,926,10832,3209394,,INE800A01015,25-Oct-23,,
500067,BLUE STAR   ,A ,Q,876.2,902,855.85,889.35,889.35,884.3,1363,11532,10063665,,INE472A01039,25-Oct-23,,
500068,DISA INDIA  ,B ,Q,12799.95,13335.95,12750,13062,13200,12877.8,52,94,1223645,,INE131C01011,25-Oct-23,,
500069,QUESTCAP    ,X ,Q,284,284,259.1,279,279,275.6,17,877,237973,,INE418C01012,25-Oct-23,,
500074,BPL LTD.    ,T ,Q,84.76,87,80.53,81.14,80.53,84.76,440,55203,4590016,,INE110A01019,25-Oct-23,,
500078,OAL         ,B ,Q,344,349.85,337.1,338.2,337.1,347.3,72,306,104744,,INE959C01023,25-Oct-23,,
500083,CENTURY EXT ,T ,Q,16.24,16.28,15.06,15.28,15.36,15.85,321,47867,748407,,INE281A01026,25-Oct-23,,
500084,CESC LTD.   ,A ,Q,85.16,87.37,84.26,85.32,84.95,85.11,912,111857,9597800,,INE486A01021,25-Oct-23,,
500085,CHAMBAL FERT,A ,Q,278.55,282.5,272.9,275.9,275.1,275.2,1101,57382,15936525,,INE085A01013,25-Oct-23,,
500086,EXIDE IND.  ,A ,Q,252.5,254.25,247.3,250.15,250.15,251.55,6227,216605,54324851,,INE302A01020,25-Oct-23,,
500087,CIPLA LTD.  ,A ,Q,1183.65,1183.75,1154.5,1156.7,1156.7,1183.3,1202,17433,20346860,,INE059A01026,25-Oct-23,,
500089,DIC INDIA   ,B ,Q,452.5,452.5,434.7,443.05,443.05,444,74,662,295266,,INE303A01010,25-Oct-23,,
500092,CRISIL LTD  ,A ,Q,4029.95,4040,3907.75,3928.6,3928.6,4029.45,725,2611,10300204,,INE007A01025,25-Oct-23,,
500093,CGPOWER     ,A ,Q,388.6,391.7,368,372.45,374.25,383.9,1636,62002,23337699,,INE067A01029,25-Oct-23,,
500096,DABUR (I)   ,A ,Q,516.75,525,516.75,517.85,521,521.3,1043,19131,9958167,,INE016A01026,25-Oct-23,,
500097,DALMIASUG   ,B ,Q,419,430,403.75,417.8,417,414.75,4853,91903,38467646,,INE495A01022,25-Oct-23,,
500101,ARVIND Ltd  ,A ,Q,173.05,178.55,165.6,169.05,169.05,171.8,2843,116512,20066757,,INE034A01011,25-Oct-23,,
500103,BHEL        ,A ,Q,118.4,120.2,114.1,116.3,116.3,117.4,8913,1359099,159218563,,INE257A01026,25-Oct-23,,
500104,HIND.PETRO  ,A ,Q,250,252.7,244.05,246,246,249,1527,61597,15264291,,INE094A01015,25-Oct-23,,
500106,IFCI LTD    ,A ,Q,21.68,22.51,20.93,21.61,21.61,21.33,11288,11161160,243206474,,INE039A01010,25-Oct-23,,
500108,MAHA.TELE   ,A ,Q,26.85,27.48,25.5,26.43,26.43,26.32,2162,1004183,26695120,,INE153A01019,25-Oct-23,,
500109,MRPL        ,A ,Q,96.86,98.86,92.55,97.01,97.01,95.89,3166,479875,45918978,,INE103A01014,25-Oct-23,,
500110,CHENNAI PET.,A ,Q,539.45,539.5,508.05,534.35,538,520.55,5170,158729,83729128,,INE178A01016,25-Oct-23,,
500112,STATE BANK  ,A ,Q,558.1,560.8,553.65,556.35,556.35,553.05,18453,646354,360366760,,INE062A01020,25-Oct-23,,
500113,STEEL AUTH. ,A ,Q,83.81,85.34,83.09,83.99,83.99,83.17,3031,569298,47969766,,INE114A01011,25-Oct-23,,
500114,TITAN       ,A ,Q,3219.95,3235.95,3178.3,3188.7,3188.7,3220.35,3824,29033,93167036,,INE280A01028,25-Oct-23,,
500116,IDBI BANK L ,A ,Q,63.15,64.75,60.9,63.98,64.2,62.96,3060,842219,53301976,,INE008A01015,25-Oct-23,,
500117,DCW LTD.    ,A ,Q,54.12,55.55,51.6,52.79,52.79,54.05,2304,488038,26444658,,INE500A01029,25-Oct-23,,
500119,DHAMPUR SUGA,A ,Q,264.3,274.6,258,264.2,264.4,260.5,1777,43456,11626042,,INE041A01016,25-Oct-23,,
500120,DIAMINES&CHM,B ,Q,490.25,499.05,465.55,476.8,476,490.1,951,5150,2464309,,INE591D01014,25-Oct-23,,
500123,ELANTAS     ,B ,Q,7690.25,7800,7351.7,7559.1,7551,7712,154,1118,8447557,,INE280B01018,25-Oct-23,,
500124,DR.REDDY'S  ,A ,Q,5566.5,5608.35,5500.5,5512.25,5512.25,5544,2393,7865,43682131,,INE089A01023,25-Oct-23,,
500125,E.I.D.PAR   ,A ,Q,473.55,481.25,461,469.2,467.4,462.95,979,17384,8201807,,INE126A01031,25-Oct-23,,
500126,PGHL        ,A ,Q,5037.25,5037.25,4950,5013.85,5006.8,5007.8,115,198,988367,,INE199A01012,25-Oct-23,,
500128,ELEC.CASTING,A ,Q,81.5,84.22,77.56,80.4,80.4,81.75,1967,635909,51747301,,INE086A01029,25-Oct-23,,
500133,ESAB INDIA  ,A ,Q,5475.95,5662.9,5400.25,5532,5553.9,5506.05,437,1681,9326143,,INE284A01012,25-Oct-23,,
500135,EPL         ,A ,Q,184.15,185.65,180,181.5,181.8,185.05,2086,61136,11119499,,INE255A01020,25-Oct-23,,
500136,ESTER INDUS.,B ,Q,88.86,91.74,88.86,89.56,89.55,90.18,132,2894,261783,,INE778B01029,25-Oct-23,,
500142,FGP LTD.    ,XT,Q,6.47,6.47,6.2,6.2,6.2,6.47,10,2472,15695,,INE512A01016,25-Oct-23,,
500143,P.H.CAPITAL ,XT,Q,71.25,71.25,71,71,71,74.5,6,700,49725,,INE160F01013,25-Oct-23,,
500144,FINOL. CABLE,A ,Q,895.15,905.5,865,874.05,873,893.2,1204,13525,11893728,,INE235A01022,25-Oct-23,,
500147,COCKERILL   ,X ,Q,2960,3000,2805.55,2865.9,2865.9,2849.65,641,11014,32078837,,INE515A01019,25-Oct-23,,
500148,UFLEX LTD   ,A ,Q,434.6,435.65,417,419.85,422.25,427.4,311,4186,1767493,,INE516A01017,25-Oct-23,,
500150,FOSECO INDIA,B ,Q,3314,3325,3197.1,3250.2,3244.15,3313.35,114,309,1009304,,INE519A01011,25-Oct-23,,
500151,GOLDEN TOB  ,Z ,Q,50.2,50.2,49,49.9,49.9,50.15,16,749,37222,,INE973A01010,25-Oct-23,,
500153,GANESH BENZO,B ,Q,144.3,145.6,137.15,139.35,139.35,143.25,643,22779,3209612,,INE388A01029,25-Oct-23,,
500159,METROGLOBL  ,X ,Q,97.8,103.8,90.25,94.07,94.07,97.79,192,11954,1173593,,INE085D01033,25-Oct-23,,
500160,GTL LTD.    ,T ,Q,7.55,7.55,7.2,7.21,7.25,7.44,242,60056,441218,,INE043A01012,25-Oct-23,,
500163,GODFREY PH  ,A ,Q,2103,2150.6,2031.4,2061.35,2061.35,2104.35,1267,6406,13337641,,INE260B01028,25-Oct-23,,
500164,GODREJ IND  ,A ,Q,617.25,643.5,613.15,621.7,615.35,615.4,1268,23285,14611911,,INE233A01035,25-Oct-23,,
500165,KANSAI NERO ,A ,Q,323.75,323.75,315,318.65,319,318.55,498,7298,2322970,,INE531A01024,25-Oct-23,,
500166,GOODRICKE   ,X ,Q,200.8,200.8,188,191.75,191.75,194.9,134,7756,1487648,,INE300A01016,25-Oct-23,,
500168,GOODYEAR (I),B ,Q,1349.8,1349.8,1262,1279.95,1283.65,1294.1,425,4001,5130615,,INE533A01012,25-Oct-23,,
500170,GTN INDUS   ,X ,Q,37.3,39.99,36.01,36.03,36.87,38.21,82,22533,837926,,INE537A01013,25-Oct-23,,
500171,GHCL LTD    ,A ,Q,593.8,593.8,577,583.15,580.75,575.35,437,5774,3369622,,INE539A01019,25-Oct-23,,
500173,GFLLIMITED  ,B ,Q,92.51,97.2,87.2,89.19,89.19,92.4,1678,64509,5856537,,INE538A01037,25-Oct-23,,
500174,GUJ.LEASE   ,B ,Q,4.28,4.28,4.28,4.28,4.28,4.5,9,442,1891,,INE540A01017,25-Oct-23,,
500179,HCL INFOSYS ,T ,Q,15.08,15.5,14.5,14.94,14.94,15.08,653,92266,1377875,,INE236A01020,25-Oct-23,,
500180,HDFC BANK   ,A ,Q,1522,1522,1491.5,1496.55,1496.55,1505.8,12226,289287,435160919,,INE040A01034,25-Oct-23,,
500182,HEROMOTOCO  ,A ,Q,3140.05,3175.55,3088.65,3138.7,3137.05,3149.6,874,7230,22726272,,INE158A01026,25-Oct-23,,
