SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1350.55,1385,1341.3,1359.65,1359.65,1350.55,537,14743,19918735,,INE117A01022,02-Aug-19,,
500003,AEGIS LOGIS ,A ,Q,194.55,199.7,193.2,196.7,197.7,196.85,240,4507,886236,,INE208C01025,02-Aug-19,,
500008,AMAR RAJA BA,A ,Q,660,666.7,654.35,656.75,656.65,665.15,634,24843,16407994,,INE885A01032,02-Aug-19,,
500009,A.SARABHAI  ,X ,Q,11.42,12.13,10.9,11.65,11.65,11.83,70,15020,170335,,INE432A01017,02-Aug-19,,
500010,HDFC        ,A ,Q,2084,2148.6,2039.65,2124.1,2124.1,2087.55,7233,132418,278494791,,INE001A01036,02-Aug-19,,
500012,ANDHRA PETRO,X ,Q,45.5,45.5,42.15,44.7,44.8,44.55,196,34840,1540715,,INE714B01016,02-Aug-19,,
500013,ANSAL INFRAS,B ,Q,3.85,4.19,3.85,4.14,4.1,4.05,55,12186,49162,,INE436A01026,02-Aug-19,,
500014,APPLE FINANC,XT,Q,1.21,1.27,1.21,1.27,1.27,1.21,18,2992,3799,,INE096A01010,02-Aug-19,,
500016,ARUNAHTEL   ,XT,Q,5.4,5.4,5.13,5.13,5.13,5.4,3,810,4347,,INE957C01019,02-Aug-19,,
500020,BOM DYEING  ,A ,Q,67.2,68.25,62.5,66.15,66.15,69.05,4631,564887,37093718,,INE032A01023,02-Aug-19,,
500023,ASIANHOTNR  ,B ,Q,109.75,114.95,88.15,93.85,89,109,71,5848,570171,,INE363A01022,02-Aug-19,,
500024,ASSAMCO     ,T ,Q,1.02,1.08,1,1.05,1.05,1.03,13,6647,7023,,INE442A01024,02-Aug-19,,
500027,ATUL LTD.   ,A ,Q,3599.5,3633.7,3561.1,3582.65,3573.55,3611.45,548,7068,25442956,,INE100A01010,02-Aug-19,,
500028,ATV PROJECTS,XT,Q,3.72,3.91,3.56,3.91,3.91,3.73,15,1283,4711,,INE447A01015,02-Aug-19,,
500031,BAJAJ ELECT.,A ,Q,354.95,363.15,350.95,359.95,363.15,358.4,303,5064,1801547,,INE193E01025,02-Aug-19,,
500032,BAJAJHIND   ,B ,Q,6.02,6.12,5.97,6.03,6,6.07,193,233932,1412776,,INE306A01021,02-Aug-19,,
500033,FORCE MOTR  ,A ,Q,1060,1096,1031,1075.4,1075.4,1061.25,1591,16161,17140597,,INE451A01017,02-Aug-19,,
500034,BAJFINANCE  ,A ,Q,3198.7,3285.4,3121.65,3239.6,3239.6,3221.6,13353,219293,700626566,,INE296A01024,02-Aug-19,,
500038,BALRAM.CHINI,A ,Q,142,142.9,135.9,136.9,136.9,144.3,927,70893,9804185,,INE119A01028,02-Aug-19,,
500039,BANCO PROD. ,B ,Q,95,96.1,95,96,95.9,96.45,69,2477,237160,,INE213C01025,02-Aug-19,,
500040,CENTURY TEXT,A ,Q,878.9,893.45,859.2,874.45,874.5,878.45,1149,35713,31250521,,INE055A01016,02-Aug-19,,
500041,BANNARI AMAN,B ,Q,1379.3,1477.1,1301,1335.05,1340,1307.3,26,34,45676,,INE459A01010,02-Aug-19,,
500042,BASF INDIA  ,A ,Q,1029.45,1079.25,1025.85,1067,1070,1032.5,147,732,765372,,INE373A01013,02-Aug-19,,
500043,BATA INDIA  ,A ,Q,1280,1320.9,1280,1310.2,1305.1,1302.3,1638,101610,131812351,,INE176A01028,02-Aug-19,,
500048,BEML LTD    ,A ,Q,841,851,830,838.15,831,844.75,1490,43507,36538654,,INE258A01016,02-Aug-19,,
500049,BHARAT ELECT,A ,Q,97.1,98.7,94.3,95.4,95.4,98.7,3236,801809,76999259,,INE263A01024,02-Aug-19,,
500052,BHANSALI ENG,B ,Q,53.45,60.2,52.8,58.95,58.95,54.5,834,85648,4899065,,INE922A01025,02-Aug-19,,
500055,TATASTLBSL  ,B ,Q,25.8,25.8,24.85,25.2,25.15,25.8,236,125298,3153611,,INE824B01021,02-Aug-19,,
500058,BIHAR SPONGE,XT,Q,0.72,0.72,0.69,0.69,0.69,0.72,3,660,458,,INE819C01011,02-Aug-19,,
500059,BINANI IND. ,T ,Q,12.64,13.9,12.64,13.5,13.5,13.3,19,3760,48092,,INE071A01013,02-Aug-19,,
500060,BIRLACABLE  ,B ,Q,72.25,77.9,72.25,76,76.05,75,94,3433,257551,,INE800A01015,02-Aug-19,,
500067,BLUE STAR   ,A ,Q,664,694,650.65,678.55,676.15,671.3,188,815,542422,,INE472A01039,02-Aug-19,,
500068,DISA INDIA  ,X ,Q,4801,5198,4801,5000,5000,5010,5,13,64203,,INE131C01011,02-Aug-19,,
500069,BNK CAPITAL ,X ,Q,77.45,77.45,77.45,77.45,77.45,81.5,4,166,12856,,INE418C01012,02-Aug-19,,
500074,BPL LTD.    ,B ,Q,17.2,17.6,17,17.5,17.45,17.55,53,8418,145614,,INE110A01019,02-Aug-19,,
500078,OAL         ,B ,Q,179.95,179.95,172.1,175.3,175.25,175.6,16,1178,205935,,INE959C01023,02-Aug-19,,
500083,CENTURY EXT ,B ,Q,2.9,3.1,2.61,2.91,2.91,2.87,58,27173,76127,,INE281A01026,02-Aug-19,,
500084,CESC LTD.   ,A ,Q,748.95,755,724,751.15,749.05,748.4,373,7784,5770099,,INE486A01013,02-Aug-19,,
500085,CHAMBAL FERT,A ,Q,146.3,146.8,142.4,146,145.5,147.4,466,14944,2155512,,INE085A01013,02-Aug-19,,
500086,EXIDE IND.  ,A ,Q,182.9,184,177.4,181,180.15,182.2,2392,191918,34700739,,INE302A01020,02-Aug-19,,
500087,CIPLA LTD.  ,A ,Q,510.25,519.5,509,515.7,515.7,512.25,1330,54600,28146184,,INE059A01026,02-Aug-19,,
500089,DIC INDIA   ,B ,Q,305,330.4,295.15,310.4,310.4,313.15,12,42,12991,,INE303A01010,02-Aug-19,,
500092,CRISIL LTD  ,A ,Q,1262.5,1262.85,1207,1235.55,1235.55,1263.5,423,2065,2575241,,INE007A01025,02-Aug-19,,
500093,CGPOWER     ,A ,Q,18.6,18.6,18.1,18.2,18.15,18.6,433,131702,2404995,,INE067A01029,02-Aug-19,,
500096,DABUR (I)   ,A ,Q,425,428.45,422.75,426.15,425.65,425.4,1017,50980,21695247,,INE016A01026,02-Aug-19,,
500097,DALMIASUG   ,B ,Q,87,89.35,84.2,85.25,85.25,87.2,260,13135,1139705,,INE495A01022,02-Aug-19,,
500101,ARVIND Ltd  ,A ,Q,55.45,57.2,53.85,56.3,56.3,56.45,1218,481071,26712759,,INE034A01011,02-Aug-19,,
500102,BALARPUR IND,B ,Q,0.73,0.78,0.73,0.73,0.73,0.76,104,695773,512555,,INE294A01037,02-Aug-19,,
500103,BHEL        ,A ,Q,57.55,57.55,55.85,56.55,56.55,57.55,2245,781037,44225815,,INE257A01026,02-Aug-19,,
500104,HIND.PETRO  ,A ,Q,266.05,266.7,252.8,253.5,253.5,263.4,3211,511100,131172428,,INE094A01015,02-Aug-19,,
500106,IFCI LTD    ,A ,Q,7.45,7.6,7.15,7.27,7.2,7.43,15237,126356,922915,,INE039A01010,02-Aug-19,,
500108,MAHA.TELE   ,B ,Q,6.28,6.39,6.17,6.23,6.23,6.39,315,257785,1620733,,INE153A01019,02-Aug-19,,
500109,MRPL        ,A ,Q,57.9,57.9,55.15,55.7,55.2,56.55,447,102757,5752102,,INE103A01014,02-Aug-19,,
500110,CHENNAI PET.,A ,Q,189.05,193.6,184.3,189.45,191.9,190.55,809,22653,4319518,,INE178A01016,02-Aug-19,,
500111,REL.CAP.    ,A ,Q,50,51.8,48.85,49.85,49.85,50.25,6422,2767821,139000521,,INE013A01015,02-Aug-19,,
500112,STATE BANK  ,A ,Q,315.55,322.2,307.05,308.45,308.45,317.2,25752,2971380,936122159,,INE062A01020,02-Aug-19,,
500113,STEEL AUTH. ,A ,Q,41.6,41.65,39.85,40.9,40.9,42.1,2601,1867057,76372050,,INE114A01011,02-Aug-19,,
500114,TITAN       ,A ,Q,1061.7,1075,1045.95,1064.8,1062.9,1056.4,3102,117763,124437352,,INE280A01028,02-Aug-19,,
500116,IDBI BANK L ,A ,Q,28,28.85,27.5,28.1,28.1,28.2,987,771237,21776819,,INE008A01015,02-Aug-19,,
500117,DCW LTD.    ,B ,Q,14.55,15.2,14.45,15.05,15.2,15.1,91,25498,376780,,INE500A01029,02-Aug-19,,
500119,DHAMPUR SUGA,B ,Q,161.2,166.7,156,158.95,160,161.2,1422,70118,11239005,,INE041A01016,02-Aug-19,,
500120,DIAMINES&CHM,X ,Q,109.05,110.05,109.05,109.15,109.05,116,55,2647,289768,,INE591D01014,02-Aug-19,,
500123,ELANTAS     ,B ,Q,1960.05,1961,1920,1932.05,1949.95,2017.3,96,3877,7584369,,INE280B01018,02-Aug-19,,
500124,DR.REDDY'S  ,A ,Q,2521.6,2549,2498.25,2529.85,2529.85,2533.3,987,16627,41942761,,INE089A01023,02-Aug-19,,
500125,E.I.D.PAR   ,A ,Q,145.1,148.75,142.6,146.4,146.4,144.65,425,13334,1952793,,INE126A01031,02-Aug-19,,
500126,PGHL        ,A ,Q,4756.5,4756.55,4655,4741.85,4736,4737.55,340,1340,6310068,,INE199A01012,02-Aug-19,,
500128,ELEC.CASTING,B ,Q,12.9,13.5,12.8,13.4,13.4,12.95,83,110729,1472100,,INE086A01029,02-Aug-19,,
500133,ESAB INDIA  ,B ,Q,1047.1,1070.7,1047.1,1069.15,1068,1063.45,49,99,104925,,INE284A01012,02-Aug-19,,
500135,ESSEL PROP  ,B ,Q,132.55,133.05,132.3,133,133,132.8,533,111586,14823184,,INE255A01020,02-Aug-19,,
500136,ESTER INDUS.,B ,Q,23.7,25.2,23.7,24.95,24.8,24.5,50,3255,81217,,INE778B01029,02-Aug-19,,
500141,FERRO ALLOYS,X ,Q,3.12,3.12,2.96,3.01,3.01,3.09,29,10917,32859,,INE912A01026,02-Aug-19,,
500143,P.H.CAPITAL ,X ,Q,9.31,9.31,9.31,9.31,9.31,9.79,1,200,1862,,INE160F01013,02-Aug-19,,
500144,FINOL. CABLE,A ,Q,372,380,370,374.75,375.7,381.1,109,998,371714,,INE235A01022,02-Aug-19,,
500147,CMI FPE     ,X ,Q,904.5,904.5,776,851.85,856,913.7,143,2671,2282564,,INE515A01019,02-Aug-19,,
500148,UFLEX LTD   ,A ,Q,213.65,214.5,208.9,213.55,213.05,213.35,96,2146,455373,,INE516A01017,02-Aug-19,,
500150,FOSECO INDIA,B ,Q,1177.05,1188.05,1177.05,1188.05,1188.05,1177.05,6,16,18963,,INE519A01011,02-Aug-19,,
500151,GOLDEN TOB  ,B ,Q,22.4,23.2,22.4,23.2,23.2,24,11,882,20049,,INE973A01010,02-Aug-19,,
500153,GANESH BENZO,X ,Q,28,28.85,27.3,27.5,27.5,28.5,123,22207,616382,,INE388A01029,02-Aug-19,,
500155,GARDEN SILK ,B ,Q,10.3,11.85,10.3,11.16,11.85,10.73,19,1783,19253,,INE526A01016,02-Aug-19,,
500159,METROGLOBL  ,X ,Q,49,51,44,48.15,51,50,17,652,30387,,INE085D01033,02-Aug-19,,
500160,GTL LTD.    ,B ,Q,2.08,2.25,2.08,2.19,2.25,2.18,27,23469,50461,,INE043A01012,02-Aug-19,,
500163,GODFREY PH  ,A ,Q,690,697.2,676.15,693.1,697.2,694.1,143,1798,1240094,,INE260B01028,02-Aug-19,,
500164,GODREJ IND  ,A ,Q,455,455.95,437,445.4,444.05,454.35,1143,44435,19880018,,INE233A01035,02-Aug-19,,
500165,KANSAI NERO ,A ,Q,419,435.75,416.25,434.1,433.6,418,335,5222,2227713,,INE531A01024,02-Aug-19,,
500166,GOODRICKE   ,X ,Q,159,159,154.2,155.9,155,157.9,64,2597,405179,,INE300A01016,02-Aug-19,,
500168,GOODYEAR (I),B ,Q,826,838.95,810,813.9,815,826.55,192,3395,2766587,,INE533A01012,02-Aug-19,,
500171,GHCL LTD    ,A ,Q,207,207.2,202,205.4,206.35,207.45,277,7475,1525574,,INE539A01019,02-Aug-19,,
500173,GFLLIMITED  ,A ,Q,897.4,906.5,884.8,903.9,903.55,907.05,138,1819,1628194,,INE538A01037,02-Aug-19,,
500179,HCL INFOSYS ,B ,Q,10.59,11,10.3,10.49,10.5,10.72,428,118996,1257344,,INE236A01020,02-Aug-19,,
500180,HDFC BANK   ,A ,Q,2211,2223.55,2182.15,2214.95,2214.95,2217.85,9717,1320102,2903820633,,INE040A01026,02-Aug-19,,
500182,HEROMOTOCO  ,A ,Q,2330,2428.7,2290.55,2401.4,2401.4,2367.7,6370,93133,220151091,,INE158A01026,02-Aug-19,,
500183,HIMACHAL FUT,A ,Q,18.8,19.2,18.8,19.05,19.05,19.1,295,205577,3919205,,INE548A01028,02-Aug-19,,
500184,HSCL        ,A ,Q,76.1,76.1,70.65,71.4,71.4,76.1,2072,261511,18998886,,INE019C01026,02-Aug-19,,
500185,HIND.CONSTN.,A ,Q,7.9,9.06,7.81,8.76,8.76,8.1,805,438909,3845007,,INE549A01026,02-Aug-19,,
500186,HIND.OIL EXP,B ,Q,112.75,114.7,110.6,113.85,113.5,115.05,435,38328,4296785,,INE345A01011,02-Aug-19,,
500187,HSIL        ,B ,Q,212.65,217.1,209.9,215.75,214.45,214.9,196,5934,1266027,,INE415A01038,02-Aug-19,,
500188,HINDUS.ZI   ,A ,Q,209.3,214.35,208.15,211,211,211.4,913,29447,6219918,,INE267A01025,02-Aug-19,,
500189,HINDUJA VENT,B ,Q,284.45,285.5,278.25,282.8,282.8,279.55,25,246,69933,,INE353A01023,02-Aug-19,,
500191,HMT LTD.    ,Z ,Q,11.2,12.16,11.05,12.1,12.1,11.59,18,988,11764,,INE262A01018,02-Aug-19,,
500193,HOTEL LEELA.,B ,Q,7.7,7.76,7.45,7.57,7.58,7.59,41,15254,114970,,INE102A01024,02-Aug-19,,
500199,I.G.PETRO   ,B ,Q,190,194.25,184,194.25,194.25,191.05,66,1352,253958,,INE204A01010,02-Aug-19,,
500201,IND.GLYCOLS ,B ,Q,205.25,206.75,198.4,206.4,204.45,204.7,403,5119,1038199,,INE560A01015,02-Aug-19,,
500207,INDO RAMA   ,B ,Q,30.1,32.6,30.1,32.5,32.1,30.55,41,3965,125009,,INE156A01020,02-Aug-19,,
500209,INFOSYS LTD ,A ,Q,769,780,762.4,775.4,775.4,769.05,13475,390658,300868471,,INE009A01021,02-Aug-19,,
500210,INGERSOLL   ,B ,Q,576.05,594.5,576.05,591.95,591.65,591.25,57,424,250450,,INE177A01018,02-Aug-19,,
500211,INSILCO LTD.,X ,Q,15,16.5,14.1,15.05,15.1,14.78,34,7761,119902,,INE901A01011,02-Aug-19,,
500212,INTEG.FIN.SE,XT,Q,24.5,24.7,24,24,24,24.7,3,128,3124,,INE898B01017,02-Aug-19,,
500213,INTER.TRAVEL,X ,Q,73,73,71.5,72.8,72.8,71.6,5,505,36114,,INE262B01016,02-Aug-19,,
500214,ION EXCHANGE,X ,Q,709.9,709.9,668.15,670.5,671,703.3,1540,36691,25120255,,INE570A01014,02-Aug-19,,
500215,AGRO TECH FO,B ,Q,487.95,505.15,487.95,499.8,498.1,503.1,22,370,185133,,INE209A01019,02-Aug-19,,
500219,JAIN IRRIG  ,A ,Q,19.55,20.5,19.55,20.3,20.3,20.05,351,131648,2646269,,INE175A01038,02-Aug-19,,
500220,JASCH INDUST,X ,Q,39.05,43.8,38.25,43,43,42.6,26,2686,114396,,INE711C01010,02-Aug-19,,
500223,JCT LTD     ,X ,Q,0.97,1.04,0.96,1.02,1.03,1.02,56,57648,56943,,INE945A01026,02-Aug-19,,
500227,JINDAL POLYF,B ,Q,228,231.9,226,231.25,231.9,230.05,52,646,147108,,INE197D01010,02-Aug-19,,
500228,JSWSL       ,A ,Q,222.55,230.3,217.9,225.05,225.05,225.3,3528,523534,117506255,,INE019A01038,02-Aug-19,,
500231,UMANG DAIR  ,B ,Q,46.25,46.3,46,46.05,46,46.65,6,276,12731,,INE864B01027,02-Aug-19,,
500233,KAJARIA CER.,A ,Q,469.9,498,460.3,467.35,467.95,466.1,1127,23120,10753035,,INE217B01036,02-Aug-19,,
500234,KAKATIYA CEM,B ,Q,153.3,154.35,150,151.95,151.95,155.65,175,3388,514760,,INE437B01014,02-Aug-19,,
500235,KALYANI STEL,B ,Q,163.05,171.6,161.9,170.1,170.1,166.4,254,6212,1030594,,INE907A01026,02-Aug-19,,
500238,WHIRLPOOL   ,A ,Q,1531.35,1550.5,1516.5,1533,1537.9,1531.35,250,1542,2358186,,INE716A01013,02-Aug-19,,
500239,KG DENIM    ,X ,Q,34,35.9,32,35.5,35.9,36.25,110,25283,881971,,INE104A01012,02-Aug-19,,
500240,KINETIC ENG.,XT,Q,42.5,45.9,42.5,44.85,45.6,44.55,24,726,32084,,INE266B01017,02-Aug-19,,
500241,KIRL.BROS.  ,B ,Q,171,172.05,165.05,166.9,166.3,173.75,81,2305,390238,,INE732A01036,02-Aug-19,,
500243,KIRL INDUS  ,B ,Q,736.35,736.35,632,667.5,667.5,715,41,250,166554,,INE250A01039,02-Aug-19,,
500245,KIRL.FERROUS,B ,Q,65.5,66.4,65,65.2,65.2,66.65,157,32036,2104815,,INE884B01025,02-Aug-19,,
500247,KOTAK MAH.BK,A ,Q,1497,1515,1470.7,1507.6,1507.6,1496.15,3695,121198,181514760,,INE237A01028,02-Aug-19,,
500249,KSB         ,B ,Q,590,592,565,567.4,565.15,596.95,133,1205,695783,,INE999A01015,02-Aug-19,,
500250,L.G.BALKRISH,B ,Q,215,238,210,234.45,237.6,218.85,158,1847,405804,,INE337A01034,02-Aug-19,,
500251,TRENT LTD.  ,A ,Q,415,448.6,410,444.4,444.75,421.05,1236,19978,8665323,,INE849A01020,02-Aug-19,,
500252,LAXMIMACH   ,A ,Q,3998,4070,3917,4010.4,4035,3998.05,235,461,1842605,,INE269B01029,02-Aug-19,,
500253,LIC HOUS.FIN,A ,Q,503.55,514.5,486.1,501.75,501.75,508.55,3209,167274,83510234,,INE115A01026,02-Aug-19,,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,12,7411,1408,,INE292A01023,02-Aug-19,,
500257,LUPIN LTD.  ,A ,Q,747,775.5,747,765.8,765.8,758.55,1512,52307,39946244,,INE326A01037,02-Aug-19,,
500259,LYKA LABS   ,B ,Q,17.6,17.6,16.5,16.5,16.95,17.25,30,6342,106045,,INE933A01014,02-Aug-19,,
500260,RAMCOCEM    ,A ,Q,715.15,730.9,707.25,726.05,730,716.35,533,13898,10075810,,INE331A01037,02-Aug-19,,
500264,MAFATLAL IND,X ,Q,75.1,75.1,75.05,75.05,75.05,75.55,4,618,46395,,INE270B01027,02-Aug-19,,
500265,MAH.SEAMLESS,B ,Q,410,410.6,402,408.55,410.6,410.7,69,1119,458190,,INE271B01025,02-Aug-19,,
500266,MAH.SCOOTER ,B ,Q,3801.4,3840,3641.15,3768,3775,3878.8,176,393,1472375,,INE288A01013,02-Aug-19,,
500267,MAJESTIC AUT,X ,Q,132,132,126,128.65,128.65,128.95,62,3660,470593,,INE201B01022,02-Aug-19,,
500268,MANALI PETRO,B ,Q,19.15,19.7,19,19.3,19.3,19.3,117,23233,446572,,INE201A01024,02-Aug-19,,
500271,MFSL        ,A ,Q,403.25,418.6,402.55,414.3,414.4,406.9,1117,57078,23531518,,INE180A01020,02-Aug-19,,
500279,MIRC ELECT  ,B ,Q,11.15,12.5,11,12.4,12.45,11.71,83,16299,194501,,INE831A01028,02-Aug-19,,
500280,CENTURY ENKA,B ,Q,180.25,183.5,175.4,181.2,181.2,180.75,165,3721,670383,,INE485A01015,02-Aug-19,,
500284,LORDS CHLORO,XT,Q,38.25,38.25,35.7,36.45,36.45,37.55,3,41,1477,,INE846D01012,02-Aug-19,,
500285,SPICEJET LTD,A ,Q,137.65,140,127.35,129.4,129.4,137.55,9942,1558576,208851838,,INE285B01017,02-Aug-19,,
500288,MOREPEN LAB.,B ,Q,16.1,16.25,15.95,16.05,16.05,16.05,80,27438,440910,,INE083A01026,02-Aug-19,,
500290,MRF LTD.    ,A ,Q,53125,54000,52500,53756.2,54000,53337.25,280,367,19545469,,INE883A01011,02-Aug-19,,
500292,HEIDEL CEM  ,A ,Q,185,190.25,182.5,187.95,188,186.25,433,15409,2891985,,INE578A01017,02-Aug-19,,
500294,NCC         ,A ,Q,73.75,74.05,71,72.75,72.35,71.7,1925,727538,52790182,,INE868B01028,02-Aug-19,,
500295,VEDL        ,A ,Q,143.7,144.95,139.25,143.15,143.15,145.6,5668,944536,134435990,,INE205A01025,02-Aug-19,,
500296,NAHAR SPG.  ,B ,Q,56,58.45,54.2,57.35,56.2,58.45,31,1450,82694,,INE290A01027,02-Aug-19,,
500298,NAT.PEROXIDE,B ,Q,1411,1499,1365,1432.05,1432.05,1411.55,1528,12151,17349176,,INE585A01020,02-Aug-19,,
500300,GRASIM IND. ,A ,Q,777,786.75,752,778.15,778.15,774.45,1588,58773,45144304,,INE047A01021,02-Aug-19,,
500302,PEL         ,A ,Q,1754,1804.6,1713.25,1747.25,1747.25,1764.1,5121,100775,176910572,,INE140A01024,02-Aug-19,,
500304,NIIT LTD.   ,B ,Q,89.15,90.35,86.25,89.05,89.05,90.35,448,17549,1552179,,INE161A01038,02-Aug-19,,
500306,JAYKAY      ,X ,Q,4.7,5.05,4.1,4.85,4.85,4.4,40,13325,65139,,INE903A01025,02-Aug-19,,
500307,NIRLON      ,B ,Q,194.25,200,194.2,200,200,199.9,42,17695,3458131,,INE910A01012,02-Aug-19,,
500312,ONGC CORPN  ,A ,Q,136.85,136.85,132.85,134.4,134.4,136.95,1644,335731,44980453,,INE213A01029,02-Aug-19,,
500313,OIL COUNTRY ,B ,Q,6.26,7,6.26,7,7,6.89,11,805,5245,,INE591A01010,02-Aug-19,,
500314,ORIENT HOTEL,B ,Q,33.85,33.85,32.8,33.1,33.1,33.65,11,210,6954,,INE750A01020,02-Aug-19,,
500315,ORINTAL BANK,A ,Q,66.8,67.3,65.2,65.75,65.75,66.2,556,92207,6092633,,INE141A01014,02-Aug-19,,
500317,OSWAL AGRO. ,B ,Q,6.15,7.25,6.15,6.75,6.72,6.8,68,9889,68071,,INE142A01012,02-Aug-19,,
500319,INDIAN SUCRO,XT,Q,11.34,11.34,11.34,11.34,11.34,11.93,4,3012,34156,,INE557C01017,02-Aug-19,,
500325,RELIANCE    ,A ,Q,1175.5,1198,1162.35,1184.2,1184.2,1180.55,14362,523278,618780120,,INE002A01018,02-Aug-19,,
500327,PILITA      ,B ,Q,8.9,8.9,7.74,8.29,8.29,8.6,255,157057,1251558,,INE600A01035,02-Aug-19,,
500329,PENTAMED.G  ,X ,Q,0.23,0.24,0.22,0.24,0.24,0.23,35,47370,10475,,INE202A01022,02-Aug-19,,
500330,RAYMOND     ,A ,Q,613.1,641.45,607.45,627.7,625,638.1,2041,101661,63448233,,INE301A01014,02-Aug-19,,
500331,PIDILITE    ,A ,Q,1210.75,1265,1187.05,1254.55,1254.55,1210.75,4812,96660,119454056,,INE318A01026,02-Aug-19,,
500333,PIX TRANS   ,X ,Q,140.9,142,138,138.05,138.05,138.2,35,3134,439779,,INE751B01018,02-Aug-19,,
500335,BIRLA CORPN.,A ,Q,580.6,603.65,568,593.15,593.15,583.15,532,9647,5672959,,INE340A01012,02-Aug-19,,
500336,SURYA ROSHNI,B ,Q,190.25,193.75,188,192.35,190.05,191.4,375,18238,3468465,,INE335A01012,02-Aug-19,,
500337,PRIME SECUR.,B ,Q,37,38.1,36,37.65,37.15,38.95,47,3758,141532,,INE032B01021,02-Aug-19,,
500338,PRSMJOHNSN  ,A ,Q,90.1,90.7,88,90.1,90.25,91.4,586,20382,1833372,,INE010A01011,02-Aug-19,,
