DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
24012017|532920|000006009|0000000000323285|000010853|0000000000585347|055.37
24012017|532921|000037512|0000000011000394|000126164|0000000036746258|029.73
24012017|532922|000047805|0000000005423478|000162325|0000000018301056|029.45
24012017|532923|000001071|0000000000145496|000002080|0000000000284425|051.49
24012017|532924|000104505|0000000009943651|000482494|0000000046221714|021.66
24012017|532925|000000001|0000000000000005|000000001|0000000000000004|100.00
24012017|532926|000002771|0000000000980242|000004219|0000000001498111|065.68
24012017|532927|000000279|0000000000417245|000000463|0000000000692891|060.26
24012017|532928|000004572|0000000001918412|000015927|0000000006791253|028.71
24012017|532929|000002394|0000000000379689|000003015|0000000000477553|079.40
24012017|532930|000010144|0000000001358282|000029663|0000000003979954|034.20
24012017|532931|000118150|0000000001597388|000470684|0000000006371692|025.10
24012017|532932|000007471|0000000000423606|000009725|0000000000551189|076.82
24012017|532933|000014880|0000000000659184|000021267|0000000000952364|069.97
24012017|532934|000002394|0000000000448516|000004438|0000000000828907|053.94
24012017|532935|000008109|0000000001385018|000034837|0000000005965388|023.28
24012017|532937|000001096|0000000000475445|000001544|0000000000673177|070.98
24012017|532938|000002658|0000000001572207|000011237|0000000006644924|023.65
24012017|532939|000086056|0000000003786464|000222712|0000000009787987|038.64
24012017|532940|000008551|0000000001959890|000020417|0000000004717386|041.88
24012017|532941|000045274|0000000003796225|000187066|0000000015810582|024.20
24012017|532942|000007365|0000000001359579|000013500|0000000002494299|054.56
24012017|532944|000037509|0000000003233276|000078717|0000000006845958|047.65
24012017|532945|000011697|0000000000331610|000017936|0000000000512177|065.22
24012017|532946|000000941|0000000000031759|000001212|0000000000040631|077.64
24012017|532947|000027388|0000000005952782|000101638|0000000021882707|026.95
24012017|532948|000001186|0000000000004768|000001186|0000000000004770|100.00
24012017|532951|000000350|0000000000009433|000001103|0000000000029872|031.73
24012017|532952|000000550|0000000000053900|000000560|0000000000055255|098.21
24012017|532953|000038640|0000000007167720|000077409|0000000014266045|049.92
24012017|532955|000082473|0000000011657559|000308548|0000000043638148|026.73
24012017|532959|000109636|0000000000384823|000166253|0000000000584863|065.95
24012017|532960|000023685|0000000000511596|000031166|0000000000673952|076.00
24012017|532961|000016489|0000000000136694|000020628|0000000000170942|079.94
24012017|532966|000086073|0000000010673052|000241089|0000000030228218|035.70
24012017|532967|000051669|0000000017358201|000242632|0000000082176297|021.30
24012017|532972|000228389|0000000010106214|000250118|0000000010927429|091.31
24012017|532974|000003110|0000000000084903|000003208|0000000000089321|096.95
24012017|532975|000035800|0000000000160997|000035800|0000000000160997|100.00
24012017|532976|000003460|0000000000048094|000003460|0000000000048932|100.00
24012017|532977|000009929|0000000027762477|000037938|0000000104832976|026.17
24012017|532978|000003480|0000000010874652|000010137|0000000031746332|034.33
24012017|532979|000004120|0000000000378010|000005458|0000000000497425|075.49
24012017|532980|000016972|0000000000404182|000016972|0000000000404182|100.00
24012017|532983|000001699|0000000000817899|000004001|0000000001939762|042.46
24012017|532985|000000453|0000000000126840|000000553|0000000000154410|081.92
24012017|532986|000013980|0000000000392139|000016839|0000000000468062|083.02
24012017|532987|000000954|0000000000935016|000002932|0000000002880430|032.54
24012017|532988|000000000|0000000000000000|000000003|0000000000001890|000.00
24012017|532989|000004204|0000000000131165|000007090|0000000000222945|059.29
24012017|532990|000001310|0000000000003983|000001410|0000000000004083|092.91
24012017|532991|000024692|0000000000015803|000027277|0000000000017173|090.52
24012017|532993|000010418|0000000000088996|000010418|0000000000088996|100.00
24012017|532994|000004857|0000000000324448|000009223|0000000000615887|052.66
24012017|532996|000000039|0000000000000135|000000039|0000000000000135|100.00
24012017|532997|000022953|0000000000398235|000031413|0000000000550752|073.07
24012017|532998|000007573|0000000000243472|000010158|0000000000325259|074.55
24012017|533001|000015914|0000000000935744|000023643|0000000001364694|067.31
24012017|533006|003968623|0000000000357482|003968623|0000000000357482|100.00
24012017|533007|000008280|0000000000050674|000008305|0000000000050899|099.70
24012017|533008|000612016|0000000004430996|001531265|0000000010869600|039.97
24012017|533014|000026319|0000000000727721|000054480|0000000001507594|048.31
24012017|533015|000080002|0000000000060002|000093938|0000000000070453|085.16
24012017|533019|000000020|0000000000000081|000000020|0000000000000081|100.00
24012017|533022|000022190|0000000000906462|000031695|0000000001302239|070.01
24012017|533023|000004377|0000000022945766|000004917|0000000025812371|089.02
24012017|533029|000002151|0000000000169714|000002251|0000000000177680|095.56
24012017|533033|000000511|0000000002514734|000000570|0000000002790347|089.65
24012017|533047|000003437|0000000002361563|000007608|0000000005221773|045.18
24012017|533048|000001900|0000000000006897|000001900|0000000000006897|100.00
24012017|533056|000064541|0000000005347222|000064543|0000000005347387|100.00
24012017|533065|000013200|0000000000010032|000013200|0000000000010032|100.00
24012017|533068|000006676|0000000000281060|000012408|0000000000527373|053.80
24012017|533080|000002413|0000000000481153|000003286|0000000000654214|073.43
24012017|533083|000002500|0000000000001475|000002500|0000000000001475|100.00
24012017|533088|000002727|0000000001135796|000004900|0000000002056022|055.65
24012017|533090|000003510|0000000000142682|000005056|0000000000205742|069.42
24012017|533093|000021812|0000000000053754|000021812|0000000000053754|100.00
24012017|533095|000000727|0000000000810824|000000767|0000000000852918|094.78
24012017|533096|000225780|0000000007936167|000986248|0000000034497804|022.89
24012017|533098|000260726|0000000007235147|000505735|0000000013995093|051.55
24012017|533101|000000900|0000000000064350|000001007|0000000000071528|089.37
24012017|533103|000002055|0000000000035813|000002055|0000000000035813|100.00
24012017|533104|000006286|0000000000548768|000010197|0000000000895103|061.65
24012017|533106|000010400|0000000003521440|000039851|0000000013496351|026.10
24012017|533107|000076673|0000000004385696|000184482|0000000010567382|041.56
24012017|533108|000006500|0000000000064285|000007187|0000000000071078|090.44
24012017|533109|000000040|0000000000000068|000000040|0000000000000067|100.00
24012017|533110|000059278|0000000000113814|000066193|0000000000135673|089.55
24012017|533121|000008996|0000000006202742|000009684|0000000006673132|092.90
24012017|533122|000198582|0000000001407947|000326189|0000000002307459|060.88
24012017|533137|000187746|0000000016493487|000369231|0000000032594463|050.85
24012017|533138|000012440|0000000007454048|000033751|0000000020542232|036.86
24012017|533144|000005591|0000000001108416|000055460|0000000011256560|010.08
24012017|533146|000064257|0000000007980720|000235749|0000000029504094|027.26
24012017|533148|000152278|0000000009304186|000644222|0000000038839918|023.64
24012017|533149|000000163|0000000000004222|000000163|0000000000004219|100.00
24012017|533150|000003150|0000000001021230|000004732|0000000001537065|066.57
24012017|533151|000009224|0000000003357536|000009863|0000000003580635|093.52
24012017|533152|000111357|0000000005940896|000272349|0000000014006353|040.89
24012017|533154|000000927|0000000000208344|000014553|0000000003311143|006.37
24012017|533155|000010220|0000000008567937|000039863|0000000033463660|025.64
24012017|533156|000058940|0000000002003960|000134425|0000000004516493|043.85
24012017|533157|000006982|0000000000043638|000008078|0000000000050227|086.43
24012017|533158|000002301|0000000000481600|000007031|0000000001432217|032.73
24012017|533160|000003441|0000000000139877|000012194|0000000000496094|028.22
24012017|533161|000002350|0000000000326533|000014570|0000000002035052|016.13
24012017|533162|000012181|0000000000449479|000023278|0000000000863629|052.33
24012017|533163|000020988|0000000001514285|000048140|0000000003521152|043.60
24012017|533164|000003490|0000000000076431|000005648|0000000000123707|061.79
24012017|533166|000465496|0000000001861984|001083416|0000000004427576|042.97
24012017|533167|000009066|0000000000384852|000010241|0000000000436348|088.53
24012017|533168|000001575|0000000000189250|000001575|0000000000189250|100.00
24012017|533169|000021091|0000000000880550|000054628|0000000002297963|038.61
24012017|533170|000033630|0000000004644303|000048122|0000000006556660|069.88
24012017|533171|000007933|0000000000165800|000009145|0000000000191019|086.75
24012017|533176|000003176|0000000000073048|000006531|0000000000151757|048.63
24012017|533177|000035648|0000000003894544|000070404|0000000007757892|050.63
24012017|533178|000006445|0000000000012890|000006445|0000000000013040|100.00
24012017|533179|000005239|0000000003246871|000008158|0000000005048924|064.22
24012017|533180|000017970|0000000000073646|000017970|0000000000073646|100.00
24012017|533181|000000265|0000000000105391|000000909|0000000000362609|029.15
24012017|533189|000002500|0000000000002000|000002500|0000000000002000|100.00
24012017|533192|000045147|0000000001553057|000093023|0000000003167850|048.53
24012017|533193|000013015|0000000000598690|000025815|0000000001189937|050.42
24012017|533200|000009039|0000000002063604|000014876|0000000003382614|060.76
24012017|533202|000064807|0000000000541139|000096627|0000000000820644|067.07
24012017|533203|000001374|0000000000009399|000001374|0000000000009042|100.00
24012017|533204|000113747|0000000003473858|000113747|0000000003473858|100.00
24012017|533206|000032271|0000000001035900|000051604|0000000001660148|062.54
24012017|533207|000106791|0000000000857532|000150977|0000000001213079|070.73
24012017|533208|000001376|0000000000170968|000001838|0000000000230183|074.86
24012017|533210|000002552|0000000000043895|000003152|0000000000053837|080.96
