SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1504.2,1507.8,1488.2,1497.75,1497.75,1500.8,165,1601,2396427,,INE117A01022,15-Jul-19,,
500003,AEGIS LOGIS ,A ,Q,210.35,212.5,205.35,210.7,210.7,208.8,680,17062,3556558,,INE208C01025,15-Jul-19,,
500008,AMAR RAJA BA,A ,Q,653,653,639.35,643.65,642.75,651.05,526,10352,6666999,,INE885A01032,15-Jul-19,,
500009,A.SARABHAI  ,X ,Q,12.02,12.99,12.02,12.59,12.59,12.45,22,6541,81524,,INE432A01017,15-Jul-19,,
500010,HDFC        ,A ,Q,2260,2270,2235.6,2267,2267,2256.65,1956,34367,77717521,,INE001A01036,15-Jul-19,,
500012,ANDHRA PETRO,X ,Q,50.1,50.1,48,48.05,48,49.5,185,14279,690156,,INE714B01016,15-Jul-19,,
500013,ANSAL INFRAS,B ,Q,5.1,5.11,4.91,4.97,4.96,5.14,31,5589,27996,,INE436A01026,15-Jul-19,,
500014,APPLE FINANC,XT,Q,1.35,1.36,1.3,1.36,1.36,1.36,10,3848,5152,,INE096A01010,15-Jul-19,,
500020,BOM DYEING  ,A ,Q,100.9,100.9,97.1,98.3,98.3,99.85,1195,114233,11315283,,INE032A01023,15-Jul-19,,
500023,ASIANHOTNR  ,B ,Q,119.05,122.1,119,122.1,122.1,120.1,3,35,4181,,INE363A01022,15-Jul-19,,
500024,ASSAMCO     ,T ,Q,1.26,1.31,1.2,1.2,1.2,1.26,45,92393,112544,,INE442A01024,15-Jul-19,,
500027,ATUL LTD.   ,A ,Q,3755,3756.95,3709.3,3742.25,3750,3751.75,173,585,2186566,,INE100A01010,15-Jul-19,,
500029,AUTOLITE(I) ,Z ,Q,26.95,26.95,24.45,24.6,24.6,25.7,18,695,17081,,INE448A01013,15-Jul-19,,
500031,BAJAJ ELECT.,A ,Q,478,486.5,459.7,479,479.3,477.2,1177,21154,10059956,,INE193E01025,15-Jul-19,,
500032,BAJAJHIND   ,B ,Q,7.57,7.73,7.25,7.27,7.27,7.54,152,120910,891812,,INE306A01021,15-Jul-19,,
500033,FORCE MOTR  ,A ,Q,1290,1311,1250,1262.6,1262.6,1285.35,977,6957,8825790,,INE451A01017,15-Jul-19,,
500034,BAJFINANCE  ,A ,Q,3311,3438.9,3311,3412.25,3412.25,3377.75,6920,92056,313214900,,INE296A01024,15-Jul-19,,
500038,BALRAM.CHINI,A ,Q,163.05,165.4,155,155.7,155.7,162,1665,133743,21440737,,INE119A01028,15-Jul-19,,
500039,BANCO PROD. ,B ,Q,117,117.8,115,115.3,115,116.8,43,2242,260652,,INE213C01025,15-Jul-19,,
500040,CENTURY TEXT,A ,Q,928.15,933,910.55,926.35,926.35,925.65,930,94121,86684136,,INE055A01016,15-Jul-19,,
500041,BANNARI AMAN,B ,Q,1474.95,1474.95,1420,1450,1450,1432.65,4,42,60114,,INE459A01010,15-Jul-19,,
500042,BASF INDIA  ,A ,Q,1186.5,1186.5,1125.05,1135.7,1130,1177.95,254,1177,1351975,,INE373A01013,15-Jul-19,,
500043,BATA INDIA  ,A ,Q,1344,1355.1,1329,1340.2,1340.2,1343.95,986,27060,36301847,,INE176A01028,15-Jul-19,,
500048,BEML LTD    ,A ,Q,903.55,920.15,896,901,901,903.05,1355,50217,45725047,,INE258A01016,15-Jul-19,,
500049,BHARAT ELECT,A ,Q,106.2,106.2,101.3,102.9,102.9,106,2078,510600,52399304,,INE263A01024,15-Jul-19,,
500052,BHANSALI ENG,B ,Q,65.15,65.15,63,64.15,63.9,65.05,862,57678,3676019,,INE922A01025,15-Jul-19,,
500055,TATASTLBSL  ,B ,Q,29,29.5,28.7,28.9,28.9,29.1,116,18391,532480,,INE824B01021,15-Jul-19,,
500058,BIHAR SPONGE,XT,Q,0.86,0.86,0.86,0.86,0.86,0.9,1,110,94,,INE819C01011,15-Jul-19,,
500059,BINANI IND. ,Z ,Q,18.64,18.64,16.91,16.91,16.91,17.77,34,3868,69909,,INE071A01013,15-Jul-19,,
500060,BIRLACABLE  ,B ,Q,91.15,92.5,86.65,88.1,88,91.35,100,2525,225494,,INE800A01015,15-Jul-19,,
500067,BLUE STAR   ,A ,Q,747.05,754.55,741,747.95,751.4,750.6,126,712,531104,,INE472A01039,15-Jul-19,,
500068,DISA INDIA  ,X ,Q,5400,5400,5400,5400,5400,5336.65,1,1,5400,,INE131C01011,15-Jul-19,,
500069,BNK CAPITAL ,X ,Q,87.35,87.35,87.35,87.35,87.35,83.3,1,11,960,,INE418C01012,15-Jul-19,,
500074,BPL LTD.    ,B ,Q,21.45,21.45,20.3,20.5,20.4,21.15,73,8193,167962,,INE110A01019,15-Jul-19,,
500078,OAL         ,B ,Q,202,202.45,200,200,200,201.3,27,1546,311893,,INE959C01023,15-Jul-19,,
500083,CENTURY EXT ,B ,Q,3.62,3.63,3.58,3.58,3.58,3.62,7,13103,47002,,INE281A01026,15-Jul-19,,
500084,CESC LTD.   ,A ,Q,780.5,785.7,771,784.1,783.15,780.1,192,3278,2556819,,INE486A01013,15-Jul-19,,
500085,CHAMBAL FERT,A ,Q,163,164.8,161.6,163.85,163.35,162.1,689,31289,5121339,,INE085A01013,15-Jul-19,,
500086,EXIDE IND.  ,A ,Q,207,207.4,203.65,204.05,204,205.05,317,21643,4440418,,INE302A01020,15-Jul-19,,
500087,CIPLA LTD.  ,A ,Q,562.7,562.7,549.05,550.75,551,556.65,546,27805,15389466,,INE059A01026,15-Jul-19,,
500092,CRISIL LTD  ,A ,Q,1426.65,1428.6,1380,1383.5,1383.5,1438.8,274,852,1187026,,INE007A01025,15-Jul-19,,
500093,CGPOWER     ,A ,Q,21.15,21.15,18.85,19.1,19.1,21,1111,537984,10578886,,INE067A01029,15-Jul-19,,
500096,DABUR (I)   ,A ,Q,407.4,411.45,406.55,410.5,410.55,407.75,802,252724,103074486,,INE016A01026,15-Jul-19,,
500097,DALMIASUG   ,B ,Q,106.25,106.25,101.1,102.05,102.05,106.2,198,7282,751629,,INE495A01022,15-Jul-19,,
500101,ARVIND Ltd  ,A ,Q,64.85,64.85,61.1,61.8,61.85,63.85,888,185500,11547609,,INE034A01011,15-Jul-19,,
500102,BALARPUR IND,B ,Q,1.31,1.34,1.31,1.31,1.31,1.37,141,371644,489411,,INE294A01037,15-Jul-19,,
500103,BHEL        ,A ,Q,65.3,65.55,63.25,64.2,64.2,64.85,2830,1040234,66729500,,INE257A01026,15-Jul-19,,
500104,HIND.PETRO  ,A ,Q,281.5,288.35,280.5,286.35,286.35,281.5,3964,257062,73359530,,INE094A01015,15-Jul-19,,
500106,IFCI LTD    ,A ,Q,8.6,8.89,8.6,8.66,8.62,8.65,134,72512,631013,,INE039A01010,15-Jul-19,,
500108,MAHA.TELE   ,B ,Q,7.98,7.98,7.37,7.42,7.42,7.92,655,469665,3555379,,INE153A01019,15-Jul-19,,
500109,MRPL        ,A ,Q,59.9,60.95,59.25,59.95,60.05,59.85,407,184698,11172278,,INE103A01014,15-Jul-19,,
500110,CHENNAI PET.,A ,Q,189,190.5,184.8,190.05,188.5,187.05,353,18915,3528294,,INE178A01016,15-Jul-19,,
500111,REL.CAP.    ,A ,Q,58.2,58.8,53.55,54,54,57.9,6183,1837907,103434956,,INE013A01015,15-Jul-19,,
500112,STATE BANK  ,A ,Q,364.1,364.65,357.6,359.95,359.95,363.55,7669,1135189,408359668,,INE062A01020,15-Jul-19,,
500113,STEEL AUTH. ,A ,Q,47.4,47.5,46.15,46.6,46.6,47.2,1498,1102486,51480678,,INE114A01011,15-Jul-19,,
500114,TITAN       ,A ,Q,1115,1115,1077.7,1088.9,1088.9,1101.25,4162,116052,126516423,,INE280A01028,15-Jul-19,,
500116,IDBI BANK L ,A ,Q,34.65,35.2,34.25,34.65,34.6,34.95,486,262661,9110643,,INE008A01015,15-Jul-19,,
500117,DCW LTD.    ,B ,Q,16.05,16.75,15.8,16.05,16.05,16.1,136,55135,892887,,INE500A01029,15-Jul-19,,
500119,DHAMPUR SUGA,B ,Q,191.4,194,185.65,186.85,186.85,193.3,893,47084,8932143,,INE041A01016,15-Jul-19,,
500120,DIAMINES&CHM,X ,Q,130,130,123.35,124,124,129,19,347,43631,,INE591D01014,15-Jul-19,,
500123,ELANTAS     ,B ,Q,2074.95,2121,2050,2100,2100,2050,126,3276,6878491,,INE280B01018,15-Jul-19,,
500124,DR.REDDY'S  ,A ,Q,2649.95,2667.45,2613.4,2626.05,2629,2630.45,814,11555,30464925,,INE089A01023,15-Jul-19,,
500125,E.I.D.PAR   ,A ,Q,172.9,174,169.8,171.1,171.1,172.2,208,8731,1508527,,INE126A01031,15-Jul-19,,
500126,PGHL        ,A ,Q,4304.9,4365,4293,4328.55,4330,4264.45,223,968,4186195,,INE199A01012,15-Jul-19,,
500128,ELEC.CASTING,B ,Q,16.4,16.55,15.4,15.7,15.7,16.45,112,52610,821589,,INE086A01029,15-Jul-19,,
500132,EMPEE SUGARS,Z ,Q,0.69,0.69,0.69,0.69,0.69,0.69,1,344,237,,INE928B01012,15-Jul-19,,
500133,ESAB INDIA  ,B ,Q,1130,1146,1126.35,1128.35,1126.35,1128.4,70,221,249552,,INE284A01012,15-Jul-19,,
500135,ESSEL PROP  ,B ,Q,130.6,131.25,130,130.05,130,129.95,13,940,122326,,INE255A01020,15-Jul-19,,
500136,ESTER INDUS.,B ,Q,28.25,28.5,28.1,28.35,28.35,28.25,46,2175,61512,,INE778B01029,15-Jul-19,,
500141,FERRO ALLOYS,X ,Q,3.6,3.65,3.04,3.1,3.17,3.08,65,30175,99762,,INE912A01026,15-Jul-19,,
500144,FINOL. CABLE,A ,Q,384.6,384.6,378.55,382.25,382,384.8,170,1237,472603,,INE235A01022,15-Jul-19,,
500147,CMI FPE     ,X ,Q,1048,1093,1048,1085.3,1057,1046.1,44,132,143134,,INE515A01019,15-Jul-19,,
500148,UFLEX LTD   ,A ,Q,230,233,228.4,232.4,233,231.55,111,1367,316519,,INE516A01017,15-Jul-19,,
500153,GANESH BENZO,X ,Q,34.5,35.2,33.5,33.7,33.5,34.85,85,8889,300903,,INE388A01029,15-Jul-19,,
500155,GARDEN SILK ,B ,Q,13.75,13.75,13.1,13.52,13.51,13.84,38,8420,114418,,INE526A01016,15-Jul-19,,
500159,METROGLOBL  ,X ,Q,55.35,61.9,55.35,58.65,58.65,60.95,13,812,47655,,INE085D01033,15-Jul-19,,
500160,GTL LTD.    ,B ,Q,2.61,2.63,2.61,2.63,2.63,2.67,11,6000,15669,,INE043A01012,15-Jul-19,,
500163,GODFREY PH  ,A ,Q,773.9,777.9,766,770.15,766,774.7,130,1390,1071779,,INE260B01028,15-Jul-19,,
500164,GODREJ IND  ,A ,Q,480.05,486.5,479.55,484,483.95,482.1,264,4607,2222819,,INE233A01035,15-Jul-19,,
500165,KANSAI NERO ,A ,Q,437.4,438.9,430.4,437.6,438.9,435.85,132,691,300550,,INE531A01024,15-Jul-19,,
500166,GOODRICKE   ,X ,Q,188.25,189.9,187,187.35,187.35,189.95,48,3046,572998,,INE300A01016,15-Jul-19,,
500168,GOODYEAR (I),B ,Q,950,951.05,942,942.3,942,950,110,1597,1511608,,INE533A01012,15-Jul-19,,
500170,GTN INDUS   ,B ,Q,7,7.39,7,7.39,7.39,7.45,2,201,1407,,INE537A01013,15-Jul-19,,
500171,GHCL LTD    ,A ,Q,223.8,223.8,220.75,222.3,221.9,222.65,58,1102,244792,,INE539A01019,15-Jul-19,,
500173,GUJ.FLOURO  ,A ,Q,921,921,912.45,914.65,914.2,920.6,68,388,354986,,INE538A01037,15-Jul-19,,
500179,HCL INFOSYS ,B ,Q,11.87,12.05,11.73,11.8,11.77,11.9,121,25396,300166,,INE236A01020,15-Jul-19,,
500180,HDFC BANK   ,A ,Q,2412.9,2412.9,2377.75,2396.1,2396.1,2393.45,3099,42231,100949463,,INE040A01026,15-Jul-19,,
500182,HEROMOTOCO  ,A ,Q,2570.1,2580,2515,2546.05,2544,2569.05,2162,23759,60487243,,INE158A01026,15-Jul-19,,
500183,HIMACHAL FUT,A ,Q,21.9,21.9,20.85,21,21,21.6,580,330584,7019857,,INE548A01028,15-Jul-19,,
500184,HSCL        ,A ,Q,97.75,97.75,93.6,93.85,94,95.2,336,19025,1805495,,INE019C01026,15-Jul-19,,
500185,HIND.CONSTN.,A ,Q,10.87,10.99,10.45,10.48,10.48,10.87,273,120674,1281857,,INE549A01026,15-Jul-19,,
500186,HIND.OIL EXP,B ,Q,126.9,127.9,126.45,127.3,127.5,128,87,4708,598863,,INE345A01011,15-Jul-19,,
500187,HSIL        ,B ,Q,242,243,236,237.5,237.85,239.9,225,7512,1793132,,INE415A01038,15-Jul-19,,
500188,HINDUS.ZI   ,A ,Q,227,228.6,224.8,228.1,228,227.65,346,21578,4903491,,INE267A01025,15-Jul-19,,
500189,HINDUJA VENT,B ,Q,325.65,325.65,317.35,323.75,323.75,323.65,9,48,15420,,INE353A01023,15-Jul-19,,
500191,HMT LTD.    ,Z ,Q,15.5,15.5,15.4,15.45,15.45,15.9,4,372,5749,,INE262A01018,15-Jul-19,,
500192,PRAG BOSIMI ,XT,Q,2.75,2.75,2.75,2.75,2.75,2.8,2,600,1650,,INE962B01011,15-Jul-19,,
500193,HOTEL LEELA.,B ,Q,8.25,8.25,7.65,7.86,7.82,7.93,42,7335,57250,,INE102A01024,15-Jul-19,,
500199,I.G.PETRO   ,B ,Q,236.7,237.5,231,234.65,231.3,238.25,42,431,100873,,INE204A01010,15-Jul-19,,
500201,IND.GLYCOLS ,B ,Q,238.6,238.6,233.2,234.55,234.55,236.7,301,7358,1729752,,INE560A01015,15-Jul-19,,
500207,INDO RAMA   ,B ,Q,28,28.5,26.05,26.05,26.05,27.05,16,788,20992,,INE156A01020,15-Jul-19,,
500209,INFOSYS LTD ,A ,Q,762,781.4,754.5,779.45,779.45,727.1,27634,1168501,898938578,,INE009A01021,15-Jul-19,,
500210,INGERSOLL   ,B ,Q,617.9,617.9,605.35,609.9,611,617.25,73,824,503359,,INE177A01018,15-Jul-19,,
500211,INSILCO LTD.,X ,Q,15.2,15.3,14.85,15.3,15.3,15.3,8,900,13627,,INE901A01011,15-Jul-19,,
500213,INTER.TRAVEL,X ,Q,91.95,91.95,86.55,87.75,87.9,87.25,69,2530,226638,,INE262B01016,15-Jul-19,,
500214,ION EXCHANGE,X ,Q,673,678.55,660.2,677.6,678.55,646.25,990,78030,52800715,,INE570A01014,15-Jul-19,,
500215,AGRO TECH FO,B ,Q,475,518.8,471.05,503.45,503,497.3,43,247,126162,,INE209A01019,15-Jul-19,,
500219,JAIN IRRIG  ,A ,Q,25.4,25.4,23.8,24.15,24.15,24.7,607,188381,4592029,,INE175A01038,15-Jul-19,,
500220,JASCH INDUST,X ,Q,45.45,47,44.15,45.5,47,45.45,23,2948,132028,,INE711C01010,15-Jul-19,,
500223,JCT LTD     ,X ,Q,1.18,1.21,1.1,1.1,1.1,1.17,69,103336,119332,,INE945A01026,15-Jul-19,,
500227,JINDAL POLYF,B ,Q,245,245,236.15,240.3,240.35,241.2,118,974,236065,,INE197D01010,15-Jul-19,,
500228,JSWSL       ,A ,Q,269.5,272.65,263.6,271.1,271.1,268.1,2132,262274,70510755,,INE019A01038,15-Jul-19,,
500231,UMANG DAIR  ,B ,Q,48.55,50,48.55,48.65,48.65,49,42,7389,361513,,INE864B01027,15-Jul-19,,
500233,KAJARIA CER.,A ,Q,570.3,571.75,556.6,559.85,557.05,565.9,1560,47701,26940348,,INE217B01036,15-Jul-19,,
500234,KAKATIYA CEM,B ,Q,187.5,187.5,178.45,179.7,178.7,185.65,108,1628,295602,,INE437B01014,15-Jul-19,,
500235,KALYANI STEL,B ,Q,201,202.75,197.75,198,198,201.55,96,1794,358914,,INE907A01026,15-Jul-19,,
500238,WHIRLPOOL   ,A ,Q,1558.65,1566,1548.15,1559.15,1559.05,1550.55,147,1252,1951271,,INE716A01013,15-Jul-19,,
500239,KG DENIM    ,X ,Q,40,41,35.3,39.9,39.9,38.8,16,1027,37421,,INE104A01012,15-Jul-19,,
500240,KINETIC ENG.,X ,Q,47.9,48,40.6,41.25,41.25,45.1,155,14401,615516,,INE266B01017,15-Jul-19,,
500241,KIRL.BROS.  ,B ,Q,189,189,185,185.75,185.5,189.55,135,1584,296930,,INE732A01036,15-Jul-19,,
500243,KIRL INDUS  ,B ,Q,804.9,804.9,775,785.6,782.35,802.7,14,35,27667,,INE250A01039,15-Jul-19,,
500245,KIRL.FERROUS,B ,Q,84.85,84.85,82,82.9,82.9,83.45,100,34526,2864817,,INE884B01025,15-Jul-19,,
500246,ENVAIN ELECT,XT,Q,35.25,35.25,35.25,35.25,35.25,36.9,1,100,3525,,INE601C01013,15-Jul-19,,
500247,KOTAK MAH.BK,A ,Q,1497.95,1510.25,1480,1507.75,1507.75,1484.25,2273,60446,90844146,,INE237A01028,15-Jul-19,,
500249,KSB         ,B ,Q,714,714,701.05,701.05,701.05,712.95,12,28,19847,,INE999A01015,15-Jul-19,,
500250,L.G.BALKRISH,B ,Q,309.3,309.3,296.05,306.6,308.9,307.95,227,1459,442714,,INE337A01034,15-Jul-19,,
500251,TRENT LTD.  ,A ,Q,460,462.5,444.1,447.3,444.1,452.9,464,7038,3184243,,INE849A01020,15-Jul-19,,
500252,LAXMIMACH   ,A ,Q,4680.5,4681,4365.55,4415.65,4415.65,4664.6,832,2151,9647558,,INE269B01029,15-Jul-19,,
500253,LIC HOUS.FIN,A ,Q,536,541.1,531.7,537.8,540,536.6,958,37443,20083483,,INE115A01026,15-Jul-19,,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,13,25940,4928,,INE292A01023,15-Jul-19,,
500257,LUPIN LTD.  ,A ,Q,762.65,768.05,750.4,764.45,764.45,761.85,1015,37146,28240732,,INE326A01037,15-Jul-19,,
500259,LYKA LABS   ,B ,Q,21.4,22,20.5,20.65,21.25,21.4,52,2654,55489,,INE933A01014,15-Jul-19,,
500260,RAMCOCEM    ,A ,Q,777.55,781.2,762.1,776.2,777,772.5,322,4081,3158004,,INE331A01037,15-Jul-19,,
500264,MAFATLAL IND,X ,Q,82.2,84.65,75.1,80.1,81.95,90.1,58,3671,287900,,INE270B01027,15-Jul-19,,
500265,MAH.SEAMLESS,B ,Q,416.45,419.25,415,418.45,418.8,413.5,31,381,159176,,INE271B01025,15-Jul-19,,
500266,MAH.SCOOTER ,B ,Q,4190,4190,4008,4140.1,4152,4153.55,170,577,2360507,,INE288A01013,15-Jul-19,,
500267,MAJESTIC AUT,X ,Q,139.25,142.65,133,135.2,135,141.4,174,15618,2122712,,INE201B01022,15-Jul-19,,
500268,MANALI PETRO,B ,Q,22.8,23.45,21.8,22.35,22.65,22.85,195,69084,1556236,,INE201A01024,15-Jul-19,,
500271,MFSL        ,A ,Q,422.65,426.55,408.55,413.65,412.8,419.9,695,28925,12015729,,INE180A01020,15-Jul-19,,
500279,MIRC ELECT  ,B ,Q,16,16.3,15.65,15.65,15.65,16,34,6585,104826,,INE831A01028,15-Jul-19,,
500280,CENTURY ENKA,B ,Q,208.6,209.45,206.55,207.3,206.8,207.75,105,2918,606386,,INE485A01015,15-Jul-19,,
500284,LORDS CHLORO,XT,Q,37.45,37.45,35.1,35.3,35.3,35.7,10,370,13666,,INE846D01012,15-Jul-19,,
500285,SPICEJET LTD,A ,Q,125,127.2,123.5,126.25,126.25,124.8,9384,1373619,172732518,,INE285B01017,15-Jul-19,,
500288,MOREPEN LAB.,B ,Q,17.65,17.8,17.1,17.2,17.25,17.4,204,79178,1377064,,INE083A01026,15-Jul-19,,
500290,MRF LTD.    ,A ,Q,56180.85,56233.7,55825.35,56080.05,55875,55997.45,119,158,8857820,,INE883A01011,15-Jul-19,,
500292,HEIDEL CEM  ,A ,Q,198,198.1,192.3,194.85,195,196.45,231,6026,1179111,,INE578A01017,15-Jul-19,,
500294,NCC         ,A ,Q,87.5,87.75,83.9,84.45,84,87.55,1840,612120,52045080,,INE868B01028,15-Jul-19,,
500295,VEDL        ,A ,Q,167.7,167.7,162.85,166.7,166.7,167.7,2857,389978,64409426,,INE205A01025,15-Jul-19,,
500296,NAHAR SPG.  ,B ,Q,66.4,66.55,64.95,65.75,66.55,67.1,20,10417,683433,,INE290A01027,15-Jul-19,,
500298,NAT.PEROXIDE,B ,Q,1954.9,1954.9,1871.25,1900.1,1906,1904.15,326,1667,3178441,,INE585A01020,15-Jul-19,,
500300,GRASIM IND. ,A ,Q,917.25,926.9,916.35,922.35,923,916.9,611,19662,18129798,,INE047A01021,15-Jul-19,,
500302,PEL         ,A ,Q,1954.95,2088.9,1950,2077.75,2077.75,1945.8,5612,105925,216000932,,INE140A01024,15-Jul-19,,
500304,NIIT LTD.   ,B ,Q,99.5,100.3,98.1,98.9,99.35,99.65,172,10558,1045704,,INE161A01038,15-Jul-19,,
500306,JAYKAY      ,X ,Q,4.3,4.3,4.3,4.3,4.3,4.3,6,4279,18399,,INE903A01025,15-Jul-19,,
500307,NIRLON      ,B ,Q,204.8,204.8,200.05,201.05,201.05,201.6,7,1020,204603,,INE910A01012,15-Jul-19,,
500312,ONGC CORPN  ,A ,Q,150,151.65,148.9,150.75,150.15,149.85,1714,238063,35757004,,INE213A01029,15-Jul-19,,
500314,ORIENT HOTEL,B ,Q,37.05,37.4,37,37.3,37.3,37.25,12,794,29385,,INE750A01020,15-Jul-19,,
500315,ORINTAL BANK,A ,Q,89.5,89.5,85.7,86.55,86.6,88.9,433,54772,4780767,,INE141A01014,15-Jul-19,,
500317,OSWAL AGRO. ,B ,Q,6.95,6.95,6.36,6.4,6.48,6.53,34,8530,55043,,INE142A01012,15-Jul-19,,
500319,INDIAN SUCRO,XT,Q,16.1,17.65,16.1,16.1,16.1,16.9,14,1761,28359,,INE557C01017,15-Jul-19,,
500325,RELIANCE    ,A ,Q,1285,1289,1271,1275.9,1275.9,1280.6,10382,245812,313701730,,INE002A01018,15-Jul-19,,
500327,PILITA      ,B ,Q,9.5,9.5,8.8,9.04,9.09,9.03,191,227937,2049603,,INE600A01035,15-Jul-19,,
500329,PENTAMED.G  ,X ,Q,0.27,0.27,0.26,0.26,0.26,0.27,23,91280,23876,,INE202A01022,15-Jul-19,,
500330,RAYMOND     ,A ,Q,715.9,715.9,697,700.15,697,711.55,584,19462,13683001,,INE301A01014,15-Jul-19,,
500331,PIDILITE    ,A ,Q,1185,1206.45,1182,1201.3,1203.2,1185.95,871,17966,21453128,,INE318A01026,15-Jul-19,,
500333,PIX TRANS   ,X ,Q,175,175,173.5,173.5,173.5,173.3,12,379,65862,,INE751B01018,15-Jul-19,,
500335,BIRLA CORPN.,A ,Q,652.1,655.6,630.85,633.9,633.9,650.55,325,2823,1798636,,INE340A01012,15-Jul-19,,
500336,SURYA ROSHNI,B ,Q,218.55,220.2,215.15,217.2,216.15,220.15,265,11276,2468352,,INE335A01012,15-Jul-19,,
500337,PRIME SECUR.,B ,Q,36.75,40,36,39.4,39.4,36.5,515,110472,4280840,,INE032B01021,15-Jul-19,,
500338,PRSMJOHNSN  ,A ,Q,91.65,91.95,91.5,91.6,91.6,91.55,66,6224,570060,,INE010A01011,15-Jul-19,,
500339,RAIN        ,A ,Q,95.45,96.5,92,92.7,92.7,95.25,1247,79878,7472908,,INE855B01025,15-Jul-19,,
500343,AMJLAND     ,B ,Q,17.15,18.05,17.15,17.2,17.2,17.15,4,350,6052,,INE606A01024,15-Jul-19,,
500350,RSWM  LTD   ,B ,Q,141.5,141.5,131,136.45,136.55,140.45,304,8504,1153319,,INE611A01016,15-Jul-19,,
